Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,69.20,70.25,68.05,68.30,310200,68.30
2014-12-22,68.15,69.70,67.60,69.40,288300,69.40
2014-12-19,68.90,69.10,67.55,68.00,458100,68.00
2014-12-18,66.95,68.10,66.45,67.75,427700,67.75
2014-12-17,65.10,66.20,62.70,65.25,765900,65.25
2014-12-16,69.00,69.50,64.85,65.35,954400,65.35
2014-12-15,68.90,70.40,68.25,68.70,399100,68.70
2014-12-12,70.90,71.60,68.90,69.15,358000,69.15
2014-12-11,71.05,72.30,69.65,70.90,444900,70.90
2014-12-10,69.00,71.65,68.75,71.30,445900,71.30
2014-12-09,72.40,72.90,68.85,69.10,544100,69.10
2014-12-08,74.90,75.00,72.10,72.30,591500,72.30
2014-12-05,73.30,74.15,72.40,72.80,425300,72.80
2014-12-04,73.65,73.75,70.95,73.05,508500,73.05
2014-12-03,73.75,74.80,73.00,73.25,877300,73.25
2014-12-02,71.00,73.75,69.50,73.45,772200,73.45
2014-12-01,72.60,73.20,70.30,70.60,326200,70.60
2014-11-28,70.00,73.30,69.30,72.40,789400,72.40
2014-11-27,68.20,69.00,67.30,68.85,323200,68.85
2014-11-26,68.20,69.15,67.55,68.20,360300,68.20
2014-11-25,71.35,71.95,67.65,68.20,563900,68.20
2014-11-24,71.40,72.45,70.80,71.75,263100,71.75
2014-11-21,71.30,72.95,70.30,71.05,458400,71.05
2014-11-20,72.30,72.60,70.30,71.30,265900,71.30
2014-11-19,74.65,74.95,71.35,72.30,574500,72.30
2014-11-18,70.75,74.00,70.75,73.80,553200,73.80
2014-11-17,71.50,72.20,70.30,71.00,386400,71.00
2014-11-14,69.95,72.10,69.45,71.55,254000,71.55
2014-11-13,72.00,72.20,69.80,70.00,275100,70.00
2014-11-12,72.45,72.85,71.00,71.60,437900,71.60
2014-11-11,69.60,72.75,69.35,72.45,441000,72.45
2014-11-10,70.00,70.90,68.95,69.60,258200,69.60
2014-11-07,71.05,71.40,68.90,70.35,387900,70.35
2014-11-06,71.40,71.40,71.40,71.40,000,71.40
2014-11-05,72.55,73.30,71.00,71.40,545200,71.40
2014-11-04,72.25,72.25,72.25,72.25,000,72.25
2014-11-03,71.00,72.70,70.00,72.25,468500,72.25
2014-10-31,68.65,70.90,68.65,70.55,1176900,70.55
2014-10-30,67.90,68.50,66.65,68.25,396400,68.25
2014-10-29,68.75,68.95,66.55,67.90,415900,67.90
2014-10-28,68.85,69.00,67.75,68.25,264400,68.25
