Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,156.50,158.75,154.50,155.60,333000,155.60
2014-12-22,155.05,157.25,155.05,157.00,366300,157.00
2014-12-19,155.45,157.80,155.20,155.70,480500,155.70
2014-12-18,155.00,155.90,151.85,154.50,576400,154.50
2014-12-17,151.75,154.30,148.80,151.90,1060700,151.90
2014-12-16,155.85,158.60,151.15,151.75,661700,151.75
2014-12-15,155.00,158.60,154.25,156.90,543200,156.90
2014-12-12,160.90,161.55,155.10,155.70,641100,155.70
2014-12-11,155.70,160.30,153.40,159.20,868500,159.20
2014-12-10,153.95,157.80,153.15,155.85,461600,155.85
2014-12-09,157.00,158.10,153.05,153.70,559200,153.70
2014-12-08,160.45,160.75,157.50,157.85,433200,157.85
2014-12-05,161.00,163.30,159.70,160.30,644400,160.30
2014-12-04,164.85,165.00,160.05,161.35,1032200,161.35
2014-12-03,161.00,165.80,160.10,163.00,1381700,163.00
2014-12-02,157.30,161.10,156.60,160.50,789200,160.50
2014-12-01,159.95,175.15,157.25,157.70,377500,157.70
2014-11-28,155.30,161.45,154.80,159.35,1264100,159.35
2014-11-27,154.25,155.70,153.10,154.50,620400,154.50
2014-11-26,154.50,155.90,153.00,153.60,1358800,153.60
2014-11-25,159.35,160.00,154.10,154.55,804500,154.55
2014-11-24,158.35,159.80,156.70,159.15,630400,159.15
2014-11-21,157.50,160.35,156.75,157.40,880900,157.40
2014-11-20,158.95,159.00,155.85,157.30,566300,157.30
2014-11-19,162.90,163.00,157.80,158.75,961000,158.75
2014-11-18,158.10,162.80,156.70,162.25,1512000,162.25
2014-11-17,154.85,158.80,154.15,157.35,1078500,157.35
2014-11-14,153.00,156.25,153.00,154.75,669900,154.75
2014-11-13,157.00,158.30,152.80,153.95,677000,153.95
2014-11-12,155.00,159.75,154.95,156.85,1676700,156.85
2014-11-11,151.35,155.50,151.35,154.95,864800,154.95
2014-11-10,152.00,153.65,150.25,150.95,577700,150.95
2014-11-07,153.45,154.80,151.10,152.15,610300,152.15
2014-11-06,153.45,153.45,153.45,153.45,000,153.45
2014-11-05,155.00,157.20,153.00,153.45,1158000,153.45
2014-11-04,154.80,154.80,154.80,154.80,000,154.80
2014-11-03,158.95,158.95,153.75,154.80,1397800,154.80
2014-10-31,150.60,157.50,149.25,156.30,3199900,156.30
2014-10-30,145.35,149.80,143.65,148.70,845100,148.70
2014-10-29,146.20,147.15,143.65,144.95,492000,144.95
2014-10-28,145.10,146.65,144.05,145.95,641200,145.95
2014-10-27,146.35,147.65,143.80,144.10,642400,144.10
2014-10-24,145.60,145.60,145.60,145.60,000,145.60
2014-10-23,145.60,145.60,145.60,145.60,000,145.60
2014-10-22,146.00,147.20,145.05,145.60,865500,145.60
2014-10-21,140.30,145.40,140.10,144.90,1030900,144.90
2014-10-20,142.00,142.30,138.25,139.60,681900,139.60
2014-10-17,136.55,140.20,135.60,139.30,1098800,139.30
2014-10-16,139.00,139.90,135.50,136.85,517900,136.85
2014-10-15,139.65,139.65,139.65,139.65,000,139.65
2014-10-14,140.80,141.75,138.20,139.65,458000,139.65
2014-10-13,138.50,140.45,137.95,139.90,627900,139.90
2014-10-10,139.75,141.35,137.60,139.70,513700,139.70
2014-10-09,139.00,141.20,138.35,140.45,721300,140.45
2014-10-08,135.20,139.55,134.20,138.95,653300,138.95
2014-10-07,135.90,137.80,135.20,135.70,437700,135.70
2014-10-06,136.15,136.15,136.15,136.15,000,136.15
2014-10-03,136.15,136.15,136.15,136.15,000,136.15
2014-10-02,136.15,136.15,136.15,136.15,000,136.15
2014-10-01,136.85,138.80,135.25,136.15,709900,136.15
2014-09-30,142.70,142.90,136.50,137.25,1179300,137.25
2014-09-29,142.50,142.90,139.40,140.60,622600,140.60
2014-09-26,137.00,142.25,136.05,141.85,1057300,141.85
2014-09-25,141.50,143.55,137.00,138.05,747300,138.05
2014-09-24,142.90,143.50,139.60,142.55,638200,142.55
2014-09-23,145.00,146.35,142.15,142.50,584000,142.50
2014-09-22,146.60,147.00,144.00,144.65,966000,144.65
2014-09-19,148.00,150.40,146.20,147.95,1303100,147.95
2014-09-18,144.75,148.50,143.50,147.40,1097500,147.40
2014-09-17,144.95,146.10,141.50,144.95,913500,144.95
2014-09-16,148.00,148.85,143.20,143.90,794500,143.90
2014-09-15,148.00,150.75,147.05,147.70,793900,147.70
2014-09-12,151.00,151.60,147.85,149.05,1122400,149.05
2014-09-11,147.00,152.35,147.00,150.05,2485300,150.05
2014-09-10,141.70,146.95,140.90,144.95,1317400,144.95
2014-09-09,143.15,144.15,140.60,142.00,890700,142.00
2014-09-08,144.90,145.40,142.70,142.95,767000,142.95
2014-09-05,142.00,145.20,141.65,143.55,474200,143.55
2014-09-04,144.10,144.10,140.95,142.50,758800,142.50
2014-09-03,147.05,147.55,144.50,144.85,823600,144.85
2014-09-02,145.90,147.05,144.30,146.70,1214400,146.70
2014-09-01,144.75,145.60,142.65,145.30,860100,145.30
2014-08-29,144.35,144.35,144.35,144.35,000,144.35
2014-08-28,141.95,145.85,141.55,144.35,776900,144.35
2014-08-27,143.50,144.50,140.60,141.15,608100,141.15
2014-08-26,147.30,147.30,141.50,143.10,874300,143.10
2014-08-25,149.20,150.45,146.30,147.30,604900,147.30
2014-08-22,150.00,152.20,148.60,149.15,797000,149.15
2014-08-21,149.50,153.15,149.10,149.60,843300,149.60
2014-08-20,152.45,152.45,149.40,149.50,390400,149.50
2014-08-19,151.00,153.25,151.00,152.05,662100,152.05
