Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,36.50,36.50,34.95,35.40,461900,35.40
2014-12-22,35.90,36.45,35.30,36.25,377200,36.25
2014-12-19,36.15,36.60,35.45,35.60,587000,35.60
2014-12-18,35.50,36.10,35.15,35.90,577800,35.90
2014-12-17,33.85,35.15,33.05,34.80,952000,34.80
2014-12-16,36.45,36.45,33.65,33.95,1157000,33.95
2014-12-15,36.80,37.30,36.45,36.65,420700,36.65
2014-12-12,37.90,38.30,36.90,37.05,599300,37.05
2014-12-11,37.70,38.45,37.10,37.80,797500,37.80
2014-12-10,37.10,38.35,37.10,38.05,1967400,38.05
2014-12-09,39.15,39.80,37.35,37.45,1125700,37.45
2014-12-08,40.30,40.80,39.30,39.45,894900,39.45
2014-12-05,39.90,41.30,39.75,40.35,2056700,40.35
2014-12-04,39.65,40.30,39.10,40.10,1715800,40.10
2014-12-03,39.75,40.75,39.20,39.50,1647700,39.50
2014-12-02,39.00,39.95,38.70,39.75,1011500,39.75
2014-12-01,39.65,43.30,38.65,39.05,688500,39.05
2014-11-28,39.40,40.80,39.40,39.95,2076400,39.95
2014-11-27,39.00,39.90,38.40,39.75,880100,39.75
2014-11-26,38.30,39.10,37.90,38.85,608700,38.85
2014-11-25,39.40,39.75,37.65,38.40,978700,38.40
2014-11-24,40.10,40.30,39.55,39.75,629100,39.75
2014-11-21,39.85,40.85,39.35,40.00,1243000,40.00
2014-11-20,39.70,39.75,38.70,39.55,674500,39.55
2014-11-19,41.10,41.35,39.35,39.65,1886100,39.65
2014-11-18,39.15,41.40,38.90,40.90,2827000,40.90
2014-11-17,38.75,39.40,37.75,39.15,774700,39.15
2014-11-14,38.00,39.00,37.95,38.50,753400,38.50
2014-11-13,39.30,39.55,37.90,38.10,1154700,38.10
2014-11-12,39.65,40.50,38.95,39.30,2639200,39.30
2014-11-11,39.20,39.75,37.65,39.10,2298800,39.10
2014-11-10,38.15,39.35,38.10,38.95,812300,38.95
2014-11-07,39.95,39.95,38.35,38.65,1056500,38.65
2014-11-06,39.80,39.80,39.80,39.80,000,39.80
2014-11-05,38.50,40.80,38.10,39.80,3037200,39.80
2014-11-04,38.25,38.25,38.25,38.25,000,38.25
2014-11-03,36.85,38.40,36.70,38.25,1367600,38.25
2014-10-31,36.55,37.10,36.45,36.80,1033700,36.80
2014-10-30,35.55,36.75,35.15,36.50,998800,36.50
2014-10-29,35.75,35.95,35.35,35.50,459200,35.50
2014-10-28,35.70,35.90,35.40,35.80,510300,35.80
2014-10-27,35.35,36.00,35.05,35.60,653100,35.60
2014-10-24,35.05,35.05,35.05,35.05,000,35.05
2014-10-23,35.05,35.05,35.05,35.05,000,35.05
2014-10-22,34.75,35.30,34.65,35.05,659800,35.05
2014-10-21,34.40,34.75,34.15,34.50,656000,34.50
2014-10-20,33.50,34.40,33.50,34.25,749200,34.25
2014-10-17,32.50,33.45,31.80,33.15,853800,33.15
2014-10-16,33.45,33.90,32.15,32.40,785800,32.40
2014-10-15,33.70,33.70,33.70,33.70,000,33.70
2014-10-14,34.00,34.40,33.45,33.70,664500,33.70
2014-10-13,33.20,34.25,33.20,33.95,480100,33.95
2014-10-10,34.40,34.40,33.45,33.55,654100,33.55
2014-10-09,34.05,34.85,34.05,34.70,781800,34.70
2014-10-08,33.25,34.40,33.25,33.90,735300,33.90
2014-10-07,35.40,35.55,33.70,33.85,1310700,33.85
2014-10-06,35.60,35.60,35.60,35.60,000,35.60
2014-10-03,35.60,35.60,35.60,35.60,000,35.60
2014-10-02,35.60,35.60,35.60,35.60,000,35.60
2014-10-01,35.85,36.35,35.45,35.60,755900,35.60
2014-09-30,36.70,37.10,35.25,35.75,1253900,35.75
2014-09-29,35.35,37.50,35.35,36.95,2472200,36.95
2014-09-26,34.30,35.70,33.60,35.25,1265100,35.25
2014-09-25,36.10,36.45,34.15,34.45,1647700,34.45
2014-09-24,35.80,36.10,34.90,35.80,2713700,35.80
2014-09-23,34.85,35.75,34.30,34.50,1856800,34.50
2014-09-22,33.40,34.60,33.05,34.35,898900,34.35
2014-09-19,34.50,34.50,33.40,33.60,604800,33.60
2014-09-18,32.35,34.50,32.30,34.15,1235100,34.15
2014-09-17,32.95,33.15,32.00,32.50,669700,32.50
2014-09-16,34.20,34.90,32.50,32.65,1037900,32.65
2014-09-15,34.00,34.90,33.85,34.40,876800,34.40
2014-09-12,34.25,34.70,34.15,34.25,617800,34.25
