Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,78.50,82.40,78.05,80.25,596900,80.25
2014-12-22,75.00,79.80,74.60,79.30,450500,79.30
2014-12-19,79.30,82.00,73.15,74.45,355700,74.45
2014-12-18,75.10,78.50,75.05,76.70,328000,76.70
2014-12-17,76.20,78.00,73.40,73.95,537000,73.95
2014-12-16,79.30,79.80,76.10,76.90,293700,76.90
2014-12-15,77.00,83.35,76.40,79.20,748100,79.20
2014-12-12,83.50,84.70,77.70,78.60,453200,78.60
2014-12-11,85.60,86.10,83.00,83.50,273900,83.50
2014-12-10,84.90,87.85,84.90,86.50,230900,86.50
2014-12-09,90.40,91.65,84.55,85.80,429200,85.80
2014-12-08,93.30,95.20,91.00,91.30,271600,91.30
2014-12-05,93.00,96.60,92.75,94.20,290800,94.20
2014-12-04,93.00,94.30,92.60,93.25,153100,93.25
2014-12-03,94.45,95.15,92.35,92.80,194800,92.80
2014-12-02,92.65,95.00,91.00,94.10,275800,94.10
2014-12-01,97.00,97.00,92.10,92.50,188200,92.50
2014-11-28,93.65,97.55,92.85,96.40,403600,96.40
2014-11-27,95.50,98.25,92.65,94.60,772400,94.60
2014-11-26,95.00,97.60,94.10,95.25,292900,95.25
2014-11-25,104.00,104.45,91.80,95.35,597000,95.35
2014-11-24,105.40,105.90,103.95,104.40,160100,104.40
2014-11-21,105.95,106.30,103.30,103.90,303700,103.90
2014-11-20,106.00,108.55,104.65,105.55,235900,105.55
2014-11-19,112.00,112.60,105.65,106.85,358900,106.85
2014-11-18,113.65,113.95,110.65,111.30,217100,111.30
2014-11-17,108.10,113.80,106.25,112.60,771400,112.60
2014-11-14,111.45,111.50,107.20,108.85,1359100,108.85
2014-11-13,109.85,112.55,108.55,110.75,1466300,110.75
2014-11-12,109.25,112.60,107.50,108.20,755000,108.20
2014-11-11,108.75,110.50,106.60,109.10,284900,109.10
2014-11-10,115.40,116.50,107.50,108.60,342500,108.60
2014-11-07,111.65,116.80,111.55,115.65,293500,115.65
2014-11-06,110.65,110.65,110.65,110.65,000,110.65
2014-11-05,113.85,115.90,110.10,110.65,211200,110.65
2014-11-04,113.95,113.95,113.95,113.95,000,113.95
2014-11-03,112.00,115.20,110.70,113.95,244200,113.95
2014-10-31,110.50,112.20,109.75,111.55,266600,111.55
2014-10-30,105.50,110.70,104.60,110.25,356200,110.25
2014-10-29,107.10,108.00,104.30,105.05,277700,105.05
2014-10-28,108.20,109.00,106.50,107.05,116100,107.05
2014-10-27,112.00,112.60,106.80,107.35,156100,107.35
2014-10-24,110.90,110.90,110.90,110.90,000,110.90
2014-10-23,110.90,110.90,110.90,110.90,000,110.90
2014-10-22,109.95,111.40,109.15,110.90,109000,110.90
2014-10-21,108.00,111.40,107.65,108.75,265900,108.75
2014-10-20,107.90,109.60,105.80,107.25,236100,107.25
2014-10-17,104.20,106.05,100.80,103.80,240800,103.80
2014-10-16,104.90,108.50,102.10,103.15,371600,103.15
2014-10-15,105.70,105.70,105.70,105.70,000,105.70
2014-10-14,109.40,110.00,105.15,105.70,311200,105.70
2014-10-13,108.00,109.35,106.50,108.50,104800,108.50
2014-10-10,110.60,111.50,107.65,108.40,195000,108.40
2014-10-09,109.45,112.80,109.15,112.05,184400,112.05
2014-10-08,108.00,108.70,104.80,107.85,270300,107.85
2014-10-07,114.65,114.65,107.75,108.25,263300,108.25
2014-10-06,113.25,113.25,113.25,113.25,000,113.25
2014-10-03,113.25,113.25,113.25,113.25,000,113.25
2014-10-02,113.25,113.25,113.25,113.25,000,113.25
2014-10-01,112.70,115.75,111.60,113.25,197600,113.25
2014-09-30,114.50,116.25,111.40,112.20,587000,112.20
2014-09-29,114.15,117.05,112.50,114.50,433400,114.50
2014-09-26,106.00,114.45,104.10,113.45,714100,113.45
2014-09-25,116.30,116.50,107.10,108.35,417400,108.35
2014-09-24,122.50,123.00,113.10,115.80,425500,115.80
2014-09-23,131.50,132.65,120.95,121.85,409600,121.85
2014-09-22,127.00,134.30,126.10,131.10,754400,131.10
2014-09-19,115.10,128.80,114.10,126.85,725400,126.85
2014-09-18,112.45,116.80,112.15,115.95,148800,115.95
2014-09-17,113.00,113.95,108.25,112.55,147900,112.55
2014-09-16,119.05,120.90,110.60,112.00,235900,112.00
2014-09-15,123.00,123.00,117.95,119.10,218100,119.10
2014-09-12,123.80,124.55,121.65,122.15,653100,122.15
2014-09-11,122.50,123.30,121.55,122.80,87800,122.80
2014-09-10,124.85,125.20,121.25,122.20,173500,122.20
2014-09-09,123.80,125.40,122.00,124.75,257000,124.75
2014-09-08,121.10,124.00,121.00,122.65,280700,122.65
2014-09-05,122.00,124.10,120.15,121.75,471000,121.75
2014-09-04,117.10,121.45,115.20,120.90,388900,120.90
2014-09-03,119.50,119.60,116.00,117.40,243400,117.40
2014-09-02,116.70,120.20,116.00,119.10,294800,119.10
2014-09-01,112.85,116.45,112.85,115.70,150200,115.70
2014-08-29,112.85,112.85,112.85,112.85,000,112.85
2014-08-28,114.70,116.40,112.10,112.85,204300,112.85
2014-08-27,108.70,114.20,108.40,113.70,675800,113.70
2014-08-26,110.50,111.90,107.30,108.70,154300,108.70
2014-08-25,114.20,117.50,111.00,111.95,268000,111.95
2014-08-22,116.00,116.00,112.70,113.25,190500,113.25
2014-08-21,118.00,118.00,112.60,114.50,151400,114.50
2014-08-20,118.00,118.00,116.10,116.75,126300,116.75
2014-08-19,116.00,118.40,116.00,117.20,208900,117.20
2014-08-18,113.05,117.00,113.05,115.60,246000,115.60
2014-08-15,112.90,112.90,112.90,112.90,000,112.90
2014-08-14,107.00,114.00,107.00,112.90,251000,112.90
2014-08-13,110.00,112.85,105.60,107.45,288400,107.45
2014-08-12,105.00,110.00,105.00,109.35,158000,109.35
2014-08-11,104.55,106.90,103.30,104.60,65700,104.60
2014-08-08,105.90,107.65,103.40,103.95,128100,103.95
2014-08-07,106.00,108.90,103.10,107.55,565900,107.55
2014-08-06,109.60,109.60,104.30,105.00,138200,105.00
2014-08-05,106.50,109.00,105.45,108.70,192000,108.70
2014-08-04,103.70,107.10,102.15,106.30,130100,106.30
2014-08-01,102.95,106.60,100.60,102.55,215500,102.55
2014-07-31,104.25,105.85,102.50,103.50,139000,103.50
2014-07-30,100.50,104.20,100.00,103.70,112300,103.70
2014-07-29,99.65,99.65,99.65,99.65,000,99.65
2014-07-28,99.20,102.40,98.00,99.65,118400,99.65
2014-07-25,102.75,103.00,95.85,98.75,125700,98.75
2014-07-24,100.00,104.20,100.00,103.00,110000,103.00
2014-07-23,104.70,105.50,100.60,102.35,129100,102.35
2014-07-22,108.60,109.30,103.25,104.45,130100,104.45
2014-07-21,106.10,109.20,105.10,107.45,150300,107.45
2014-07-18,109.10,109.10,104.55,105.20,125100,105.20
2014-07-17,108.10,110.45,105.90,108.80,143600,108.80
2014-07-16,107.70,108.95,104.25,107.75,234000,107.75
2014-07-15,101.95,107.30,101.65,106.95,498000,106.95
2014-07-14,100.00,103.60,98.30,100.90,133100,100.90
2014-07-11,105.35,106.00,98.25,99.80,242700,99.80
2014-07-10,101.30,109.35,99.20,104.45,360800,104.45
2014-07-09,103.00,105.25,97.90,100.45,368600,100.45
2014-07-08,115.00,115.00,98.80,103.00,299600,103.00
2014-07-07,116.00,116.80,113.30,114.10,131700,114.10
2014-07-04,116.50,117.30,115.40,116.25,125300,116.25
2014-07-03,119.35,119.45,113.00,116.05,42800,116.05
2014-07-02,119.75,121.00,118.35,119.10,211400,119.10
2014-07-01,120.25,122.50,118.25,118.60,292700,118.60
2014-06-30,115.15,120.00,115.00,119.20,131800,119.20
2014-06-27,118.00,119.30,112.25,114.80,172400,114.80
2014-06-26,118.15,118.95,114.30,117.40,195100,117.40
2014-06-25,118.00,120.25,117.15,118.00,152300,118.00
2014-06-24,116.15,118.95,114.75,118.05,225300,118.05
2014-06-23,109.10,115.85,107.75,114.75,260300,114.75
2014-06-20,112.80,114.45,108.50,109.40,191300,109.40
2014-06-19,115.00,117.50,110.80,111.80,273100,111.80
2014-06-18,120.40,121.85,112.20,113.95,388300,113.95
2014-06-17,118.30,121.50,115.85,119.85,509700,119.85
2014-06-16,117.70,120.30,112.85,118.15,424100,118.15
2014-06-13,119.00,122.50,110.60,117.60,810000,117.60
2014-06-12,123.60,123.60,114.15,118.25,220100,118.25
2014-06-11,126.00,126.65,121.55,122.60,273600,122.60
2014-06-10,130.00,130.25,122.40,125.00,487300,125.00
2014-06-09,117.00,130.60,117.00,129.25,1187600,129.25
2014-06-06,117.15,120.90,114.85,116.90,741600,116.90
2014-06-05,110.65,119.40,110.65,116.95,633900,116.95
2014-06-04,108.00,110.70,107.85,109.65,281500,109.65
2014-06-03,104.00,108.50,103.90,107.15,305900,107.15
2014-06-02,100.35,105.75,100.35,104.70,326600,104.70
2014-05-30,98.75,102.70,98.10,99.95,369900,99.95
2014-05-29,97.55,101.70,96.15,97.90,286100,97.90
2014-05-28,94.15,97.95,91.30,96.75,449700,96.75
2014-05-27,94.55,97.70,88.50,93.45,452800,93.45
2014-05-26,104.00,109.95,93.00,98.65,1514000,98.65
2014-05-23,100.90,105.15,99.00,103.65,377700,103.65
2014-05-22,91.90,105.35,90.35,100.05,1004000,100.05
2014-05-21,91.75,92.90,88.40,91.65,242100,91.65
2014-05-20,92.85,96.10,90.35,91.00,329600,91.00
2014-05-19,81.95,94.50,79.90,93.25,367800,93.25
2014-05-16,76.20,82.90,76.20,80.20,352000,80.20
2014-05-15,78.50,79.75,75.10,76.20,265200,76.20
2014-05-14,73.95,79.00,73.95,78.55,280900,78.55
2014-05-13,71.00,74.60,70.55,73.45,220700,73.45
2014-05-12,71.85,72.75,70.35,71.00,130700,71.00
2014-05-09,67.40,71.60,67.40,70.95,198500,70.95
2014-05-08,67.50,69.75,67.50,68.45,55800,68.45
