Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,375.00,377.30,372.90,374.85,733000,374.85
2014-12-22,370.00,378.35,369.00,374.50,370100,374.50
2014-12-19,375.90,375.90,367.60,369.50,393800,369.50
2014-12-18,379.00,379.00,365.15,374.65,262500,374.65
2014-12-17,380.50,384.45,366.50,371.65,633600,371.65
2014-12-16,389.00,390.00,378.00,380.50,444400,380.50
2014-12-15,393.00,399.50,391.25,392.85,236900,392.85
2014-12-12,396.00,400.00,393.00,395.65,241800,395.65
2014-12-11,394.90,399.00,390.60,396.70,327000,396.70
2014-12-10,394.55,396.35,386.35,394.90,248200,394.90
2014-12-09,398.00,399.85,392.00,394.25,438700,394.25
2014-12-08,394.20,399.50,392.10,397.85,536000,397.85
2014-12-05,383.95,392.10,382.40,391.45,650000,391.45
2014-12-04,373.00,383.60,373.00,382.75,1331300,382.75
2014-12-03,364.95,365.00,357.30,363.00,186200,363.00
2014-12-02,363.10,366.75,363.10,365.30,142200,365.30
2014-12-01,363.00,366.75,362.65,364.00,778500,364.00
2014-11-28,358.95,365.90,358.95,363.00,335300,363.00
2014-11-27,363.30,364.00,355.00,360.75,2307700,360.75
2014-11-26,357.60,366.00,357.60,363.30,430600,363.30
2014-11-25,374.40,378.80,348.60,355.70,1067200,355.70
2014-11-24,376.00,376.15,372.70,374.40,201900,374.40
2014-11-21,368.25,376.90,368.25,376.25,282500,376.25
2014-11-20,367.55,371.15,367.55,369.15,312400,369.15
2014-11-19,369.20,377.10,366.60,367.75,366300,367.75
2014-11-18,369.85,371.70,366.90,369.20,293300,369.20
2014-11-17,369.00,371.00,364.20,369.55,230200,369.55
2014-11-14,368.00,370.70,366.45,368.20,200900,368.20
2014-11-13,368.15,370.00,366.55,368.25,221600,368.25
2014-11-12,363.10,369.95,363.10,369.40,237000,369.40
2014-11-11,370.00,372.15,362.60,363.75,340700,363.75
2014-11-10,358.40,372.00,356.00,370.85,819400,370.85
2014-11-07,360.00,360.60,352.95,355.65,1623600,355.65
2014-11-06,358.35,358.35,358.35,358.35,000,358.35
2014-11-05,355.00,359.45,355.00,358.35,266600,358.35
2014-11-04,354.95,354.95,354.95,354.95,000,354.95
2014-11-03,357.95,357.95,353.15,354.95,2285900,354.95
2014-10-31,357.00,359.95,352.25,355.25,650700,355.25
2014-10-30,354.00,357.70,351.45,354.85,209400,354.85
2014-10-29,353.00,354.95,350.15,354.40,208900,354.40
2014-10-28,350.00,351.70,348.80,350.35,203500,350.35
2014-10-27,350.55,352.00,348.10,349.20,153000,349.20
2014-10-24,349.15,349.15,349.15,349.15,000,349.15
2014-10-23,349.15,349.15,349.15,349.15,000,349.15
2014-10-22,352.00,352.70,348.60,349.15,121100,349.15
2014-10-21,354.90,354.90,348.10,351.45,174100,351.45
2014-10-20,355.00,358.00,351.30,352.10,203000,352.10
2014-10-17,352.90,359.70,351.55,353.90,429400,353.90
2014-10-16,344.35,353.50,343.65,352.70,279500,352.70
2014-10-15,347.55,347.55,347.55,347.55,000,347.55
2014-10-14,351.00,351.20,343.55,347.55,302300,347.55
2014-10-13,353.20,354.00,347.25,350.60,190300,350.60
2014-10-10,364.00,365.00,352.25,353.15,288800,353.15
2014-10-09,366.55,368.45,363.05,365.25,161300,365.25
2014-10-08,361.00,367.70,361.00,365.95,408700,365.95
2014-10-07,364.30,366.20,358.00,362.80,417500,362.80
2014-10-06,364.70,364.70,364.70,364.70,000,364.70
2014-10-03,364.70,364.70,364.70,364.70,000,364.70
2014-10-02,364.70,364.70,364.70,364.70,000,364.70
2014-10-01,370.00,370.00,363.45,364.05,960300,364.05
2014-09-30,365.95,372.40,363.00,370.75,254900,370.75
2014-09-29,371.55,371.80,364.85,366.40,127900,366.40
2014-09-26,376.00,376.00,368.80,371.75,432000,371.75
2014-09-25,378.00,379.75,372.40,376.35,441900,376.35
2014-09-24,370.00,378.90,370.00,376.75,606000,376.75
2014-09-23,370.00,374.30,367.85,370.90,445000,370.90
2014-09-22,357.45,371.70,357.45,370.65,1366000,370.65
2014-09-19,358.10,360.90,355.25,359.45,237300,359.45
2014-09-18,353.10,359.00,353.10,358.60,229400,358.60
2014-09-17,354.00,358.50,351.90,354.75,333400,354.75
2014-09-16,352.00,354.50,350.10,353.15,262300,353.15
2014-09-15,355.00,355.00,350.75,351.65,133200,351.65
2014-09-12,351.70,358.05,350.25,355.85,340700,355.85
2014-09-11,351.90,352.70,349.40,350.95,208500,350.95
2014-09-10,357.85,357.85,350.50,351.05,302400,351.05
2014-09-09,352.00,358.50,352.00,357.65,288600,357.65
2014-09-08,352.00,355.00,351.00,353.55,191000,353.55
2014-09-05,350.95,351.90,348.65,350.30,151300,350.30
2014-09-04,349.95,352.80,349.50,350.55,207500,350.55
2014-09-03,356.00,356.00,348.25,348.95,475900,348.95
2014-09-02,351.90,356.00,349.00,354.80,281300,354.80
2014-09-01,356.60,358.00,349.95,350.30,381400,350.30
2014-08-29,355.15,355.15,355.15,355.15,000,355.15
2014-08-28,352.40,356.00,351.90,355.15,163900,355.15
2014-08-27,352.50,354.90,351.35,352.35,166000,352.35
2014-08-26,349.30,353.55,349.30,351.90,248800,351.90
2014-08-25,346.30,350.00,343.60,349.35,388500,349.35
2014-08-22,347.90,347.90,341.85,343.70,228500,343.70
2014-08-21,344.95,349.15,344.40,345.75,242200,345.75
2014-08-20,350.00,350.50,344.00,344.55,242500,344.55
2014-08-19,351.00,352.20,347.55,348.90,187800,348.90
2014-08-18,356.40,356.40,346.90,350.75,299500,350.75
2014-08-15,356.75,356.75,356.75,356.75,000,356.75
2014-08-14,356.50,361.45,354.90,356.75,225500,356.75
2014-08-13,350.00,357.00,347.45,356.45,311300,356.45
2014-08-12,348.25,349.15,343.65,347.00,128200,347.00
2014-08-11,349.55,351.50,346.00,347.50,137500,347.50
2014-08-08,344.60,349.35,343.00,348.45,133300,348.45
2014-08-07,346.65,350.55,343.65,345.95,291600,345.95
2014-08-06,354.95,354.95,345.05,346.40,253900,346.40
2014-08-05,356.90,357.30,348.65,355.75,235000,355.75
2014-08-04,358.20,358.20,349.60,354.25,166900,354.25
2014-08-01,356.20,357.80,348.30,349.75,167500,349.75
2014-07-31,358.70,360.20,354.00,356.20,562400,356.20
2014-07-30,360.40,364.45,357.55,358.70,366700,358.70
2014-07-29,356.70,356.70,356.70,356.70,000,356.70
2014-07-28,358.70,358.70,354.60,356.70,142200,356.70
2014-07-25,356.00,358.00,352.45,357.10,849500,357.10
2014-07-24,353.00,356.75,352.60,356.25,285300,356.25
2014-07-23,353.10,354.90,349.30,352.05,700000,352.05
2014-07-22,350.70,352.95,349.60,351.85,322200,351.85
2014-07-21,344.95,349.75,344.45,349.05,210200,349.05
2014-07-18,344.00,346.90,341.70,344.15,159200,344.15
2014-07-17,344.00,346.00,342.70,344.30,128900,344.30
2014-07-16,343.50,344.80,340.10,343.80,298900,343.80
2014-07-15,345.05,348.00,341.65,342.40,301800,342.40
2014-07-14,346.00,349.20,341.70,345.10,267900,345.10
2014-07-11,345.00,350.00,343.00,346.05,735900,346.05
2014-07-10,341.00,348.00,337.25,342.50,2175300,342.50
2014-07-09,336.20,342.80,335.80,341.40,842700,341.40
2014-07-08,334.70,337.25,331.60,335.80,653800,335.80
2014-07-07,332.70,335.00,329.90,334.60,584500,334.60
2014-07-04,331.00,334.85,329.75,333.30,523400,333.30
2014-07-03,330.00,334.75,329.45,331.25,143500,331.25
2014-07-02,326.00,329.80,325.60,329.00,501900,329.00
2014-07-01,326.50,327.00,323.20,325.15,1022500,325.15
2014-06-30,320.50,325.70,320.50,324.90,1760200,324.90
2014-06-27,317.40,321.00,316.35,319.85,1487000,319.85
2014-06-26,316.50,317.80,313.70,316.25,1021700,316.25
2014-06-25,319.40,319.60,315.00,316.05,577300,316.05
2014-06-24,315.90,322.40,315.90,320.40,713700,320.40
2014-06-23,335.00,335.00,312.40,314.05,3006100,314.05
2014-06-20,336.80,337.95,334.50,335.90,328500,335.90
2014-06-19,334.90,336.75,333.50,336.30,1441600,336.30
2014-06-18,336.00,336.30,332.25,333.05,385100,333.05
2014-06-17,337.00,338.00,334.55,336.30,202400,336.30
2014-06-16,333.00,337.50,333.00,336.00,244700,336.00
2014-06-13,336.00,336.70,332.50,333.70,514900,333.70
2014-06-12,334.50,336.40,331.40,335.05,442100,335.05
2014-06-11,338.50,339.80,331.05,333.25,845600,333.25
2014-06-10,338.00,339.35,335.00,337.35,1260400,337.35
2014-06-09,337.60,340.75,335.40,339.10,1110300,339.10
2014-06-06,336.00,338.70,333.40,336.95,906200,336.95
2014-06-05,333.00,335.65,326.30,333.40,1236100,333.40
2014-06-04,332.90,334.00,328.90,330.95,845600,330.95
2014-06-03,334.00,336.85,331.15,333.45,1004300,333.45
2014-06-02,342.00,342.55,335.50,337.35,918400,331.35
2014-05-30,342.00,344.75,340.50,341.50,311800,335.43
2014-05-29,345.80,345.80,341.00,342.55,369800,336.46
2014-05-28,344.00,344.20,340.70,343.05,385800,336.95
2014-05-27,344.90,346.85,342.60,344.40,777900,338.27
2014-05-26,345.20,347.50,340.50,344.90,913800,338.77
2014-05-23,348.50,349.30,340.35,342.15,795400,336.06
2014-05-22,343.00,346.95,340.50,344.80,329500,338.67
2014-05-21,341.00,343.50,329.00,342.10,900700,336.02
2014-05-20,344.00,345.00,334.40,341.30,503600,335.23
2014-05-19,359.00,360.10,336.65,338.05,1030700,332.04
2014-05-16,368.00,386.75,353.35,357.55,1904000,351.19
2014-05-15,365.00,369.40,364.45,367.90,518200,361.36
2014-05-14,361.00,368.65,361.00,365.65,472600,359.15
2014-05-13,360.10,364.50,357.40,361.05,634800,354.63
2014-05-12,346.90,359.95,346.00,358.85,589700,352.47
2014-05-09,343.00,348.95,341.55,345.50,206700,339.36
2014-05-08,347.80,347.80,340.75,341.90,202400,335.82
2014-05-07,349.60,350.25,345.50,346.55,173100,340.39
2014-05-06,347.00,350.65,345.90,347.95,221800,341.76
2014-05-05,342.00,345.45,340.00,344.30,162500,338.18
2014-05-02,341.50,342.40,340.00,340.15,138000,334.10
2014-05-01,340.75,340.75,340.75,340.75,000,334.69
2014-04-30,340.00,345.00,338.95,340.75,146300,334.69
2014-04-29,341.00,342.90,338.55,340.35,738000,334.30
2014-04-28,348.00,348.00,340.00,342.05,681500,335.97
2014-04-25,354.00,355.20,342.60,343.60,317700,337.49
2014-04-24,353.35,353.35,353.35,353.35,000,347.07
2014-04-23,351.00,355.00,348.55,353.35,211700,347.07
2014-04-22,351.50,353.95,349.05,350.70,186600,344.46
2014-04-21,352.00,355.55,349.10,353.00,594400,346.72
2014-04-18,353.20,353.20,353.20,353.20,000,346.92
2014-04-17,347.50,353.70,344.00,353.20,287000,346.92
2014-04-16,340.00,347.55,340.00,345.90,320700,339.75
2014-04-15,343.00,343.65,336.75,341.00,1259100,334.94
2014-04-14,343.85,343.85,343.85,343.85,000,337.73
2014-04-11,344.00,344.90,340.10,343.85,2180900,337.73
2014-04-10,349.00,349.00,342.55,343.65,431600,337.54
2014-04-09,345.00,348.70,343.00,347.50,243500,341.32
2014-04-08,345.55,345.55,345.55,345.55,000,339.40
2014-04-07,341.00,349.00,341.00,345.55,130400,339.40
2014-04-04,346.00,349.45,342.60,345.10,528700,338.96
2014-04-03,345.00,347.50,341.25,346.35,276400,340.19
2014-04-02,351.00,352.40,340.35,344.25,3186300,338.13
2014-04-01,352.50,353.45,346.00,352.40,1360600,346.13
2014-03-31,359.80,361.05,349.75,352.95,259600,346.67
2014-03-28,361.85,361.85,353.00,359.00,458300,352.61
2014-03-27,359.00,362.25,355.00,359.95,550600,353.55
2014-03-26,362.45,363.70,354.00,359.00,519000,352.61
2014-03-25,360.00,365.00,358.95,362.85,259700,356.40
2014-03-24,356.00,363.05,355.15,360.65,356000,354.24
2014-03-21,355.90,358.70,352.70,357.65,217700,351.29
2014-03-20,358.15,358.50,352.55,355.90,280000,349.57
2014-03-19,357.00,360.00,355.60,359.55,527800,353.16
2014-03-18,348.25,356.50,348.00,355.90,745300,349.57
2014-03-17,347.00,347.00,347.00,347.00,000,340.83
2014-03-14,342.55,348.00,340.10,347.00,296900,340.83
2014-03-13,341.00,346.35,341.00,343.35,413600,337.24
2014-03-12,333.70,342.90,333.70,340.70,485100,334.64
2014-03-11,334.80,336.50,329.00,333.75,309200,327.81
2014-03-10,336.75,337.75,334.45,335.55,258300,329.58
2014-03-07,333.00,338.75,331.20,337.55,394400,331.55
2014-03-06,333.00,335.20,330.40,334.70,340000,328.75
2014-03-05,332.00,333.80,329.50,332.90,277200,326.98
2014-03-04,330.20,334.00,328.25,331.55,304700,325.65
2014-03-03,327.00,330.75,318.00,328.65,356900,322.80
2014-02-28,325.00,331.55,325.00,327.50,384700,321.68
2014-02-27,328.55,328.55,328.55,328.55,000,322.71
2014-02-26,322.95,329.80,322.40,328.55,912000,322.71
2014-02-25,320.05,322.50,319.45,321.90,120000,316.17
2014-02-24,316.80,320.40,316.10,319.85,150800,314.16
2014-02-21,313.00,317.85,313.00,317.50,176200,311.85
2014-02-20,316.00,316.70,311.10,311.80,549000,306.25
2014-02-19,316.30,318.75,316.25,316.60,110100,310.97
2014-02-18,319.00,321.55,316.75,317.40,902400,311.75
2014-02-17,322.00,322.00,317.80,319.95,175800,314.26
2014-02-14,317.95,320.40,315.00,319.80,240500,314.11
2014-02-13,321.00,322.80,315.30,316.75,171200,311.12
2014-02-12,325.05,326.85,319.35,320.30,367800,314.60
2014-02-11,324.65,326.00,323.00,325.05,237700,319.27
2014-02-10,322.10,325.35,321.10,325.00,321400,319.22
2014-02-07,325.25,326.65,320.20,323.40,451800,317.65
2014-02-06,320.00,325.70,316.50,324.60,834300,318.83
2014-02-05,321.60,324.55,317.75,318.95,332400,313.28
2014-02-04,320.00,325.90,316.35,325.00,402500,319.22
2014-02-03,324.05,324.80,320.00,320.50,125400,314.80
2014-01-31,325.00,325.65,322.40,325.10,194700,319.32
2014-01-30,321.00,325.60,318.35,324.55,415800,318.78
2014-01-29,328.00,328.30,324.25,325.00,216700,319.22
2014-01-28,325.00,328.45,319.15,327.15,621800,321.33
2014-01-27,323.00,326.00,319.00,324.45,230900,318.68
2014-01-24,328.00,330.10,323.30,324.20,4689300,318.43
2014-01-23,326.60,329.95,325.20,328.95,235500,323.10
2014-01-22,329.50,329.50,323.15,327.40,162600,321.58
2014-01-21,330.00,332.30,328.40,329.00,677900,323.15
2014-01-20,328.00,330.50,320.00,330.20,477200,324.33
2014-01-17,326.15,328.20,322.50,324.85,648100,319.07
2014-01-16,328.00,330.50,323.60,325.70,234700,319.91
2014-01-15,325.00,329.00,321.55,328.35,303200,322.51
2014-01-14,325.95,329.95,323.55,324.15,268100,318.38
2014-01-13,324.00,326.10,322.60,325.50,378200,319.71
2014-01-10,317.00,324.45,314.10,322.45,445000,316.72
2014-01-09,316.80,316.80,313.00,315.45,336400,309.84
2014-01-08,317.80,317.80,313.90,316.80,404600,311.17
2014-01-07,316.10,317.50,313.00,316.75,479600,311.12
2014-01-06,316.80,317.00,313.90,316.00,622300,310.38
2014-01-03,315.00,315.65,311.00,314.85,1442800,309.25
2014-01-02,323.70,325.00,314.95,315.40,240700,309.79
2014-01-01,323.30,323.50,321.35,322.10,119900,316.37
2013-12-31,322.50,324.00,320.50,321.60,155600,315.88
2013-12-30,322.80,324.00,320.30,322.40,210300,316.67
2013-12-27,321.00,323.65,320.00,322.10,331200,316.37
2013-12-26,320.00,321.10,318.00,319.95,683100,314.26
2013-12-25,318.90,318.90,318.90,318.90,000,313.23
2013-12-24,319.40,320.00,317.70,318.90,163800,313.23
2013-12-23,315.95,319.55,315.00,319.20,331700,313.52
2013-12-20,317.00,317.00,310.45,315.20,473400,309.59
2013-12-19,316.25,316.95,311.10,313.80,916400,308.22
2013-12-18,316.00,317.10,313.00,315.75,276900,310.13
2013-12-17,314.00,315.85,312.40,315.45,257600,309.84
2013-12-16,315.40,315.40,310.75,313.00,2019200,307.43
2013-12-13,317.50,317.50,312.70,315.05,295300,309.45
2013-12-12,320.80,322.00,315.75,316.75,268500,311.12
2013-12-11,317.85,321.70,317.55,320.90,354900,315.19
2013-12-10,314.70,318.20,313.15,317.75,449100,312.10
2013-12-09,317.50,317.50,310.95,313.00,283400,307.43
2013-12-06,310.00,312.95,308.90,311.65,925900,306.11
2013-12-05,317.00,318.05,307.80,308.90,503200,303.41
2013-12-04,319.00,319.65,312.15,313.25,223600,307.68
2013-12-03,321.05,321.05,318.00,319.20,563200,313.52
2013-12-02,320.00,323.60,318.75,321.35,216700,315.63
2013-11-29,313.50,320.90,313.00,320.15,348400,314.46
2013-11-28,315.50,316.80,312.30,313.60,314300,308.02
2013-11-27,309.50,315.00,309.50,314.05,214300,308.46
2013-11-26,316.90,316.90,310.00,310.85,390300,305.32
2013-11-25,311.00,316.90,311.00,316.20,344000,310.58
2013-11-22,316.70,316.90,307.60,308.30,1152500,302.82
2013-11-21,320.00,320.25,311.10,312.65,400000,307.09
2013-11-20,323.45,325.75,320.05,320.95,162800,315.24
2013-11-19,326.00,327.85,322.65,323.40,223500,317.65
2013-11-18,317.40,326.50,317.40,325.75,466600,319.96
2013-11-15,314.40,314.40,314.40,314.40,000,308.81
2013-11-14,315.00,317.90,313.55,314.40,264200,308.81
2013-11-13,320.50,320.50,313.95,314.45,300600,308.86
2013-11-12,317.50,320.90,317.00,319.75,242000,314.06
2013-11-11,318.00,321.70,315.50,317.00,269400,311.36
2013-11-08,319.90,323.60,318.00,319.55,362400,313.87
2013-11-07,318.20,323.60,315.00,320.50,505900,314.80
2013-11-06,320.00,322.75,317.40,319.00,409600,313.33
2013-11-05,330.00,330.20,318.30,318.95,1028100,313.28
2013-11-04,328.70,328.70,328.70,328.70,000,322.85
2013-11-01,334.00,334.00,327.80,328.70,458800,322.85
2013-10-31,331.25,335.50,326.15,334.25,301400,328.31
2013-10-30,329.75,333.95,325.60,333.05,830100,327.13
2013-10-29,327.65,331.80,323.40,327.90,1456600,322.07
2013-10-28,338.00,339.10,326.30,327.65,703400,321.82
2013-10-25,345.50,347.00,336.20,340.00,532100,333.95
2013-10-24,341.50,348.00,340.10,342.55,468300,336.46
2013-10-23,341.50,344.40,338.65,341.50,327000,335.43
2013-10-22,343.00,344.90,341.15,341.80,1184200,335.72
2013-10-21,354.55,355.40,343.00,344.70,487600,338.57
2013-10-18,347.95,355.10,345.15,354.00,588800,347.70
2013-10-17,340.00,346.40,339.50,345.35,262900,339.21
2013-10-16,339.80,339.80,339.80,339.80,000,333.76
2013-10-15,339.50,342.20,333.55,339.80,274300,333.76
2013-10-14,342.50,342.95,339.00,339.50,160900,333.46
2013-10-11,348.10,349.90,340.40,342.00,302600,335.92
2013-10-10,346.05,350.75,345.00,346.95,430100,340.78
2013-10-09,348.60,350.50,344.05,348.55,491200,342.35
2013-10-08,341.25,348.40,340.00,347.50,1003200,341.32
2013-10-07,341.95,341.95,332.20,339.90,1091900,333.85
2013-10-04,338.50,341.90,335.20,340.10,534700,334.05
2013-10-03,344.10,345.50,337.10,338.45,419500,332.43
2013-10-02,342.90,342.90,342.90,342.90,000,336.80
2013-10-01,342.00,343.50,337.95,342.90,313800,336.80
2013-09-30,347.80,347.80,338.00,340.30,352700,334.25
2013-09-27,350.25,351.00,345.00,348.90,1009700,342.69
2013-09-26,344.00,349.90,341.05,349.25,345000,343.04
2013-09-25,349.90,350.00,337.45,345.05,576300,338.91
