Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,34.75,34.75,34.75,34.75,000,34.75
2014-12-22,28.35,36.00,28.35,34.75,300,34.75
2014-12-19,33.00,34.50,32.60,34.50,100,34.50
2014-12-18,33.15,33.15,33.00,33.00,200,33.00
2014-12-17,33.00,33.00,33.00,33.00,300,33.00
2014-12-16,33.50,34.00,33.00,33.10,300,33.10
2014-12-15,35.50,36.50,33.55,36.15,3600,36.15
2014-12-12,34.50,34.50,33.65,33.65,700,33.65
2014-12-11,36.90,36.90,32.75,35.00,100,35.00
2014-12-10,31.25,37.80,31.25,34.15,100,34.15
2014-12-09,36.35,36.35,33.15,33.15,600,33.15
2014-12-08,34.40,36.35,33.45,36.00,1300,36.00
2014-12-05,34.00,34.00,33.00,33.10,700,33.10
2014-12-04,34.00,34.50,33.00,33.40,2800,33.40
2014-12-03,35.00,35.80,34.00,35.80,200,35.80
2014-12-02,35.55,37.85,32.85,33.80,900,33.80
2014-12-01,36.50,36.50,33.55,33.55,200,33.55
2014-11-28,36.50,36.85,33.00,33.50,12200,33.50
2014-11-27,34.60,36.55,34.60,36.55,000,36.55
2014-11-26,37.45,37.45,34.30,36.25,300,36.25
2014-11-25,36.00,37.35,35.00,35.40,700,35.40
2014-11-24,35.05,37.75,34.00,36.75,37100,36.75
2014-11-21,35.55,37.00,35.55,37.00,500,37.00
2014-11-20,36.05,37.90,36.00,36.50,2200,36.50
2014-11-19,36.00,37.90,34.80,36.20,400,36.20
2014-11-18,37.45,37.45,34.20,35.15,2600,35.15
2014-11-17,34.55,37.90,34.55,35.00,1300,35.00
2014-11-14,36.45,37.45,35.10,35.60,8700,35.60
2014-11-13,32.00,38.00,32.00,33.90,800,33.90
2014-11-12,33.00,34.00,33.00,34.00,100,34.00
2014-11-11,37.30,37.30,33.55,33.55,500,33.55
2014-11-10,33.95,36.90,33.95,34.00,1200,34.00
2014-11-07,35.00,36.00,33.00,33.85,25400,33.85
2014-11-06,36.60,36.60,36.60,36.60,000,36.60
2014-11-05,34.05,40.70,34.00,36.60,34000,36.60
2014-11-04,35.10,35.10,35.10,35.10,000,35.10
2014-11-03,35.55,37.00,35.00,35.10,500,35.10
2014-10-31,35.10,35.15,35.10,35.15,700,35.15
2014-10-30,35.00,36.80,35.00,35.05,600,35.05
2014-10-29,36.00,37.00,34.65,35.20,200,35.20
2014-10-28,39.40,39.40,35.30,36.15,300,36.15
2014-10-27,33.25,39.80,33.25,39.80,100,39.80
2014-10-24,39.45,39.45,39.45,39.45,000,39.45
2014-10-23,39.45,39.45,39.45,39.45,000,39.45
2014-10-22,38.95,39.45,38.95,39.45,000,39.45
2014-10-21,33.50,33.55,33.50,33.55,200,33.55
