Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,188.00,189.00,176.15,177.40,8100,177.40
2014-12-22,186.00,190.90,185.00,187.70,1400,187.70
2014-12-19,177.00,190.00,175.50,182.80,7900,182.80
2014-12-18,175.00,180.00,175.00,177.75,7700,177.75
2014-12-17,165.10,177.00,160.30,172.40,300,172.40
2014-12-16,175.00,175.00,165.05,168.25,2800,168.25
2014-12-15,174.00,178.00,173.10,174.40,1500,174.40
2014-12-12,182.60,182.60,176.05,177.05,5700,177.05
2014-12-11,189.65,189.65,177.00,180.85,2900,180.85
2014-12-10,190.60,190.60,181.00,182.55,3700,182.55
2014-12-09,192.35,194.00,190.00,190.15,1200,190.15
2014-12-08,199.75,200.00,192.25,194.90,1200,194.90
2014-12-05,197.35,203.30,196.00,196.40,12100,196.40
2014-12-04,198.90,200.00,196.00,198.85,500,198.85
2014-12-03,196.05,199.00,196.00,196.35,900,196.35
2014-12-02,200.00,201.20,197.15,198.50,300,198.50
2014-12-01,206.00,240.75,195.05,198.75,900,198.75
2014-11-28,207.50,209.75,201.00,201.80,1700,201.80
2014-11-27,207.00,209.00,207.00,208.00,200,208.00
2014-11-26,203.40,210.50,203.40,206.60,8300,206.60
2014-11-25,205.20,215.40,204.20,206.95,12400,206.95
2014-11-24,208.00,212.60,206.00,210.75,8500,210.75
2014-11-21,201.50,209.90,201.50,207.40,5400,207.40
2014-11-20,207.55,218.25,205.50,210.10,3900,210.10
2014-11-19,210.00,213.20,205.30,207.25,1000,207.25
2014-11-18,207.00,218.95,205.15,209.50,2600,209.50
2014-11-17,209.55,213.30,205.30,208.45,1700,208.45
2014-11-14,217.15,218.05,209.00,209.80,3700,209.80
2014-11-13,220.85,220.85,212.00,214.05,1000,214.05
2014-11-12,221.70,223.55,215.90,218.20,1300,218.20
2014-11-11,224.35,224.35,212.00,215.60,10400,215.60
2014-11-10,222.20,237.85,222.20,228.00,4400,228.00
2014-11-07,226.00,227.10,221.00,225.50,500,225.50
2014-11-06,225.75,225.75,225.75,225.75,000,225.75
2014-11-05,232.00,239.70,224.00,225.75,1800,225.75
2014-11-04,229.90,229.90,229.90,229.90,000,229.90
2014-11-03,225.00,231.70,224.00,229.90,5900,229.90
2014-10-31,218.80,235.00,215.50,226.65,2700,226.65
2014-10-30,227.40,232.00,219.55,224.60,3900,224.60
2014-10-29,227.00,227.00,220.00,220.40,700,220.40
2014-10-28,223.85,227.35,216.50,221.40,1800,221.40
2014-10-27,211.30,223.60,211.30,221.00,700,221.00
2014-10-24,218.00,218.00,218.00,218.00,000,218.00
2014-10-23,218.00,218.00,218.00,218.00,000,218.00
2014-10-22,218.00,224.30,212.80,218.00,1300,218.00
2014-10-21,212.00,217.00,211.05,212.10,100,212.10
2014-10-20,207.70,218.80,207.70,213.95,1000,213.95
2014-10-17,214.55,217.00,205.20,209.80,2500,209.80
2014-10-16,222.50,226.50,212.00,213.85,2000,213.85
2014-10-15,221.05,221.05,221.05,221.05,000,221.05
2014-10-14,215.05,230.00,212.65,221.05,6200,221.05
2014-10-13,218.00,222.85,212.85,217.00,1700,217.00
2014-10-10,220.00,228.80,217.00,220.45,3500,220.45
2014-10-09,220.40,229.30,216.00,222.50,3300,222.50
2014-10-08,221.35,221.35,212.20,218.25,500,218.25
2014-10-07,217.50,226.00,216.00,217.55,500,217.55
2014-10-06,218.40,218.40,218.40,218.40,000,218.40
2014-10-03,218.40,218.40,218.40,218.40,000,218.40
2014-10-02,218.40,218.40,218.40,218.40,000,218.40
2014-10-01,222.55,222.55,215.00,218.40,1300,218.40
2014-09-30,220.00,228.25,216.75,218.35,4400,218.35
2014-09-29,228.80,230.00,221.00,223.80,1600,223.80
2014-09-26,212.00,228.65,210.45,223.45,3500,223.45
2014-09-25,228.65,230.25,216.05,218.65,3900,218.65
2014-09-24,237.00,237.00,226.60,228.25,3400,228.25
2014-09-23,245.80,249.95,236.60,238.10,4400,238.10
2014-09-22,240.05,250.75,239.20,247.05,3400,247.05
2014-09-19,247.35,249.65,242.00,242.90,1300,242.90
2014-09-18,242.00,249.35,238.60,248.50,4300,248.50
2014-09-17,250.05,250.05,238.10,239.90,1900,239.90
2014-09-16,269.50,269.50,241.90,245.00,8500,245.00
2014-09-15,256.90,268.00,251.05,262.10,12900,262.10
2014-09-12,244.70,263.50,244.70,254.45,20300,254.45
2014-09-11,232.10,246.00,232.10,240.00,15400,240.00
2014-09-10,231.20,243.40,230.50,231.70,4300,231.70
2014-09-09,228.15,237.55,228.00,234.20,4900,234.20
2014-09-08,228.95,233.30,225.00,226.45,5400,226.45
2014-09-05,234.00,236.95,226.60,227.10,2300,227.10
2014-09-04,232.60,239.00,230.10,232.95,5500,232.95
2014-09-03,238.00,243.90,236.10,237.35,2000,237.35
2014-09-02,237.90,244.00,236.00,240.10,2800,240.10
2014-09-01,227.55,237.30,226.55,236.55,2200,236.55
2014-08-29,225.90,225.90,225.90,225.90,000,225.90
2014-08-28,229.10,233.75,225.10,225.90,2100,225.90
2014-08-27,229.00,233.90,226.60,232.10,1500,232.10
2014-08-26,232.00,238.00,223.00,226.85,4500,226.85
2014-08-25,247.00,248.00,228.00,231.70,2200,231.70
2014-08-22,249.90,251.10,242.75,245.75,5800,245.75
2014-08-21,244.00,249.00,241.00,242.15,3800,241.65
2014-08-20,244.35,245.80,238.00,241.05,4000,240.55
2014-08-19,232.00,249.00,231.05,243.30,16500,242.80
2014-08-18,227.00,229.95,220.10,228.20,4700,227.73
2014-08-15,224.15,224.15,224.15,224.15,000,223.69
2014-08-14,215.85,228.90,215.85,224.15,1700,223.69
2014-08-13,226.00,231.00,217.00,221.50,7200,221.04
2014-08-12,239.95,239.95,227.00,229.40,8100,228.93
2014-08-11,241.00,245.00,233.00,235.75,4700,235.26
2014-08-08,240.30,245.95,233.00,235.05,4300,234.56
2014-08-07,248.40,256.60,244.35,245.95,9300,245.44
2014-08-06,243.15,263.00,243.15,252.05,20800,251.53
2014-08-05,243.80,245.45,240.70,242.65,2300,242.15
2014-08-04,245.00,245.00,239.15,240.90,2300,240.40
2014-08-01,246.00,248.70,239.30,243.10,6700,242.60
2014-07-31,252.00,255.95,248.00,248.20,3700,247.69
2014-07-30,250.20,252.65,243.55,247.75,3800,247.24
2014-07-29,252.20,252.20,252.20,252.20,000,251.68
2014-07-28,264.30,264.30,251.05,252.20,6500,251.68
2014-07-25,270.05,272.20,259.25,262.25,10000,261.71
2014-07-24,270.60,276.60,263.95,271.60,15100,271.04
2014-07-23,278.00,282.00,266.20,267.30,49000,266.75
2014-07-22,262.70,279.20,259.50,271.35,65800,270.79
2014-07-21,261.75,267.70,258.00,259.30,12000,258.76
2014-07-18,262.00,262.00,255.05,258.30,3000,257.77
2014-07-17,260.00,264.00,256.00,258.65,6800,258.12
2014-07-16,257.00,259.00,253.20,256.00,5300,255.47
2014-07-15,258.50,258.80,251.85,253.80,6100,253.28
2014-07-14,258.00,258.75,251.10,255.85,4500,255.32
