Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,400.00,400.00,350.00,351.40,200,351.40
2014-12-22,350.05,373.05,350.05,373.05,100,373.05
2014-12-19,375.00,375.00,375.00,375.00,000,375.00
2014-12-18,371.05,371.05,371.05,371.05,000,371.05
2014-12-17,289.90,350.05,289.90,350.05,1100,350.05
2014-12-16,350.00,350.25,350.00,350.25,000,350.25
2014-12-15,350.05,350.05,350.05,350.05,000,350.05
2014-12-12,358.50,358.50,358.50,358.50,000,358.50
2014-12-11,352.00,358.50,350.05,358.50,800,358.50
2014-12-10,370.00,370.00,350.15,350.15,300,350.15
2014-12-09,390.00,407.00,353.05,370.00,100,370.00
2014-12-08,378.00,378.00,352.00,378.00,500,378.00
2014-12-05,356.25,365.00,355.00,358.00,600,358.00
2014-12-04,388.95,388.95,370.00,374.00,000,374.00
2014-12-03,388.00,388.00,356.00,356.00,300,356.00
2014-12-02,389.00,389.00,373.25,385.00,600,385.00
2014-12-01,365.00,380.00,365.00,380.00,000,380.00
2014-11-28,400.00,400.00,375.00,380.00,000,380.00
2014-11-27,396.85,396.85,396.85,396.85,000,396.85
2014-11-26,390.00,390.00,377.50,380.20,000,380.20
2014-11-25,400.00,400.00,376.05,377.15,400,377.15
2014-11-24,416.95,416.95,389.05,405.00,200,405.00
2014-11-21,432.95,432.95,386.05,408.40,000,408.40
2014-11-20,438.00,438.00,381.05,418.65,800,418.65
2014-11-19,400.00,414.35,399.50,414.35,4400,414.35
2014-11-18,351.15,378.00,351.15,376.70,700,376.70
2014-11-17,352.50,352.50,350.00,350.00,1000,350.00
2014-11-14,352.00,366.00,351.05,360.70,200,360.70
2014-11-13,358.00,358.00,350.05,351.00,600,351.00
2014-11-12,350.00,355.00,350.00,351.10,400,351.10
2014-11-11,350.00,369.80,350.00,351.00,500,351.00
2014-11-10,353.55,353.55,353.05,353.05,200,353.05
2014-11-07,363.00,370.00,360.00,368.60,200,368.60
2014-11-06,373.05,373.05,373.05,373.05,000,373.05
2014-11-05,373.00,380.00,373.00,373.05,100,373.05
2014-11-04,368.05,368.05,368.05,368.05,000,368.05
2014-11-03,387.00,387.00,368.00,368.05,200,368.05
2014-10-31,398.60,398.60,367.00,376.40,900,376.40
2014-10-30,401.00,401.00,364.35,385.00,4600,385.00
2014-10-29,381.95,381.95,381.95,381.95,6100,381.95
2014-10-28,363.80,363.80,363.80,363.80,900,363.80
2014-10-27,325.00,346.50,325.00,346.50,1400,346.50
2014-10-24,330.00,330.00,330.00,330.00,000,330.00
2014-10-23,330.00,330.00,330.00,330.00,000,330.00
2014-10-22,330.05,330.05,330.00,330.00,500,330.00
2014-10-21,325.05,335.00,325.05,335.00,100,335.00
2014-10-20,325.00,336.00,325.00,336.00,100,336.00
2014-10-17,315.00,330.75,315.00,330.75,1400,330.75
2014-10-16,310.00,315.00,292.10,315.00,400,315.00
2014-10-15,300.00,300.00,300.00,300.00,000,300.00
2014-10-14,295.60,300.00,295.55,300.00,600,300.00
2014-10-13,313.00,313.00,311.00,311.00,500,311.00
2014-10-10,310.00,320.00,299.25,314.00,1200,314.00
2014-10-09,315.00,315.00,315.00,315.00,000,315.00
2014-10-08,315.00,315.00,315.00,315.00,000,315.00
2014-10-07,315.00,315.00,315.00,315.00,000,315.00
2014-10-06,315.00,315.00,315.00,315.00,000,315.00
2014-10-03,315.00,315.00,315.00,315.00,000,315.00
2014-10-02,315.00,315.00,315.00,315.00,000,315.00
2014-10-01,315.00,315.00,315.00,315.00,200,315.00
2014-09-30,320.00,320.00,306.00,306.50,000,306.50
2014-09-29,321.80,321.80,321.80,321.80,000,321.80
2014-09-26,328.00,328.00,321.80,321.80,200,321.80
2014-09-25,315.10,323.95,305.00,323.95,700,323.95
2014-09-24,315.00,325.00,315.00,315.00,1600,315.00
2014-09-23,335.00,342.40,316.25,316.50,2100,316.50
2014-09-22,345.45,345.45,312.55,332.85,9600,332.85
2014-09-19,329.00,329.00,329.00,329.00,1300,329.00
2014-09-18,278.00,299.10,278.00,299.10,1900,299.10
2014-09-17,259.40,275.00,259.40,271.95,600,271.95
2014-09-16,256.00,256.00,252.00,252.00,1100,252.00
2014-09-15,255.00,264.00,252.00,252.00,300,252.00
2014-09-12,252.00,257.00,252.00,254.10,600,254.10
2014-09-11,252.00,252.00,252.00,252.00,000,252.00
2014-09-10,252.00,252.00,252.00,252.00,200,252.00
2014-09-09,245.00,260.00,245.00,260.00,500,260.00
2014-09-08,273.80,273.80,260.00,260.00,800,260.00
2014-09-05,256.00,266.50,246.25,260.00,100,260.00
2014-09-04,245.00,245.00,245.00,245.00,800,245.00
2014-09-03,242.00,245.00,242.00,245.00,200,245.00
2014-09-02,230.00,243.00,230.00,242.00,2000,242.00
2014-09-01,231.50,232.00,231.50,231.50,200,231.50
2014-08-29,236.25,236.25,236.25,236.25,000,236.25
2014-08-28,236.00,240.00,236.00,236.25,600,236.25
2014-08-27,239.50,239.50,230.00,230.15,100,230.15
2014-08-26,225.00,236.10,225.00,233.10,100,233.10
2014-08-25,225.00,225.25,225.00,225.25,100,225.25
2014-08-22,220.50,220.50,220.50,220.50,000,220.50
2014-08-21,231.00,231.00,230.00,230.00,300,230.00
2014-08-20,230.10,230.10,230.10,230.10,000,230.10
2014-08-19,230.00,230.00,230.00,230.00,000,230.00
2014-08-18,230.00,230.00,230.00,230.00,300,230.00
2014-08-15,230.00,230.00,230.00,230.00,000,230.00
2014-08-14,230.00,230.00,230.00,230.00,000,230.00
2014-08-13,228.00,230.00,228.00,230.00,100,230.00
2014-08-12,220.00,233.35,220.00,233.35,1700,233.35
2014-08-11,225.00,225.00,222.25,222.25,200,222.25
2014-08-08,227.05,228.25,227.05,228.25,000,228.25
2014-08-07,240.00,240.00,239.00,239.00,000,239.00
2014-08-06,221.25,240.00,221.25,240.00,100,240.00
2014-08-05,231.00,231.00,230.90,230.90,000,230.90
2014-08-04,220.00,220.00,220.00,220.00,100,220.00
