Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,13.40,13.45,12.60,13.10,4300,13.10
2014-12-22,13.00,13.15,12.60,13.15,23900,13.15
2014-12-19,12.70,13.40,11.10,12.80,48700,12.80
2014-12-18,15.50,16.75,12.60,12.65,177600,12.65
2014-12-17,14.00,16.85,13.05,15.70,31000,15.70
2014-12-16,14.95,14.95,13.75,14.70,6500,14.70
2014-12-15,14.95,14.95,14.95,14.95,000,14.95
2014-12-12,15.00,15.00,13.95,14.85,26800,14.85
2014-12-11,14.95,15.50,14.30,15.40,1600,15.40
2014-12-10,15.00,15.00,15.00,15.00,000,15.00
2014-12-09,14.65,15.00,13.50,14.70,4500,14.70
2014-12-08,14.95,15.30,14.95,15.05,1100,15.05
2014-12-05,14.50,15.00,14.50,15.00,100,15.00
2014-12-04,14.70,15.00,14.55,14.85,1400,14.85
2014-12-03,14.85,15.45,14.65,14.85,1700,14.85
2014-12-02,15.00,15.35,14.50,14.85,15800,14.85
2014-12-01,13.25,15.70,13.25,15.40,1500,15.40
2014-11-28,15.80,15.80,14.30,15.45,10600,15.45
2014-11-27,16.45,16.45,15.75,16.20,6900,16.20
2014-11-26,16.20,16.50,15.70,16.30,10100,16.30
2014-11-25,16.15,16.30,15.70,16.20,22300,16.20
2014-11-24,16.10,16.20,15.00,15.95,30200,15.95
2014-11-21,15.90,16.00,15.10,15.95,7800,15.95
2014-11-20,15.35,16.00,14.75,15.60,21700,15.60
2014-11-19,14.80,15.60,14.70,15.45,5500,15.45
2014-11-18,14.85,15.45,14.80,15.15,13300,15.15
2014-11-17,14.90,15.25,14.90,15.25,2400,15.25
2014-11-14,16.30,16.40,14.90,15.40,72000,15.40
2014-11-13,16.40,16.50,15.50,15.90,33700,15.90
2014-11-12,15.40,16.70,15.40,16.45,97100,16.45
2014-11-11,16.00,16.00,15.35,15.75,48300,15.75
2014-11-10,17.00,17.15,15.05,15.65,45100,15.65
2014-11-07,17.50,17.50,16.00,16.70,60500,16.70
2014-11-06,17.15,17.15,17.15,17.15,000,17.15
2014-11-05,16.80,17.50,16.00,17.15,70600,17.15
2014-11-04,16.30,16.30,16.30,16.30,000,16.30
2014-11-03,17.60,17.60,15.65,16.30,15000,16.30
2014-10-31,15.40,16.25,15.10,16.00,25900,16.00
2014-10-30,14.95,15.50,14.55,15.35,43700,15.35
2014-10-29,15.85,15.85,14.80,14.90,55300,14.90
2014-10-28,15.00,15.50,14.50,15.20,42100,15.20
2014-10-27,15.40,15.45,13.60,14.85,35900,14.85
2014-10-24,14.75,14.75,14.75,14.75,000,14.75
2014-10-23,14.75,14.75,14.75,14.75,000,14.75
2014-10-22,16.70,17.00,14.20,14.75,95600,14.75
2014-10-21,15.40,16.25,15.00,16.20,6100,16.20
2014-10-20,14.15,15.50,14.15,15.35,12300,15.35
2014-10-17,15.85,15.85,14.60,15.05,9200,15.05
2014-10-16,14.75,15.85,14.75,15.85,9100,15.85
2014-10-15,15.70,15.70,15.70,15.70,000,15.70
2014-10-14,16.00,16.05,15.00,15.70,1500,15.70
2014-10-13,15.55,16.10,14.85,15.10,4900,15.10
2014-10-10,17.20,17.80,16.30,16.35,12000,16.35
2014-10-09,18.75,18.75,17.55,18.10,27500,18.10
2014-10-08,17.20,18.25,16.90,18.00,49300,18.00
2014-10-07,16.75,17.00,15.90,16.90,66200,16.90
2014-10-06,16.20,16.20,16.20,16.20,000,16.20
2014-10-03,16.20,16.20,16.20,16.20,000,16.20
2014-10-02,16.20,16.20,16.20,16.20,000,16.20
2014-10-01,16.30,16.80,16.00,16.20,4900,16.20
2014-09-30,16.55,17.00,16.25,16.30,15700,16.30
2014-09-29,17.10,17.60,16.40,17.10,3500,17.10
2014-09-26,17.45,17.70,17.00,17.00,10000,17.00
2014-09-25,18.50,19.00,17.35,17.85,20600,17.85
2014-09-24,17.55,18.75,17.05,18.25,16500,18.25
2014-09-23,17.05,18.05,17.05,17.90,7500,17.90
2014-09-22,16.75,17.50,16.50,17.50,16800,17.50
2014-09-19,17.15,17.85,17.10,17.20,46200,17.20
2014-09-18,19.75,19.75,17.95,17.95,31700,17.95
2014-09-17,20.35,22.00,19.90,19.90,16000,19.90
