Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,63.25,64.75,62.50,62.80,17100,62.80
2014-12-22,63.10,65.10,62.05,63.05,40600,63.05
2014-12-19,65.70,65.70,62.85,63.60,17600,63.60
2014-12-18,65.20,66.40,63.00,64.65,27900,64.65
2014-12-17,59.75,65.50,57.55,63.25,388300,63.25
2014-12-16,62.10,62.10,57.50,60.10,53100,60.10
2014-12-15,62.75,65.05,62.60,62.80,21200,62.80
2014-12-12,67.95,68.20,63.65,64.00,20400,64.00
2014-12-11,66.65,70.15,65.10,67.70,93800,67.70
2014-12-10,65.90,68.00,65.10,66.10,57900,66.10
2014-12-09,65.90,69.20,65.30,65.80,79000,65.80
2014-12-08,69.40,69.90,63.60,65.20,130700,65.20
2014-12-05,61.00,69.95,60.40,68.30,333000,68.30
2014-12-04,61.50,61.90,59.35,60.65,39800,60.65
2014-12-03,60.30,61.85,60.00,61.25,27400,61.25
2014-12-02,58.25,59.85,57.60,59.15,12000,59.15
2014-12-01,61.00,61.00,58.15,58.70,18000,58.70
2014-11-28,61.00,61.00,59.50,60.40,21400,60.40
2014-11-27,61.25,61.25,59.50,60.00,21600,60.00
2014-11-26,58.80,61.25,58.25,60.35,25200,60.35
2014-11-25,62.00,62.00,57.50,59.00,34900,59.00
2014-11-24,62.50,62.80,61.50,62.00,20400,62.00
2014-11-21,63.70,64.90,61.30,62.00,40900,62.00
2014-11-20,64.00,64.45,61.10,63.65,51800,63.65
2014-11-19,61.40,66.90,59.65,63.10,248100,63.10
2014-11-18,61.00,62.20,60.15,60.70,83400,60.70
2014-11-17,61.95,62.90,60.15,60.50,93800,60.50
2014-11-14,54.95,61.00,54.95,60.05,146200,60.05
2014-11-13,55.00,56.85,54.55,55.35,61800,55.35
2014-11-12,52.70,53.00,51.80,52.90,16700,52.90
2014-11-11,54.40,54.40,52.00,52.80,19900,52.80
2014-11-10,55.00,55.00,52.70,53.20,10200,53.20
2014-11-07,54.50,55.00,53.05,54.50,24900,54.50
2014-11-06,54.15,54.15,54.15,54.15,000,54.15
2014-11-05,51.20,54.75,51.20,54.15,48600,54.15
2014-11-04,51.25,51.25,51.25,51.25,000,51.25
2014-11-03,50.50,51.85,50.00,51.25,18700,51.25
2014-10-31,50.15,50.75,49.80,50.25,18600,50.25
2014-10-30,49.40,50.30,49.00,50.15,8600,50.15
2014-10-29,49.10,50.90,49.10,49.40,21000,49.40
2014-10-28,50.85,50.90,49.50,49.80,2200,49.80
2014-10-27,51.75,51.75,49.00,49.85,14700,49.85
2014-10-24,48.80,48.80,48.80,48.80,000,48.80
2014-10-23,48.80,48.80,48.80,48.80,000,48.80
2014-10-22,48.60,49.00,48.00,48.80,9600,48.80
2014-10-21,51.50,51.50,48.60,48.90,11500,48.90
2014-10-20,51.65,51.65,47.60,48.60,9200,48.60
2014-10-17,47.95,48.50,46.85,47.65,2700,47.65
2014-10-16,49.90,49.90,46.05,47.65,12700,47.65
2014-10-15,49.15,49.15,49.15,49.15,000,49.15
2014-10-14,49.75,51.00,49.00,49.15,6900,49.15
2014-10-13,49.90,49.95,49.00,49.25,6600,49.25
2014-10-10,50.50,50.95,49.50,50.10,4100,50.10
2014-10-09,51.00,51.85,50.10,51.85,4700,51.85
2014-10-08,50.25,50.90,48.85,49.60,5100,49.60
2014-10-07,49.60,51.90,48.25,49.15,27000,49.15
2014-10-06,49.40,49.40,49.40,49.40,000,49.40
2014-10-03,49.40,49.40,49.40,49.40,000,49.40
2014-10-02,49.40,49.40,49.40,49.40,000,49.40
2014-10-01,50.50,50.75,49.05,49.40,16600,49.40
2014-09-30,51.20,51.30,50.50,51.10,1900,51.10
2014-09-29,51.45,51.50,49.80,50.65,15900,50.65
2014-09-26,46.75,49.90,46.00,48.60,27100,48.60
2014-09-25,52.35,52.35,46.00,48.25,24300,48.25
2014-09-24,52.85,54.75,52.05,52.30,41800,52.30
2014-09-23,54.00,54.00,51.80,51.95,46500,51.95
2014-09-22,53.25,54.55,53.05,54.00,30200,54.00
2014-09-19,53.75,53.75,52.20,53.00,49100,53.00
2014-09-18,45.90,54.00,45.90,52.60,36800,52.60
2014-09-17,53.00,53.00,51.00,52.50,29400,52.50
2014-09-16,57.75,57.75,51.50,51.85,53500,51.85
2014-09-15,56.40,56.75,54.00,56.25,34500,56.25
2014-09-12,57.10,58.40,55.00,55.60,110800,55.60
2014-09-11,52.40,55.20,52.00,54.95,120500,54.95
2014-09-10,51.50,52.40,51.40,51.80,19800,51.80
2014-09-09,51.70,52.30,49.80,51.45,76200,51.45
2014-09-08,52.05,52.05,50.25,50.90,41200,50.90
2014-09-05,52.60,54.10,52.00,52.45,37300,52.45
2014-09-04,52.00,52.70,50.50,51.70,48400,51.70
2014-09-03,54.00,55.05,52.00,52.30,28700,52.30
2014-09-02,54.00,56.55,53.10,54.30,35500,54.30
2014-09-01,53.45,56.80,52.55,55.95,87300,55.95
2014-08-29,53.35,53.35,53.35,53.35,000,53.35
2014-08-28,53.60,54.50,52.80,53.35,54100,53.35
2014-08-27,49.00,53.50,48.75,52.80,100800,52.80
2014-08-26,46.25,48.15,46.15,47.15,268700,47.15
2014-08-25,48.00,48.80,47.05,48.35,25200,48.35
2014-08-22,47.65,49.65,47.00,47.60,16400,47.60
2014-08-21,49.30,49.30,47.00,47.65,16900,47.65
