Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,92.20,98.00,88.00,89.55,7300,89.55
2014-12-22,98.85,98.85,98.85,98.85,000,98.85
2014-12-19,114.80,114.80,95.25,98.85,3000,98.85
2014-12-18,98.25,108.70,97.25,104.35,12700,104.35
2014-12-17,105.90,106.00,90.00,91.55,2600,91.55
2014-12-16,109.70,109.70,86.15,91.15,800,91.15
2014-12-15,101.95,101.95,101.95,101.95,000,101.95
2014-12-12,91.00,99.00,91.00,91.35,200,91.35
2014-12-11,99.90,107.85,90.00,97.65,11000,97.65
2014-12-10,91.10,91.10,88.00,89.90,400,89.90
2014-12-09,94.00,94.00,92.00,92.90,800,92.90
2014-12-08,90.10,97.00,84.00,97.00,400,97.00
2014-12-05,102.00,102.00,102.00,102.00,100,102.00
2014-12-04,101.95,102.00,101.95,102.00,100,102.00
2014-12-03,95.00,103.00,91.05,100.05,400,100.05
2014-12-02,92.10,92.10,92.10,92.10,000,92.10
2014-12-01,90.00,103.00,90.00,92.10,300,92.10
2014-11-28,100.00,103.95,91.75,91.75,200,91.75
2014-11-27,91.25,91.25,91.25,91.25,000,91.25
2014-11-26,90.00,95.00,84.05,91.25,600,91.25
2014-11-25,81.30,97.00,81.30,90.25,100,90.25
2014-11-24,95.00,95.00,95.00,95.00,300,95.00
2014-11-21,99.95,99.95,86.25,99.85,200,99.85
2014-11-20,100.00,100.00,100.00,100.00,5000,100.00
2014-11-19,95.00,95.00,95.00,95.00,000,95.00
2014-11-18,86.10,95.00,86.10,95.00,1400,95.00
2014-11-17,107.00,107.00,107.00,107.00,000,107.00
2014-11-14,104.85,105.00,88.00,104.40,8100,104.40
2014-11-13,99.00,99.00,99.00,99.00,000,99.00
2014-11-12,99.00,99.00,99.00,99.00,000,99.00
2014-11-11,100.00,100.00,99.00,99.00,12800,99.00
2014-11-10,96.40,96.40,96.40,96.40,000,96.40
2014-11-07,97.00,97.00,96.40,96.40,200,96.40
2014-11-06,96.55,96.55,96.55,96.55,000,96.55
2014-11-05,107.00,107.00,96.30,96.55,4100,96.55
2014-11-04,107.00,107.00,107.00,107.00,000,107.00
2014-11-03,107.00,107.00,107.00,107.00,000,107.00
2014-10-31,110.00,110.00,107.00,107.00,10000,107.00
2014-10-30,105.00,110.00,105.00,110.00,14700,110.00
2014-10-29,100.15,108.00,99.00,100.70,400,100.70
2014-10-28,110.00,110.00,110.00,110.00,13500,110.00
2014-10-27,109.90,110.00,109.90,110.00,3400,110.00
2014-10-24,112.45,112.45,112.45,112.45,000,112.45
2014-10-23,112.45,112.45,112.45,112.45,000,112.45
2014-10-22,123.00,123.00,102.95,112.45,3600,112.45
