Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,15.50,17.25,15.50,17.25,1100,17.25
2014-12-22,15.80,17.35,15.80,16.00,600,16.00
2014-12-19,16.30,16.35,16.25,16.35,300,16.35
2014-12-18,16.60,16.60,16.60,16.60,000,16.60
2014-12-17,15.50,17.85,15.50,16.60,1500,16.60
2014-12-16,17.50,17.50,16.35,16.35,400,16.35
2014-12-15,17.50,17.50,17.50,17.50,000,17.50
2014-12-12,16.15,17.95,16.15,17.80,500,17.80
2014-12-11,17.40,17.40,17.40,17.40,300,17.40
2014-12-10,17.80,17.80,17.80,17.80,300,17.80
2014-12-09,19.45,19.45,18.00,18.60,1500,18.60
2014-12-08,18.00,19.45,17.75,19.45,1100,19.45
2014-12-05,20.75,20.75,18.55,18.65,4200,18.65
2014-12-04,18.50,19.65,18.50,19.15,6100,19.15
2014-12-03,17.60,18.30,16.60,17.90,4600,17.90
2014-12-02,18.10,18.50,17.15,17.30,900,17.30
2014-12-01,15.55,18.50,15.55,18.20,2000,18.20
2014-11-28,18.35,18.40,16.75,17.00,1900,17.00
2014-11-27,17.50,18.20,17.00,18.05,2400,18.05
2014-11-26,16.95,17.35,16.10,17.35,2800,17.35
2014-11-25,17.75,17.75,15.80,15.80,100,15.80
2014-11-24,15.95,18.25,15.95,16.75,500,16.75
2014-11-21,16.90,17.10,15.70,16.85,3900,16.85
2014-11-20,15.50,17.50,15.50,15.55,2900,15.55
2014-11-19,15.45,16.80,15.45,15.95,1100,15.95
2014-11-18,15.80,15.95,15.75,15.95,1300,15.95
2014-11-17,15.40,16.95,15.25,16.95,2900,16.95
2014-11-14,16.05,16.05,16.05,16.05,000,16.05
2014-11-13,16.10,16.50,16.10,16.10,600,16.10
2014-11-12,16.55,18.20,15.75,16.05,2000,16.05
2014-11-11,15.90,17.25,15.90,17.25,400,17.25
2014-11-10,17.85,17.85,16.35,16.35,600,16.35
2014-11-07,16.40,17.25,16.15,16.45,500,16.45
2014-11-06,16.25,16.25,16.25,16.25,000,16.25
2014-11-05,15.85,19.35,15.85,16.25,800,16.25
2014-11-04,16.90,16.90,16.90,16.90,000,16.90
2014-11-03,15.45,17.00,15.45,16.90,700,16.90
2014-10-31,15.20,16.00,15.20,16.00,300,16.00
2014-10-30,16.40,16.40,16.40,16.40,000,16.40
2014-10-29,15.25,16.50,15.25,16.40,400,16.40
2014-10-28,16.00,16.15,16.00,16.15,400,16.15
2014-10-27,15.10,15.10,15.10,15.10,200,15.10
2014-10-24,15.60,15.60,15.60,15.60,000,15.60
2014-10-23,15.60,15.60,15.60,15.60,000,15.60
2014-10-22,15.45,15.60,15.45,15.60,000,15.60
2014-10-21,15.35,17.60,15.30,15.30,100,15.30
2014-10-20,15.15,15.65,15.15,15.65,100,15.65
2014-10-17,16.00,16.70,16.00,16.65,300,16.65
2014-10-16,16.05,16.05,16.00,16.00,200,16.00
