Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,41.70,43.50,41.10,43.15,4000,43.15
2014-12-22,40.50,41.00,40.35,40.65,19300,40.65
2014-12-19,42.00,42.00,41.25,41.30,4900,41.30
2014-12-18,40.45,42.20,40.45,42.00,9500,42.00
2014-12-17,38.75,40.95,38.00,39.85,20500,39.85
2014-12-16,41.00,42.20,39.20,39.90,35800,39.90
2014-12-15,41.00,42.00,40.50,40.95,11600,40.95
2014-12-12,44.00,44.00,41.20,41.45,20900,41.45
2014-12-11,43.60,44.00,42.55,43.35,5200,43.35
2014-12-10,42.00,45.25,42.00,44.20,12600,44.20
2014-12-09,44.95,45.00,41.30,42.40,17200,42.40
2014-12-08,46.90,46.90,43.80,43.85,10500,43.85
2014-12-05,47.30,47.80,44.50,45.30,15300,45.30
2014-12-04,47.05,47.90,45.30,46.70,11000,46.70
2014-12-03,47.50,48.80,46.50,47.65,19300,47.65
2014-12-02,46.55,48.80,46.40,47.30,26800,47.30
2014-12-01,50.00,55.00,46.50,46.95,64800,46.95
2014-11-28,45.25,53.25,45.25,49.65,232900,49.65
2014-11-27,39.25,47.00,39.25,44.95,116400,44.95
2014-11-26,41.35,42.00,40.80,41.05,7200,41.05
2014-11-25,42.60,43.20,41.10,41.60,21000,41.60
2014-11-24,42.00,44.00,40.60,43.70,40200,43.70
2014-11-21,43.60,43.95,41.75,42.40,14200,42.40
2014-11-20,43.15,43.80,41.50,43.05,27000,43.05
2014-11-19,44.00,45.10,41.90,43.70,43400,43.70
2014-11-18,44.70,46.70,42.50,44.65,95700,44.65
2014-11-17,43.75,46.90,43.00,43.70,70500,43.70
2014-11-14,43.45,44.65,40.65,42.95,111200,42.95
2014-11-13,40.80,44.10,39.50,41.60,93100,41.60
2014-11-12,36.95,41.70,35.35,39.70,124200,39.70
2014-11-11,33.35,37.80,33.35,36.75,103300,36.75
2014-11-10,33.50,34.65,33.25,34.50,7900,34.50
2014-11-07,34.90,35.20,33.55,33.90,23400,33.90
2014-11-06,36.00,36.00,36.00,36.00,000,36.00
2014-11-05,35.45,36.90,35.45,36.00,6300,36.00
2014-11-04,36.65,36.65,36.65,36.65,000,36.65
2014-11-03,35.55,36.85,34.55,36.65,23200,36.65
2014-10-31,35.05,36.70,34.45,35.80,19900,35.80
2014-10-30,35.75,35.90,35.00,35.30,2800,35.30
2014-10-29,38.20,38.20,34.70,35.00,4500,35.00
2014-10-28,33.35,36.30,33.35,36.15,16100,36.15
2014-10-27,34.90,35.00,32.75,33.00,5900,33.00
2014-10-24,33.70,33.70,33.70,33.70,000,33.70
2014-10-23,33.70,33.70,33.70,33.70,000,33.70
2014-10-22,33.80,34.80,33.50,33.70,3800,33.70
2014-10-21,33.25,35.55,33.10,34.50,2400,34.50
2014-10-20,36.95,36.95,33.75,33.80,3000,33.80
2014-10-17,34.50,34.50,31.50,34.35,1100,34.35
2014-10-16,34.00,34.25,32.00,32.25,11900,32.25
2014-10-15,34.45,34.45,34.45,34.45,000,34.45
2014-10-14,34.10,36.00,34.10,34.45,10300,34.45
2014-10-13,31.55,35.45,31.55,34.05,7600,34.05
2014-10-10,31.65,32.45,31.00,32.25,12200,32.25
2014-10-09,33.50,34.50,33.25,33.85,1900,33.85
2014-10-08,32.00,33.65,31.10,33.50,3100,33.50
2014-10-07,33.40,34.20,33.00,33.20,7800,33.20
2014-10-06,34.55,34.55,34.55,34.55,000,34.55
2014-10-03,34.55,34.55,34.55,34.55,000,34.55
2014-10-02,34.55,34.55,34.55,34.55,000,34.55
2014-10-01,34.10,35.35,34.00,34.55,6800,34.55
2014-09-30,35.85,36.40,34.55,34.85,12000,34.85
2014-09-29,34.30,35.90,33.50,35.85,4800,35.85
2014-09-26,33.20,34.40,33.20,34.20,4200,34.20
2014-09-25,35.60,35.60,34.65,34.65,6700,34.65
2014-09-24,37.00,38.00,36.00,36.45,10700,36.45
2014-09-23,36.85,38.65,36.75,37.05,8800,37.05
2014-09-22,38.80,39.40,37.40,38.00,11900,38.00
2014-09-19,38.65,39.90,38.65,39.35,20100,39.35
2014-09-18,36.55,38.10,35.05,38.10,12200,38.10
2014-09-17,36.20,36.40,34.95,36.30,8000,36.30
2014-09-16,37.50,39.40,36.30,36.70,21400,36.70
2014-09-15,38.45,38.50,36.45,37.75,13100,37.75
2014-09-12,38.50,38.95,37.05,38.35,16900,38.35
2014-09-11,39.85,39.90,37.50,37.90,22700,37.90
2014-09-10,41.00,41.90,38.80,39.45,34000,39.45
2014-09-09,40.25,40.35,38.50,40.10,71800,40.10
2014-09-08,37.05,38.45,37.00,38.45,19700,38.45
2014-09-05,37.00,37.40,36.20,36.65,16800,36.65
2014-09-04,38.00,38.45,36.10,36.15,33500,36.15
2014-09-03,35.45,38.25,35.10,37.95,86500,37.95
2014-09-02,33.50,36.00,33.50,34.80,43600,34.80
2014-09-01,32.00,35.10,31.95,33.60,56600,33.60
2014-08-29,32.00,32.00,32.00,32.00,000,32.00
2014-08-28,30.50,32.10,29.70,32.00,17900,32.00
2014-08-27,30.00,30.85,29.65,29.80,4400,29.80
2014-08-26,29.45,30.70,29.45,30.10,22000,30.10
2014-08-25,28.80,31.00,28.80,30.10,17900,30.10
2014-08-22,29.25,30.10,29.25,29.90,6600,29.90
2014-08-21,28.40,30.85,28.40,30.00,28400,30.00
2014-08-20,28.15,28.45,28.00,28.05,2000,28.05
2014-08-19,28.00,28.95,27.35,28.75,20700,28.75
2014-08-18,27.90,27.90,27.00,27.90,23400,27.90
2014-08-15,27.85,27.85,27.85,27.85,000,27.85
2014-08-14,29.00,29.00,27.55,27.85,23700,27.85
2014-08-13,30.20,31.85,29.50,29.80,16300,29.80
2014-08-12,30.25,32.40,30.20,31.90,10000,31.90
2014-08-11,29.60,29.85,28.55,29.85,6800,29.85
2014-08-08,28.40,29.00,28.05,28.55,6000,28.55
2014-08-07,32.80,32.80,30.05,30.05,6700,30.05
2014-08-06,30.30,31.45,29.85,31.45,4000,31.45
2014-08-05,29.15,30.50,29.15,29.85,3000,29.85
2014-08-04,29.50,30.00,29.50,29.80,1400,29.80
2014-08-01,30.00,30.20,29.10,30.00,4100,30.00
2014-07-31,31.35,31.35,30.10,30.10,14500,30.10
2014-07-30,30.70,31.60,30.05,30.45,4000,30.45
2014-07-29,30.80,30.80,30.80,30.80,000,30.80
2014-07-28,32.00,32.00,30.75,30.80,2000,30.80
2014-07-25,31.30,32.85,31.30,32.30,3100,32.30
2014-07-24,32.60,33.00,32.25,32.50,4500,32.50
2014-07-23,32.05,33.00,31.70,31.70,28600,31.70
2014-07-22,32.65,33.80,32.35,33.00,2300,33.00
2014-07-21,34.00,34.50,32.65,33.05,500,33.05
2014-07-18,33.50,34.00,33.00,34.00,3300,34.00
2014-07-17,32.30,33.70,31.55,33.70,4500,33.70
2014-07-16,32.00,33.45,31.90,32.70,2000,32.70
2014-07-15,31.50,32.65,31.50,32.60,6100,32.60
2014-07-14,31.20,32.30,31.00,31.10,4700,31.10
2014-07-11,33.75,33.75,32.25,32.30,9200,32.30
2014-07-10,32.00,33.90,32.00,33.60,4000,33.60
2014-07-09,33.75,34.00,33.00,33.25,9700,33.25
2014-07-08,36.90,36.90,34.70,34.70,45500,34.70
2014-07-07,36.85,37.20,35.55,36.50,54500,36.50
2014-07-04,36.00,37.20,35.15,35.45,30500,35.45
2014-07-03,32.85,35.55,32.85,35.55,7300,35.55
2014-07-02,34.70,34.70,33.55,33.90,22700,33.90
2014-07-01,34.75,34.80,33.70,33.75,13100,33.75
2014-06-30,34.45,34.70,33.05,34.45,15100,34.45
