Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,98.00,99.75,94.00,96.70,70900,96.70
2014-12-22,94.35,98.75,94.35,96.95,70500,96.95
2014-12-19,93.50,94.20,93.20,93.65,17600,93.65
2014-12-18,92.00,92.15,90.90,91.50,10600,91.50
2014-12-17,90.00,90.80,89.05,89.70,22000,89.70
2014-12-16,91.55,92.00,90.00,90.00,40100,90.00
2014-12-15,96.10,96.10,91.40,92.50,15700,92.50
2014-12-12,93.85,96.55,93.85,95.10,26000,95.10
2014-12-11,92.90,95.25,92.80,94.55,39900,94.55
2014-12-10,90.00,93.50,89.80,93.00,17400,93.00
2014-12-09,92.15,94.00,90.10,91.40,33100,91.40
2014-12-08,93.00,94.15,91.50,91.90,16400,91.90
2014-12-05,94.75,95.45,92.25,93.70,22000,93.70
2014-12-04,95.95,96.20,94.50,95.30,15800,95.30
2014-12-03,96.90,97.00,94.20,94.90,26200,94.90
2014-12-02,98.00,99.15,95.15,95.60,29500,95.60
2014-12-01,98.00,99.00,95.80,97.10,12700,97.10
2014-11-28,98.00,98.90,95.80,97.00,21500,97.00
2014-11-27,94.00,97.20,93.50,96.60,37700,96.60
2014-11-26,89.40,93.10,88.70,92.80,38500,92.80
2014-11-25,91.20,92.70,89.05,89.65,22800,89.65
2014-11-24,95.00,95.00,90.00,91.20,72900,91.20
2014-11-21,95.80,96.65,94.00,94.55,104100,94.55
2014-11-20,95.00,102.35,95.00,99.50,46800,99.50
2014-11-19,99.10,99.40,96.80,97.15,25100,97.15
2014-11-18,99.05,101.00,99.00,99.20,17100,99.20
2014-11-17,98.65,101.00,98.55,99.45,19400,99.45
2014-11-14,100.80,100.80,99.00,99.60,23700,99.60
2014-11-13,99.90,102.00,98.00,99.80,24000,99.80
2014-11-12,100.65,101.15,98.00,99.45,31400,99.45
2014-11-11,100.25,102.00,99.35,100.35,23100,100.35
2014-11-10,102.50,103.00,98.00,99.80,29700,99.80
2014-11-07,102.30,105.60,102.25,102.85,69000,102.85
2014-11-06,103.25,103.25,103.25,103.25,000,103.25
2014-11-05,97.25,105.50,97.00,103.25,173200,103.25
2014-11-04,98.90,98.90,98.90,98.90,000,98.90
2014-11-03,90.90,99.20,90.75,98.90,92300,98.90
2014-10-31,93.75,94.20,90.50,90.75,64900,90.75
2014-10-30,97.00,97.00,91.10,92.80,68500,92.80
2014-10-29,98.40,98.60,95.80,97.00,39800,97.00
2014-10-28,100.25,100.25,97.50,97.90,22200,97.90
2014-10-27,99.40,101.90,99.20,99.50,38200,99.50
2014-10-24,99.05,99.05,99.05,99.05,000,99.05
2014-10-23,99.05,99.05,99.05,99.05,000,99.05
2014-10-22,101.80,102.00,98.60,99.05,25200,99.05
2014-10-21,101.75,102.60,100.10,100.35,42300,100.35
2014-10-20,104.95,105.65,102.00,102.80,69300,102.80
2014-10-17,102.80,104.25,102.10,102.75,24200,102.75
2014-10-16,102.00,104.20,101.20,102.20,45600,102.20
2014-10-15,102.30,102.30,102.30,102.30,000,102.30
2014-10-14,103.90,104.65,102.20,102.30,19000,102.30
2014-10-13,100.00,104.90,99.40,103.75,47600,103.75
2014-10-10,101.00,102.85,100.55,101.75,35400,101.75
2014-10-09,103.85,104.05,101.90,102.10,28400,102.10
2014-10-08,102.90,103.45,101.70,102.90,27900,102.90
2014-10-07,100.00,102.50,100.00,100.75,22800,100.75
2014-10-06,99.90,99.90,99.90,99.90,000,99.90
2014-10-03,99.90,99.90,99.90,99.90,000,99.90
2014-10-02,99.90,99.90,99.90,99.90,000,99.90
2014-10-01,100.10,102.30,99.20,99.90,30100,99.90
2014-09-30,99.50,100.45,98.55,99.90,31800,99.90
2014-09-29,98.55,102.50,98.55,99.35,21600,99.35
2014-09-26,92.00,100.05,92.00,97.70,61500,97.70
2014-09-25,97.70,98.75,93.60,93.90,43200,93.90
2014-09-24,101.45,101.60,95.80,96.50,50500,96.50
2014-09-23,100.25,104.45,100.15,100.75,64300,100.75
2014-09-22,101.30,102.00,99.40,100.05,44300,100.05
2014-09-19,100.30,105.45,100.30,103.00,136000,103.00
2014-09-18,99.80,102.40,98.85,99.40,41700,99.40
2014-09-17,100.90,101.75,96.60,98.95,74900,98.95
2014-09-16,105.00,106.10,98.05,99.25,87200,99.25
2014-09-15,104.50,107.45,101.25,104.80,102000,104.80
2014-09-12,100.45,105.50,100.45,104.55,166200,104.55
2014-09-11,99.00,102.70,98.80,100.45,262000,100.45
2014-09-10,96.05,101.75,95.50,98.25,119200,98.25
2014-09-09,96.00,102.00,90.95,97.45,316800,97.45
2014-09-08,87.00,95.80,86.55,95.10,261900,95.10
2014-09-05,84.50,87.25,81.10,86.95,61200,86.95
2014-09-04,85.40,85.40,83.45,84.20,45300,84.20
2014-09-03,85.00,87.90,84.50,85.70,152100,85.70
2014-09-02,81.85,85.20,81.85,83.50,73500,83.50
2014-09-01,85.00,86.00,80.00,81.70,101900,81.70
2014-08-29,83.85,83.85,83.85,83.85,000,83.85
2014-08-28,84.90,85.05,83.55,83.85,25700,83.85
2014-08-27,84.30,85.50,83.25,84.55,26900,84.55
2014-08-26,85.30,85.80,83.40,83.70,37700,83.70
2014-08-25,86.00,87.90,85.15,85.95,130600,84.75
2014-08-22,86.05,88.35,85.00,85.65,60300,84.45
2014-08-21,85.65,86.35,85.00,85.55,31500,84.36
2014-08-20,85.35,85.80,84.15,85.30,46300,84.11
2014-08-19,85.95,86.75,85.00,85.65,35700,84.45
2014-08-18,85.25,87.05,85.25,86.25,47000,85.05
2014-08-15,84.35,84.35,84.35,84.35,000,83.17
2014-08-14,84.45,85.80,82.50,84.35,59300,83.17
2014-08-13,85.85,86.10,81.60,83.60,43800,82.43
2014-08-12,85.75,86.80,84.10,85.45,93600,84.26
2014-08-11,86.55,88.60,85.00,85.45,95400,84.26
2014-08-08,88.05,89.20,85.05,85.45,191300,84.26
2014-08-07,91.70,94.20,88.75,89.70,603300,88.45
2014-08-06,84.95,96.00,83.30,92.55,1455000,91.26
2014-08-05,79.95,80.80,78.70,80.05,46200,78.93
2014-08-04,77.95,79.90,77.75,79.10,27000,78.00
2014-08-01,78.95,80.00,77.60,78.05,62000,76.96
2014-07-31,76.00,80.40,76.00,79.60,96600,78.49
2014-07-30,76.15,78.00,75.60,77.25,50700,76.17
2014-07-29,75.95,75.95,75.95,75.95,000,74.89
2014-07-28,77.25,77.70,75.70,75.95,24500,74.89
2014-07-25,79.35,79.35,75.90,77.05,42900,75.97
2014-07-24,80.65,80.65,77.95,78.55,94700,77.45
2014-07-23,77.25,81.00,75.60,80.20,160200,79.08
2014-07-22,76.80,77.80,76.20,76.95,31300,75.88
2014-07-21,78.20,78.20,75.75,76.20,37400,75.14
2014-07-18,76.60,78.65,76.00,77.40,18200,76.32
2014-07-17,77.10,79.00,76.00,77.30,55500,76.22
2014-07-16,73.10,79.50,72.50,77.05,140400,75.97
2014-07-15,72.80,73.85,72.50,72.85,16000,71.83
2014-07-14,71.50,72.95,70.90,72.40,56100,71.39
2014-07-11,73.80,74.25,70.80,71.90,37700,70.90
2014-07-10,72.00,74.50,70.75,73.20,45400,72.18
2014-07-09,73.00,73.20,71.10,72.20,78100,71.19
2014-07-08,75.10,76.00,72.25,72.95,58300,71.93
2014-07-07,76.30,76.30,74.50,74.60,57900,73.56
