Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,589.90,597.30,585.05,590.05,5700,590.05
2014-12-22,575.00,586.80,566.40,580.15,1200,580.15
2014-12-19,575.00,581.35,566.60,571.45,2000,571.45
2014-12-18,560.00,572.70,555.05,559.70,1400,559.70
2014-12-17,559.00,575.00,535.50,553.60,2700,553.60
2014-12-16,562.05,564.30,544.00,551.35,3100,551.35
2014-12-15,570.00,578.30,567.70,570.55,2800,570.55
2014-12-12,570.00,596.05,561.10,568.15,5600,568.15
2014-12-11,568.00,595.00,560.85,567.15,9000,567.15
2014-12-10,568.75,594.30,562.00,573.40,2300,573.40
2014-12-09,587.25,587.25,554.80,573.25,4900,573.25
2014-12-08,593.80,595.35,572.05,579.15,2500,579.15
2014-12-05,618.60,618.60,586.10,591.15,11400,591.15
2014-12-04,559.95,650.00,556.50,613.95,52800,613.95
2014-12-03,552.05,565.50,547.35,554.55,1400,554.55
2014-12-02,550.85,553.00,545.00,548.35,1000,548.35
2014-12-01,555.00,562.40,552.00,555.25,1400,555.25
2014-11-28,563.60,572.25,551.40,553.60,1900,553.60
2014-11-27,553.50,573.00,553.50,559.00,2700,559.00
2014-11-26,571.00,579.90,555.00,560.05,2800,560.05
2014-11-25,602.00,602.00,564.00,569.00,2700,569.00
2014-11-24,604.00,606.00,590.05,593.05,900,593.05
2014-11-21,610.00,610.00,598.00,599.75,1100,599.75
2014-11-20,599.85,606.85,598.95,601.10,2200,601.10
2014-11-19,597.00,622.00,596.00,605.90,8400,605.90
2014-11-18,613.00,613.00,577.00,590.05,4900,590.05
2014-11-17,620.00,620.00,595.50,607.35,3400,607.35
2014-11-14,610.55,621.00,609.00,615.15,3300,615.15
2014-11-13,598.00,640.00,590.00,604.80,21300,604.80
2014-11-12,580.00,607.60,580.00,601.60,14600,601.60
2014-11-11,542.00,580.70,542.00,569.90,37600,569.90
2014-11-10,540.00,555.05,540.00,542.00,900,542.00
2014-11-07,540.00,546.80,530.60,536.70,800,536.70
2014-11-06,542.15,542.15,542.15,542.15,000,542.15
2014-11-05,547.00,547.00,532.40,542.15,700,542.15
2014-11-04,546.50,546.50,546.50,546.50,000,546.50
2014-11-03,534.00,559.00,534.00,546.50,2900,546.50
2014-10-31,544.50,545.00,531.80,534.55,1200,534.55
2014-10-30,528.65,553.00,528.65,537.90,4300,537.90
2014-10-29,528.95,535.30,522.00,525.55,800,525.55
2014-10-28,534.95,535.00,517.25,525.15,4400,525.15
2014-10-27,529.00,548.45,515.00,528.35,1900,528.35
2014-10-24,516.70,516.70,516.70,516.70,000,516.70
2014-10-23,516.70,516.70,516.70,516.70,000,516.70
2014-10-22,519.00,528.00,513.15,516.70,5700,516.70
2014-10-21,513.00,530.00,513.00,515.85,2400,515.85
2014-10-20,513.20,522.00,513.00,514.70,200,514.70
2014-10-17,508.50,515.00,501.00,513.65,800,513.65
2014-10-16,523.00,524.85,504.00,507.90,600,507.90
2014-10-15,527.25,527.25,527.25,527.25,000,527.25
2014-10-14,520.10,535.45,520.10,527.25,500,527.25
2014-10-13,522.00,533.95,518.85,528.85,600,528.85
2014-10-10,528.05,528.05,519.00,524.05,700,524.05
2014-10-09,530.10,541.40,525.00,528.50,500,528.50
2014-10-08,535.70,536.80,529.05,531.80,200,531.80
2014-10-07,540.00,546.45,532.10,532.55,1100,532.55
2014-10-06,538.75,538.75,538.75,538.75,000,538.75
2014-10-03,538.75,538.75,538.75,538.75,000,538.75
2014-10-02,538.75,538.75,538.75,538.75,000,538.75
2014-10-01,536.40,545.20,535.00,538.75,1400,538.75
2014-09-30,547.70,560.00,536.10,544.20,1700,544.20
