Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,419.45,426.30,411.65,413.75,231100,413.75
2014-12-22,425.00,426.75,412.55,419.75,276800,419.75
2014-12-19,425.00,434.00,418.00,422.30,298800,422.30
2014-12-18,414.00,424.55,405.60,421.05,542700,421.05
2014-12-17,396.20,408.90,377.00,401.85,651200,401.85
2014-12-16,435.00,435.25,394.10,397.15,685500,397.15
2014-12-15,433.90,443.65,431.40,435.30,297600,435.30
2014-12-12,454.00,455.70,435.00,437.30,326000,437.30
2014-12-11,460.00,460.10,446.70,452.50,338200,452.50
2014-12-10,431.00,463.30,428.00,460.40,770200,460.40
2014-12-09,438.25,439.00,429.85,433.15,184400,433.15
2014-12-08,432.00,438.80,425.30,436.10,183000,436.10
2014-12-05,427.10,437.90,425.20,431.90,423700,431.90
2014-12-04,435.00,440.85,428.80,430.60,235300,430.60
2014-12-03,430.00,436.50,428.30,434.70,175300,434.70
2014-12-02,422.25,428.55,413.60,427.30,181400,427.30
2014-12-01,425.00,438.00,417.10,421.95,136400,421.95
2014-11-28,412.50,424.50,412.50,422.40,328400,422.40
2014-11-27,400.20,411.95,400.20,409.55,231000,409.55
2014-11-26,401.00,405.90,398.20,401.25,175800,401.25
2014-11-25,406.10,410.00,397.40,405.05,253500,405.05
2014-11-24,416.20,419.10,405.15,406.10,315200,406.10
2014-11-21,409.70,417.50,405.00,414.65,242400,414.65
2014-11-20,412.00,414.35,402.10,406.75,195200,406.75
2014-11-19,421.00,421.75,409.50,411.15,244700,411.15
2014-11-18,423.80,423.80,415.00,418.60,188400,418.60
2014-11-17,423.50,426.95,416.70,421.30,229500,421.30
2014-11-14,411.20,425.95,408.40,420.55,299100,420.55
2014-11-13,414.00,419.90,405.85,410.55,383100,410.55
2014-11-12,398.50,414.40,397.25,411.50,610900,411.50
2014-11-11,387.00,398.75,384.00,395.50,410200,395.50
2014-11-10,382.00,388.95,374.70,386.80,294900,386.80
2014-11-07,371.50,385.70,369.95,382.40,382300,382.40
2014-11-06,374.15,374.15,374.15,374.15,000,374.15
2014-11-05,364.50,382.35,362.10,374.15,575900,374.15
2014-11-04,364.60,364.60,364.60,364.60,000,364.60
2014-11-03,364.00,367.00,357.35,364.60,230700,364.60
2014-10-31,346.50,364.50,346.30,361.65,701900,361.65
2014-10-30,339.70,347.00,336.85,345.45,343800,345.45
2014-10-29,340.90,341.45,334.70,339.15,144000,339.15
2014-10-28,335.40,339.80,330.85,338.25,207000,338.25
2014-10-27,344.10,348.00,332.75,333.95,315300,333.95
2014-10-24,339.90,339.90,339.90,339.90,000,339.90
2014-10-23,339.90,339.90,339.90,339.90,000,339.90
2014-10-22,336.95,341.85,334.60,339.90,618200,339.90
2014-10-21,324.40,335.40,324.40,333.60,323200,333.60
2014-10-20,336.00,339.40,321.30,323.40,422000,323.40
2014-10-17,323.00,335.30,320.60,332.95,272500,332.95
2014-10-16,332.80,334.90,323.60,327.50,288300,327.50
2014-10-15,334.25,334.25,334.25,334.25,000,334.25
2014-10-14,320.10,339.95,320.10,334.25,1221500,334.25
2014-10-13,310.85,321.90,309.60,319.70,147100,319.70
2014-10-10,317.55,319.30,311.15,312.35,207000,312.35
2014-10-09,309.00,320.60,309.00,318.25,222500,318.25
2014-10-08,311.70,311.90,304.10,307.20,181200,307.20
2014-10-07,319.00,319.05,312.00,312.50,223300,312.50
2014-10-06,320.10,320.10,320.10,320.10,000,320.10
2014-10-03,320.10,320.10,320.10,320.10,000,320.10
2014-10-02,320.10,320.10,320.10,320.10,000,320.10
2014-10-01,326.00,328.80,319.00,320.10,147200,320.10
2014-09-30,316.00,328.25,315.35,325.35,459800,325.35
2014-09-29,315.90,319.90,314.05,316.60,108000,316.60
2014-09-26,302.55,316.40,300.45,313.70,244300,313.70
2014-09-25,311.50,312.00,299.70,302.60,243300,302.60
2014-09-24,311.00,315.35,306.00,309.15,199900,309.15
2014-09-23,316.90,326.85,310.35,312.65,338600,312.65
2014-09-22,318.70,319.90,314.20,317.60,145800,317.60
2014-09-19,314.90,323.80,314.90,319.35,255200,319.35
2014-09-18,309.20,317.80,307.95,316.65,210300,316.65
2014-09-17,307.50,313.00,303.00,311.75,174300,311.75
2014-09-16,320.50,321.00,303.90,306.05,210500,306.05
2014-09-15,316.45,321.40,312.00,319.20,159400,319.20
2014-09-12,317.00,318.80,314.15,317.75,113900,317.75
2014-09-11,319.60,321.65,313.50,317.10,176800,317.10
2014-09-10,329.00,329.00,317.85,319.20,235600,319.20
2014-09-09,324.10,330.80,321.10,329.75,183200,329.75
2014-09-08,321.50,325.00,319.90,324.45,200000,324.45
2014-09-05,320.40,321.80,314.50,319.85,144800,319.85
2014-09-04,323.00,326.20,318.70,320.30,228900,320.30
2014-09-03,313.00,323.00,312.05,322.00,372100,322.00
2014-09-02,313.00,316.50,311.20,311.75,199400,311.75
2014-09-01,303.05,313.30,303.05,312.35,237800,312.35
2014-08-29,302.45,302.45,302.45,302.45,000,302.45
2014-08-28,302.50,304.85,301.05,302.45,160000,302.45
2014-08-27,305.35,305.85,300.50,302.45,103700,302.45
2014-08-26,301.50,304.50,298.40,303.15,162500,303.15
2014-08-25,305.45,307.45,300.05,301.15,171500,301.15
2014-08-22,301.75,306.40,301.75,304.80,187200,304.80
2014-08-21,300.00,304.50,299.05,302.45,170800,302.45
2014-08-20,298.40,302.95,296.50,300.00,274200,300.00
2014-08-19,295.00,299.45,293.40,298.55,309000,298.55
2014-08-18,285.90,294.85,284.90,293.85,225800,293.85
2014-08-15,286.05,286.05,286.05,286.05,000,286.05
2014-08-14,287.85,290.35,283.90,286.05,167900,286.05
2014-08-13,288.00,290.90,282.10,286.85,222500,286.85
2014-08-12,284.65,288.70,284.10,287.60,158300,287.60
2014-08-11,281.20,284.00,280.40,282.45,124700,282.45
2014-08-08,284.00,284.60,276.25,279.10,233200,279.10
2014-08-07,289.70,290.40,286.00,287.35,181500,287.35
2014-08-06,295.10,298.35,291.00,292.00,219400,288.00
2014-08-05,291.50,296.50,288.50,295.95,284000,287.46
2014-08-04,289.00,292.00,287.00,291.05,252100,282.70
2014-08-01,287.60,291.80,284.80,285.70,214600,277.50
2014-07-31,287.90,293.90,286.95,289.70,503200,281.39
2014-07-30,291.00,292.90,284.60,287.45,409700,279.20
2014-07-29,290.50,290.50,290.50,290.50,000,282.16
2014-07-28,293.90,296.80,288.10,290.50,264600,282.16
2014-07-25,312.80,313.35,292.80,296.35,695400,287.85
2014-07-24,312.50,316.15,309.70,311.60,327800,302.66
2014-07-23,311.00,313.00,308.80,312.45,192900,303.48
2014-07-22,312.00,313.40,308.05,309.30,225800,300.42
2014-07-21,309.00,313.40,307.10,310.55,313800,301.64
2014-07-18,308.00,309.90,305.20,306.25,324700,297.46
2014-07-17,309.00,312.00,307.40,309.55,428000,300.67
2014-07-16,323.45,323.50,304.75,307.95,1139500,299.11
2014-07-15,319.10,322.00,312.80,320.80,315300,311.59
2014-07-14,312.60,320.50,303.30,317.50,352500,308.39
2014-07-11,327.00,330.90,309.00,311.60,622000,302.66
2014-07-10,319.60,337.25,308.10,325.35,1249500,316.01
2014-07-09,318.65,322.75,309.00,316.55,399900,307.47
2014-07-08,334.70,337.70,313.80,321.30,623900,312.08
2014-07-07,329.00,335.25,326.00,333.85,498100,324.27
2014-07-04,326.00,329.80,320.05,326.50,242200,317.13
2014-07-03,329.00,329.10,323.00,324.25,82200,314.95
2014-07-02,327.85,331.30,326.00,327.70,235700,318.30
2014-07-01,328.00,330.45,323.75,324.60,167100,315.29
2014-06-30,319.45,328.70,315.40,327.30,286500,317.91
2014-06-27,321.00,322.15,315.25,317.40,183000,308.29
2014-06-26,327.00,329.00,318.20,319.90,212200,310.72
2014-06-25,328.00,330.70,324.90,326.50,158100,317.13
2014-06-24,325.85,329.60,324.65,326.75,199800,317.37
2014-06-23,322.00,326.60,319.65,322.95,207100,313.68
