Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,74.50,76.30,71.10,71.60,147000,71.60
2014-12-22,75.15,78.40,73.00,74.60,115100,74.60
2014-12-19,78.05,78.85,74.50,75.00,80000,75.00
2014-12-18,73.40,78.30,73.00,77.20,213500,77.20
2014-12-17,72.00,72.95,65.30,70.50,107700,70.50
2014-12-16,75.85,77.10,69.60,71.60,188500,71.60
2014-12-15,76.50,78.90,74.25,76.70,182900,76.70
2014-12-12,80.00,82.45,75.00,76.00,332700,76.00
2014-12-11,83.00,84.70,78.15,79.40,204200,79.40
2014-12-10,83.80,85.95,81.50,82.05,135600,82.05
2014-12-09,84.75,88.70,82.65,83.60,540600,83.60
2014-12-08,87.65,91.00,83.50,84.10,557100,84.10
2014-12-05,91.80,96.90,85.60,86.80,874900,86.80
2014-12-04,85.80,93.40,84.40,91.90,1073500,91.90
2014-12-03,85.25,87.50,84.10,84.95,162200,84.95
2014-12-02,85.85,87.50,83.50,84.05,189400,84.05
2014-12-01,85.80,93.15,83.00,85.10,156900,85.10
2014-11-28,82.00,86.20,81.10,84.70,233400,84.70
2014-11-27,81.70,84.00,80.50,81.30,167700,81.30
2014-11-26,77.50,85.50,77.20,82.50,230900,82.50
2014-11-25,83.05,84.95,77.25,77.90,185200,77.90
2014-11-24,81.85,85.00,81.75,82.75,218500,82.75
2014-11-21,82.90,87.00,80.00,80.95,645400,80.95
2014-11-20,73.40,80.55,72.50,80.30,525900,80.30
2014-11-19,79.00,79.30,72.00,73.25,225300,73.25
2014-11-18,77.00,81.30,76.00,77.70,491500,77.70
2014-11-17,66.80,76.85,66.10,75.50,1597800,75.50
2014-11-14,54.10,65.20,54.10,65.05,975700,65.05
2014-11-13,57.90,57.90,53.00,54.35,41600,54.35
2014-11-12,53.15,56.75,52.00,55.15,103600,55.15
2014-11-11,56.00,56.00,51.00,52.80,26300,52.80
2014-11-10,51.10,53.65,50.60,51.90,27300,51.90
2014-11-07,53.00,53.00,50.80,51.00,22300,51.00
2014-11-06,51.05,51.05,51.05,51.05,000,51.05
2014-11-05,51.15,53.85,50.25,51.05,26700,51.05
2014-11-04,51.00,51.00,51.00,51.00,000,51.00
2014-11-03,50.10,51.40,50.00,51.00,21300,51.00
2014-10-31,49.55,51.00,49.05,49.60,16800,49.60
2014-10-30,50.00,50.00,48.60,49.00,23900,49.00
2014-10-29,48.00,48.80,47.25,48.55,15600,48.55
2014-10-28,47.60,48.95,47.10,47.25,8200,47.25
2014-10-27,49.50,49.50,46.60,46.95,9500,46.95
2014-10-24,47.45,47.45,47.45,47.45,000,47.45
2014-10-23,47.45,47.45,47.45,47.45,000,47.45
2014-10-22,48.00,48.75,47.10,47.45,9800,47.45
2014-10-21,47.15,48.00,46.30,47.50,9700,47.50
2014-10-20,42.00,48.85,42.00,47.05,8200,47.05
2014-10-17,46.40,47.75,45.40,47.10,9700,47.10
2014-10-16,45.55,47.20,45.55,46.30,8700,46.30
2014-10-15,45.15,45.15,45.15,45.15,000,45.15
2014-10-14,46.60,46.90,45.00,45.15,14100,45.15
2014-10-13,46.10,47.35,45.50,46.60,27100,46.60
2014-10-10,47.50,48.10,45.65,45.90,15500,45.90
2014-10-09,47.00,48.35,43.20,47.95,23100,47.95
2014-10-08,49.00,49.60,45.65,46.70,23700,46.70
2014-10-07,51.00,53.50,47.25,48.25,23100,48.25
2014-10-06,50.35,50.35,50.35,50.35,000,50.35
2014-10-03,50.35,50.35,50.35,50.35,000,50.35
2014-10-02,50.35,50.35,50.35,50.35,000,50.35
2014-10-01,51.40,51.50,49.50,50.35,6000,50.35
2014-09-30,50.40,53.00,50.40,51.10,8400,51.10
2014-09-29,50.10,52.50,50.10,51.95,13800,51.95
2014-09-26,49.00,53.15,49.00,52.35,18600,52.35
2014-09-25,52.40,52.40,49.00,49.45,81600,49.45
2014-09-24,53.50,53.50,49.60,51.10,34700,50.50
2014-09-23,54.50,54.75,51.00,51.95,26800,51.34
2014-09-22,54.20,55.65,53.20,53.85,17400,53.22
2014-09-19,57.25,57.25,53.00,54.25,24800,53.61
2014-09-18,53.10,57.40,53.10,55.85,38600,55.19
2014-09-17,53.25,54.90,51.30,54.05,21200,53.42
2014-09-16,56.80,59.25,52.00,53.00,37300,52.38
2014-09-15,57.05,58.00,55.10,56.65,25900,55.98
2014-09-12,59.85,60.00,55.15,57.05,37300,56.38
2014-09-11,57.00,59.05,56.50,57.90,51300,57.22
2014-09-10,52.00,59.10,52.00,56.90,125900,56.23
2014-09-09,52.90,55.15,52.15,52.60,44200,51.98
2014-09-08,50.80,54.00,50.80,52.15,56700,51.54
2014-09-05,45.95,51.90,45.80,50.20,29300,49.61
2014-09-04,47.25,47.25,45.70,45.90,8000,45.36
2014-09-03,47.10,47.95,46.50,47.60,17500,47.04
2014-09-02,46.00,48.50,45.75,47.00,32900,46.45
2014-09-01,48.30,48.30,44.50,45.85,18200,45.31
2014-08-29,46.35,46.35,46.35,46.35,000,45.81
2014-08-28,50.00,50.00,46.10,46.35,25100,45.81
2014-08-27,49.00,51.95,47.10,48.95,56000,48.38
2014-08-26,42.00,51.90,42.00,48.10,113300,47.54
2014-08-25,44.00,44.80,42.60,44.45,36000,43.93
2014-08-22,45.00,45.00,42.15,43.20,10500,42.69
2014-08-21,42.85,44.90,42.85,43.60,37900,43.09
2014-08-20,40.30,42.85,39.15,42.55,27900,42.05
2014-08-19,40.05,41.35,40.00,40.20,8800,39.73
2014-08-18,41.50,41.50,40.00,40.45,22200,39.98
2014-08-15,40.05,40.05,40.05,40.05,000,39.58
2014-08-14,42.40,42.40,38.50,40.05,6800,39.58
2014-08-13,42.20,42.20,39.40,40.05,15700,39.58
2014-08-12,38.55,39.65,38.05,38.85,3600,38.39
2014-08-11,35.50,40.50,35.50,38.75,6800,38.30
2014-08-08,41.50,42.00,40.05,40.30,23900,39.83
2014-08-07,41.10,42.70,40.65,41.15,22600,40.67
2014-08-06,38.85,41.50,38.75,40.25,26900,39.78
2014-08-05,41.80,41.80,36.50,38.05,15000,37.60
2014-08-04,40.60,41.95,37.25,38.05,22300,37.60
2014-08-01,36.50,40.40,33.70,39.90,58900,39.43
2014-07-31,37.50,37.50,33.60,33.70,8900,33.30
2014-07-30,37.80,37.80,33.65,34.35,18000,33.95
2014-07-29,35.30,35.30,35.30,35.30,000,34.89
2014-07-28,39.00,39.45,34.50,35.30,20400,34.89
2014-07-25,39.95,39.95,37.00,37.40,2300,36.96
2014-07-24,36.25,38.50,36.25,37.60,12000,37.16
2014-07-23,38.55,39.95,38.10,38.85,8300,38.39
2014-07-22,35.50,39.20,35.50,38.55,3600,38.10
2014-07-21,40.45,40.45,38.20,39.20,4100,38.74
2014-07-18,38.10,39.40,38.05,38.40,2500,37.95
2014-07-17,38.50,39.00,38.10,38.90,1900,38.44
2014-07-16,38.00,38.95,37.55,38.00,4100,37.55
2014-07-15,37.45,38.10,37.00,37.00,4600,36.57
2014-07-14,36.05,37.50,36.00,36.55,2200,36.12
2014-07-11,37.55,37.65,36.25,36.70,6200,36.27
2014-07-10,39.45,39.45,37.25,37.55,4500,37.11
2014-07-09,38.05,38.60,37.10,38.05,5200,37.60
2014-07-08,40.00,40.00,38.00,38.50,16500,38.05
2014-07-07,40.00,41.75,39.05,39.45,21000,38.99
2014-07-04,39.10,40.00,39.10,39.65,8300,39.18
2014-07-03,40.10,40.45,39.00,39.40,13300,38.94
2014-07-02,42.90,42.90,40.70,40.85,18600,40.37
2014-07-01,44.30,44.30,41.05,41.60,20900,41.11
2014-06-30,44.80,44.80,39.05,42.60,19100,42.10
2014-06-27,43.00,43.00,39.50,39.60,3000,39.14
2014-06-26,39.30,40.50,39.30,39.65,4900,39.18
2014-06-25,40.95,40.95,39.40,39.75,4800,39.28
2014-06-24,41.00,41.00,39.75,40.20,7300,39.73
2014-06-23,41.00,41.00,39.05,39.45,4100,38.99
2014-06-20,41.80,41.80,39.10,39.35,4100,38.89
2014-06-19,42.20,42.20,39.30,39.70,7200,39.23
2014-06-18,40.85,41.45,40.00,40.90,3800,40.42
2014-06-17,40.35,41.45,40.35,40.45,3100,39.98
2014-06-16,41.35,41.35,40.00,40.75,3800,40.27
2014-06-13,41.45,42.40,39.05,39.35,20600,38.89
2014-06-12,42.90,42.90,41.00,41.55,5900,41.06
2014-06-11,42.25,43.25,41.25,41.60,12500,41.11
2014-06-10,42.30,43.00,41.55,41.90,19100,41.41
2014-06-09,43.75,43.75,41.00,41.00,23500,40.52
2014-06-06,42.85,42.85,40.70,41.60,21900,41.11
2014-06-05,42.00,42.00,40.00,40.75,23300,40.27
2014-06-04,46.30,46.30,40.70,41.45,12200,40.96
2014-06-03,43.85,43.85,40.25,41.15,9900,40.67
2014-06-02,43.05,43.10,40.50,40.75,28000,40.27
2014-05-30,43.00,45.40,42.80,43.95,16200,43.43
2014-05-29,45.00,46.85,44.30,45.20,15200,44.67
2014-05-28,43.10,44.60,41.75,43.90,4700,43.38
2014-05-27,42.75,45.00,42.00,42.90,7700,42.40
2014-05-26,46.70,47.45,43.50,43.90,13700,43.38
2014-05-23,43.80,48.40,43.80,45.40,10500,44.87
2014-05-22,43.70,44.85,43.00,43.70,9600,43.19
2014-05-21,42.00,44.00,41.75,43.70,13700,43.19
2014-05-20,42.00,42.65,40.10,41.40,12900,40.91
2014-05-19,41.15,42.50,41.00,41.85,8400,41.36
2014-05-16,43.95,44.00,40.25,41.10,20000,40.62
2014-05-15,43.35,43.35,41.25,42.40,8500,41.90
2014-05-14,40.55,43.40,40.55,42.60,5100,42.10
2014-05-13,43.50,44.00,42.00,42.85,15000,42.35
2014-05-12,45.15,45.15,43.25,43.45,7100,42.94
2014-05-09,43.95,45.60,43.95,45.30,14500,44.77
2014-05-08,44.50,46.70,44.10,44.75,13400,44.22
2014-05-07,45.25,49.45,45.25,45.75,41600,45.21
2014-05-06,45.95,47.00,43.05,43.85,12900,43.34
2014-05-05,42.05,47.95,41.80,45.80,61400,45.26
2014-05-02,42.25,43.00,41.50,42.65,7200,42.15
2014-05-01,42.85,42.85,42.85,42.85,000,42.35
2014-04-30,44.50,46.40,42.00,42.85,12400,42.35
2014-04-29,44.70,45.25,42.95,44.25,22500,43.73
2014-04-28,43.65,43.65,42.15,42.45,14100,41.95
2014-04-25,43.50,43.50,42.00,42.30,5700,41.80
2014-04-24,42.00,42.00,42.00,42.00,000,41.51
2014-04-23,41.55,43.40,41.20,42.00,9200,41.51
2014-04-22,42.60,43.35,42.50,42.80,6800,42.30
2014-04-21,43.50,43.50,42.00,42.15,3000,41.66
2014-04-18,42.05,42.05,42.05,42.05,000,41.56
2014-04-17,41.15,43.00,41.15,42.05,2200,41.56
2014-04-16,43.00,43.50,41.50,41.85,3900,41.36
2014-04-15,42.65,43.90,42.65,43.40,5300,42.89
2014-04-14,42.45,42.45,42.45,42.45,000,41.95
2014-04-11,47.00,47.90,42.10,42.45,13900,41.95
2014-04-10,43.15,47.90,43.05,45.50,11900,44.97
2014-04-09,44.75,44.75,41.65,43.80,12800,43.29
2014-04-08,41.25,41.25,41.25,41.25,000,40.77
2014-04-07,42.00,42.00,41.00,41.25,6900,40.77
2014-04-04,42.00,43.00,41.90,42.30,12600,41.80
2014-04-03,40.80,43.10,40.80,42.50,16200,42.00
2014-04-02,41.25,42.45,40.35,41.60,18800,41.11
2014-04-01,41.65,41.65,40.50,40.65,4100,40.17
2014-03-31,41.70,41.90,40.30,41.70,1700,41.21
2014-03-28,40.00,42.00,39.50,40.05,2900,39.58
2014-03-27,40.00,40.50,39.20,39.90,7600,39.43
2014-03-26,41.20,41.20,39.10,39.85,5500,39.38
2014-03-25,41.95,42.00,40.15,40.75,5100,40.27
2014-03-24,44.90,45.00,41.70,41.95,10100,41.46
2014-03-21,42.75,42.80,41.00,41.60,5200,41.11
2014-03-20,42.00,42.95,41.75,42.20,2600,41.70
2014-03-19,42.75,43.05,41.20,42.05,6100,41.56
2014-03-18,40.25,41.90,40.25,41.50,7000,41.01
2014-03-17,40.00,40.00,40.00,40.00,000,39.53
2014-03-14,39.10,40.85,39.00,40.00,3700,39.53
2014-03-13,41.00,42.35,40.00,40.05,6900,39.58
2014-03-12,41.45,41.95,40.00,40.85,6600,40.37
2014-03-11,42.00,42.05,40.25,40.90,7300,40.42
2014-03-10,42.10,43.40,41.55,42.40,5300,41.90
2014-03-07,43.00,44.90,42.05,43.00,11400,42.50
2014-03-06,45.80,45.80,42.55,43.75,14700,43.24
2014-03-05,40.70,43.50,39.25,41.40,21300,40.91
2014-03-04,41.75,41.75,39.60,40.55,7500,40.07
2014-03-03,39.45,40.25,38.90,39.65,2800,39.18
2014-02-28,41.80,41.80,39.10,39.30,1800,38.84
2014-02-27,39.65,39.65,39.65,39.65,000,39.18
2014-02-26,33.10,40.35,33.10,39.65,9200,39.18
2014-02-25,38.85,40.40,38.85,40.00,3400,39.53
2014-02-24,43.30,43.30,40.20,40.25,6000,39.78
2014-02-21,41.50,41.50,39.50,40.20,10500,39.73
2014-02-20,43.75,43.75,39.15,39.25,6900,38.79
2014-02-19,44.40,44.40,39.40,39.95,5600,39.48
2014-02-18,38.05,41.65,38.05,40.55,5900,40.07
2014-02-17,41.75,41.75,38.60,39.50,11700,39.04
2014-02-14,41.10,42.10,40.25,41.60,12300,41.11
2014-02-13,40.05,41.50,39.50,39.80,5600,39.33
2014-02-12,39.00,41.10,39.00,40.20,4400,39.73
2014-02-11,40.60,41.85,40.00,40.15,5900,39.68
2014-02-10,42.00,42.80,41.40,41.80,2300,41.31
2014-02-07,42.50,43.40,41.00,41.45,12800,40.96
2014-02-06,44.95,44.95,39.00,41.70,15000,41.21
2014-02-05,36.40,40.10,36.00,39.25,9400,38.79
2014-02-04,36.85,37.90,36.00,36.40,6200,35.97
2014-02-03,37.00,37.85,36.25,37.15,4300,36.71
2014-01-31,40.10,40.20,36.50,37.10,6200,36.66
2014-01-30,41.70,41.90,37.15,37.90,8000,37.45
2014-01-29,42.90,42.90,39.05,39.50,5700,39.04
2014-01-28,38.05,41.00,38.00,39.90,7100,39.43
2014-01-27,40.10,40.95,38.30,39.05,12100,38.59
2014-01-24,43.95,43.95,40.80,41.50,3100,41.01
2014-01-23,45.50,45.50,42.40,43.50,5400,42.99
2014-01-22,47.50,47.50,44.85,45.35,2900,44.82
2014-01-21,44.10,46.50,44.10,46.30,6800,45.76
2014-01-20,46.00,46.50,43.15,44.95,7900,44.42
2014-01-17,47.50,50.80,45.00,46.00,55700,45.46
2014-01-16,40.50,44.95,39.30,43.70,13800,43.19
2014-01-15,40.15,42.95,40.10,41.20,5300,40.72
2014-01-14,39.10,42.50,39.10,42.05,12400,41.56
2014-01-13,44.50,44.50,39.20,40.85,20000,40.37
2014-01-10,47.10,47.95,42.55,43.75,24400,43.24
2014-01-09,47.00,53.70,46.00,48.00,122800,47.44
2014-01-08,39.25,45.40,39.25,45.40,109800,44.87
2014-01-07,36.95,38.95,34.70,37.85,10200,37.41
2014-01-06,33.65,35.90,33.65,35.30,8700,34.89
2014-01-03,33.10,34.60,33.10,34.60,1100,34.19
2014-01-02,35.85,35.90,34.00,34.50,9600,34.09
2014-01-01,34.65,35.45,34.20,34.90,3900,34.49
2013-12-31,31.55,34.75,31.55,33.95,2400,33.55
2013-12-30,34.20,34.20,32.70,33.95,3800,33.55
2013-12-27,34.75,34.75,33.00,33.55,3000,33.16
2013-12-26,34.80,34.80,33.40,33.70,3700,33.30
2013-12-25,33.75,33.75,33.75,33.75,000,33.35
2013-12-24,33.00,33.75,32.50,33.75,500,33.35
2013-12-23,33.50,35.00,33.50,33.75,10300,33.35
2013-12-20,33.25,33.90,32.65,32.85,6200,32.46
2013-12-19,35.75,35.75,31.95,32.50,14300,32.12
2013-12-18,31.00,31.30,30.35,31.15,1000,30.78
2013-12-17,31.00,32.95,30.65,30.95,3100,30.59
2013-12-16,32.90,32.90,30.00,30.05,3600,29.70
2013-12-13,30.95,31.30,29.80,30.00,2300,29.65
2013-12-12,28.80,30.50,28.80,29.70,3900,29.35
2013-12-11,30.00,31.75,29.65,29.75,3900,29.40
2013-12-10,29.10,30.45,29.10,30.35,7000,29.99
2013-12-09,30.30,30.45,29.75,29.85,1900,29.50
2013-12-06,30.15,30.20,29.55,30.20,600,29.85
2013-12-05,30.05,31.00,30.00,30.40,1300,30.04
2013-12-04,32.15,32.55,29.50,30.50,5800,30.14
2013-12-03,31.15,32.00,30.05,30.45,4400,30.09
2013-12-02,32.50,32.50,31.10,31.80,1500,31.43
2013-11-29,32.95,32.95,30.85,31.50,1800,31.13
2013-11-28,31.70,32.50,31.70,32.40,2400,32.02
2013-11-27,30.90,32.35,30.05,31.25,4100,30.88
2013-11-26,30.00,30.00,28.50,29.80,3200,29.45
2013-11-25,30.65,30.65,28.80,29.25,4500,28.91
2013-11-22,30.00,30.00,29.00,29.60,1900,29.25
2013-11-21,29.80,30.50,29.35,29.55,7200,29.20
2013-11-20,32.50,32.50,30.20,30.60,5500,30.24
2013-11-19,31.50,32.45,31.15,32.15,5500,31.77
2013-11-18,34.15,37.50,32.50,32.75,24100,32.37
2013-11-15,33.95,33.95,33.95,33.95,000,33.55
2013-11-14,32.00,34.80,31.05,33.95,12000,33.55
2013-11-13,28.70,33.60,28.50,30.80,10000,30.44
2013-11-12,28.20,29.50,28.10,28.90,6100,28.56
2013-11-11,28.00,28.50,28.00,28.15,6200,27.82
2013-11-08,28.00,28.70,27.70,27.85,3600,27.52
2013-11-07,28.45,28.50,27.75,28.00,3700,27.67
2013-11-06,28.00,28.20,27.65,28.10,2400,27.77
2013-11-05,27.70,28.25,27.45,28.00,11700,27.67
2013-11-04,28.25,28.25,28.25,28.25,000,27.92
2013-11-01,28.00,29.00,27.90,28.25,15100,27.92
2013-10-31,28.40,28.55,28.10,28.10,11300,27.77
2013-10-30,27.40,28.70,27.40,28.50,15900,28.17
2013-10-29,27.50,27.85,27.30,27.70,9300,27.37
2013-10-28,28.15,28.15,26.65,27.60,10900,27.28
2013-10-25,27.00,28.15,27.00,27.70,11900,27.37
2013-10-24,27.50,28.50,27.50,28.45,11300,28.12
2013-10-23,27.60,27.95,27.30,27.55,11300,27.23
2013-10-22,27.90,28.00,27.25,27.65,10200,27.33
2013-10-21,26.80,28.00,26.25,27.65,10700,27.33
2013-10-18,26.90,27.50,26.75,26.75,10900,26.44
2013-10-17,27.10,28.15,26.50,26.90,10700,26.58
2013-10-16,27.10,27.10,27.10,27.10,000,26.78
2013-10-15,27.80,27.90,26.85,27.10,11500,26.78
2013-10-14,27.50,28.45,27.15,27.80,10900,27.47
2013-10-11,27.15,29.00,27.15,27.50,12000,27.18
2013-10-10,27.80,28.50,27.05,28.40,12500,28.07
2013-10-09,27.40,28.50,27.25,27.90,10700,27.57
2013-10-08,28.00,28.15,27.10,27.50,10100,27.18
2013-10-07,28.90,28.90,26.70,28.25,11400,27.92
2013-10-04,29.40,29.40,27.50,28.15,24600,27.82
2013-10-03,25.80,27.95,24.90,27.35,14000,27.03
2013-10-02,25.90,25.90,25.90,25.90,000,25.60
2013-10-01,25.50,26.15,25.00,25.90,10200,25.60
2013-09-30,27.45,27.45,24.90,25.45,3700,25.15
2013-09-27,27.20,27.20,25.50,25.70,3300,25.40
2013-09-26,26.10,27.50,25.50,25.60,4900,25.30
2013-09-25,29.00,29.10,26.60,26.70,1100,26.39
2013-09-24,27.35,28.95,27.30,28.15,5800,27.82
2013-09-23,26.50,28.00,26.50,27.00,6600,26.68
2013-09-20,27.40,27.40,25.70,26.45,1100,26.14
2013-09-19,26.10,26.80,25.90,26.25,2500,25.94
2013-09-18,27.90,27.90,26.25,26.70,1500,25.79
2013-09-17,26.95,27.00,26.00,26.50,4600,25.60
2013-09-16,26.55,27.00,26.00,27.00,1100,26.08
2013-09-13,26.90,27.00,26.25,26.90,3800,25.99
2013-09-12,26.60,27.00,26.60,27.00,2800,26.08
2013-09-11,26.90,27.10,26.15,27.05,3900,26.13
2013-09-10,26.90,27.00,26.25,26.90,4000,25.99
2013-09-09,26.85,26.85,26.85,26.85,000,25.94
2013-09-06,25.55,27.00,25.55,26.85,5700,25.94
2013-09-05,26.10,26.95,25.75,26.15,3700,25.26
2013-09-04,26.50,27.35,25.35,26.05,5800,25.17
2013-09-03,28.60,28.60,26.30,26.50,2700,25.60
2013-09-02,27.45,28.50,27.10,27.45,35700,26.52
2013-08-30,23.55,26.35,23.55,25.30,7500,24.44
2013-08-29,24.50,25.10,24.10,24.45,5400,23.62
2013-08-28,25.50,25.50,24.00,24.30,5700,23.48
2013-08-27,24.90,25.55,24.05,25.35,6500,24.49
2013-08-26,25.60,26.20,24.50,24.90,8800,24.05
2013-08-23,25.20,25.70,25.05,25.15,6400,24.30
2013-08-22,26.80,26.95,24.00,24.95,28500,24.10
2013-08-21,26.80,27.70,26.25,26.40,15400,25.50
2013-08-20,26.80,27.50,26.05,26.95,13000,26.04
2013-08-19,26.90,28.80,26.85,27.00,9500,26.08
2013-08-16,28.00,28.50,26.50,26.90,6700,25.99
2013-08-15,29.75,29.75,29.75,29.75,000,28.74
2013-08-14,28.00,30.00,27.95,29.75,27500,28.74
2013-08-13,27.90,29.50,27.00,27.80,41800,26.86
2013-08-12,25.10,26.50,25.00,26.05,12100,25.17
2013-08-09,25.15,25.15,25.15,25.15,000,24.30
2013-08-08,23.90,25.85,23.75,25.15,9400,24.30
2013-08-07,23.90,24.40,23.50,23.85,7700,23.04
2013-08-06,24.60,24.95,23.00,23.85,9400,23.04
2013-08-05,24.20,25.95,23.50,24.70,8100,23.86
2013-08-02,24.20,24.70,24.00,24.20,9700,23.38
2013-08-01,24.10,24.95,24.10,24.25,7500,23.43
2013-07-31,26.40,26.50,24.00,24.20,12600,23.38
2013-07-30,24.65,25.00,24.25,24.50,10400,23.67
2013-07-29,24.30,24.75,24.10,24.75,9500,23.91
2013-07-26,26.95,26.95,24.00,24.10,11000,23.28
2013-07-25,24.90,25.45,24.40,24.85,12300,24.01
2013-07-24,25.80,26.05,24.75,25.00,12500,24.15
2013-07-23,26.40,26.60,25.60,25.90,11900,25.02
2013-07-22,25.40,28.00,25.40,26.50,11700,25.60
2013-07-19,27.65,28.05,26.50,26.80,12300,25.89
2013-07-18,28.50,29.00,27.65,28.15,9400,27.19
2013-07-17,27.65,28.50,26.95,27.85,30700,26.90
2013-07-16,25.30,27.80,24.75,25.80,18400,24.92
2013-07-15,25.00,25.65,24.85,25.50,11000,24.63
2013-07-12,24.80,25.70,24.55,25.30,13700,24.44
2013-07-11,24.70,25.95,24.70,25.05,12300,24.20
2013-07-10,24.70,25.70,24.70,25.00,16400,24.15
2013-07-09,25.00,25.80,24.30,25.00,18300,24.15
2013-07-08,25.00,25.40,24.00,24.95,11100,24.10
2013-07-05,25.10,25.35,24.55,24.75,13800,23.91
2013-07-04,23.00,25.35,23.00,24.90,13400,24.05
2013-07-03,25.50,25.95,24.10,25.10,13400,24.25
2013-07-02,24.80,25.50,24.55,25.25,12800,24.39
2013-07-01,24.70,25.95,23.55,24.95,12600,24.10
2013-06-28,24.60,26.55,24.10,24.60,22200,23.76
2013-06-27,24.60,25.70,24.20,24.45,36000,23.62
2013-06-26,24.70,24.85,24.00,24.70,31500,23.86
2013-06-25,25.60,25.90,23.95,24.25,37000,23.43
2013-06-24,25.80,26.20,24.25,25.05,31400,24.20
2013-06-21,25.50,26.10,25.15,25.70,31700,24.83
2013-06-20,25.80,26.10,24.60,25.50,31500,24.63
2013-06-19,25.50,26.20,25.50,25.75,30400,24.88
2013-06-18,25.50,26.30,25.30,25.95,31000,25.07
2013-06-17,25.65,26.95,25.40,25.60,30500,24.73
2013-06-14,26.00,28.80,25.15,25.65,29100,24.78
2013-06-13,26.00,27.00,25.30,25.45,33800,24.59
2013-06-12,27.00,27.00,26.00,26.45,29600,25.55
2013-06-11,27.00,27.70,25.70,26.40,28500,25.50
2013-06-10,27.55,28.90,26.50,26.85,27600,25.94
2013-06-07,31.65,31.65,28.00,28.45,24200,27.48
2013-06-06,28.25,30.00,26.50,28.60,25900,27.63
2013-06-05,27.95,31.00,26.50,29.35,36800,28.35
2013-06-04,26.50,27.65,26.05,26.95,20200,26.04
2013-06-03,26.60,27.45,26.60,27.45,500,26.52
2013-05-31,26.50,28.00,24.80,27.20,2500,26.28
2013-05-30,24.00,25.40,24.00,25.40,000,24.54
2013-05-29,24.00,24.00,24.00,24.00,200,23.19
2013-05-28,23.35,24.30,23.35,24.30,1500,23.48
2013-05-27,24.00,24.30,22.80,23.65,1600,22.85
2013-05-24,24.10,24.75,24.00,24.50,1000,23.67
2013-05-23,23.00,24.50,22.70,24.45,3500,23.62
2013-05-22,24.00,25.45,23.45,23.45,1900,22.65
2013-05-21,24.40,24.55,24.40,24.55,600,23.72
2013-05-20,24.30,25.95,24.30,24.65,500,23.81
2013-05-17,25.55,25.55,24.45,25.35,4100,24.49
2013-05-16,24.05,26.65,24.05,25.85,2500,24.97
2013-05-15,24.30,25.95,23.25,24.10,3800,23.28
2013-05-14,24.30,25.85,24.15,25.10,2800,24.25
2013-05-13,27.90,27.90,24.50,24.50,1600,23.67
2013-05-10,27.50,27.50,25.00,25.95,2100,25.07
2013-05-09,26.00,26.00,24.75,24.95,10300,24.10
2013-05-08,28.00,28.00,25.05,25.85,1400,24.97
2013-05-07,29.00,29.00,26.10,26.25,100,25.36
2013-05-06,25.70,26.55,25.70,26.50,400,25.60
2013-05-03,25.90,25.90,25.70,25.70,300,24.83
2013-05-02,26.15,26.15,25.90,25.90,600,25.02
2013-05-01,27.30,27.30,27.30,27.30,000,26.37
2013-04-30,26.25,27.30,25.00,27.30,2800,26.37
2013-04-29,26.50,27.45,26.30,26.30,1900,25.41
2013-04-26,24.85,27.25,24.85,27.20,2700,26.28
2013-04-25,27.00,28.50,26.40,26.40,1400,25.50
2013-04-24,27.00,27.00,27.00,27.00,000,26.08
2013-04-23,28.75,28.90,27.00,27.00,300,26.08
2013-04-22,26.25,28.10,25.35,26.40,3200,25.50
2013-04-19,27.05,27.05,27.05,27.05,000,26.13
2013-04-18,26.15,27.05,26.15,27.05,700,26.13
2013-04-17,26.45,27.45,26.05,27.45,600,26.52
2013-04-16,26.25,27.50,26.25,26.45,300,25.55
2013-04-15,28.75,28.75,25.85,28.45,300,27.48
2013-04-12,26.00,26.95,25.55,26.95,200,26.04
2013-04-11,24.35,26.00,24.35,26.00,600,25.12
2013-04-10,25.75,25.75,25.70,25.70,200,24.83
2013-04-09,25.65,26.95,25.65,26.95,1500,26.04
2013-04-08,26.60,26.70,25.25,26.65,500,25.75
2013-04-05,26.70,26.70,25.35,25.35,200,24.49
2013-04-04,25.00,26.70,25.00,25.25,1800,24.39
2013-04-03,24.65,26.75,24.65,25.60,1300,24.73
2013-04-02,25.00,26.35,24.70,26.10,700,25.21
2013-04-01,26.20,26.20,24.00,24.75,3500,23.91
2013-03-29,24.00,24.00,24.00,24.00,000,23.19
2013-03-28,23.40,24.50,23.35,24.00,500,23.19
2013-03-27,24.90,24.90,24.90,24.90,000,24.05
2013-03-26,25.90,27.00,24.00,24.90,2000,24.05
2013-03-25,25.20,28.55,23.75,26.15,3100,25.26
2013-03-22,24.90,26.30,23.35,26.30,4700,25.41
2013-03-21,28.60,28.60,23.60,23.95,7100,23.14
2013-03-20,27.00,28.95,26.00,26.10,5100,25.21
2013-03-19,30.00,30.00,27.05,28.00,1900,27.05
2013-03-18,29.00,29.00,28.00,28.00,800,27.05
2013-03-15,31.40,31.40,28.00,28.90,900,27.92
2013-03-14,30.00,31.00,26.65,28.55,700,27.58
2013-03-13,30.00,30.75,27.05,28.95,800,27.97
