Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,276.05,292.95,276.05,290.60,4400,290.60
2014-12-22,295.00,297.70,280.00,287.50,21300,287.50
2014-12-19,276.10,292.00,276.10,284.45,6600,284.45
2014-12-18,265.00,288.50,265.00,286.10,9200,286.10
2014-12-17,269.00,273.65,246.35,256.50,7500,256.50
2014-12-16,283.85,283.85,266.00,268.15,12500,268.15
2014-12-15,284.00,293.00,278.10,282.05,5500,282.05
2014-12-12,298.60,302.80,284.15,286.40,5900,286.40
2014-12-11,307.35,309.00,293.50,298.10,7600,298.10
2014-12-10,298.60,310.00,298.60,305.55,6800,305.55
2014-12-09,312.75,314.10,298.00,301.00,11400,301.00
2014-12-08,307.00,310.00,298.85,307.55,16500,307.55
2014-12-05,314.90,321.00,309.50,310.90,18800,310.90
2014-12-04,299.50,323.70,299.50,314.90,69400,314.90
2014-12-03,301.40,305.70,296.00,297.20,16600,297.20
2014-12-02,290.00,298.80,284.60,295.80,9000,295.80
2014-12-01,289.95,307.00,243.00,288.55,17200,288.55
2014-11-28,285.60,294.00,280.10,282.75,4200,282.75
2014-11-27,294.95,296.95,284.65,288.50,6400,288.50
2014-11-26,280.00,304.50,280.00,291.25,16400,291.25
2014-11-25,295.00,296.90,275.00,283.45,9200,283.45
2014-11-24,301.70,306.00,292.20,294.65,36300,294.65
2014-11-21,284.65,309.00,282.10,297.10,57800,297.10
2014-11-20,287.90,291.50,276.70,280.35,13900,280.35
2014-11-19,267.50,302.45,267.50,286.90,54300,286.90
2014-11-18,268.95,268.95,262.05,263.40,4100,263.40
2014-11-17,267.10,274.40,263.40,268.50,9500,268.50
2014-11-14,267.60,270.40,264.05,266.35,15700,266.35
2014-11-13,261.00,261.50,253.60,258.50,2900,258.50
2014-11-12,270.00,275.00,260.20,261.60,10000,261.60
2014-11-11,267.55,276.60,263.20,271.90,11000,271.90
2014-11-10,257.50,268.25,257.50,264.25,5700,264.25
2014-11-07,264.00,264.00,254.05,257.70,3200,257.70
2014-11-06,259.90,259.90,259.90,259.90,000,259.90
2014-11-05,266.90,272.00,256.00,259.90,4300,259.90
2014-11-04,255.00,255.00,255.00,255.00,000,255.00
2014-11-03,264.00,264.75,253.60,255.00,1500,255.00
2014-10-31,252.45,267.00,250.05,260.40,7500,260.40
2014-10-30,250.00,253.90,250.00,251.55,2400,251.55
2014-10-29,251.50,254.50,250.00,250.40,3900,250.40
2014-10-28,250.00,253.60,250.00,251.90,2400,251.90
2014-10-27,250.50,255.40,246.00,249.95,2700,249.95
2014-10-24,240.75,240.75,240.75,240.75,000,240.75
2014-10-23,240.75,240.75,240.75,240.75,000,240.75
2014-10-22,235.00,246.05,235.00,240.75,4200,240.75
2014-10-21,226.55,236.95,226.55,233.35,1700,233.35
2014-10-20,230.40,233.00,222.40,228.20,3100,228.20
2014-10-17,224.60,226.55,218.00,224.25,13500,224.25
2014-10-16,236.10,237.00,220.00,223.40,1700,223.40
2014-10-15,234.95,234.95,234.95,234.95,000,234.95
