Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,184.50,184.50,184.50,184.50,000,184.50
2014-12-22,194.20,194.20,194.20,194.20,000,194.20
2014-12-19,204.40,204.40,204.40,204.40,000,204.40
2014-12-18,215.15,215.15,215.15,215.15,000,215.15
2014-12-17,226.45,226.45,226.45,226.45,000,226.45
2014-12-16,238.35,238.35,238.35,238.35,000,238.35
2014-12-15,250.85,250.85,250.85,250.85,000,250.85
2014-12-12,250.85,250.85,250.85,250.85,100,250.85
2014-12-11,264.05,264.05,264.05,264.05,100400,264.05
2014-12-10,289.00,289.00,277.90,277.90,7100,277.90
2014-12-09,301.00,301.00,287.85,292.50,40500,292.50
2014-12-08,300.00,304.90,300.00,303.00,24200,303.00
2014-12-05,305.00,315.00,290.00,313.65,115400,313.65
2014-12-04,302.00,307.00,285.00,304.65,55000,304.65
2014-12-03,290.50,303.75,290.50,299.50,44900,299.50
2014-12-02,290.50,308.00,290.50,305.25,126900,305.25
2014-12-01,300.00,306.00,283.10,305.55,44200,305.55
2014-11-28,299.90,300.00,285.00,297.85,89200,297.85
2014-11-27,289.50,302.00,289.50,299.20,116200,299.20
2014-11-26,298.00,298.00,272.20,297.10,128400,297.10
2014-11-25,275.10,294.00,275.10,286.45,115600,286.45
2014-11-24,289.50,290.00,270.00,289.45,117500,289.45
2014-11-21,260.50,284.50,260.50,283.05,119400,283.05
2014-11-20,256.75,276.00,256.75,274.20,193600,274.20
2014-11-19,252.10,270.25,252.10,270.25,20000,270.25
2014-11-18,265.35,265.35,265.35,265.35,22200,265.35
2014-11-17,279.30,279.30,279.30,279.30,1000,279.30
2014-11-14,293.95,293.95,293.95,293.95,11100,293.95
2014-11-13,325.00,327.00,309.40,309.40,21700,309.40
2014-11-12,350.00,351.50,322.55,325.65,81600,325.65
2014-11-11,351.00,351.00,339.45,339.50,40400,339.50
2014-11-10,349.00,349.75,345.00,348.30,54200,348.30
2014-11-07,340.55,351.95,340.55,348.85,52700,348.85
2014-11-06,348.55,348.55,348.55,348.55,000,348.55
2014-11-05,350.00,351.95,336.00,336.00,34600,336.00
2014-11-04,350.75,350.75,350.75,350.75,000,350.75
2014-11-03,351.00,351.50,350.00,350.75,28000,350.75
2014-10-31,353.00,353.00,352.50,352.65,13900,352.65
2014-10-30,353.00,353.75,353.00,353.75,17500,353.75
2014-10-29,354.00,354.00,354.00,354.00,6400,354.00
2014-10-28,354.00,354.00,352.00,353.50,11100,353.50
2014-10-27,351.00,354.00,351.00,352.50,9500,352.50
2014-10-24,348.85,348.85,348.85,348.85,000,348.85
2014-10-23,348.85,348.85,348.85,348.85,000,348.85
2014-10-22,348.50,348.95,348.50,348.85,8900,348.85
2014-10-21,353.50,353.50,350.00,351.30,14500,351.30
2014-10-20,350.00,352.50,350.00,351.55,31000,351.55
2014-10-17,349.00,349.90,348.00,349.45,12500,349.45
2014-10-16,349.00,349.00,349.00,349.00,9000,349.00
2014-10-15,349.35,349.35,349.35,349.35,000,349.35
2014-10-14,345.00,350.00,345.00,349.35,51100,349.35
2014-10-13,350.00,350.00,342.75,343.25,39500,343.25
2014-10-10,327.70,345.00,327.70,343.00,23900,343.00
2014-10-09,345.00,345.75,344.90,344.90,27400,344.90
2014-10-08,341.50,341.50,338.95,339.20,56200,339.20
2014-10-07,346.00,346.00,342.00,342.25,43100,342.25
2014-10-06,344.50,344.50,344.50,344.50,000,344.50
2014-10-03,344.50,344.50,344.50,344.50,000,344.50
2014-10-02,344.50,344.50,344.50,344.50,000,344.50
2014-10-01,347.15,347.15,340.10,344.50,8600,344.50
2014-09-30,374.10,374.10,339.50,349.80,18300,349.80
2014-09-29,351.00,356.50,342.05,356.30,61100,356.30
2014-09-26,351.00,355.00,344.85,345.00,85100,345.00
2014-09-25,340.00,352.00,338.15,338.50,28600,338.50
2014-09-24,355.15,356.00,355.15,355.90,56800,355.90
2014-09-23,356.50,358.50,350.10,358.45,73900,358.45
2014-09-22,359.00,360.00,352.10,358.40,68000,358.40
2014-09-19,357.40,360.00,357.40,359.20,38300,359.20
2014-09-18,358.10,360.00,350.15,359.75,83600,359.75
2014-09-17,336.65,357.10,336.65,354.15,105800,354.15
2014-09-16,355.00,355.50,353.85,354.35,49300,354.35
2014-09-15,329.65,353.75,329.65,353.55,53200,353.55
2014-09-12,326.80,350.00,326.80,347.00,87900,347.00
2014-09-11,319.50,350.00,319.50,344.00,17900,344.00
2014-09-10,355.00,355.50,336.30,336.30,21500,336.30
2014-09-09,357.00,357.00,350.00,354.00,46800,354.00
2014-09-08,356.00,357.50,355.00,357.00,53700,357.00
2014-09-05,357.00,357.00,354.50,354.50,20500,354.50
2014-09-04,355.00,356.00,353.00,354.65,20700,354.65
2014-09-03,362.00,362.50,356.50,362.50,56300,362.50
2014-09-02,364.00,364.00,362.00,363.15,41600,363.15
2014-09-01,361.00,364.50,360.00,364.40,77400,364.40
2014-08-29,363.90,363.90,363.90,363.90,000,363.90
2014-08-28,365.00,365.00,362.00,363.90,20400,363.90
2014-08-27,363.50,364.50,363.50,364.50,24200,364.50
2014-08-26,360.00,365.00,360.00,363.95,33400,363.95
2014-08-25,350.00,363.00,345.00,362.70,109900,362.70
2014-08-22,350.50,353.50,350.50,352.50,68400,352.50
2014-08-21,350.00,353.50,350.00,352.50,55600,352.50
2014-08-20,350.50,351.10,350.00,350.80,49900,350.80
2014-08-19,353.00,353.50,351.00,351.00,7500,351.00
2014-08-18,354.00,354.00,351.00,353.25,28000,353.25
2014-08-15,354.00,354.00,354.00,354.00,000,354.00
2014-08-14,354.75,355.50,351.00,354.00,42800,354.00
2014-08-13,351.50,354.50,351.00,354.50,27800,354.50
2014-08-12,354.50,354.50,354.50,354.50,8700,354.50
2014-08-11,350.50,351.75,350.50,351.55,48000,351.55
2014-08-08,350.00,353.00,336.30,351.00,39300,351.00
2014-08-07,355.00,355.00,350.25,354.00,39000,354.00
2014-08-06,354.00,354.00,350.00,350.75,57400,350.75
2014-08-05,352.00,352.00,349.00,349.00,62600,349.00
2014-08-04,352.00,352.50,350.00,351.85,27200,351.85
2014-08-01,353.00,353.00,350.00,350.25,24500,350.25
2014-07-31,348.00,350.00,345.00,350.00,60900,350.00
2014-07-30,352.00,352.75,350.00,352.50,55200,352.50
2014-07-29,350.00,350.00,350.00,350.00,000,350.00
2014-07-28,349.00,350.00,347.00,350.00,48600,350.00
2014-07-25,351.00,353.00,345.00,345.00,19700,345.00
2014-07-24,354.00,354.00,348.15,353.95,46700,353.95
2014-07-23,350.00,355.00,350.00,353.00,29600,353.00
2014-07-22,351.50,351.50,345.00,350.35,17400,350.35
2014-07-21,351.25,351.50,350.00,351.45,51800,351.45
2014-07-18,350.50,352.00,350.50,351.55,60500,351.55
2014-07-17,352.50,352.50,349.00,351.50,52700,351.50
2014-07-16,350.50,350.70,348.15,350.65,56200,350.65
2014-07-15,351.00,351.50,342.25,350.80,76800,350.80
2014-07-14,352.00,352.00,349.20,349.70,58000,349.70
2014-07-11,349.50,351.75,348.50,350.85,60700,350.85
2014-07-10,344.50,344.95,343.95,343.95,5500,343.95
2014-07-09,330.00,341.45,329.00,341.20,70700,341.20
2014-07-08,322.00,325.50,322.00,325.20,42300,325.20
2014-07-07,302.00,315.00,300.00,312.00,92900,312.00
2014-07-04,302.00,302.80,302.00,302.75,30000,302.75
2014-07-03,303.00,304.20,302.00,302.10,132000,302.10
2014-07-02,298.50,299.50,298.00,298.25,41600,298.25
2014-07-01,299.50,300.00,298.05,298.55,49300,298.55
2014-06-30,300.00,301.00,298.00,298.50,100500,298.50
2014-06-27,299.00,299.85,298.00,299.75,77800,299.75
2014-06-26,293.00,294.00,286.00,294.00,113800,294.00
2014-06-25,288.00,288.25,287.50,288.25,96100,288.25
2014-06-24,281.50,282.60,281.50,282.60,77700,282.60
2014-06-23,276.95,277.10,271.70,277.10,110300,277.10
2014-06-20,271.00,271.70,271.00,271.70,81100,271.70
2014-06-19,266.50,266.70,264.00,266.40,94400,266.40
2014-06-18,261.00,261.75,261.00,261.50,97800,261.50
2014-06-17,257.80,257.80,256.50,256.70,36200,256.70
2014-06-16,248.00,252.75,248.00,252.75,87000,252.75
2014-06-13,247.80,247.80,247.80,247.80,73700,247.80
2014-06-12,256.00,256.00,252.85,252.85,52700,252.85
2014-06-11,261.85,261.85,258.00,258.00,39000,258.00
