Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,34.45,36.00,30.50,31.55,62200,31.55
2014-12-22,32.25,36.90,32.00,34.30,391400,34.30
2014-12-19,26.25,33.30,26.25,31.65,153200,31.65
2014-12-18,25.35,27.95,25.35,27.80,32200,27.80
2014-12-17,26.85,26.90,25.80,26.85,25700,26.85
2014-12-16,26.95,26.95,25.40,26.15,17600,26.15
2014-12-15,26.00,26.90,25.40,26.80,1600,26.80
2014-12-12,27.00,27.20,26.35,27.00,5400,27.00
2014-12-11,26.65,27.00,26.35,26.35,3100,26.35
2014-12-10,26.35,27.60,26.35,27.50,10300,27.50
2014-12-09,26.80,27.00,26.15,27.00,4000,27.00
2014-12-08,26.75,27.70,26.75,26.95,5100,26.95
2014-12-05,27.55,27.55,27.00,27.00,2800,27.00
2014-12-04,27.75,28.70,27.00,27.85,4300,27.85
2014-12-03,27.70,29.00,27.50,28.20,6100,28.20
2014-12-02,29.25,29.25,27.55,28.15,1600,28.15
2014-12-01,29.55,33.50,28.20,28.65,12100,28.65
2014-11-28,27.95,29.85,26.10,28.05,12800,28.05
2014-11-27,27.65,28.75,27.50,27.85,3000,27.85
2014-11-26,27.70,27.95,26.20,27.15,10800,27.15
2014-11-25,28.40,28.50,26.10,26.70,11300,26.70
2014-11-24,27.65,28.75,27.15,27.90,7600,27.90
2014-11-21,29.10,29.70,28.00,29.35,8500,29.35
2014-11-20,28.90,30.00,28.45,29.65,31500,29.65
2014-11-19,27.90,28.35,26.50,27.65,9200,27.65
2014-11-18,27.95,27.95,26.60,26.70,5900,26.70
2014-11-17,26.00,28.00,26.00,26.85,4400,26.85
2014-11-14,24.95,26.65,24.50,26.35,25600,26.35
2014-11-13,23.15,24.70,23.15,24.25,5400,24.25
2014-11-12,23.50,23.55,23.30,23.40,10100,23.40
2014-11-11,24.00,24.20,23.45,23.50,1900,23.50
2014-11-10,25.00,25.00,23.80,24.00,4400,24.00
2014-11-07,24.20,24.85,24.00,24.15,1600,24.15
2014-11-06,24.25,24.25,24.25,24.25,000,24.25
2014-11-05,25.30,25.30,24.00,24.25,8500,24.25
2014-11-04,25.30,25.30,25.30,25.30,000,25.30
2014-11-03,24.95,25.35,24.40,25.30,6100,25.30
2014-10-31,24.00,25.25,23.85,24.20,7400,24.20
2014-10-30,25.70,25.70,24.00,24.10,4700,24.10
2014-10-29,23.65,25.85,23.65,24.95,5400,24.95
2014-10-28,24.90,24.90,23.95,24.35,2500,24.35
2014-10-27,25.45,25.50,24.00,24.10,1200,24.10
2014-10-24,24.00,24.00,24.00,24.00,000,24.00
2014-10-23,24.00,24.00,24.00,24.00,000,24.00
2014-10-22,23.60,25.10,23.60,24.00,3500,24.00
2014-10-21,24.15,25.20,24.00,25.20,10800,25.20
2014-10-20,24.35,25.75,23.05,23.50,11800,23.50
2014-10-17,25.90,25.90,24.40,24.70,4600,24.70
2014-10-16,26.50,26.50,25.30,25.30,2000,25.30
2014-10-15,25.50,25.50,25.50,25.50,000,25.50
2014-10-14,26.35,26.35,25.30,25.50,2700,25.50
2014-10-13,26.50,26.55,25.10,25.30,3900,25.30
2014-10-10,26.00,27.30,25.15,26.35,3400,26.35
2014-10-09,27.00,28.45,26.10,26.40,11500,26.40
2014-10-08,29.90,30.05,26.60,27.15,10300,27.15
2014-10-07,27.95,29.50,27.55,29.15,26100,29.15
2014-10-06,27.20,27.20,27.20,27.20,000,27.20
2014-10-03,27.20,27.20,27.20,27.20,000,27.20
2014-10-02,27.20,27.20,27.20,27.20,000,27.20
2014-10-01,28.40,28.50,26.80,27.20,8000,27.20
2014-09-30,28.00,28.30,27.15,27.95,10500,27.95
2014-09-29,29.40,30.50,28.65,28.75,7100,28.75
2014-09-26,26.00,29.85,25.45,27.85,21600,27.85
2014-09-25,29.50,30.00,26.95,27.15,14800,27.15
2014-09-24,30.95,31.00,29.30,29.80,13100,29.80
2014-09-23,33.65,33.65,31.00,31.05,39000,31.05
2014-09-22,32.75,33.80,32.00,32.50,115800,32.50
2014-09-19,31.80,32.75,30.20,31.60,98800,31.60
2014-09-18,30.30,32.00,29.65,31.10,35800,31.10
2014-09-17,31.00,31.25,28.15,29.15,13900,29.15
2014-09-16,34.50,36.45,30.55,30.55,83000,30.55
2014-09-15,33.75,33.90,32.50,33.90,77100,33.90
2014-09-12,28.60,31.20,25.65,30.85,80300,30.85
2014-09-11,25.85,28.80,25.45,28.25,35600,28.25
2014-09-10,25.80,25.90,24.00,24.75,8800,24.75
2014-09-09,25.75,25.75,22.15,24.30,12800,24.30
2014-09-08,18.10,25.00,18.10,24.25,11600,24.25
2014-09-05,20.05,21.50,19.80,21.50,3000,21.50
2014-09-04,22.40,23.90,20.40,21.65,3600,21.65
2014-09-03,23.20,24.50,22.00,22.35,2600,22.35
2014-09-02,24.80,24.80,23.40,23.40,3600,23.40
2014-09-01,23.50,23.95,22.70,23.95,21500,23.95
2014-08-29,21.80,21.80,21.80,21.80,000,21.80
2014-08-28,23.65,23.65,21.60,21.80,400,21.80
2014-08-27,23.90,23.90,22.30,22.45,1700,22.45
2014-08-26,23.40,24.00,21.75,22.25,14400,22.25
2014-08-25,21.25,23.65,21.25,23.40,2200,23.40
2014-08-22,21.70,22.65,21.25,22.60,13300,22.60
2014-08-21,23.20,23.20,21.15,22.50,2800,22.50
2014-08-20,21.40,23.15,21.40,22.00,4400,22.00
2014-08-19,21.30,22.00,21.30,22.00,1700,22.00
2014-08-18,21.70,21.70,21.65,21.65,100,21.65
2014-08-15,19.95,19.95,19.95,19.95,000,19.95
2014-08-14,21.75,21.75,19.00,19.95,1500,19.95
2014-08-13,21.50,21.50,19.90,19.90,300,19.90
2014-08-12,21.00,22.00,21.00,21.10,1400,21.10
2014-08-11,20.15,21.90,20.10,20.80,3200,20.80
2014-08-08,20.20,20.75,20.20,20.70,1200,20.70
2014-08-07,20.70,22.20,20.70,21.50,800,21.50
2014-08-06,20.70,21.95,20.70,21.95,1400,21.95
2014-08-05,20.35,21.60,20.35,21.60,800,21.60
2014-08-04,21.30,21.40,20.90,20.95,2000,20.95
2014-08-01,21.25,21.90,20.70,20.70,1200,20.70
2014-07-31,21.75,21.75,21.75,21.75,100,21.75
2014-07-30,22.00,22.00,21.90,22.00,1400,22.00
2014-07-29,22.50,22.50,22.50,22.50,000,22.50
2014-07-28,22.50,22.50,22.50,22.50,000,22.50
2014-07-25,22.60,23.65,22.50,22.50,2800,22.50
2014-07-24,23.75,23.90,22.90,23.00,2000,23.00
2014-07-23,22.30,24.00,22.30,23.05,2600,23.05
