Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,10.85,10.85,10.85,10.85,000,10.85
2014-12-22,10.15,10.50,10.01,10.50,700,10.50
2014-12-19,10.49,10.49,10.00,10.42,500,10.42
2014-12-18,10.30,10.50,10.00,10.02,3900,10.02
2014-12-17,9.15,11.75,9.15,11.75,100,11.75
2014-12-16,10.05,11.39,10.05,11.00,1100,11.00
2014-12-15,10.94,10.94,10.94,10.94,000,10.94
2014-12-12,10.10,11.40,10.10,10.65,800,10.65
2014-12-11,10.20,11.30,10.20,11.00,700,11.00
2014-12-10,11.85,11.85,10.35,10.99,400,10.99
2014-12-09,10.40,11.94,10.40,10.45,300,10.45
2014-12-08,10.80,11.70,10.50,11.00,1500,11.00
2014-12-05,11.70,11.70,11.70,11.70,000,11.70
2014-12-04,11.60,11.60,11.60,11.60,000,11.60
2014-12-03,11.99,11.99,10.85,11.60,100,11.60
2014-12-02,10.80,10.80,10.80,10.80,000,10.80
2014-12-01,10.60,13.15,10.20,11.75,2800,11.75
2014-11-28,10.39,11.00,10.36,11.00,700,11.00
2014-11-27,10.51,11.40,10.51,11.35,2300,11.35
2014-11-26,10.75,11.30,10.75,11.29,2500,11.29
2014-11-25,10.89,11.30,10.89,11.30,1500,11.30
2014-11-24,11.83,11.83,9.65,10.75,20500,10.75
2014-11-21,10.68,10.79,10.55,10.56,1100,10.56
2014-11-20,10.55,10.77,10.46,10.51,1200,10.51
2014-11-19,10.40,10.75,10.40,10.63,1500,10.63
2014-11-18,10.50,10.87,10.50,10.87,3700,10.87
2014-11-17,10.60,10.75,10.50,10.67,5100,10.67
2014-11-14,10.80,10.99,10.27,10.94,3600,10.94
2014-11-13,10.80,10.99,10.60,10.60,3000,10.60
2014-11-12,10.50,10.83,10.50,10.57,6300,10.57
2014-11-11,11.00,11.50,10.41,10.57,7700,10.57
2014-11-10,13.65,13.65,10.80,10.96,5600,10.96
2014-11-07,11.16,11.89,11.00,11.75,5000,11.75
2014-11-06,12.00,12.00,12.00,12.00,000,12.00
2014-11-05,11.74,12.00,11.74,12.00,5000,12.00
2014-11-04,11.17,11.17,11.17,11.17,000,11.17
2014-11-03,12.40,12.40,10.50,11.17,500,11.17
2014-10-31,10.99,11.00,10.61,10.69,1200,10.69
2014-10-30,12.50,12.50,10.66,11.34,200,11.34
2014-10-29,10.46,11.99,10.46,10.81,500,10.81
2014-10-28,10.63,11.99,10.63,11.84,600,11.84
2014-10-27,11.00,13.20,10.15,12.58,3300,12.58
2014-10-24,11.94,11.94,11.94,11.94,000,11.94
2014-10-23,11.94,11.94,11.94,11.94,000,11.94
2014-10-22,11.94,11.94,10.90,11.94,000,11.94
2014-10-21,10.99,11.60,10.61,11.50,3000,11.50
2014-10-20,11.00,11.00,10.76,10.86,1400,10.86
2014-10-17,11.00,11.25,10.79,11.17,1100,11.17
2014-10-16,10.90,11.99,10.78,11.68,1100,11.68
2014-10-15,10.98,10.98,10.98,10.98,000,10.98
2014-10-14,10.89,10.99,10.81,10.98,400,10.98
2014-10-13,10.95,11.50,10.80,11.50,400,11.50
2014-10-10,11.10,11.30,10.81,10.99,2000,10.99
2014-10-09,10.10,12.00,10.10,11.19,6200,11.19
2014-10-08,12.94,12.94,11.05,11.28,1000,11.28
2014-10-07,11.99,11.99,11.99,11.99,000,11.99
2014-10-06,11.26,11.26,11.26,11.26,000,11.26
2014-10-03,11.26,11.26,11.26,11.26,000,11.26
2014-10-02,11.26,11.26,11.26,11.26,000,11.26
2014-10-01,12.55,12.55,11.21,11.26,900,11.26
2014-09-30,12.70,12.70,11.05,11.61,2100,11.61
2014-09-29,11.31,12.15,11.31,11.91,000,11.91
2014-09-26,12.80,12.80,11.67,11.67,000,11.67
2014-09-25,11.99,11.99,10.81,11.97,300,11.97
2014-09-24,11.05,11.79,11.00,11.23,3400,11.23
2014-09-23,11.91,12.05,11.90,12.00,1800,12.00
2014-09-22,12.50,12.50,11.61,11.85,4800,11.85
2014-09-19,12.49,12.49,12.01,12.49,1000,12.49
2014-09-18,11.99,13.64,11.95,12.04,9100,12.04
2014-09-17,12.95,12.95,10.95,12.40,5500,12.40
