Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,24.20,24.55,22.50,22.95,132400,22.95
2014-12-22,24.70,24.90,23.65,24.20,176700,24.20
2014-12-19,25.00,25.50,23.80,24.10,437600,24.10
2014-12-18,20.00,23.80,20.00,23.80,613500,23.80
2014-12-17,20.70,21.20,17.80,19.85,363000,19.85
2014-12-16,22.00,22.20,20.45,20.65,308000,20.65
2014-12-15,22.55,23.10,22.00,22.30,186900,22.30
2014-12-12,23.70,24.10,22.55,22.90,138600,22.90
2014-12-11,23.90,24.15,23.25,23.70,153100,23.70
2014-12-10,24.00,24.35,23.60,24.00,111200,24.00
2014-12-09,25.55,25.80,23.65,23.80,344300,23.80
2014-12-08,26.00,26.70,25.15,25.50,191800,25.50
2014-12-05,26.10,26.70,25.75,26.05,274200,26.05
2014-12-04,25.55,26.25,25.25,25.90,165100,25.90
2014-12-03,25.40,26.25,24.90,25.40,296000,25.40
2014-12-02,24.40,26.20,23.80,25.25,264000,25.25
2014-12-01,25.95,26.00,24.10,24.35,194200,24.35
2014-11-28,26.90,27.35,25.80,26.05,193800,26.05
2014-11-27,27.25,27.25,25.65,26.30,472200,26.30
2014-11-26,26.25,27.00,25.65,26.30,190300,26.30
2014-11-25,26.85,27.50,25.40,26.15,371700,26.15
2014-11-24,27.50,27.50,26.40,26.55,249100,26.55
2014-11-21,27.50,28.10,26.80,27.15,465600,27.15
2014-11-20,28.10,28.35,27.00,27.55,288400,27.55
2014-11-19,29.15,29.75,27.70,28.00,414100,28.00
2014-11-18,30.00,30.10,29.15,29.40,293700,29.40
2014-11-17,30.20,30.45,29.25,30.00,506300,30.00
2014-11-14,28.05,30.40,28.00,29.80,776500,29.80
2014-11-13,30.40,30.40,28.30,28.55,504800,28.55
2014-11-12,29.30,30.70,28.10,29.90,1422200,29.90
2014-11-11,26.55,28.90,24.40,28.90,1302600,28.90
2014-11-10,27.10,27.45,25.95,26.30,431100,26.30
2014-11-07,29.00,29.00,26.50,27.20,664000,27.20
2014-11-06,28.75,28.75,28.75,28.75,000,28.75
2014-11-05,30.00,30.30,28.50,28.75,1277700,28.75
2014-11-04,27.90,27.90,27.90,27.90,000,27.90
2014-11-03,27.00,28.15,26.60,27.90,778300,27.90
2014-10-31,26.80,27.95,26.10,26.50,1008600,26.50
2014-10-30,23.75,26.05,23.35,26.05,832400,26.05
2014-10-29,24.45,25.00,23.25,23.70,436500,23.70
2014-10-28,26.00,26.70,23.35,24.05,1057500,24.05
2014-10-27,26.00,27.00,24.50,25.75,1631000,25.75
2014-10-24,23.45,23.45,23.45,23.45,000,23.45
2014-10-23,23.45,23.45,23.45,23.45,000,23.45
2014-10-22,22.55,23.90,22.10,23.45,1529500,23.45
2014-10-21,18.85,22.20,18.85,21.60,2034300,21.60
2014-10-20,18.00,18.85,17.85,18.65,479600,18.65
2014-10-17,17.00,17.75,16.10,17.20,280700,17.20
2014-10-16,17.75,18.25,16.25,16.45,228400,16.45
2014-10-15,17.80,17.80,17.80,17.80,000,17.80
2014-10-14,18.00,18.30,17.65,17.80,162300,17.80
2014-10-13,17.95,18.30,17.60,17.90,253300,17.90
2014-10-10,18.40,18.45,17.80,17.90,266300,17.90
2014-10-09,19.00,19.45,18.20,18.65,328200,18.65
2014-10-08,19.00,19.30,17.55,18.15,268900,18.15
2014-10-07,19.45,20.00,18.80,18.95,455200,18.95
2014-10-06,18.95,18.95,18.95,18.95,000,18.95
2014-10-03,18.95,18.95,18.95,18.95,000,18.95
2014-10-02,18.95,18.95,18.95,18.95,000,18.95
2014-10-01,18.00,19.20,17.90,18.95,754800,18.95
2014-09-30,18.30,18.78,17.21,17.47,308700,17.47
2014-09-29,16.00,17.45,16.00,17.45,431800,17.45
2014-09-26,16.00,16.44,15.53,15.87,106500,15.87
2014-09-25,16.80,17.25,16.01,16.24,135300,16.24
2014-09-24,17.44,17.44,16.60,16.66,101700,16.66
2014-09-23,18.02,18.88,17.00,17.19,404600,17.19
2014-09-22,16.50,17.84,16.27,17.51,337000,17.51
2014-09-19,15.80,16.45,15.75,16.22,122400,16.22
2014-09-18,15.94,16.29,15.81,16.09,175300,16.09
2014-09-17,16.09,16.42,15.55,15.94,209100,15.94
2014-09-16,16.95,17.25,15.63,15.87,212200,15.87
2014-09-15,16.75,17.19,16.60,16.75,133200,16.75
2014-09-12,17.47,17.50,16.90,16.98,118500,16.98
2014-09-11,17.45,17.70,17.01,17.20,240200,17.20
2014-09-10,16.76,17.50,16.50,17.41,409200,17.41
2014-09-09,17.60,17.60,16.68,16.80,187300,16.80
2014-09-08,17.06,17.60,16.61,17.41,150600,17.41
2014-09-05,17.00,17.39,16.41,16.71,229200,16.71
2014-09-04,17.75,17.75,16.79,16.86,289100,16.86
2014-09-03,18.25,18.25,17.10,17.65,224700,17.65
2014-09-02,16.88,17.70,16.80,17.58,170100,17.58
2014-09-01,17.25,17.38,16.75,16.88,189600,16.88
2014-08-29,17.12,17.12,17.12,17.12,000,17.12
2014-08-28,17.80,17.80,17.05,17.12,164100,17.12
2014-08-27,17.10,17.85,17.00,17.52,315600,17.52
2014-08-26,17.58,17.89,16.90,17.00,218900,17.00
2014-08-25,18.00,18.40,17.40,17.49,390800,17.49
2014-08-22,17.87,18.39,17.70,17.92,444500,17.92
2014-08-21,20.30,20.30,18.56,18.57,1157700,18.57
2014-08-20,19.19,19.53,18.40,19.53,1975200,19.53
2014-08-19,18.30,18.60,18.25,18.60,365100,18.60
2014-08-18,17.20,17.72,17.20,17.72,451600,17.72
2014-08-15,16.88,16.88,16.88,16.88,000,16.88
2014-08-14,16.25,16.88,15.62,16.88,308000,16.88
2014-08-13,16.50,17.14,15.90,16.08,835100,16.08
2014-08-12,16.55,16.80,16.15,16.33,364500,16.33
2014-08-11,18.20,18.60,16.90,16.90,599800,16.90
2014-08-08,17.30,17.82,16.20,17.78,2176300,17.78
2014-08-07,16.98,16.98,16.98,16.98,408800,16.98
2014-08-06,15.05,16.18,15.00,16.18,617000,16.18
2014-08-05,13.70,14.71,12.96,14.71,1065200,14.71
2014-08-04,12.55,13.40,12.25,13.38,485300,13.38
2014-08-01,12.15,12.53,12.12,12.24,39900,12.24
2014-07-31,12.06,12.48,12.06,12.33,74300,12.33
2014-07-30,12.44,12.44,12.00,12.13,34800,12.13
2014-07-29,12.09,12.09,12.09,12.09,000,12.09
2014-07-28,12.64,12.93,12.00,12.09,137500,12.09
2014-07-25,12.65,12.65,12.02,12.49,183700,12.49
2014-07-24,12.70,12.70,12.00,12.46,163800,12.46
2014-07-23,12.70,12.90,11.92,12.20,106500,12.20
2014-07-22,12.35,12.51,12.29,12.51,176400,12.51
2014-07-21,11.30,11.92,11.30,11.92,103700,11.92
2014-07-18,11.32,11.55,11.20,11.36,85000,11.36
2014-07-17,11.21,11.50,11.21,11.42,52600,11.42
2014-07-16,11.78,11.79,11.40,11.47,273200,11.37
2014-07-15,11.25,11.32,10.85,11.32,50000,11.22
2014-07-14,11.00,11.00,10.72,10.79,90800,10.70
2014-07-11,12.10,12.10,11.28,11.28,112100,11.18
2014-07-10,12.00,12.39,11.47,11.87,106800,11.77
2014-07-09,12.20,12.45,12.06,12.06,93600,11.95
2014-07-08,12.85,13.00,12.63,12.69,147700,12.58
2014-07-07,13.50,13.50,13.06,13.29,90700,13.17
2014-07-04,13.45,13.60,12.96,13.08,112100,12.97
2014-07-03,13.25,13.50,12.90,13.44,371500,13.32
2014-07-02,12.70,13.15,12.60,13.15,222900,13.04
2014-07-01,12.35,12.60,12.20,12.53,89500,12.42
2014-06-30,12.00,12.22,11.70,12.22,220000,12.11
2014-06-27,12.00,12.00,11.32,11.64,355300,11.54
2014-06-26,11.60,11.95,11.50,11.66,46900,11.56
2014-06-25,11.75,12.20,11.70,11.75,38100,11.65
2014-06-24,11.93,11.93,11.65,11.73,70300,11.63
2014-06-23,11.85,11.85,11.16,11.40,48100,11.30
2014-06-20,11.80,11.90,11.32,11.38,86000,11.28
2014-06-19,12.25,12.69,11.66,11.91,89600,11.81
2014-06-18,13.10,13.10,12.22,12.27,80600,12.16
2014-06-17,12.65,13.00,12.35,12.86,60700,12.75
2014-06-16,12.80,12.90,12.46,12.63,98300,12.52
2014-06-13,14.35,14.35,13.11,13.11,180000,13.00
2014-06-12,14.06,14.25,13.60,13.80,136500,13.68
