Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,13.00,13.00,13.00,13.00,000,13.00
2014-12-22,11.40,11.40,11.40,11.40,10200,11.40
2014-12-19,11.40,11.45,11.40,11.40,18000,11.40
2014-12-18,12.45,12.45,11.40,11.40,19600,11.40
2014-12-17,11.40,11.40,11.15,11.15,19600,11.15
2014-12-16,11.00,11.65,11.00,11.05,22600,11.05
2014-12-15,10.75,11.45,10.75,10.80,2000,10.80
2014-12-12,11.20,11.20,11.20,11.20,000,11.20
2014-12-11,11.90,11.90,10.90,11.20,13300,11.20
2014-12-10,12.80,12.80,11.20,11.20,11900,11.20
2014-12-09,12.80,12.80,12.80,12.80,000,12.80
2014-12-08,12.70,12.80,12.70,12.80,2000,12.80
2014-12-05,11.50,13.00,11.50,13.00,6600,13.00
2014-12-04,12.65,13.50,12.65,13.50,3700,13.50
2014-12-03,14.00,14.00,14.00,14.00,000,14.00
2014-12-02,13.30,14.00,13.30,14.00,1300,14.00
2014-12-01,14.00,14.00,14.00,14.00,1000,14.00
2014-11-28,15.90,15.90,15.90,15.90,200,15.90
2014-11-27,15.20,16.50,15.20,16.50,300,16.50
2014-11-26,17.00,17.00,14.95,14.95,600,14.95
2014-11-25,14.80,14.80,14.80,14.80,000,14.80
2014-11-24,14.95,15.00,14.25,15.00,600,15.00
2014-11-21,15.55,15.55,15.55,15.55,300,15.55
2014-11-20,15.90,15.90,15.90,15.90,4600,15.90
2014-11-19,16.20,16.20,16.20,16.20,700,16.20
2014-11-18,16.95,16.95,16.80,16.80,2900,16.80
2014-11-17,19.55,19.55,17.00,17.00,200,17.00
2014-11-14,17.00,17.45,17.00,17.45,4600,17.45
2014-11-13,16.55,17.45,16.55,17.45,4600,17.45
2014-11-12,16.90,17.05,16.70,16.70,3800,16.70
2014-11-11,18.95,18.95,18.95,18.95,000,18.95
2014-11-10,16.50,16.95,16.50,16.95,1700,16.95
2014-11-07,16.60,16.90,16.60,16.90,4000,16.90
2014-11-06,17.90,17.90,17.90,17.90,000,17.90
2014-11-05,16.50,17.90,16.50,17.90,2500,17.90
2014-11-04,16.00,16.00,16.00,16.00,000,16.00
2014-11-03,16.20,16.60,16.00,16.00,3000,16.00
2014-10-31,16.60,17.15,16.60,17.15,4100,17.15
2014-10-30,16.05,16.95,16.05,16.95,1900,16.95
2014-10-29,17.00,17.00,16.90,16.90,6300,16.90
2014-10-28,16.50,17.50,16.50,17.50,8600,17.50
2014-10-27,17.00,17.00,16.80,16.80,6100,16.80
2014-10-24,17.85,17.85,17.85,17.85,000,17.85
2014-10-23,17.85,17.85,17.85,17.85,000,17.85
2014-10-22,16.00,17.85,16.00,17.85,9300,17.85
2014-10-21,16.40,16.40,15.00,15.00,8000,15.00
2014-10-20,16.00,16.00,15.60,15.60,2700,15.60
2014-10-17,15.00,16.00,15.00,16.00,3400,16.00
2014-10-16,15.00,15.00,15.00,15.00,1000,15.00
2014-10-15,16.00,16.00,16.00,16.00,000,16.00
2014-10-14,15.80,16.00,15.80,16.00,1400,16.00
2014-10-13,15.90,15.90,15.90,15.90,000,15.90
2014-10-10,15.90,15.95,15.00,15.90,7200,15.90
2014-10-09,15.00,16.00,15.00,15.20,2500,15.20
2014-10-08,16.25,16.25,16.25,16.25,000,16.25
2014-10-07,16.25,16.25,16.25,16.25,000,16.25
2014-10-06,16.25,16.25,16.25,16.25,000,16.25
2014-10-03,16.25,16.25,16.25,16.25,000,16.25
2014-10-02,16.25,16.25,16.25,16.25,000,16.25
2014-10-01,16.30,16.30,16.25,16.25,2500,16.25
2014-09-30,16.80,16.80,15.00,16.05,3300,16.05
2014-09-29,18.40,18.50,15.00,15.90,3100,15.90
2014-09-26,16.85,16.85,16.85,16.85,500,16.85
2014-09-25,16.75,16.75,16.75,16.75,100,16.75
2014-09-24,16.05,16.75,15.65,15.65,1600,15.65
2014-09-23,16.35,18.25,15.05,16.95,5100,16.95
2014-09-22,15.00,16.70,14.15,15.35,24400,15.35
2014-09-19,16.80,16.80,16.80,16.80,1500,16.80
2014-09-18,16.50,16.50,16.50,16.50,000,16.50
2014-09-17,17.00,17.75,14.75,16.50,5400,16.50
2014-09-16,18.20,18.20,18.20,18.20,100,18.20
2014-09-15,17.00,18.20,16.00,16.55,4200,16.55
2014-09-12,18.00,18.00,16.65,17.00,3300,17.00
2014-09-11,18.15,18.20,18.15,18.20,2000,18.20
2014-09-10,18.20,18.20,17.35,17.40,10900,17.40
2014-09-09,17.00,17.95,16.50,17.95,1500,17.95
2014-09-08,18.45,18.45,17.50,17.55,500,17.55
2014-09-05,18.65,19.90,17.50,18.50,14700,18.50
2014-09-04,19.70,19.70,18.00,19.35,20900,19.35
2014-09-03,17.50,19.30,17.50,19.15,23200,19.15
2014-09-02,17.20,18.45,17.00,17.60,6000,17.60
2014-09-01,17.60,19.75,17.60,18.50,6000,18.50
2014-08-29,18.00,18.00,18.00,18.00,000,18.00
2014-08-28,18.90,18.90,17.60,18.00,5500,18.00
2014-08-27,18.45,18.45,18.45,18.45,000,18.45
2014-08-26,18.70,18.70,17.05,18.40,2100,18.40
2014-08-25,18.70,18.70,18.70,18.70,100,18.70
2014-08-22,17.30,18.70,17.10,17.80,13900,17.80
2014-08-21,18.90,18.95,18.90,18.95,2000,18.95
2014-08-20,18.35,18.55,16.60,17.85,7300,17.85
2014-08-19,17.20,18.65,17.20,18.40,1200,18.40
2014-08-18,17.65,18.95,17.05,18.85,3100,18.85
2014-08-15,18.75,18.75,18.75,18.75,000,18.75
2014-08-14,19.50,20.85,18.00,18.75,7900,18.75
2014-08-13,19.05,19.50,19.05,19.50,4100,19.50
2014-08-12,20.95,20.95,20.95,20.95,000,20.95
2014-08-11,18.70,19.85,18.70,19.85,2800,19.85
2014-08-08,18.60,20.45,18.60,20.45,4600,20.45
2014-08-07,18.75,19.95,18.70,19.95,2100,19.95
2014-08-06,20.00,20.00,18.40,19.50,4500,19.50
2014-08-05,18.60,20.55,18.60,19.90,8600,19.90
2014-08-04,19.40,19.40,18.85,18.85,5400,18.85
2014-08-01,18.95,18.95,18.00,18.60,15900,18.60
2014-07-31,19.15,19.50,18.05,18.05,22000,18.05
2014-07-30,18.10,19.15,18.10,18.85,7100,18.85
2014-07-29,18.95,18.95,18.95,18.95,000,18.95
2014-07-28,17.70,18.95,17.70,18.95,200,18.95
2014-07-25,19.75,19.80,18.10,18.75,7300,18.75
2014-07-24,17.65,19.25,17.60,19.05,12000,19.05
2014-07-23,18.70,18.75,18.20,18.75,13800,18.75
2014-07-22,19.70,19.70,18.50,18.95,9500,18.95
