Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,49.85,49.85,49.85,49.85,000,49.85
2014-12-22,49.85,49.90,49.80,49.85,000,49.85
2014-12-19,46.00,50.00,43.10,49.40,321300,49.40
2014-12-18,48.55,48.60,43.10,46.00,18100,46.00
2014-12-17,46.55,46.60,41.25,46.25,107900,46.25
2014-12-16,45.90,46.10,45.90,46.10,100000,46.10
2014-12-15,46.25,46.30,42.40,44.40,33500,44.40
2014-12-12,46.15,49.00,44.10,44.65,7800,44.65
2014-12-11,50.00,50.00,46.00,49.60,85500,49.60
2014-12-10,48.70,52.00,45.20,51.85,283300,51.85
2014-12-09,38.00,47.40,38.00,47.30,180200,47.30
2014-12-08,46.45,46.45,42.05,45.75,72400,45.75
2014-12-05,43.00,47.45,40.05,44.35,34100,44.35
2014-12-04,45.65,45.65,43.85,43.85,4000,43.85
2014-12-03,51.00,54.00,45.15,48.70,210300,48.70
2014-12-02,49.20,49.20,49.20,49.20,000,49.20
2014-12-01,45.00,51.00,45.00,49.20,106600,49.20
2014-11-28,47.00,51.00,44.00,47.00,200,47.00
2014-11-27,48.15,48.15,43.60,47.85,233400,47.85
2014-11-26,47.95,47.95,47.95,47.95,000,47.95
2014-11-25,48.00,48.00,47.95,47.95,60000,47.95
2014-11-24,48.75,48.75,48.40,48.45,69000,48.45
2014-11-21,47.90,48.95,44.05,48.70,87200,48.70
2014-11-20,47.00,49.35,44.95,45.00,200,45.00
2014-11-19,50.00,55.30,45.90,49.60,11200,49.60
2014-11-18,48.95,51.00,45.05,51.00,61600,51.00
2014-11-17,48.00,48.00,45.00,46.40,136400,46.40
2014-11-14,48.90,48.90,42.20,45.15,53200,45.15
2014-11-13,44.50,46.50,44.50,45.00,38000,45.00
2014-11-12,46.00,46.00,45.50,45.90,37300,45.90
2014-11-11,42.00,50.25,41.60,49.70,71000,49.70
2014-11-10,41.80,46.20,41.80,46.20,300,46.20
2014-11-07,44.00,44.00,44.00,44.00,100,44.00
2014-11-06,45.90,45.90,45.90,45.90,000,45.90
2014-11-05,47.30,49.40,44.95,45.90,54600,45.90
2014-11-04,47.30,47.30,47.30,47.30,000,47.30
2014-11-03,49.95,49.95,47.30,47.30,200,47.30
2014-10-31,49.75,49.75,49.75,49.75,000,49.75
2014-10-30,50.00,50.00,49.75,49.75,66000,49.75
2014-10-29,50.00,50.75,50.00,50.00,96100,50.00
2014-10-28,49.00,50.00,48.45,49.95,5100,49.95
2014-10-27,48.95,50.95,48.95,50.95,100,50.95
2014-10-24,51.50,51.50,51.50,51.50,000,51.50
2014-10-23,51.50,51.50,51.50,51.50,000,51.50
2014-10-22,51.50,51.50,51.50,51.50,000,51.50
2014-10-21,48.90,49.15,45.10,49.15,179600,49.15
2014-10-20,45.85,46.85,45.15,46.85,50700,46.85
2014-10-17,45.00,47.35,43.20,44.90,19300,44.90
2014-10-16,46.00,46.00,41.00,45.10,2500,45.10
2014-10-15,41.95,41.95,41.95,41.95,000,41.95
2014-10-14,38.50,42.85,38.50,41.95,500,41.95
2014-10-13,38.90,42.50,38.90,40.10,4000,40.10
2014-10-10,37.30,39.50,36.00,38.90,1800,38.90
2014-10-09,39.00,39.00,38.50,38.85,7200,38.85
2014-10-08,31.40,38.25,31.40,38.00,3500,38.00
2014-10-07,35.00,35.00,34.80,34.80,20000,34.80
2014-10-06,35.45,35.45,35.45,35.45,000,35.45
2014-10-03,35.45,35.45,35.45,35.45,000,35.45
2014-10-02,35.45,35.45,35.45,35.45,000,35.45
2014-10-01,33.20,35.45,33.20,35.45,300,35.45
2014-09-30,36.00,36.00,33.50,35.80,12700,35.80
2014-09-29,32.55,37.85,32.55,35.20,130600,35.20
2014-09-26,30.50,36.45,30.50,35.20,3800,35.20
2014-09-25,34.00,36.40,30.60,33.30,13600,33.30
2014-09-24,31.00,33.10,27.35,33.10,266500,33.10
2014-09-23,35.05,39.45,30.05,30.10,165700,30.10
2014-09-22,37.50,38.85,31.05,37.55,30600,37.55
2014-09-19,45.30,46.00,36.25,36.55,116900,36.55
2014-09-18,45.45,48.65,43.50,45.30,299800,45.30
2014-09-17,46.80,49.00,44.05,48.30,152900,48.30
2014-09-16,46.50,51.85,39.95,48.75,494600,48.75
2014-09-15,49.80,49.80,40.10,47.35,279200,47.35
2014-09-12,48.00,50.00,44.00,46.25,108200,46.25
2014-09-11,48.90,52.05,48.00,51.25,180200,51.25
2014-09-10,52.10,52.10,52.05,52.10,155000,52.10
2014-09-09,52.15,52.15,52.15,52.15,000,52.15
2014-09-08,52.10,52.15,52.00,52.15,330000,52.15
2014-09-05,51.25,51.30,51.20,51.20,75000,51.20
2014-09-04,51.00,51.20,51.00,51.10,63000,51.10
2014-09-03,51.80,51.90,46.75,46.90,193500,46.90
2014-09-02,51.60,51.60,51.60,51.60,000,51.60
2014-09-01,51.75,60.90,47.25,51.60,120600,51.60
2014-08-29,51.05,51.05,51.05,51.05,000,51.05
2014-08-28,51.20,51.20,42.00,51.05,13800,51.05
2014-08-27,50.10,50.10,44.30,44.35,300,44.35
2014-08-26,51.70,52.00,51.70,52.00,90000,52.00
2014-08-25,52.10,52.10,51.75,51.75,75000,51.75
2014-08-22,52.00,52.10,51.95,52.00,280700,52.00
2014-08-21,49.10,49.95,43.20,49.85,171000,49.85
2014-08-20,47.10,49.65,46.00,49.60,111700,49.60
2014-08-19,49.50,49.85,49.35,49.85,94000,49.85
2014-08-18,50.20,50.20,45.00,45.10,40800,45.10
2014-08-15,46.00,46.00,46.00,46.00,000,46.00
2014-08-14,50.20,50.20,46.00,46.00,15000,46.00
2014-08-13,50.00,50.00,49.90,49.90,43100,49.90
2014-08-12,47.80,50.20,46.65,50.20,223200,50.20
2014-08-11,49.70,49.80,41.55,49.50,166200,49.50
2014-08-08,49.80,49.80,47.20,49.80,184700,49.80
2014-08-07,49.50,49.95,49.50,49.80,254000,49.80
2014-08-06,50.50,50.50,50.30,50.30,252000,50.30
2014-08-05,50.50,50.50,49.80,49.80,136500,49.80
2014-08-04,51.00,52.00,51.00,52.00,30000,52.00
2014-08-01,55.90,55.90,47.70,50.60,276800,50.60
2014-07-31,53.00,53.00,49.95,50.00,167800,50.00
2014-07-30,49.10,51.85,49.10,51.30,277100,51.30
2014-07-29,52.10,52.10,52.10,52.10,000,52.10
2014-07-28,51.75,52.10,50.00,52.10,334400,52.10
2014-07-25,49.80,49.95,49.75,49.95,406200,49.95
2014-07-24,51.50,51.55,44.05,51.55,335600,51.55
2014-07-23,50.95,51.00,50.95,51.00,190300,51.00
2014-07-22,51.90,51.90,49.00,51.85,800,51.85
2014-07-21,49.70,52.10,49.70,52.10,96400,52.10
2014-07-18,50.00,52.00,50.00,52.00,150800,52.00
2014-07-17,50.00,50.85,48.00,50.50,30800,50.50
2014-07-16,52.05,52.05,42.10,51.80,145100,51.80
2014-07-15,51.70,52.05,51.70,52.05,131000,52.05
2014-07-14,53.20,53.20,53.20,53.20,000,53.20
2014-07-11,53.50,53.50,52.05,53.20,46500,53.20
2014-07-10,55.85,55.85,49.00,51.75,143200,51.75
2014-07-09,47.00,58.00,43.20,48.35,40400,48.35
2014-07-08,52.50,52.60,52.45,52.60,35900,52.60
2014-07-07,57.00,57.00,52.10,56.90,400,56.90
2014-07-04,62.95,63.00,51.00,59.95,000,59.95
2014-07-03,63.00,63.00,63.00,63.00,000,63.00
2014-07-02,53.00,63.00,53.00,62.30,200,62.30
2014-07-01,53.00,53.00,53.00,53.00,000,53.00
2014-06-30,41.60,62.10,41.60,53.00,1400,53.00
2014-06-27,51.75,51.75,51.75,51.75,000,51.75
2014-06-26,51.75,51.75,51.75,51.75,36500,51.75
2014-06-25,50.00,50.00,50.00,50.00,000,50.00
2014-06-24,50.00,50.00,48.50,48.50,20000,48.50
2014-06-23,52.00,52.00,52.00,52.00,000,52.00
2014-06-20,51.00,52.00,44.00,52.00,144600,52.00
2014-06-19,50.00,58.00,48.00,53.30,500,53.30
2014-06-18,51.80,69.60,49.10,49.20,90000,49.20
2014-06-17,58.00,58.00,58.00,58.00,000,58.00
2014-06-16,58.00,58.00,58.00,58.00,000,58.00
2014-06-13,50.00,58.00,50.00,58.00,400,58.00
2014-06-12,54.50,54.50,46.00,51.90,288600,51.90
2014-06-11,51.50,51.80,51.50,51.80,131000,51.80
2014-06-10,51.50,51.85,51.50,51.80,335200,51.80
2014-06-09,54.50,54.50,48.00,51.75,143200,51.75
2014-06-06,51.75,51.90,45.00,51.85,706000,51.85
2014-06-05,51.75,52.00,51.75,52.00,520100,52.00
2014-06-04,51.70,52.25,51.70,51.90,499900,51.90
2014-06-03,51.75,51.95,51.70,51.95,263000,51.95
2014-06-02,51.85,51.85,51.65,51.80,467800,51.80
2014-05-30,51.65,51.90,51.50,51.85,289800,51.85
2014-05-29,51.50,51.90,41.60,51.90,726500,51.90
2014-05-28,51.50,51.95,51.50,51.95,423400,51.95
2014-05-27,51.65,51.95,51.00,51.25,275200,51.25
2014-05-26,51.50,51.90,51.50,51.85,250500,51.85
2014-05-23,52.15,52.15,51.65,51.90,213500,51.90
2014-05-22,52.10,52.10,51.65,51.80,157200,51.80
2014-05-21,51.70,52.00,51.70,52.00,358800,52.00
2014-05-20,51.65,51.75,51.65,51.75,95000,51.75
2014-05-19,51.60,51.90,51.10,51.80,650100,51.80
2014-05-16,51.90,51.90,48.00,48.00,116500,48.00
2014-05-15,51.05,60.00,51.05,60.00,717500,60.00
2014-05-14,51.70,51.95,51.70,51.90,573000,51.90
2014-05-13,53.00,54.50,51.75,51.95,682800,51.95
2014-05-12,51.65,51.75,50.00,51.70,837900,51.70
2014-05-09,51.50,51.75,51.50,51.50,494500,51.50
2014-05-08,51.10,51.25,51.10,51.25,318000,51.25
2014-05-07,51.25,51.40,51.20,51.40,479900,51.40
2014-05-06,50.90,51.15,50.60,51.15,349900,51.15
2014-05-05,50.90,51.60,50.90,51.50,603500,51.50
2014-05-02,51.00,51.00,50.80,50.95,155500,50.95
2014-05-01,51.00,51.00,51.00,51.00,000,51.00
2014-04-30,51.05,51.05,51.00,51.00,38000,51.00
2014-04-29,51.25,51.25,51.05,51.05,199200,51.05
2014-04-28,51.25,51.25,51.25,51.25,200,51.25
2014-04-25,51.00,51.65,51.00,51.65,118000,51.65
2014-04-24,56.45,56.45,56.45,56.45,000,56.45
2014-04-23,56.00,56.45,56.00,56.45,000,56.45
2014-04-22,517.00,517.00,514.00,514.00,40100,51.40
2014-04-21,521.00,521.00,485.25,516.10,137600,51.61
2014-04-18,517.20,517.20,517.20,517.20,000,51.72
2014-04-17,517.10,517.20,517.00,517.20,181000,51.72
2014-04-16,516.85,517.10,500.00,516.05,180100,51.60
2014-04-15,516.05,516.30,516.05,516.15,104400,51.62
2014-04-14,516.05,516.05,516.05,516.05,000,51.60
2014-04-11,516.05,516.25,516.05,516.05,63600,51.60
2014-04-10,500.00,516.50,500.00,516.50,30100,51.65
2014-04-09,516.00,516.25,500.10,516.20,174600,51.62
2014-04-08,516.65,516.65,516.65,516.65,000,51.67
2014-04-07,515.75,516.85,515.75,516.65,240000,51.67
2014-04-04,500.10,517.75,500.10,517.75,211200,51.78
2014-04-03,500.00,517.75,500.00,517.70,200400,51.77
2014-04-02,451.00,516.00,451.00,516.00,9500,51.60
2014-04-01,500.00,500.00,500.00,500.00,1100,50.00
2014-03-31,550.00,550.00,550.00,550.00,000,55.00
2014-03-28,516.00,516.00,515.00,515.35,75400,51.53
2014-03-27,516.00,516.00,516.00,516.00,9000,51.60
2014-03-26,515.00,516.15,500.10,516.15,325500,51.62
