Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,15.35,17.50,15.30,16.10,19200,16.10
2014-12-22,16.50,16.50,15.55,15.70,6700,15.70
2014-12-19,16.75,16.75,15.55,15.85,4700,15.85
2014-12-18,15.35,16.75,15.35,16.35,7700,16.35
2014-12-17,15.20,15.90,14.75,15.20,2900,15.20
2014-12-16,16.00,16.20,15.15,15.35,11700,15.35
2014-12-15,16.30,16.75,15.80,16.00,6500,16.00
2014-12-12,16.20,16.50,16.05,16.10,5100,16.10
2014-12-11,16.50,16.50,15.90,16.50,10700,16.50
2014-12-10,16.90,16.90,16.40,16.65,4300,16.65
2014-12-09,17.10,17.10,16.50,16.55,10500,16.55
2014-12-08,17.20,17.95,17.20,17.25,11600,17.25
2014-12-05,17.00,18.00,16.90,17.35,10600,17.35
2014-12-04,16.55,19.30,16.55,17.30,2300,17.30
2014-12-03,17.10,17.45,16.95,17.25,6800,17.25
2014-12-02,17.30,17.50,16.60,16.90,27800,16.90
2014-12-01,18.30,20.00,13.95,17.00,11600,17.00
2014-11-28,19.20,19.20,17.10,17.40,16700,17.40
2014-11-27,20.00,20.00,18.40,18.45,5500,18.45
2014-11-26,19.30,19.30,18.05,18.80,24800,18.80
2014-11-25,20.00,20.00,18.50,18.65,70400,18.65
2014-11-24,19.35,20.75,19.00,19.90,207500,19.90
2014-11-21,18.65,19.75,17.50,18.90,96400,18.90
2014-11-20,18.45,18.45,17.25,17.95,9300,17.95
2014-11-19,18.40,18.40,17.45,17.90,31300,17.90
2014-11-18,17.00,18.35,17.00,17.95,35700,17.95
2014-11-17,17.50,17.95,16.50,16.80,33800,16.80
2014-11-14,18.00,18.40,16.60,17.50,55600,17.50
2014-11-13,21.60,21.60,17.80,18.20,180600,18.20
2014-11-12,21.70,22.50,21.55,22.10,79800,22.10
2014-11-11,21.80,22.40,20.25,21.40,93800,21.40
2014-11-10,20.00,21.95,20.00,20.95,275000,20.95
2014-11-07,18.45,21.35,18.00,19.90,263000,19.90
2014-11-06,17.80,17.80,17.80,17.80,000,17.80
2014-11-05,17.55,17.95,17.10,17.80,27100,17.80
2014-11-04,17.75,17.75,17.75,17.75,000,17.75
2014-11-03,17.50,17.90,17.20,17.75,24800,17.75
2014-10-31,18.45,18.75,17.00,17.50,17200,17.50
2014-10-30,18.10,18.30,17.55,18.20,9900,18.20
2014-10-29,17.90,18.45,16.80,17.55,15300,17.55
2014-10-28,16.80,17.85,16.15,17.35,22100,17.35
2014-10-27,16.45,17.20,16.40,16.45,5200,16.45
2014-10-24,16.40,16.40,16.40,16.40,000,16.40
2014-10-23,16.40,16.40,16.40,16.40,000,16.40
2014-10-22,16.90,17.70,16.40,16.40,3100,16.40
2014-10-21,16.10,16.85,16.10,16.65,3600,16.65
2014-10-20,17.05,17.20,16.75,16.85,800,16.85
2014-10-17,16.25,17.05,16.10,16.70,3700,16.70
2014-10-16,17.25,17.30,16.55,16.80,7800,16.80
2014-10-15,17.15,17.15,17.15,17.15,000,17.15
2014-10-14,16.25,17.45,16.25,17.15,1900,17.15
2014-10-13,16.60,17.20,16.20,16.25,1000,16.25
2014-10-10,16.75,17.45,16.10,17.20,44700,17.20
2014-10-09,16.40,17.20,16.30,16.85,12600,16.85
2014-10-08,15.50,16.45,15.45,16.15,5900,16.15
2014-10-07,16.75,16.80,15.15,15.35,17400,15.35
2014-10-06,16.00,16.00,16.00,16.00,000,16.00
2014-10-03,16.00,16.00,16.00,16.00,000,16.00
2014-10-02,16.00,16.00,16.00,16.00,000,16.00
2014-10-01,15.75,17.40,15.70,16.00,26900,16.00
2014-09-30,16.50,17.45,16.20,16.65,12000,16.65
