Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,285.00,285.00,261.00,279.40,4300,279.40
2014-12-22,338.95,339.00,239.00,283.35,4000,283.35
2014-12-19,277.80,283.50,277.40,283.00,5900,283.00
2014-12-18,324.95,324.95,272.00,277.40,5800,277.40
2014-12-17,271.00,272.65,266.25,270.95,18000,270.95
2014-12-16,270.00,270.00,263.15,268.35,25600,268.35
2014-12-15,265.10,265.40,258.50,264.70,19400,264.70
2014-12-12,259.00,262.00,249.80,258.40,12400,258.40
2014-12-11,190.00,258.00,190.00,257.60,26200,257.60
2014-12-10,214.95,215.00,214.95,215.00,000,215.00
2014-12-09,160.05,237.60,160.05,214.10,6300,214.10
2014-12-08,198.00,198.00,198.00,198.00,000,198.00
2014-12-05,270.00,270.00,198.00,198.00,1100,198.00
2014-12-04,270.00,270.00,230.00,231.00,65300,231.00
2014-12-03,225.00,225.00,225.00,225.00,40000,225.00
2014-12-02,224.00,224.50,224.00,224.50,30500,224.50
2014-12-01,217.00,220.00,217.00,220.00,121700,220.00
2014-11-28,226.00,226.00,226.00,226.00,000,226.00
2014-11-27,225.00,226.00,224.00,226.00,56700,226.00
2014-11-26,220.00,220.00,220.00,220.00,17700,220.00
2014-11-25,207.00,237.95,205.00,220.00,14300,220.00
2014-11-24,211.00,229.50,209.50,229.50,600,229.50
2014-11-21,230.00,230.00,230.00,230.00,000,230.00
2014-11-20,222.00,230.00,222.00,230.00,4500,230.00
2014-11-19,229.00,231.05,220.00,231.05,6700,231.05
2014-11-18,207.95,220.00,207.95,220.00,57500,220.00
2014-11-17,200.00,200.00,199.00,199.65,15100,199.65
2014-11-14,202.00,202.00,202.00,202.00,000,202.00
2014-11-13,202.00,202.00,202.00,202.00,000,202.00
2014-11-12,202.00,202.00,202.00,202.00,3000,202.00
2014-11-11,209.00,209.00,209.00,209.00,000,209.00
2014-11-10,209.00,209.00,209.00,209.00,5000,209.00
2014-11-07,208.00,208.00,208.00,208.00,9000,208.00
2014-11-06,205.00,205.00,205.00,205.00,000,205.00
2014-11-05,205.00,205.00,205.00,205.00,000,205.00
2014-11-04,205.00,205.00,205.00,205.00,000,205.00
2014-11-03,204.00,205.00,204.00,205.00,8400,205.00
2014-10-31,200.00,204.90,200.00,204.90,10500,204.90
2014-10-30,200.00,200.00,200.00,200.00,16700,200.00
2014-10-29,200.00,200.00,200.00,200.00,000,200.00
2014-10-28,200.00,200.00,200.00,200.00,7500,200.00
2014-10-27,200.00,200.00,200.00,200.00,000,200.00
2014-10-24,200.00,200.00,200.00,200.00,000,200.00
2014-10-23,200.00,200.00,200.00,200.00,000,200.00
2014-10-22,200.00,205.00,200.00,200.00,19000,200.00
2014-10-21,207.00,207.00,207.00,207.00,200,207.00
2014-10-20,192.00,200.00,192.00,200.00,8000,200.00
2014-10-17,200.00,200.00,200.00,200.00,3000,200.00
2014-10-16,202.20,202.20,199.90,199.90,000,199.90
2014-10-15,200.00,200.00,200.00,200.00,000,200.00
2014-10-14,209.00,210.00,163.00,200.00,3500,200.00
2014-10-13,207.35,207.35,198.80,199.00,10700,199.00
2014-10-10,208.00,209.00,208.00,209.00,78300,209.00
2014-10-09,200.00,210.00,167.20,210.00,11400,210.00
2014-10-08,210.00,210.00,209.00,209.00,13000,209.00
2014-10-07,220.00,220.15,210.00,210.00,23100,210.00
2014-10-06,218.70,218.70,218.70,218.70,000,218.70
2014-10-03,218.70,218.70,218.70,218.70,000,218.70
2014-10-02,218.70,218.70,218.70,218.70,000,218.70
2014-10-01,217.00,219.50,215.00,218.70,900,218.70
2014-09-30,219.00,219.00,219.00,219.00,000,219.00
2014-09-29,219.00,219.00,219.00,219.00,000,219.00
2014-09-26,218.00,218.00,218.00,218.00,6000,218.00
2014-09-25,218.00,219.95,218.00,219.95,8800,219.95
2014-09-24,220.00,221.95,220.00,221.95,18000,221.95
2014-09-23,224.95,225.00,223.40,223.40,37500,223.40
2014-09-22,224.00,224.50,223.90,224.00,29200,224.00
2014-09-19,230.00,230.00,225.00,227.00,32300,227.00
2014-09-18,250.00,250.00,230.00,230.00,300,230.00
2014-09-17,228.00,230.00,227.40,227.50,6700,227.50
2014-09-16,229.95,230.00,225.00,229.00,2800,229.00
2014-09-15,226.10,230.00,223.00,225.00,20300,225.00
2014-09-12,225.00,226.00,223.70,225.00,79500,225.00
2014-09-11,230.00,230.00,225.00,225.00,3600,225.00
2014-09-10,229.90,230.20,225.00,228.05,9100,228.05
2014-09-09,228.95,229.00,228.90,229.00,20600,229.00
2014-09-08,230.00,230.00,230.00,230.00,25400,230.00
2014-09-05,225.00,227.00,225.00,227.00,42200,227.00
2014-09-04,226.30,230.50,226.00,226.00,9500,226.00
2014-09-03,224.95,230.00,224.95,230.00,25200,230.00
2014-09-02,230.00,230.10,224.95,225.00,17600,225.00
2014-09-01,225.00,230.00,225.00,229.90,23000,229.90
2014-08-29,225.00,225.00,225.00,225.00,000,225.00
2014-08-28,225.00,225.00,225.00,225.00,000,225.00
2014-08-27,225.00,225.00,224.80,225.00,20700,225.00
2014-08-26,224.95,225.00,224.90,224.90,10400,224.90
2014-08-25,228.90,230.00,216.00,230.00,48000,230.00
2014-08-22,229.00,230.00,226.00,227.00,28300,227.00
2014-08-21,228.95,229.00,228.95,229.00,16300,229.00
2014-08-20,227.95,228.00,227.95,228.00,13400,228.00
2014-08-19,228.90,230.00,228.90,229.00,12100,229.00
2014-08-18,229.70,229.70,229.70,229.70,000,229.70
2014-08-15,229.70,229.70,229.70,229.70,000,229.70
2014-08-14,224.00,230.00,220.00,229.70,33400,229.70
2014-08-13,224.00,224.00,223.95,224.00,6400,224.00
2014-08-12,229.95,230.00,225.00,230.00,21000,230.00
2014-08-11,227.95,228.00,227.95,228.00,27800,228.00
2014-08-08,229.00,229.00,218.50,219.75,7800,219.75
2014-08-07,227.95,230.00,227.95,230.00,5700,230.00
2014-08-06,229.50,230.00,229.50,229.75,19400,229.75
2014-08-05,228.00,228.00,228.00,228.00,5000,228.00
2014-08-04,230.00,230.00,230.00,230.00,000,230.00
2014-08-01,230.00,230.00,230.00,230.00,9000,230.00
2014-07-31,231.00,231.00,220.00,230.00,5000,230.00
2014-07-30,230.00,230.00,230.00,230.00,15600,230.00
2014-07-29,230.00,230.00,230.00,230.00,000,230.00
2014-07-28,228.00,230.10,228.00,230.00,213300,230.00
2014-07-25,228.00,228.00,227.95,228.00,12200,228.00
2014-07-24,230.00,230.00,229.00,230.00,28400,230.00
2014-07-23,236.00,236.00,235.00,235.00,52000,235.00
2014-07-22,235.80,236.00,235.80,235.95,40800,235.95
2014-07-21,235.00,236.00,235.00,236.00,67300,236.00
2014-07-18,230.75,230.75,230.00,230.00,10100,230.00
2014-07-17,230.00,231.00,230.00,230.75,28300,230.75
2014-07-16,230.00,230.00,230.00,230.00,6500,230.00
2014-07-15,230.10,230.10,230.00,230.10,24000,230.10
2014-07-14,230.00,230.25,228.00,230.25,67600,230.25
2014-07-11,230.00,230.00,230.00,230.00,000,230.00
2014-07-10,228.00,230.00,228.00,230.00,11000,230.00
2014-07-09,228.00,228.00,228.00,228.00,3000,228.00
2014-07-08,228.95,229.00,228.95,229.00,15300,229.00
2014-07-07,230.00,230.00,229.00,230.00,41100,230.00
2014-07-04,228.00,228.00,228.00,228.00,9800,228.00
2014-07-03,230.00,231.00,229.90,231.00,54500,231.00
2014-07-02,230.00,230.00,230.00,230.00,000,230.00
2014-07-01,230.00,230.00,230.00,230.00,000,230.00
2014-06-30,230.00,230.00,230.00,230.00,40000,230.00
2014-06-27,230.00,230.00,230.00,230.00,21500,230.00
2014-06-26,221.00,229.80,216.50,227.00,10700,227.00
2014-06-25,227.00,227.50,227.00,227.50,19500,227.50
2014-06-24,241.50,241.50,229.00,229.00,12500,229.00
2014-06-23,234.00,234.00,224.95,230.00,66500,230.00
2014-06-20,225.00,225.00,224.00,224.00,30100,224.00
2014-06-19,221.00,223.00,219.50,223.00,32500,223.00
2014-06-18,223.50,223.50,220.90,221.00,19300,221.00
2014-06-17,222.10,222.10,222.00,222.00,34300,222.00
2014-06-16,220.00,221.00,211.00,220.95,70800,220.95
2014-06-13,212.00,213.00,212.00,213.00,41300,213.00
2014-06-12,200.00,204.00,200.00,204.00,42000,204.00
2014-06-11,176.65,195.00,176.65,195.00,61200,195.00
2014-06-10,185.90,185.90,185.90,185.90,1000,185.90
2014-06-09,195.65,195.65,195.65,195.65,7000,195.65
2014-06-06,205.90,205.90,205.90,205.90,000,205.90
2014-06-05,205.90,205.90,205.90,205.90,000,205.90
2014-06-04,205.90,205.90,205.90,205.90,500,205.90
2014-06-03,227.00,227.00,216.70,216.70,200,216.70
2014-06-02,228.00,228.10,228.00,228.10,22000,228.10
2014-05-30,226.00,227.00,226.00,227.00,21900,227.00
2014-05-29,222.00,225.00,219.00,224.00,12200,224.00
2014-05-28,228.00,228.00,228.00,228.00,39300,228.00
2014-05-27,227.00,227.00,227.00,227.00,33400,227.00
2014-05-26,229.75,230.00,229.75,230.00,85600,230.00
2014-05-23,227.00,227.00,227.00,227.00,1500,227.00
2014-05-22,227.00,227.00,226.95,227.00,13500,227.00
2014-05-21,226.00,226.00,224.00,224.00,57400,224.00
2014-05-20,226.00,226.10,226.00,226.05,57700,226.05
2014-05-19,220.00,225.00,220.00,225.00,56000,225.00
2014-05-16,223.50,224.10,223.50,224.00,31200,224.00
2014-05-15,224.00,224.00,219.95,221.00,51600,221.00
2014-05-14,225.00,225.00,213.75,225.00,16500,225.00
2014-05-13,225.00,225.00,225.00,225.00,1700,225.00
2014-05-12,220.00,220.00,220.00,220.00,27000,220.00
2014-05-09,215.00,215.00,214.00,214.90,60000,214.90
