Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,28.15,29.90,26.35,26.35,600,26.35
2014-12-22,28.00,30.00,28.00,28.75,3800,28.75
2014-12-19,29.50,29.50,29.50,29.50,200,29.50
2014-12-18,29.00,29.60,28.85,29.35,2200,29.35
2014-12-17,28.00,29.00,27.75,28.50,4900,28.50
2014-12-16,31.00,31.00,29.00,29.00,4000,29.00
2014-12-15,33.45,33.45,29.00,29.00,1100,29.00
2014-12-12,30.00,31.00,30.00,30.25,2200,30.25
2014-12-11,31.50,31.50,31.00,31.00,1200,31.00
2014-12-10,37.00,37.00,31.10,31.35,200,31.35
2014-12-09,33.00,33.00,31.00,31.10,4700,31.10
2014-12-08,30.55,32.00,30.55,32.00,200,32.00
2014-12-05,32.00,32.00,32.00,32.00,300,32.00
2014-12-04,33.00,33.00,32.35,32.40,1000,32.40
2014-12-03,36.00,36.00,31.00,32.90,4100,32.90
2014-12-02,33.50,34.90,32.00,32.70,1400,32.70
2014-12-01,39.70,39.70,31.00,31.25,1300,31.25
2014-11-28,35.65,35.65,31.00,33.45,1500,33.45
2014-11-27,31.90,31.90,28.95,30.45,000,30.45
2014-11-26,33.00,33.00,29.60,32.00,4100,32.00
2014-11-25,32.50,32.50,29.25,29.60,7000,29.60
2014-11-24,31.05,34.00,31.05,31.95,6800,31.95
2014-11-21,34.85,36.90,32.15,32.95,12300,32.95
2014-11-20,33.65,36.70,32.90,34.85,22800,34.85
2014-11-19,27.15,32.60,27.00,31.95,36500,31.95
2014-11-18,30.35,30.35,27.10,27.20,1400,27.20
2014-11-17,27.65,31.25,26.50,27.75,8400,27.75
2014-11-14,26.55,28.00,26.55,27.25,300,27.25
2014-11-13,25.85,28.50,25.85,27.10,500,27.10
2014-11-12,33.00,33.00,27.10,27.35,300,27.35
2014-11-11,27.00,30.95,27.00,28.95,1700,28.95
2014-11-10,28.00,28.00,28.00,28.00,000,28.00
2014-11-07,28.10,31.00,26.10,28.00,400,28.00
2014-11-06,28.15,28.15,28.15,28.15,000,28.15
2014-11-05,26.10,29.85,26.10,28.15,1400,28.15
2014-11-04,25.85,25.85,25.85,25.85,000,25.85
2014-11-03,27.00,27.00,24.45,25.85,100,25.85
2014-10-31,29.00,29.00,26.55,28.30,1000,28.30
2014-10-30,25.65,29.70,25.50,29.25,800,29.25
2014-10-29,28.25,28.25,28.00,28.00,000,28.00
2014-10-28,25.00,28.50,25.00,28.40,1200,28.40
2014-10-27,26.00,27.00,26.00,27.00,1000,27.00
2014-10-24,28.00,28.00,28.00,28.00,000,28.00
2014-10-23,28.00,28.00,28.00,28.00,000,28.00
2014-10-22,31.00,31.00,25.75,28.00,600,28.00
2014-10-21,23.10,28.60,23.10,28.60,3800,28.60
2014-10-20,26.80,26.80,26.80,26.80,000,26.80
2014-10-17,24.55,26.95,24.50,26.80,100,26.80
2014-10-16,26.00,27.60,23.35,26.95,2700,26.95
2014-10-15,27.00,27.00,27.00,27.00,000,27.00
2014-10-14,24.20,27.00,24.15,27.00,100,27.00
2014-10-13,23.15,27.95,23.15,27.90,1100,27.90
2014-10-10,26.80,30.50,24.25,27.80,400,27.80
2014-10-09,26.00,27.00,26.00,26.00,1500,26.00
2014-10-08,24.80,24.80,24.80,24.80,000,24.80
2014-10-07,28.70,28.70,23.35,24.80,900,24.80
2014-10-06,26.00,26.00,26.00,26.00,000,26.00
2014-10-03,26.00,26.00,26.00,26.00,000,26.00
2014-10-02,26.00,26.00,26.00,26.00,000,26.00
2014-10-01,25.00,26.75,24.90,25.70,5800,25.70
2014-09-30,23.00,27.75,23.00,25.90,400,25.90
2014-09-29,26.85,26.85,24.45,24.50,900,24.50
2014-09-26,22.25,27.00,22.25,23.35,1000,23.35
2014-09-25,27.65,27.80,23.30,27.00,300,27.00
2014-09-24,23.30,26.85,23.30,26.50,200,26.50
2014-09-23,23.05,26.85,23.05,24.05,200,24.05
2014-09-22,25.90,25.90,25.90,25.90,000,25.90
2014-09-19,24.00,26.00,24.00,25.90,300,25.90
2014-09-18,27.00,27.85,24.50,25.45,1500,25.45
2014-09-17,25.00,28.50,25.00,28.50,500,28.50
2014-09-16,31.80,31.80,25.50,25.50,200,25.50
2014-09-15,29.00,29.00,24.60,27.00,300,27.00
2014-09-12,25.00,30.00,25.00,29.00,800,29.00
2014-09-11,26.15,27.05,25.50,26.65,000,26.65
2014-09-10,23.05,27.90,23.00,25.00,1200,25.00
2014-09-09,23.00,23.95,23.00,23.90,500,23.90
2014-09-08,23.00,23.90,23.00,23.00,400,23.00
2014-09-05,22.90,23.60,22.90,22.90,200,22.90
2014-09-04,26.00,26.00,22.70,22.70,000,22.70
2014-09-03,22.75,24.90,22.75,23.85,6900,23.85
2014-09-02,23.00,23.30,22.25,22.75,1400,22.75
2014-09-01,21.70,23.85,21.70,23.30,4700,23.30
2014-08-29,21.70,21.70,21.70,21.70,000,21.70
2014-08-28,21.70,21.70,21.70,21.70,000,21.70
2014-08-27,23.00,23.00,21.70,21.70,2000,21.70
2014-08-26,22.35,24.90,22.20,22.90,400,22.90
2014-08-25,22.85,23.10,22.70,23.00,5400,23.00
2014-08-22,21.25,22.60,21.25,22.20,1700,22.20
2014-08-21,22.45,22.45,21.25,21.65,800,21.65
2014-08-20,22.45,22.50,21.30,21.30,100,21.30
2014-08-19,22.20,22.20,21.70,22.00,300,22.00
2014-08-18,21.10,22.90,21.10,22.15,800,22.15
2014-08-15,21.65,21.65,21.65,21.65,000,21.65
2014-08-14,21.65,21.65,21.65,21.65,000,21.65
2014-08-13,22.90,22.90,22.30,22.30,700,22.30
2014-08-12,22.55,23.70,22.55,23.40,5900,23.40
2014-08-11,22.35,23.70,22.35,23.70,100,23.70
2014-08-08,22.50,23.00,22.05,23.00,300,23.00
2014-08-07,22.75,23.10,22.30,22.30,7100,22.30
2014-08-06,22.85,23.60,22.70,22.75,500,22.75
2014-08-05,22.75,22.80,22.75,22.80,100,22.80
2014-08-04,23.15,23.15,22.20,22.80,200,22.80
2014-08-01,22.80,24.00,22.80,23.80,2200,23.80
2014-07-31,22.90,22.90,22.90,22.90,000,22.90
2014-07-30,22.25,23.80,22.25,22.90,200,22.90
2014-07-29,22.70,22.70,22.70,22.70,000,22.70
2014-07-28,22.70,22.70,22.70,22.70,100,22.70
2014-07-25,23.10,23.15,23.10,23.10,1400,23.10
2014-07-24,23.20,23.20,23.15,23.20,200,23.20
2014-07-23,23.55,23.80,23.20,23.40,1500,23.40
2014-07-22,23.55,24.00,23.10,23.10,4700,23.10
2014-07-21,22.75,24.50,22.75,24.30,3600,24.30
2014-07-18,23.00,23.35,23.00,23.35,200,23.35
2014-07-17,22.90,23.55,22.65,23.55,400,23.55
2014-07-16,23.30,23.90,23.30,23.30,1300,23.30
2014-07-15,22.65,23.80,22.65,23.75,1200,23.75
2014-07-14,23.25,23.25,23.25,23.25,000,23.25
2014-07-11,23.10,23.25,23.05,23.25,500,23.25
2014-07-10,22.70,22.80,22.70,22.80,100,22.80
2014-07-09,23.35,23.40,22.85,22.85,400,22.85
2014-07-08,23.05,24.00,22.85,23.05,700,23.05
