Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,25.75,26.30,25.35,25.40,156100,25.40
2014-12-22,25.60,26.15,25.60,25.85,240900,25.85
2014-12-19,26.45,26.85,25.20,25.45,434200,25.45
2014-12-18,25.55,26.60,25.55,26.15,353800,26.15
2014-12-17,25.00,26.00,24.10,25.25,420300,25.25
2014-12-16,26.55,26.55,25.00,25.15,369900,25.15
2014-12-15,26.70,27.15,26.35,26.70,268700,26.70
2014-12-12,27.45,27.80,26.65,26.80,247400,26.80
2014-12-11,28.10,28.35,27.40,27.60,249500,27.60
2014-12-10,27.40,28.45,27.40,28.20,364800,28.20
2014-12-09,28.25,28.85,27.55,27.70,391000,27.70
2014-12-08,28.55,29.40,28.10,28.55,650300,28.55
2014-12-05,28.40,29.35,28.40,28.55,675100,28.55
2014-12-04,29.30,29.30,28.10,28.55,807200,28.55
2014-12-03,27.00,29.90,26.75,29.00,2532400,29.00
2014-12-02,27.00,27.35,26.50,26.70,323200,26.70
2014-12-01,27.20,28.20,27.00,27.10,253700,27.10
2014-11-28,28.10,28.55,27.50,27.65,496800,27.65
2014-11-27,27.90,28.20,27.35,27.55,355600,27.55
2014-11-26,27.40,28.25,27.35,27.65,552500,27.65
2014-11-25,28.30,28.45,27.00,27.40,403800,27.40
2014-11-24,28.00,30.45,27.70,28.65,1897700,28.65
2014-11-21,28.60,28.70,27.65,27.80,333000,27.80
2014-11-20,28.50,28.65,27.80,27.95,321600,27.95
2014-11-19,29.10,29.50,28.35,28.50,462500,28.50
2014-11-18,28.50,29.60,28.30,29.25,646400,29.25
2014-11-17,28.25,28.65,27.85,28.05,432900,28.05
2014-11-14,29.85,29.85,28.20,28.40,389600,28.40
2014-11-13,30.10,30.20,29.35,29.60,296700,29.60
2014-11-12,30.45,30.80,29.85,30.15,619900,30.15
2014-11-11,30.35,30.75,29.80,30.15,368000,30.15
2014-11-10,31.10,31.15,30.10,30.25,356300,30.25
2014-11-07,31.00,31.50,30.45,30.60,477300,30.60
2014-11-06,31.10,31.10,31.10,31.10,000,31.10
2014-11-05,30.95,32.15,30.80,31.10,1265700,31.10
2014-11-04,30.10,30.10,30.10,30.10,000,30.10
2014-11-03,29.80,30.70,29.45,30.10,629700,30.10
2014-10-31,30.00,30.45,29.60,29.75,479100,29.75
2014-10-30,29.95,30.90,29.15,29.85,1311500,29.85
2014-10-29,27.50,31.15,27.35,30.30,3749000,30.30
2014-10-28,27.30,27.70,27.10,27.25,297800,27.25
2014-10-27,26.95,28.10,26.65,27.20,826600,27.20
2014-10-24,26.70,26.70,26.70,26.70,000,26.70
2014-10-23,26.70,26.70,26.70,26.70,000,26.70
2014-10-22,26.95,27.25,26.35,26.70,331700,26.70
2014-10-21,27.00,27.15,26.55,26.65,352800,26.65
2014-10-20,26.40,27.50,26.40,26.60,492000,26.60
2014-10-17,26.40,26.60,25.95,26.15,229800,26.15
2014-10-16,27.10,27.15,26.00,26.20,288700,26.20
2014-10-15,27.10,27.10,27.10,27.10,000,27.10
2014-10-14,27.70,28.10,26.80,27.10,845600,27.10
2014-10-13,26.05,27.60,25.85,27.45,756600,27.45
2014-10-10,26.80,26.80,26.00,26.10,246200,26.10
2014-10-09,26.70,27.15,26.10,26.85,598500,26.85
2014-10-08,25.65,26.30,25.65,26.20,304400,26.20
2014-10-07,26.55,26.65,25.85,25.95,374200,25.95
2014-10-06,26.55,26.55,26.55,26.55,000,26.55
2014-10-03,26.55,26.55,26.55,26.55,000,26.55
2014-10-02,26.55,26.55,26.55,26.55,000,26.55
2014-10-01,27.05,27.40,26.30,26.55,316100,26.55
2014-09-30,27.40,27.85,26.95,27.05,498100,27.05
2014-09-29,26.70,28.10,26.70,27.50,763000,27.50
2014-09-26,26.30,27.25,26.00,26.40,726900,26.40
2014-09-25,28.40,28.45,26.20,26.50,958500,26.50
2014-09-24,28.90,29.45,27.90,28.25,701400,28.25
2014-09-23,30.00,30.45,28.80,29.00,563300,29.00
2014-09-22,30.10,30.80,29.75,29.95,513400,29.95
2014-09-19,31.30,31.60,30.15,30.35,516300,30.35
2014-09-18,30.00,31.60,29.75,31.20,1016200,31.20
2014-09-17,31.00,31.00,29.70,30.10,560000,30.10
2014-09-16,32.90,32.90,30.15,30.25,932600,30.25
2014-09-15,32.25,33.15,32.10,32.55,1231600,32.55
2014-09-12,31.55,32.30,31.00,31.50,1241500,31.50
2014-09-11,31.95,32.35,31.35,31.55,821000,31.55
2014-09-10,32.25,32.75,31.35,31.60,1055600,31.60
2014-09-09,33.35,33.70,32.30,32.60,759700,32.60
2014-09-08,34.90,35.00,33.00,33.35,1075000,33.35
