Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,24.00,24.45,22.25,24.35,4000,24.35
2014-12-22,22.60,27.95,22.30,23.55,16700,23.55
2014-12-19,26.20,26.20,22.60,23.40,11900,23.40
2014-12-18,23.85,23.85,22.60,22.60,500,22.60
2014-12-17,23.00,26.50,23.00,23.55,3300,23.55
2014-12-16,23.10,23.10,23.00,23.00,500,23.00
2014-12-15,23.10,23.10,23.05,23.05,100,23.05
2014-12-12,23.40,25.00,23.15,23.20,300,23.20
2014-12-11,23.10,25.00,23.10,25.00,600,25.00
2014-12-10,23.25,25.60,23.25,23.50,600,23.50
2014-12-09,24.90,24.95,23.50,23.70,1800,23.70
2014-12-08,26.60,26.60,26.00,26.00,000,26.00
2014-12-05,25.80,25.90,21.60,24.50,4900,24.50
2014-12-04,26.95,27.00,23.00,23.25,4600,23.25
2014-12-03,23.95,26.00,23.25,23.45,200,23.45
2014-12-02,24.65,26.15,23.00,24.85,3200,24.85
2014-12-01,26.00,26.00,26.00,26.00,000,26.00
2014-11-28,26.00,26.00,26.00,26.00,000,26.00
2014-11-27,25.10,26.00,25.10,26.00,100,26.00
2014-11-26,24.50,26.45,24.50,25.65,1400,25.65
2014-11-25,24.00,25.00,24.00,24.75,700,24.75
2014-11-24,25.50,25.50,24.00,24.65,6900,24.65
2014-11-21,25.00,26.65,24.40,25.35,1800,25.35
2014-11-20,24.05,25.95,24.00,25.95,1100,25.95
2014-11-19,24.45,26.30,24.45,26.25,600,26.25
2014-11-18,27.00,27.00,22.20,24.10,1300,24.10
2014-11-17,25.10,25.10,25.10,25.10,000,25.10
2014-11-14,24.05,26.50,24.05,25.10,900,25.10
2014-11-13,26.50,27.25,24.15,25.05,1700,25.05
2014-11-12,27.00,27.00,24.20,25.45,5800,25.45
2014-11-11,26.90,26.90,24.65,25.80,1000,25.80
2014-11-10,27.00,27.00,24.60,25.30,000,25.30
2014-11-07,29.55,29.55,24.65,24.90,800,24.90
2014-11-06,26.45,26.45,26.45,26.45,000,26.45
2014-11-05,26.90,26.90,26.45,26.45,000,26.45
2014-11-04,25.00,25.00,25.00,25.00,000,25.00
2014-11-03,25.00,25.00,25.00,25.00,200,25.00
2014-10-31,30.00,30.00,24.55,25.60,1200,25.60
2014-10-30,27.00,28.75,25.40,27.45,2200,27.45
