Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,13.98,14.16,13.57,14.16,317800,14.16
2014-12-22,12.21,13.10,12.21,12.88,24000,12.88
2014-12-19,13.36,13.36,12.20,12.35,12500,12.35
2014-12-18,11.15,12.80,11.15,12.56,13200,12.56
2014-12-17,11.61,12.25,11.50,11.96,23200,11.96
2014-12-16,12.50,12.50,11.90,11.97,71500,11.97
2014-12-15,12.23,13.40,12.23,12.58,20700,12.58
2014-12-12,12.85,13.50,12.83,12.87,42100,12.87
2014-12-11,13.80,13.80,12.80,13.12,57800,13.12
2014-12-10,13.39,13.50,12.90,13.11,36800,13.11
2014-12-09,13.19,13.22,12.82,13.10,39400,13.10
2014-12-08,13.75,13.75,12.80,13.19,180000,13.19
2014-12-05,14.25,14.60,13.90,14.22,26300,14.22
2014-12-04,14.00,14.19,13.61,14.15,18400,14.15
2014-12-03,14.00,14.49,13.50,13.94,61200,13.94
2014-12-02,14.89,14.89,13.60,13.80,38200,13.80
2014-12-01,14.83,15.55,14.09,14.24,74200,14.24
2014-11-28,14.83,14.83,14.13,14.83,231400,14.83
2014-11-27,13.70,14.13,13.26,14.13,49000,14.13
2014-11-26,12.89,14.00,12.89,13.46,60800,13.46
2014-11-25,14.65,14.65,13.56,13.56,44200,13.56
2014-11-24,15.09,15.10,13.76,14.27,255800,14.27
2014-11-21,15.12,15.12,14.37,14.39,82300,14.39
2014-11-20,15.91,16.25,15.12,15.12,203100,15.12
2014-11-19,15.91,15.91,14.75,15.91,1097800,15.91
2014-11-18,15.16,15.16,15.16,15.16,11500,15.16
2014-11-17,14.44,14.44,14.44,14.44,34800,14.44
2014-11-14,13.75,13.76,13.75,13.76,27400,13.76
2014-11-13,13.51,14.15,13.00,13.11,82700,13.11
2014-11-12,13.49,13.53,13.00,13.50,113400,13.50
2014-11-11,12.75,13.20,12.40,12.89,77600,12.89
2014-11-10,12.75,12.75,12.14,12.69,30200,12.69
2014-11-07,11.85,12.90,11.85,12.17,39800,12.17
2014-11-06,12.37,12.37,12.37,12.37,000,12.37
2014-11-05,13.00,13.00,12.35,12.37,41100,12.37
2014-11-04,13.00,13.00,13.00,13.00,000,13.00
2014-11-03,13.00,13.00,12.40,13.00,20200,13.00
2014-10-31,13.00,13.30,12.60,12.75,51400,12.75
2014-10-30,12.30,13.10,12.30,12.95,21700,12.95
2014-10-29,12.30,12.80,12.30,12.60,47200,12.60
2014-10-28,12.60,13.10,12.30,12.35,55200,12.35
2014-10-27,13.45,13.85,12.70,12.90,106600,12.90
2014-10-24,12.60,12.60,12.60,12.60,000,12.60
2014-10-23,12.60,12.60,12.60,12.60,000,12.60
2014-10-22,12.35,12.65,11.55,12.60,37600,12.60
2014-10-21,11.90,12.30,11.30,12.30,83500,12.30
2014-10-20,12.25,12.35,11.40,11.75,110900,11.75
2014-10-17,12.45,12.75,12.00,12.00,86800,12.00
2014-10-16,13.40,13.50,12.60,12.60,58000,12.60
2014-10-15,13.25,13.25,13.25,13.25,000,13.25
2014-10-14,12.80,13.55,12.50,13.25,54300,13.25
2014-10-13,13.40,13.50,12.85,13.00,31000,13.00
2014-10-10,13.50,14.40,13.30,13.40,90700,13.40
2014-10-09,14.15,14.90,13.90,13.95,132300,13.95
2014-10-08,14.80,15.20,14.60,14.60,148400,14.60
2014-10-07,16.50,16.50,15.20,15.35,99200,15.35
2014-10-06,16.00,16.00,16.00,16.00,000,16.00
2014-10-03,16.00,16.00,16.00,16.00,000,16.00
2014-10-02,16.00,16.00,16.00,16.00,000,16.00
2014-10-01,16.90,16.90,15.70,16.00,68700,16.00
2014-09-30,16.00,16.39,15.90,16.19,82700,16.19
2014-09-29,15.99,16.00,15.27,15.63,111600,15.63
2014-09-26,14.50,15.36,14.00,15.26,188400,15.26
2014-09-25,15.52,15.99,14.63,14.63,177200,14.63
2014-09-24,14.00,15.40,13.94,15.40,316300,15.40
2014-09-23,13.60,14.67,13.30,14.67,296100,14.67
2014-09-22,13.85,14.34,13.10,13.98,42700,13.98
2014-09-19,14.00,14.25,13.56,13.69,106500,13.69
2014-09-18,13.93,14.55,13.75,14.27,53700,14.27
2014-09-17,14.50,14.75,13.93,14.13,69200,14.13
2014-09-16,14.85,14.85,13.50,14.66,316700,14.66
2014-09-15,14.00,14.15,13.90,14.15,64900,14.15
2014-09-12,13.00,13.48,12.50,13.48,221800,13.48
2014-09-11,12.20,12.95,12.20,12.84,63600,12.84
2014-09-10,13.15,13.20,12.16,12.76,106600,12.76
2014-09-09,12.82,12.88,12.24,12.79,86700,12.79
2014-09-08,11.99,12.27,11.35,12.27,102900,12.27
2014-09-05,12.20,12.44,11.51,11.69,78000,11.69
2014-09-04,11.95,12.75,11.83,11.96,92400,11.96
2014-09-03,13.28,13.29,12.25,12.44,87400,12.44
2014-09-02,13.40,13.50,12.45,12.81,220400,12.81
2014-09-01,13.00,13.50,12.30,13.10,149300,13.10
2014-08-29,12.91,12.91,12.91,12.91,000,12.91
2014-08-28,12.99,13.07,12.10,12.91,384600,12.91
2014-08-27,12.45,12.45,11.85,12.45,438800,12.45
2014-08-26,11.86,11.86,11.60,11.86,267700,11.86
2014-08-25,11.30,11.30,11.30,11.30,55200,11.30
2014-08-22,10.77,10.77,10.77,10.77,74000,10.77
2014-08-21,9.90,10.26,9.80,10.26,152400,10.26
2014-08-20,9.78,9.78,9.50,9.78,55900,9.78
2014-08-19,9.03,9.77,9.03,9.32,28600,9.32
2014-08-18,9.48,9.48,9.00,9.32,44300,9.32
2014-08-15,9.03,9.03,9.03,9.03,000,9.03
2014-08-14,9.10,9.25,8.91,9.03,43300,9.03
