Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,33.00,33.00,31.00,31.00,500,31.00
2014-12-22,35.00,35.00,33.00,33.50,1600,33.50
2014-12-19,34.00,35.50,34.00,35.50,500,35.50
2014-12-18,33.00,33.00,33.00,33.00,000,33.00
2014-12-17,33.00,33.00,33.00,33.00,1000,33.00
2014-12-16,34.00,34.00,32.55,32.55,300,32.55
2014-12-15,34.00,34.90,34.00,34.90,1900,34.90
2014-12-12,34.00,35.00,34.00,34.00,1400,34.00
2014-12-11,34.05,34.05,34.00,34.00,000,34.00
2014-12-10,34.00,34.50,34.00,34.00,10100,34.00
2014-12-09,28.55,34.50,28.55,34.50,9100,34.50
2014-12-08,34.00,36.70,34.00,35.00,500,35.00
2014-12-05,34.00,36.95,33.55,36.90,2300,36.90
2014-12-04,34.20,34.20,34.20,34.20,000,34.20
2014-12-03,36.50,36.80,35.25,35.35,1200,35.35
2014-12-02,36.95,37.00,35.00,35.00,500,35.00
2014-12-01,35.10,35.90,32.50,35.90,400,35.90
2014-11-28,34.25,36.25,34.00,35.20,200,35.20
2014-11-27,33.00,37.90,33.00,37.85,100,37.85
2014-11-26,33.65,34.00,33.65,34.00,100,34.00
2014-11-25,36.95,36.95,36.95,36.95,000,36.95
2014-11-24,35.05,36.95,34.80,36.95,900,36.95
2014-11-21,37.00,38.65,37.00,37.50,1300,37.50
2014-11-20,35.00,38.45,35.00,36.50,3300,36.50
2014-11-19,34.10,35.80,34.05,35.30,300,35.30
2014-11-18,36.50,36.50,36.50,36.50,000,36.50
2014-11-17,36.85,36.85,36.85,36.85,000,36.85
2014-11-14,33.00,37.00,33.00,36.85,800,36.85
2014-11-13,40.35,40.35,31.30,36.50,1300,36.50
2014-11-12,34.85,34.85,34.85,34.85,000,34.85
2014-11-11,35.15,36.45,34.00,34.85,1400,34.85
2014-11-10,34.00,39.00,34.00,37.65,2300,37.65
2014-11-07,34.00,39.00,34.00,35.65,4200,35.65
2014-11-06,34.80,34.80,34.80,34.80,000,34.80
2014-11-05,35.00,35.00,34.35,34.80,900,34.80
2014-11-04,35.40,35.40,35.40,35.40,000,35.40
2014-11-03,35.90,35.90,33.50,35.40,300,35.40
2014-10-31,36.15,36.15,33.00,33.65,2700,33.65
2014-10-30,36.00,38.65,34.00,36.15,1100,36.15
2014-10-29,34.15,34.15,34.15,34.15,000,34.15
2014-10-28,35.80,35.80,34.15,34.15,000,34.15
2014-10-27,32.60,35.75,32.55,35.30,1200,35.30
2014-10-24,34.50,34.50,34.50,34.50,000,34.50
2014-10-23,34.50,34.50,34.50,34.50,000,34.50
2014-10-22,38.90,38.90,32.30,34.50,1300,34.50
2014-10-21,42.00,42.00,32.00,34.00,29500,34.00
2014-10-20,40.10,41.05,40.00,40.00,300,40.00
2014-10-17,38.00,40.00,38.00,40.00,000,40.00
2014-10-16,40.60,40.60,38.00,38.00,500,38.00
2014-10-15,41.00,41.00,41.00,41.00,000,41.00
2014-10-14,36.80,41.00,36.00,41.00,100,41.00
2014-10-13,39.70,39.70,39.70,39.70,000,39.70
2014-10-10,39.50,40.00,37.50,37.60,1900,37.60
2014-10-09,40.00,41.00,38.25,38.25,700,38.25
2014-10-08,40.95,40.95,40.00,40.00,500,40.00
2014-10-07,39.15,40.00,39.15,40.00,400,40.00
2014-10-06,37.60,37.60,37.60,37.60,000,37.60
2014-10-03,37.60,37.60,37.60,37.60,000,37.60
2014-10-02,37.60,37.60,37.60,37.60,000,37.60
2014-10-01,37.90,41.00,37.60,37.60,500,37.60
2014-09-30,39.00,45.00,39.00,44.20,500,44.20
2014-09-29,35.60,41.40,35.60,39.70,700,39.70
2014-09-26,38.00,39.50,38.00,39.50,200,39.50
2014-09-25,37.45,39.85,37.25,39.85,400,39.85
2014-09-24,40.00,41.00,39.05,41.00,800,41.00
2014-09-23,41.00,43.50,39.25,40.15,800,40.15
2014-09-22,39.25,43.25,39.25,42.90,1000,42.90
2014-09-19,41.00,42.00,41.00,42.00,900,42.00
2014-09-18,38.45,42.35,38.45,40.65,600,40.65
2014-09-17,37.65,43.95,37.65,42.45,1300,42.45
2014-09-16,45.00,46.00,40.65,40.70,1600,40.70
2014-09-15,33.35,45.70,33.25,45.70,2100,45.70
2014-09-12,39.00,44.00,39.00,39.50,300,39.50
2014-09-11,38.00,44.85,33.25,39.10,1500,39.10
2014-09-10,39.50,39.50,36.00,37.55,1300,37.55
2014-09-09,40.00,40.00,39.00,39.95,1700,39.95
2014-09-08,42.10,42.10,42.10,42.10,000,42.10
2014-09-05,38.25,42.10,38.00,42.10,200,42.10
2014-09-04,41.00,41.00,37.85,38.15,400,38.15
2014-09-03,40.00,43.00,37.30,38.85,1000,38.85
2014-09-02,40.55,42.00,39.75,40.80,700,40.80
2014-09-01,44.05,44.05,42.00,43.90,1500,43.90
2014-08-29,44.00,44.00,44.00,44.00,000,44.00
2014-08-28,44.00,44.00,44.00,44.00,000,44.00
2014-08-27,45.00,45.00,41.10,42.25,400,42.25
2014-08-26,43.00,44.00,42.00,44.00,3900,44.00
2014-08-25,41.00,43.50,39.75,43.50,1500,43.50
2014-08-22,40.00,43.40,38.50,41.45,5200,41.45
2014-08-21,37.15,39.95,36.80,39.70,200,39.70
2014-08-20,36.15,39.70,36.10,38.80,1300,38.80
2014-08-19,36.10,36.10,36.10,36.10,000,36.10
2014-08-18,37.80,42.00,37.80,38.60,800,38.60
2014-08-15,41.05,41.05,41.05,41.05,000,41.05
2014-08-14,41.90,41.90,37.80,41.05,1900,41.05
2014-08-13,41.10,41.10,33.75,38.15,1900,38.15
2014-08-12,40.00,41.70,36.00,37.40,700,37.40
2014-08-11,40.85,41.95,37.75,39.20,700,39.20
2014-08-08,40.00,41.35,37.30,41.15,2300,41.15
2014-08-07,37.05,41.00,37.05,40.75,1300,40.75
2014-08-06,35.00,40.00,35.00,38.00,1600,38.00
2014-08-05,36.30,42.45,36.15,36.40,400,36.40
2014-08-04,35.85,40.00,35.85,40.00,100,40.00
2014-08-01,40.30,40.30,39.25,39.80,600,39.80
2014-07-31,40.45,41.45,40.25,41.25,1800,41.25
2014-07-30,39.90,39.90,39.90,39.90,200,39.90
2014-07-29,40.35,40.35,40.35,40.35,000,40.35
2014-07-28,41.00,41.40,40.35,40.35,900,40.35
2014-07-25,40.15,43.90,40.15,42.15,400,42.15
2014-07-24,41.00,43.05,39.50,42.00,1500,42.00
2014-07-23,39.70,41.00,38.00,41.00,1800,41.00
2014-07-22,41.00,41.00,39.70,39.90,300,39.90
2014-07-21,41.95,42.00,38.00,41.75,8300,41.75
2014-07-18,39.00,40.80,39.00,40.00,800,40.00
2014-07-17,37.90,39.75,37.90,38.90,3100,38.90
2014-07-16,34.40,38.00,34.40,37.00,2700,37.00
2014-07-15,36.20,36.20,36.20,36.20,000,36.20
2014-07-14,36.20,36.20,36.20,36.20,800,36.20
2014-07-11,38.10,38.10,38.10,38.10,000,38.10
2014-07-10,38.10,38.10,38.10,38.10,000,38.10
2014-07-09,38.10,38.10,38.10,38.10,000,38.10
2014-07-08,38.10,40.95,38.10,38.10,1300,38.10
2014-07-07,41.35,41.40,40.10,40.10,000,40.10
2014-07-04,42.20,42.20,42.20,42.20,400,42.20
2014-07-03,37.05,40.35,37.05,40.35,600,40.35
2014-07-02,38.95,40.95,38.95,39.00,900,39.00
