Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,20.85,20.85,19.05,20.45,2300,20.45
2014-12-22,21.15,21.15,18.75,20.65,3500,20.65
2014-12-19,22.55,22.55,18.20,19.50,1400,19.50
2014-12-18,21.40,21.40,18.60,19.65,100,19.65
2014-12-17,21.40,21.40,17.60,19.80,1000,19.80
2014-12-16,19.50,21.65,19.00,19.00,500,19.00
2014-12-15,21.80,21.80,19.60,19.85,2000,19.85
2014-12-12,19.35,20.40,19.15,19.95,1400,19.95
2014-12-11,19.20,23.65,19.15,20.10,10900,20.10
2014-12-10,18.40,21.45,18.40,20.45,1900,20.45
2014-12-09,19.30,19.40,18.50,19.40,3300,19.40
2014-12-08,18.25,19.35,18.20,19.35,800,19.35
2014-12-05,21.25,21.25,18.50,20.15,600,20.15
2014-12-04,18.35,19.85,18.35,19.75,10900,19.75
2014-12-03,21.65,21.65,18.65,19.95,1000,19.95
2014-12-02,19.95,20.00,18.30,19.85,1200,19.85
2014-12-01,18.05,22.00,18.00,19.35,4800,19.35
2014-11-28,20.15,20.15,18.30,19.05,2000,19.05
2014-11-27,20.00,20.00,20.00,20.00,000,20.00
2014-11-26,19.50,20.00,17.25,20.00,2800,20.00
2014-11-25,19.80,19.80,18.50,18.50,800,18.50
2014-11-24,21.25,21.25,18.75,20.25,1000,20.25
2014-11-21,19.10,20.80,17.70,20.00,1800,20.00
2014-11-20,21.50,21.50,19.00,19.80,2000,19.80
2014-11-19,17.45,20.40,17.45,20.15,2100,20.15
2014-11-18,19.95,19.95,19.50,19.50,100,19.50
2014-11-17,19.80,19.80,19.00,19.10,200,19.10
2014-11-14,18.35,18.35,18.35,18.35,000,18.35
2014-11-13,19.00,19.00,18.25,18.35,500,18.35
2014-11-12,17.60,19.30,17.50,19.30,700,19.30
2014-11-11,21.65,21.65,18.40,18.75,4700,18.75
2014-11-10,20.40,20.50,20.00,20.00,7300,20.00
2014-11-07,17.60,18.90,17.60,18.80,4500,18.80
2014-11-06,18.00,18.00,18.00,18.00,000,18.00
2014-11-05,17.30,18.70,17.30,18.00,2500,18.00
2014-11-04,18.80,18.80,18.80,18.80,000,18.80
2014-11-03,18.30,19.25,17.25,18.80,2500,18.80
2014-10-31,17.10,17.85,17.05,17.50,1500,17.50
2014-10-30,17.55,17.90,17.50,17.90,1400,17.90
2014-10-29,22.60,22.60,16.25,18.65,1200,18.65
2014-10-28,20.25,20.25,19.00,19.70,1300,19.70
2014-10-27,24.00,24.00,18.30,19.85,5500,19.85
2014-10-24,18.00,18.00,18.00,18.00,000,18.00
2014-10-23,18.00,18.00,18.00,18.00,000,18.00
2014-10-22,17.05,18.90,17.05,18.00,600,18.00
2014-10-21,21.65,21.65,18.95,18.95,000,18.95
2014-10-20,17.20,21.60,17.20,19.10,1800,19.10
2014-10-17,23.70,23.70,16.05,18.95,500,18.95
2014-10-16,22.95,22.95,18.50,19.80,1600,19.80
2014-10-15,19.30,19.30,19.30,19.30,000,19.30
2014-10-14,22.50,22.50,18.55,19.30,1100,19.30
2014-10-13,23.60,23.60,18.00,18.85,1600,18.85
2014-10-10,20.75,20.75,19.90,19.90,300,19.90
2014-10-09,21.50,21.50,18.60,19.00,3600,19.00
2014-10-08,19.90,19.90,19.25,19.90,1700,19.90
2014-10-07,18.60,19.95,18.30,19.95,4000,19.95
2014-10-06,20.10,20.10,20.10,20.10,000,20.10
2014-10-03,20.10,20.10,20.10,20.10,000,20.10
2014-10-02,20.10,20.10,20.10,20.10,000,20.10
2014-10-01,20.50,20.50,20.10,20.10,2000,20.10
2014-09-30,20.15,20.15,20.15,20.15,2000,20.15
2014-09-29,20.44,20.44,19.01,20.40,2200,20.40
2014-09-26,16.50,19.70,16.50,19.70,2500,19.70
2014-09-25,18.18,18.18,18.18,18.18,000,18.18
2014-09-24,20.20,20.20,20.20,20.20,000,20.20
2014-09-23,19.60,20.20,19.60,20.20,1100,20.20
2014-09-22,18.16,19.60,18.16,19.60,2100,19.60
2014-09-19,20.49,20.49,17.76,19.70,3800,19.70
