Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,101.00,103.50,100.60,102.95,47900,102.95
2014-12-22,102.45,102.45,100.00,100.55,26600,100.55
2014-12-19,101.75,102.20,100.15,101.75,23000,101.75
2014-12-18,100.75,101.25,99.65,100.95,27400,100.95
2014-12-17,101.95,101.95,97.40,98.45,38400,98.45
2014-12-16,100.00,103.50,97.50,98.95,180600,98.95
2014-12-15,97.55,97.70,96.25,96.95,9200,96.95
2014-12-12,96.35,98.10,96.35,97.00,14200,97.00
2014-12-11,96.50,97.35,95.20,97.05,6600,97.05
2014-12-10,96.75,96.90,93.00,96.70,7800,96.70
2014-12-09,97.00,97.50,96.30,96.80,14700,96.80
2014-12-08,98.00,98.80,96.60,96.90,13700,96.90
2014-12-05,98.10,98.10,97.05,98.00,16500,98.00
2014-12-04,97.80,97.80,96.20,97.30,18900,97.30
2014-12-03,97.10,97.50,96.30,96.60,9400,96.60
2014-12-02,96.65,97.00,96.50,96.55,4500,96.55
2014-12-01,97.00,98.00,95.00,96.95,14100,96.95
2014-11-28,97.75,98.65,96.35,96.65,10100,96.65
2014-11-27,97.15,97.50,96.10,97.05,10000,97.05
2014-11-26,98.75,98.75,95.00,96.85,36500,96.85
2014-11-25,98.60,98.60,96.25,97.00,16500,97.00
2014-11-24,98.00,98.05,96.05,97.05,20800,97.05
2014-11-21,98.95,98.95,97.05,97.25,10000,97.25
2014-11-20,97.60,98.80,96.00,97.70,50900,97.70
2014-11-19,99.20,100.75,97.35,97.60,19300,97.60
2014-11-18,99.25,99.25,97.65,98.15,11100,98.15
2014-11-17,98.00,100.00,96.85,98.55,15100,98.55
2014-11-14,99.50,99.50,97.45,98.00,17100,98.00
2014-11-13,100.00,100.00,97.40,98.50,29200,98.50
2014-11-12,101.25,101.25,97.75,98.75,35100,98.75
2014-11-11,101.30,101.30,98.20,99.95,19300,99.95
2014-11-10,100.60,103.25,96.35,100.70,86300,100.70
2014-11-07,102.70,104.45,102.15,103.05,26100,103.05
2014-11-06,102.00,102.00,102.00,102.00,000,102.00
2014-11-05,103.10,103.35,101.00,102.00,12900,102.00
2014-11-04,101.85,101.85,101.85,101.85,000,101.85
2014-11-03,103.95,103.95,100.85,101.85,17500,101.85
2014-10-31,103.00,104.00,99.65,102.40,59300,102.40
2014-10-30,102.00,106.00,102.00,102.75,120900,102.75
2014-10-29,96.90,97.25,95.65,97.00,7400,97.00
2014-10-28,96.00,96.75,94.80,96.55,8500,96.55
2014-10-27,96.50,97.45,96.10,96.30,4000,96.30
2014-10-24,95.75,95.75,95.75,95.75,000,95.75
2014-10-23,95.75,95.75,95.75,95.75,000,95.75
2014-10-22,96.85,96.85,95.10,95.75,5300,95.75
2014-10-21,97.25,97.25,95.50,96.00,6000,96.00
2014-10-20,96.20,97.70,96.20,96.70,11000,96.70
2014-10-17,97.00,97.00,92.30,95.40,20100,95.40
2014-10-16,97.55,97.75,96.00,96.70,18300,96.70
2014-10-15,97.00,97.00,97.00,97.00,000,97.00
2014-10-14,97.65,97.70,96.45,97.00,4000,97.00
2014-10-13,97.75,97.80,95.80,96.55,14300,96.55
2014-10-10,96.90,97.85,96.30,97.20,14600,97.20
2014-10-09,97.00,97.80,95.75,97.00,17300,97.00
2014-10-08,97.00,97.00,95.30,95.90,13400,95.90
2014-10-07,97.65,98.00,95.50,96.25,278000,96.25
2014-10-06,97.30,97.30,97.30,97.30,000,97.30
2014-10-03,97.30,97.30,97.30,97.30,000,97.30
2014-10-02,97.30,97.30,97.30,97.30,000,97.30
2014-10-01,97.90,98.20,97.00,97.30,12600,97.30
2014-09-30,97.00,98.15,96.25,97.85,10100,97.85
2014-09-29,97.00,98.70,96.30,96.55,4700,96.55
2014-09-26,97.00,98.00,95.60,96.80,26800,96.80
2014-09-25,99.00,99.00,95.70,96.75,44100,96.75
2014-09-24,98.85,99.70,95.25,97.55,32600,97.55
2014-09-23,102.80,102.80,98.05,98.45,28600,98.45
2014-09-22,102.35,103.70,100.00,102.25,21100,102.25
2014-09-19,102.00,103.00,101.00,102.45,24500,102.45
2014-09-18,99.90,101.95,99.30,101.05,26800,101.05
2014-09-17,101.00,101.10,98.50,99.85,24900,99.85
2014-09-16,102.60,103.80,98.40,100.00,72300,100.00
2014-09-15,103.80,104.85,101.10,102.40,75700,102.40
2014-09-12,102.55,103.10,100.55,102.30,27400,102.30
2014-09-11,102.80,104.50,101.40,102.60,63100,102.60
2014-09-10,100.15,104.80,98.00,102.10,110300,102.10
2014-09-09,102.20,103.00,99.40,100.10,37400,100.10
2014-09-08,100.30,103.80,99.20,102.55,128100,102.55
2014-09-05,96.20,101.25,95.25,100.15,72800,100.15
2014-09-04,97.50,97.50,94.00,95.75,32900,95.75
2014-09-03,98.65,98.65,95.80,96.75,51500,96.75
2014-09-02,99.00,99.20,96.90,97.95,41800,97.95
2014-09-01,98.45,100.90,98.05,98.50,67900,98.50
2014-08-29,97.70,97.70,97.70,97.70,000,97.70
2014-08-28,97.50,99.70,96.10,97.70,134000,97.70
2014-08-27,92.20,97.70,91.70,96.90,96000,96.90
2014-08-26,93.40,94.40,91.00,91.95,23600,91.95
2014-08-25,94.90,97.95,93.00,93.65,98400,93.65
2014-08-22,94.85,96.70,93.55,94.75,94100,94.75
2014-08-21,93.20,95.70,92.65,93.95,69200,93.95
2014-08-20,91.60,96.70,90.50,93.50,124600,93.50
2014-08-19,92.95,93.50,90.30,92.10,46600,92.10
2014-08-18,92.00,93.40,90.05,92.30,66800,92.30
2014-08-15,90.05,90.05,90.05,90.05,000,90.05
2014-08-14,90.45,91.65,86.90,90.05,91400,90.05
2014-08-13,91.00,91.50,88.15,90.50,232100,90.50
2014-08-12,87.55,94.25,85.50,90.90,1746500,90.90
2014-08-11,82.00,83.00,81.50,82.00,13600,82.00
2014-08-08,81.00,82.45,81.00,81.95,27800,81.95
2014-08-07,82.70,83.15,81.70,82.70,39600,82.70
2014-08-06,81.40,82.55,80.00,81.65,39100,81.65
2014-08-05,81.00,81.25,80.00,80.70,13700,80.70
2014-08-04,80.85,81.10,79.90,80.75,12800,80.75
2014-08-01,80.00,80.70,78.95,79.50,23400,79.50
2014-07-31,80.10,82.00,79.95,80.35,11100,80.35
2014-07-30,80.10,80.90,78.90,80.65,11800,80.65
2014-07-29,80.10,80.10,80.10,80.10,000,80.10
2014-07-28,81.95,82.00,79.00,80.10,27100,80.10
2014-07-25,85.20,85.25,81.60,83.15,33300,81.15
2014-07-24,82.00,85.50,82.00,85.20,73500,83.15
2014-07-23,83.50,83.70,80.85,82.25,35600,80.27
2014-07-22,83.00,84.85,82.25,83.50,65800,81.49
2014-07-21,81.15,83.45,79.00,82.55,64300,80.56
2014-07-18,78.85,81.50,78.85,80.60,52300,78.66
2014-07-17,78.60,79.90,77.65,78.95,18000,77.05
2014-07-16,76.90,78.30,76.80,78.20,11000,76.32
2014-07-15,77.50,77.50,75.10,76.35,26200,74.51
2014-07-14,77.00,77.00,75.05,75.50,21600,73.68
2014-07-11,76.00,78.00,76.00,77.05,40600,75.20
2014-07-10,80.20,80.20,75.75,76.50,67900,74.66
2014-07-09,80.00,80.85,75.40,78.85,61600,76.95
2014-07-08,86.00,86.10,79.75,80.25,108200,78.32
2014-07-07,82.45,87.50,82.45,85.30,213400,83.25
2014-07-04,82.85,84.25,82.00,82.25,28400,80.27
2014-07-03,80.10,83.00,80.10,82.20,26200,80.22
2014-07-02,83.65,85.00,81.60,82.75,78900,80.76
2014-07-01,80.30,84.30,80.30,82.50,88300,80.52
2014-06-30,79.10,81.50,78.00,80.35,47800,78.42
2014-06-27,80.40,80.80,78.65,78.95,27300,77.05
