Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,85.10,85.35,81.25,81.75,1354100,81.75
2014-12-22,84.70,90.25,84.00,84.70,2701900,84.70
2014-12-19,76.70,87.75,76.60,83.65,3375700,83.65
2014-12-18,71.90,75.95,71.90,75.50,972600,75.50
2014-12-17,72.75,73.45,67.65,70.60,1749200,70.60
2014-12-16,77.40,78.55,72.25,73.30,1160700,73.30
2014-12-15,76.70,79.25,76.25,77.65,655700,77.65
2014-12-12,80.35,82.60,76.50,77.50,1115900,77.50
2014-12-11,82.15,83.00,79.25,79.75,1153100,79.75
2014-12-10,78.50,83.50,78.00,82.85,2271000,82.85
2014-12-09,75.75,80.40,75.05,79.40,2867000,79.40
2014-12-08,80.60,82.20,76.00,76.35,1790300,76.35
2014-12-05,71.50,83.00,71.30,80.10,4557100,80.10
2014-12-04,68.75,72.85,67.70,71.05,2183600,71.05
2014-12-02,63.40,65.15,62.55,64.20,451500,64.20
2014-12-01,67.00,67.90,63.45,64.00,355500,64.00
2014-11-28,66.00,67.80,66.00,67.05,764600,67.05
2014-11-27,66.60,67.80,64.80,66.30,777400,66.30
2014-11-26,64.15,68.00,64.15,66.40,1258500,66.40
2014-11-25,63.50,65.65,58.45,63.20,1167800,63.20
2014-11-24,64.40,65.20,62.75,63.30,472400,63.30
2014-11-21,64.90,66.50,63.30,63.65,890100,63.65
2014-11-20,67.60,67.80,64.10,64.80,693500,64.80
2014-11-19,69.40,70.30,66.30,67.15,1119500,67.15
2014-11-18,67.80,71.15,67.50,68.95,1479900,68.95
2014-11-17,61.65,69.90,61.30,67.15,4365300,67.15
2014-11-14,58.10,61.75,58.10,61.30,2633600,61.30
2014-11-13,56.90,60.15,54.80,57.30,1930800,57.30
2014-11-12,57.05,58.30,56.10,56.55,901700,56.55
2014-11-11,57.45,57.85,56.15,56.45,542900,56.45
2014-11-10,56.00,57.35,54.65,56.80,835000,56.80
2014-11-07,58.00,59.35,55.30,55.90,1190700,55.90
2014-11-06,57.15,57.15,57.15,57.15,000,57.15
2014-11-05,56.60,58.95,52.55,57.15,2561600,57.15
2014-11-04,57.10,57.10,57.10,57.10,000,57.10
2014-11-03,60.05,62.50,56.10,57.10,2020400,57.10
2014-10-31,51.45,60.70,51.20,59.60,2666500,59.60
2014-10-30,53.85,54.40,50.45,52.75,1007000,52.75
2014-10-29,50.35,54.95,50.30,53.20,1610800,53.20
2014-10-28,44.70,51.20,44.65,49.60,2012900,49.60
2014-10-27,45.00,46.15,43.90,44.35,352900,44.35
2014-10-24,42.10,42.10,42.10,42.10,000,42.10
2014-10-23,42.10,42.10,42.10,42.10,000,42.10
2014-10-22,43.50,43.55,41.75,42.10,95600,42.10
2014-10-21,43.00,43.40,42.25,43.05,90600,43.05
2014-10-20,43.20,43.65,42.20,42.90,193300,42.90
2014-10-17,40.00,43.00,38.50,41.85,494200,41.85
2014-10-16,42.10,42.85,39.05,39.70,177400,39.70
2014-10-15,42.40,42.40,42.40,42.40,000,42.40
2014-10-14,43.50,44.85,42.05,42.40,249600,42.40
2014-10-13,43.50,45.30,42.85,43.15,232500,43.15
2014-10-10,42.70,46.30,41.50,43.95,1068500,43.95
2014-10-09,38.85,45.00,38.50,43.80,955300,43.80
2014-10-08,36.25,38.70,36.00,38.15,312000,38.15
2014-10-07,37.90,38.25,36.05,36.35,190200,36.35
2014-10-06,38.15,38.15,38.15,38.15,000,38.15
2014-10-03,38.15,38.15,38.15,38.15,000,38.15
2014-10-02,38.15,38.15,38.15,38.15,000,38.15
2014-10-01,39.00,39.40,37.95,38.15,107900,38.15
2014-09-30,40.20,41.00,38.25,38.90,310100,38.90
2014-09-29,37.00,41.40,36.00,40.65,674200,40.65
2014-09-26,35.00,37.85,34.20,36.75,287400,36.75
2014-09-25,40.30,40.55,35.45,35.85,316500,35.85
2014-09-24,43.45,43.45,39.50,39.90,179000,39.90
2014-09-23,44.60,45.65,42.40,42.75,185800,42.75
2014-09-22,45.95,45.95,43.60,44.30,284400,44.30
2014-09-19,47.55,48.80,46.10,46.65,321100,46.65
2014-09-18,44.80,47.90,43.50,46.90,1392200,46.90
2014-09-17,41.90,46.36,40.49,43.88,5070100,43.88
2014-09-16,42.57,43.30,41.29,41.56,522500,41.56
2014-09-15,40.98,42.66,40.31,42.23,1581300,42.23
2014-09-12,41.77,42.05,40.73,40.95,560700,40.95
