Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,56.00,58.25,55.00,56.55,164100,56.55
2014-12-22,52.55,55.00,51.00,54.30,235900,54.30
2014-12-19,50.50,52.50,50.00,51.30,204200,51.30
2014-12-18,48.00,52.00,47.10,50.70,238000,50.70
2014-12-17,49.00,50.50,45.40,46.55,271400,46.55
2014-12-16,56.95,57.00,48.60,49.40,222200,49.40
2014-12-15,54.80,58.60,54.65,56.20,188700,56.20
2014-12-12,56.30,57.10,54.10,54.65,239500,54.65
2014-12-11,53.25,55.90,51.15,55.30,267000,55.30
2014-12-10,51.15,54.50,50.50,53.55,221000,53.55
2014-12-09,51.65,53.20,50.15,52.20,244800,52.20
2014-12-08,46.00,52.25,45.25,51.20,362300,51.20
2014-12-05,44.80,45.90,44.60,45.00,177400,45.00
2014-12-04,47.15,47.15,45.25,45.50,214800,45.50
2014-12-03,46.25,46.70,45.75,45.95,176400,45.95
2014-12-02,45.40,47.10,45.00,45.55,187300,45.55
2014-12-01,44.50,47.70,44.20,45.85,166900,45.85
2014-11-28,45.00,47.05,45.00,46.75,157300,46.75
2014-11-27,46.00,47.15,45.65,45.95,161500,45.95
2014-11-26,47.60,49.00,44.00,46.25,167400,46.25
2014-11-25,49.20,49.20,46.00,47.00,147400,47.00
2014-11-24,48.75,49.55,48.00,48.80,161600,48.80
2014-11-21,49.05,49.80,48.25,48.60,200600,48.60
2014-11-20,48.00,50.00,47.45,49.20,203500,49.20
2014-11-19,48.90,49.90,47.35,48.30,148600,48.30
2014-11-18,47.40,47.75,46.55,47.55,127500,47.55
2014-11-17,46.25,48.25,46.25,47.55,132500,47.55
2014-11-14,48.00,48.50,45.65,47.25,169500,47.25
2014-11-13,49.00,49.95,45.30,46.10,202000,46.10
2014-11-12,45.00,51.00,45.00,48.70,285100,48.70
2014-11-11,44.85,45.90,44.00,44.40,163900,44.40
2014-11-10,45.20,45.50,44.40,45.05,184900,45.05
2014-11-07,44.50,45.30,43.85,44.75,178300,44.75
2014-11-06,44.30,44.30,44.30,44.30,000,44.30
2014-11-05,44.10,45.60,44.10,44.30,166400,44.30
2014-11-04,44.20,44.20,44.20,44.20,000,44.20
2014-11-03,44.00,44.80,42.30,44.20,177100,44.20
2014-10-31,42.50,43.95,42.50,43.65,153900,43.65
2014-10-30,42.00,43.60,42.00,42.60,162300,42.60
2014-10-29,43.75,44.00,43.00,43.45,148200,43.45
2014-10-28,43.30,44.65,43.25,43.55,163900,43.55
2014-10-27,45.00,45.00,43.35,43.85,153000,43.85
2014-10-24,43.35,43.35,43.35,43.35,000,43.35
2014-10-23,43.35,43.35,43.35,43.35,000,43.35
2014-10-22,43.20,44.00,42.60,43.35,176000,43.35
2014-10-21,44.00,44.40,43.00,43.65,156800,43.65
2014-10-20,44.25,46.00,42.50,44.05,196700,44.05
2014-10-17,43.20,44.40,42.55,44.05,205200,44.05
2014-10-16,42.20,43.90,42.00,43.60,248000,43.60
2014-10-15,43.30,43.30,43.30,43.30,000,43.30
2014-10-14,43.90,44.55,42.05,43.30,167100,43.30
2014-10-13,42.10,44.00,42.00,43.25,214500,43.25
2014-10-10,43.45,45.00,41.55,43.30,213500,43.30
2014-10-09,40.60,43.40,40.60,42.65,211900,42.65
2014-10-08,41.45,42.30,40.65,41.50,189800,41.50
2014-10-07,43.65,43.70,40.50,41.00,253800,41.00
2014-10-06,43.30,43.30,43.30,43.30,000,43.30
2014-10-03,43.30,43.30,43.30,43.30,000,43.30
2014-10-02,43.30,43.30,43.30,43.30,000,43.30
2014-10-01,41.50,44.60,41.25,43.30,299900,43.30
2014-09-30,43.70,43.80,41.05,41.80,209800,41.80
2014-09-29,41.95,43.20,40.90,42.70,170200,42.70
2014-09-26,40.05,43.25,40.05,41.30,246400,41.30
2014-09-25,42.50,42.60,40.00,41.05,262200,41.05
2014-09-24,42.25,44.10,41.10,41.45,143300,41.45
2014-09-23,43.00,44.50,43.00,43.45,136700,43.45
2014-09-22,44.20,44.50,42.30,43.50,147400,43.50
2014-09-19,44.90,45.00,43.55,44.40,196600,44.40
2014-09-18,44.40,44.90,43.60,44.30,141500,44.30
2014-09-17,42.85,44.00,41.50,43.45,147000,43.45
2014-09-16,47.65,47.65,41.00,43.15,146800,43.15
2014-09-15,46.20,47.30,45.95,46.60,154600,46.60
2014-09-12,46.70,47.40,45.50,46.10,146000,46.10
2014-09-11,47.15,47.90,46.05,46.15,142800,46.15
2014-09-10,46.00,47.50,45.95,47.10,145900,47.10
2014-09-09,45.80,47.80,45.80,46.80,169500,46.80
2014-09-08,46.30,48.80,45.80,47.00,172700,46.40
2014-09-05,47.10,48.00,46.45,47.35,158000,46.75
2014-09-04,47.00,48.20,46.25,46.60,160700,46.01
2014-09-03,49.00,49.80,47.30,47.60,150800,46.99
2014-09-02,49.90,50.00,48.55,49.25,158400,48.62
2014-09-01,46.50,50.00,46.50,49.30,186600,48.67
2014-08-29,47.60,47.60,47.60,47.60,000,46.99
2014-08-28,45.10,48.10,45.10,47.60,168400,46.99
2014-08-27,46.65,47.40,45.50,46.05,177900,45.46
2014-08-26,47.45,47.90,46.05,46.35,140400,45.76
2014-08-25,47.50,48.80,47.45,48.15,172600,47.54
2014-08-22,48.70,48.80,46.50,47.65,175000,47.04
2014-08-21,47.60,48.80,46.05,48.25,167800,47.63
2014-08-20,47.45,48.50,46.10,47.00,167800,46.40
2014-08-19,43.80,48.15,42.50,45.70,159600,45.12
2014-08-18,42.45,43.20,40.80,42.80,162000,42.25
2014-08-15,41.45,41.45,41.45,41.45,000,40.92
2014-08-14,44.00,44.00,40.65,41.45,177300,40.92
2014-08-13,44.70,46.20,42.05,43.35,160500,42.80
2014-08-12,46.10,47.50,45.30,45.45,184100,44.87
2014-08-11,48.35,48.35,45.50,46.20,169700,45.61
2014-08-08,44.60,47.40,44.60,46.85,166400,46.25
2014-08-07,45.50,46.80,44.90,45.60,175000,45.02
2014-08-06,46.50,47.40,45.35,46.55,151600,45.96
2014-08-05,47.00,48.40,46.00,46.40,173200,45.81
2014-08-04,47.40,48.80,46.70,47.60,184400,46.99
2014-08-01,49.25,49.25,46.50,47.45,149400,46.84
2014-07-31,48.75,49.00,47.90,48.40,161200,47.78
2014-07-30,49.00,49.35,47.10,47.85,153900,47.24
2014-07-29,48.25,48.25,48.25,48.25,000,47.63
2014-07-28,48.00,48.60,45.95,48.25,156600,47.63
2014-07-25,47.30,47.90,46.25,47.90,145700,47.29
2014-07-24,45.05,48.25,45.05,47.45,146700,46.84
2014-07-23,46.85,46.85,44.85,46.85,176100,46.25
2014-07-22,45.25,46.25,45.20,45.40,174800,44.82
2014-07-21,46.80,46.85,45.75,46.00,159300,45.41
2014-07-18,45.65,46.20,44.00,45.75,187200,45.17
2014-07-17,45.00,46.35,44.70,44.85,207300,44.28
2014-07-16,45.05,45.65,43.75,44.50,174600,43.93
2014-07-15,46.25,46.25,42.60,43.55,163800,42.99
2014-07-14,44.00,44.00,43.00,43.35,162700,42.80
2014-07-11,45.30,45.80,42.70,43.20,199500,42.65
2014-07-10,46.05,47.50,44.50,45.30,145300,44.72
2014-07-09,44.10,46.30,43.00,45.05,168100,44.47
2014-07-08,49.25,49.25,43.00,45.25,146900,44.67
