Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,26.75,26.75,25.30,26.75,5400,26.75
2014-12-22,24.45,28.20,24.45,28.10,5000,28.10
2014-12-19,27.10,28.50,27.10,27.15,1100,27.15
2014-12-18,29.90,29.90,29.90,29.90,000,29.90
2014-12-17,29.50,29.50,29.50,29.50,000,29.50
2014-12-16,25.70,29.50,25.70,29.50,300,29.50
2014-12-15,28.00,29.50,25.75,27.75,4500,27.75
2014-12-12,28.50,28.50,28.20,28.20,3600,28.20
2014-12-11,25.75,28.20,25.75,28.10,4400,28.10
2014-12-10,28.75,28.75,28.50,28.50,100,28.50
2014-12-09,28.00,28.00,26.80,26.80,3500,26.80
2014-12-08,31.40,31.40,29.40,29.40,600,29.40
2014-12-05,30.90,30.90,30.90,30.90,2000,30.90
2014-12-04,28.55,29.00,27.50,28.85,14500,28.85
2014-12-03,27.75,28.90,27.00,28.80,10800,28.80
2014-12-02,28.00,29.25,28.00,28.25,1200,28.25
2014-12-01,26.95,29.30,26.95,29.10,1600,29.10
2014-11-28,27.00,28.00,27.00,28.00,600,28.00
2014-11-27,28.20,28.20,28.00,28.00,1700,28.00
2014-11-26,26.95,27.10,26.85,26.90,10400,26.90
2014-11-25,27.10,28.75,27.10,28.25,3100,28.25
2014-11-24,29.00,29.00,28.40,28.40,1700,28.40
2014-11-21,29.60,32.00,29.55,29.80,1200,29.80
2014-11-20,28.50,31.05,28.50,31.05,1500,31.05
2014-11-19,28.50,29.70,28.50,29.70,6300,29.70
2014-11-18,28.00,29.75,28.00,28.45,10400,28.45
2014-11-17,28.35,28.45,28.00,28.45,1500,28.45
2014-11-14,27.10,27.10,27.10,27.10,800,27.10
2014-11-13,26.45,28.90,26.45,28.50,1200,28.50
2014-11-12,27.65,27.70,27.65,27.70,1000,27.70
2014-11-11,30.00,30.00,29.10,29.10,700,29.10
2014-11-10,30.25,30.45,30.15,30.15,1800,30.15
2014-11-07,34.35,34.65,31.70,31.70,600,31.70
2014-11-06,33.00,33.00,33.00,33.00,000,33.00
2014-11-05,32.05,33.00,32.05,33.00,1500,33.00
2014-11-04,33.50,33.50,33.50,33.50,000,33.50
2014-11-03,34.00,34.00,33.50,33.50,2300,33.50
