Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,82.00,82.00,82.00,82.00,000,82.00
2014-12-22,84.95,84.95,84.95,84.95,000,84.95
2014-12-19,82.00,82.00,82.00,82.00,000,82.00
2014-12-18,81.00,81.00,81.00,81.00,000,81.00
2014-12-17,83.00,83.00,83.00,83.00,000,83.00
2014-12-16,86.00,86.00,83.00,83.00,000,83.00
2014-12-15,83.00,83.00,83.00,83.00,000,83.00
2014-12-12,83.00,83.00,83.00,83.00,000,83.00
2014-12-11,83.00,83.00,83.00,83.00,000,83.00
2014-12-10,81.90,81.90,81.90,81.90,000,81.90
2014-12-09,81.90,81.90,81.90,81.90,000,81.90
2014-12-08,84.45,84.45,84.45,84.45,000,84.45
2014-12-05,84.45,84.45,84.45,84.45,100,84.45
2014-12-04,80.50,80.50,80.50,80.50,000,80.50
2014-12-03,80.45,80.45,80.45,80.45,000,80.45
2014-12-02,76.70,76.70,76.70,76.70,200,76.70
2014-12-01,73.05,73.05,73.05,73.05,000,73.05
2014-11-28,69.60,69.60,69.60,69.60,000,69.60
2014-11-27,69.60,69.60,69.60,69.60,000,69.60
2014-11-26,69.60,69.60,69.60,69.60,000,69.60
2014-11-25,69.60,69.60,69.60,69.60,000,69.60
2014-11-24,69.60,69.60,69.60,69.60,000,69.60
2014-11-21,69.60,69.60,69.60,69.60,000,69.60
2014-11-20,68.05,71.00,68.05,69.10,400,69.10
2014-11-19,73.00,73.00,70.35,70.40,100,70.40
2014-11-18,72.25,73.05,72.10,73.05,300,73.05
2014-11-17,75.50,75.50,74.90,74.90,000,74.90
2014-11-14,79.10,79.10,78.80,78.80,300,78.80
2014-11-13,77.00,77.00,76.00,76.00,100,76.00
2014-11-12,85.00,85.00,79.80,79.80,100,79.80
2014-11-11,84.00,84.00,84.00,84.00,100,84.00
2014-11-10,88.80,88.80,80.55,80.55,100,80.55
2014-11-07,84.75,84.75,84.75,84.75,000,84.75
2014-11-06,84.75,84.75,84.75,84.75,000,84.75
2014-11-05,84.75,84.75,84.75,84.75,000,84.75
2014-11-04,84.75,84.75,84.75,84.75,000,84.75
2014-11-03,81.70,84.80,81.70,84.75,000,84.75
2014-10-31,86.00,86.00,86.00,86.00,000,86.00
2014-10-30,90.00,90.00,86.00,86.00,000,86.00
2014-10-29,86.80,86.80,85.85,85.85,000,85.85
2014-10-28,82.85,82.85,82.85,82.85,000,82.85
2014-10-27,87.20,87.20,87.20,87.20,000,87.20
2014-10-24,87.20,87.20,87.20,87.20,000,87.20
2014-10-23,87.20,87.20,87.20,87.20,000,87.20
2014-10-22,87.20,87.20,87.20,87.20,000,87.20
2014-10-21,94.00,94.00,87.20,87.20,000,87.20
2014-10-20,91.75,91.75,91.75,91.75,000,91.75
2014-10-17,91.75,91.75,91.75,91.75,000,91.75
2014-10-16,91.75,91.75,91.75,91.75,000,91.75
2014-10-15,91.75,91.75,91.75,91.75,000,91.75
2014-10-14,91.75,91.75,91.75,91.75,000,91.75
2014-10-13,91.75,91.75,91.75,91.75,500,91.75
2014-10-10,90.00,90.00,89.75,89.75,000,89.75
2014-10-09,88.95,88.95,88.90,88.90,000,88.90
2014-10-08,84.75,84.75,84.75,84.75,000,84.75
2014-10-07,84.00,84.00,84.00,84.00,000,84.00
2014-10-06,80.00,80.00,80.00,80.00,000,80.00
2014-10-03,80.00,80.00,80.00,80.00,000,80.00
2014-10-02,80.00,80.00,80.00,80.00,000,80.00
2014-10-01,80.00,80.00,80.00,80.00,000,80.00
2014-09-30,80.00,80.00,80.00,80.00,000,80.00
2014-09-29,73.00,80.00,73.00,80.00,200,80.00
2014-09-26,76.55,76.55,76.55,76.55,000,76.55
2014-09-25,76.55,76.55,76.55,76.55,000,76.55
2014-09-24,76.55,76.55,76.55,76.55,000,76.55
2014-09-23,76.55,76.55,76.55,76.55,000,76.55
2014-09-22,76.60,76.60,76.55,76.55,100,76.55
2014-09-19,80.50,80.50,79.00,80.50,200,80.50
2014-09-18,80.25,80.25,80.25,80.25,100,80.25
2014-09-17,84.00,84.45,84.00,84.45,000,84.45
2014-09-16,85.20,85.20,84.00,84.25,100,84.25
2014-09-15,85.45,86.00,81.55,85.15,1100,81.65
2014-09-12,82.60,86.00,80.00,85.45,2000,81.94
2014-09-11,78.00,82.15,78.00,82.15,7700,78.77
2014-09-10,78.25,78.25,78.25,78.25,000,75.03
2014-09-09,74.55,74.55,74.55,74.55,000,71.49
2014-09-08,74.50,78.40,74.50,74.55,200,71.49
2014-09-05,78.40,78.40,78.40,78.40,000,75.18
2014-09-04,82.50,82.50,82.50,82.50,000,79.11
2014-09-03,82.50,82.50,82.50,82.50,000,79.11
2014-09-02,82.50,82.50,82.50,82.50,000,79.11
2014-09-01,82.50,82.50,82.50,82.50,100,79.11
2014-08-29,82.00,82.00,82.00,82.00,000,78.63
2014-08-28,82.00,82.00,82.00,82.00,000,78.63
2014-08-27,83.00,83.00,80.00,82.00,700,78.63
2014-08-26,79.70,79.70,79.70,79.70,000,76.42
2014-08-25,79.70,79.70,79.70,79.70,000,76.42
2014-08-22,75.95,75.95,75.95,75.95,000,72.83
2014-08-21,78.95,78.95,75.90,75.95,200,72.83
2014-08-20,78.95,78.95,78.95,78.95,000,75.70
2014-08-19,79.95,79.95,78.95,78.95,000,75.70
2014-08-18,75.00,77.10,75.00,76.85,100,73.69
2014-08-15,77.15,77.15,77.15,77.15,000,73.98
2014-08-14,77.15,77.15,77.15,77.15,000,73.98
2014-08-13,77.15,77.15,77.15,77.15,000,73.98
2014-08-12,77.15,77.15,77.15,77.15,000,73.98
2014-08-11,77.15,77.15,77.15,77.15,000,73.98
2014-08-08,73.50,73.50,73.50,73.50,000,70.48
2014-08-07,73.50,73.50,73.50,73.50,000,70.48
2014-08-06,72.00,73.50,72.00,73.50,600,70.48
2014-08-05,70.00,70.00,70.00,70.00,000,67.12
2014-08-04,70.00,70.00,70.00,70.00,100,67.12
2014-08-01,71.90,71.90,71.90,71.90,000,68.94
2014-07-31,71.90,71.90,71.90,71.90,000,68.94
2014-07-30,68.50,71.90,68.50,71.90,300,68.94
2014-07-29,68.50,68.50,68.50,68.50,000,65.68
2014-07-28,68.50,68.50,68.50,68.50,200,65.68
2014-07-25,68.50,68.50,68.50,68.50,000,65.68
2014-07-24,68.50,68.50,68.50,68.50,000,65.68
2014-07-23,68.50,68.50,68.50,68.50,000,65.68
2014-07-22,69.00,69.00,68.50,68.50,000,65.68
2014-07-21,72.00,72.00,72.00,72.00,000,69.04
2014-07-18,72.00,72.00,72.00,72.00,100,69.04
2014-07-17,74.85,74.85,74.85,74.85,000,71.77
2014-07-16,74.85,74.85,74.85,74.85,000,71.77
2014-07-15,74.85,74.85,74.85,74.85,000,71.77
2014-07-14,74.85,74.85,74.85,74.85,000,71.77
2014-07-11,74.85,74.85,74.85,74.85,000,71.77
2014-07-10,74.85,74.85,74.85,74.85,000,71.77
2014-07-09,74.85,74.85,74.85,74.85,000,71.77
2014-07-08,74.90,74.90,74.75,74.85,000,71.77
2014-07-07,71.90,71.90,71.90,71.90,000,68.94
2014-07-04,68.50,68.50,68.50,68.50,000,65.68
2014-07-03,68.50,68.50,68.50,68.50,000,65.68
2014-07-02,68.50,68.50,68.50,68.50,200,65.68
2014-07-01,68.50,68.50,68.50,68.50,000,65.68
2014-06-30,68.50,68.50,68.50,68.50,000,65.68
2014-06-27,68.50,68.50,68.50,68.50,000,65.68
2014-06-26,68.50,68.50,68.50,68.50,000,65.68
2014-06-25,68.50,68.50,68.50,68.50,000,65.68
2014-06-24,68.50,68.50,68.50,68.50,000,65.68
2014-06-23,68.50,68.50,68.50,68.50,12500,65.68
2014-06-20,68.50,68.50,68.50,68.50,000,65.68
2014-06-19,68.50,68.50,68.50,68.50,300,65.68
2014-06-18,68.50,68.50,68.50,68.50,000,65.68
2014-06-17,68.50,68.50,68.50,68.50,000,65.68
2014-06-16,68.50,68.50,68.50,68.50,000,65.68
2014-06-13,68.50,68.50,68.50,68.50,200,65.68
2014-06-12,68.55,68.55,68.55,68.55,000,65.73
2014-06-11,72.10,72.10,68.50,68.55,2000,65.73
2014-06-10,72.80,72.80,68.55,68.70,000,65.88
2014-06-09,69.70,71.40,68.75,68.75,100,65.92
2014-06-06,68.50,68.50,68.50,68.50,000,65.68
2014-06-05,71.40,71.40,68.50,68.50,900,65.68
2014-06-04,70.00,70.00,70.00,70.00,000,67.12
2014-06-03,71.50,71.50,70.00,70.00,300,67.12
2014-06-02,70.05,70.05,70.05,70.05,000,67.17
2014-05-30,70.40,71.90,70.05,70.05,400,67.17
2014-05-29,71.90,71.90,68.50,68.50,100,65.68
2014-05-28,71.90,71.90,68.50,68.50,200,65.68
2014-05-27,68.50,68.55,68.50,68.50,8700,65.68
2014-05-26,68.25,68.25,68.25,68.25,500,65.44
2014-05-23,65.00,65.00,65.00,65.00,200,62.33
2014-05-22,61.95,61.95,61.95,61.95,600,59.40
2014-05-21,59.00,59.00,59.00,59.00,000,56.57
2014-05-20,59.00,59.00,59.00,59.00,000,56.57
2014-05-19,59.00,59.00,59.00,59.00,000,56.57
2014-05-16,59.00,59.00,59.00,59.00,000,56.57
2014-05-15,58.75,60.30,58.75,59.00,200,56.57
2014-05-14,55.00,57.50,55.00,57.50,300,55.14
2014-05-13,54.95,54.95,50.15,54.80,300,52.55
2014-05-12,48.50,53.60,48.50,52.35,72700,50.20
2014-05-09,51.05,51.05,51.05,51.05,200,48.95
2014-05-08,51.75,51.75,51.00,51.10,000,49.00
2014-05-07,54.80,54.80,50.05,51.00,100,48.90
2014-05-06,55.00,55.00,52.20,52.20,000,50.05
2014-05-05,52.50,52.50,52.50,52.50,000,50.34
2014-05-02,52.50,52.50,52.50,52.50,000,50.34
2014-05-01,52.50,52.50,52.50,52.50,000,50.34
2014-04-30,52.50,52.50,52.50,52.50,000,50.34
2014-04-29,52.50,52.50,52.50,52.50,000,50.34
2014-04-28,52.50,52.50,52.50,52.50,000,50.34
2014-04-25,52.50,52.50,52.50,52.50,000,50.34
2014-04-24,52.50,52.50,52.50,52.50,000,50.34
2014-04-23,52.50,52.50,52.50,52.50,000,50.34
2014-04-22,48.80,52.00,48.80,50.00,200,47.94
2014-04-21,49.65,49.65,49.65,49.65,000,47.61
2014-04-18,49.65,49.65,49.65,49.65,000,47.61
2014-04-17,49.65,49.65,49.65,49.65,000,47.61
2014-04-16,50.00,52.50,49.60,49.65,500,47.61
2014-04-15,50.00,50.00,50.00,50.00,000,47.94
2014-04-14,50.00,50.00,50.00,50.00,000,47.94
2014-04-11,50.00,50.00,50.00,50.00,000,47.94
2014-04-10,53.10,53.10,50.00,50.00,000,47.94
2014-04-09,50.60,50.60,50.60,50.60,000,48.52
2014-04-08,50.60,50.60,50.60,50.60,000,48.52
2014-04-07,50.60,50.60,50.60,50.60,100,48.52
2014-04-04,53.25,53.25,53.25,53.25,400,51.06
2014-04-03,52.00,56.00,51.50,56.00,100,53.70
2014-04-02,51.00,54.20,51.00,54.20,500,51.97
2014-04-01,51.50,51.90,51.50,51.70,000,49.57
2014-03-31,48.50,50.40,48.25,50.40,1200,48.33
2014-03-28,48.00,48.00,48.00,48.00,000,46.03
2014-03-27,48.00,48.00,48.00,48.00,000,46.03
2014-03-26,48.00,48.00,48.00,48.00,000,46.03
2014-03-25,48.00,48.00,48.00,48.00,000,46.03
2014-03-24,48.00,48.00,48.00,48.00,000,46.03
2014-03-21,48.00,48.00,48.00,48.00,000,46.03
2014-03-20,52.00,52.00,48.00,48.00,000,46.03
2014-03-19,50.00,50.00,50.00,50.00,000,47.94
2014-03-18,50.00,50.00,50.00,50.00,900,47.94
2014-03-17,50.00,50.00,50.00,50.00,000,47.94
2014-03-14,50.00,50.00,50.00,50.00,000,47.94
2014-03-13,50.00,50.00,50.00,50.00,000,47.94
2014-03-12,50.00,50.00,50.00,50.00,000,47.94
2014-03-11,50.00,50.00,50.00,50.00,000,47.94
2014-03-10,46.35,48.00,46.35,48.00,000,46.03
2014-03-07,47.05,49.00,47.05,48.20,200,46.22
2014-03-06,48.00,48.00,48.00,48.00,000,46.03
2014-03-05,48.00,48.00,48.00,48.00,000,46.03
2014-03-04,48.00,48.00,48.00,48.00,200,46.03
2014-03-03,50.00,50.00,50.00,50.00,200,47.94
2014-02-28,49.70,49.70,49.70,49.70,000,47.66
2014-02-27,49.70,49.70,49.70,49.70,000,47.66
2014-02-26,49.70,49.70,49.70,49.70,000,47.66
2014-02-25,49.70,49.70,49.70,49.70,000,47.66
