Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,19.20,19.20,18.85,18.90,961400,18.90
2014-12-22,19.00,19.15,18.80,19.00,645400,19.00
2014-12-19,18.90,19.00,18.70,18.85,901800,18.85
2014-12-18,18.55,18.85,18.55,18.75,518300,18.75
2014-12-17,18.50,18.55,17.95,18.30,922900,18.30
2014-12-16,18.80,18.80,18.50,18.55,804600,18.55
2014-12-15,19.00,19.00,18.75,18.85,632800,18.85
2014-12-12,19.15,19.35,18.95,19.05,911900,19.05
2014-12-11,19.30,19.35,19.05,19.15,530300,19.15
2014-12-10,19.15,19.50,19.15,19.35,352300,19.35
2014-12-09,19.60,19.70,19.35,19.40,512200,19.40
2014-12-08,20.00,20.00,19.55,19.65,925600,19.65
2014-12-05,20.00,20.20,19.95,20.05,460100,20.05
2014-12-04,20.25,20.45,20.05,20.15,976300,20.15
2014-12-03,20.10,20.45,19.95,20.25,1141500,20.25
2014-12-02,19.95,20.10,19.80,20.05,669000,20.05
2014-12-01,20.60,22.30,19.95,20.00,639000,20.00
2014-11-28,20.00,20.60,20.00,20.30,1543000,20.30
2014-11-27,20.00,20.25,19.90,20.05,885400,20.05
2014-11-26,20.60,20.60,19.80,20.20,935800,20.20
2014-11-25,20.15,20.15,19.70,19.95,1106000,19.95
2014-11-24,20.40,20.40,20.10,20.20,754700,20.20
2014-11-21,20.50,20.55,20.20,20.30,1018700,20.30
2014-11-20,20.85,20.85,20.30,20.40,563600,20.40
2014-11-19,21.25,21.30,20.55,20.65,902200,20.65
2014-11-18,20.95,21.35,20.85,21.20,1466900,21.20
2014-11-17,20.45,21.05,20.35,20.95,1136300,20.95
2014-11-14,20.35,20.65,20.25,20.50,766200,20.50
2014-11-13,21.00,21.00,20.30,20.40,889900,20.40
2014-11-12,20.85,21.10,20.75,20.85,722600,20.85
2014-11-11,21.30,21.30,20.85,21.00,681500,21.00
2014-11-10,21.30,21.35,20.90,21.05,1194500,21.05
2014-11-07,21.10,21.45,20.90,21.30,1878500,21.30
2014-11-06,21.10,21.10,21.10,21.10,000,21.10
2014-11-05,21.40,21.65,21.00,21.10,1570900,21.10
2014-11-04,21.20,21.20,21.20,21.20,000,21.20
2014-11-03,20.85,21.35,20.40,21.20,1631800,21.20
2014-10-31,20.15,20.85,20.10,20.65,1610100,20.65
2014-10-30,19.95,20.15,19.85,20.00,987900,20.00
2014-10-29,20.00,20.15,19.85,19.90,706900,19.90
