Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,198.30,198.30,191.20,193.00,188700,193.00
2014-12-22,195.00,198.95,193.50,196.70,672000,196.70
2014-12-19,194.15,198.95,190.10,194.85,963100,194.85
2014-12-18,187.50,196.50,187.50,194.35,597200,194.35
2014-12-17,181.50,189.90,180.00,186.75,265700,186.75
2014-12-16,184.00,187.05,178.05,181.70,286500,181.70
2014-12-15,182.90,186.00,180.50,184.75,109100,184.75
2014-12-12,189.10,190.35,181.20,182.45,171500,182.45
2014-12-11,189.00,190.25,183.50,188.60,78200,188.60
2014-12-10,187.95,190.50,183.60,188.60,171200,188.60
2014-12-09,187.00,194.85,183.80,186.70,402700,186.70
2014-12-08,182.10,188.40,178.00,186.40,272700,186.40
2014-12-05,183.50,186.70,180.00,183.25,189400,183.25
2014-12-04,182.00,183.00,180.10,182.15,84800,182.15
2014-12-03,180.00,187.00,179.10,180.20,420300,180.20
2014-12-02,185.95,185.95,176.50,179.65,190200,179.65
2014-12-01,177.00,183.85,160.00,182.95,274700,182.95
2014-11-28,182.60,184.50,175.70,176.60,188800,176.60
2014-11-27,175.00,185.40,173.90,180.35,516200,180.35
2014-11-26,175.05,177.60,173.50,175.00,98100,175.00
2014-11-25,184.00,184.00,173.00,176.30,87400,176.30
2014-11-24,184.00,186.90,178.50,182.10,175400,182.10
2014-11-21,173.00,181.50,173.00,179.80,321900,179.80
2014-11-20,167.50,174.85,167.50,171.25,104800,171.25
2014-11-19,172.00,172.00,165.10,166.00,74300,166.00
2014-11-18,173.70,173.90,166.55,170.90,138100,170.90
2014-11-17,168.70,175.00,165.65,172.00,301000,172.00
2014-11-14,161.00,167.00,158.00,165.65,149300,165.65
2014-11-13,160.95,169.00,156.00,160.70,278000,160.70
2014-11-12,161.15,163.70,158.25,161.55,46800,161.55
2014-11-11,163.40,163.95,159.50,161.15,43100,161.15
2014-11-10,161.95,164.00,160.00,161.15,53400,161.15
2014-11-07,162.95,164.70,162.00,162.60,46000,162.60
2014-11-06,162.60,162.60,162.60,162.60,000,162.60
2014-11-05,164.00,166.80,161.50,162.60,53100,162.60
2014-11-04,162.30,162.30,162.30,162.30,000,162.30
2014-11-03,159.90,167.90,159.10,162.30,129300,162.30
2014-10-31,157.80,159.00,156.60,157.95,45500,157.95
2014-10-30,159.10,159.50,156.50,156.65,76700,156.65
2014-10-29,157.50,159.95,156.00,157.90,21700,157.90
2014-10-28,155.75,159.00,153.30,158.55,45900,158.55
2014-10-27,157.90,157.90,153.25,154.35,15700,154.35
2014-10-24,154.10,154.10,154.10,154.10,000,154.10
2014-10-23,154.10,154.10,154.10,154.10,000,154.10
2014-10-22,152.50,155.00,151.50,154.10,53000,154.10
2014-10-21,154.10,155.80,153.05,153.80,24200,153.80
2014-10-20,155.00,158.80,151.10,153.50,125900,153.50
2014-10-17,155.05,156.00,148.65,152.50,57800,152.50
2014-10-16,156.10,161.50,151.75,152.60,150200,152.60
2014-10-15,158.65,158.65,158.65,158.65,000,158.65
2014-10-14,154.50,159.90,154.50,158.65,82200,158.65
2014-10-13,154.00,157.00,152.20,154.40,53400,154.40
2014-10-10,147.00,160.00,147.00,153.55,187500,153.55
2014-10-09,150.05,151.00,145.00,149.60,45600,149.60
2014-10-08,150.50,151.50,145.20,147.80,33900,147.80
2014-10-07,145.00,152.35,145.00,150.60,96800,150.60
2014-10-06,147.00,147.00,147.00,147.00,000,147.00
2014-10-03,147.00,147.00,147.00,147.00,000,147.00
2014-10-02,147.00,147.00,147.00,147.00,000,147.00
2014-10-01,138.90,147.00,136.20,143.60,137300,143.60
2014-09-30,137.45,140.95,135.00,136.35,53700,136.35
2014-09-29,137.15,144.80,135.75,139.45,37100,139.45
2014-09-26,142.00,142.05,133.25,138.60,46500,138.60
2014-09-25,141.50,146.05,128.00,141.35,124600,141.35
2014-09-24,148.00,150.00,139.00,140.65,102500,140.65
2014-09-23,151.00,152.00,145.75,147.15,67100,147.15
2014-09-22,148.00,153.30,148.00,151.10,85800,151.10
2014-09-19,149.00,153.75,147.50,149.00,61300,149.00
2014-09-18,144.50,155.00,143.00,147.40,177600,147.40
2014-09-17,146.15,148.90,144.00,144.65,24900,144.65
2014-09-16,150.00,153.95,143.15,144.15,148800,144.15
2014-09-15,147.30,152.25,145.20,149.95,53900,149.95
2014-09-12,149.55,151.55,144.00,145.70,37400,145.70
2014-09-11,152.00,153.30,147.70,149.25,145100,149.25
2014-09-10,150.00,153.75,149.40,151.30,88500,151.30
2014-09-09,151.00,153.90,147.00,148.35,91500,147.60
2014-09-08,148.50,155.95,145.60,149.80,220700,149.04
2014-09-05,139.00,149.00,138.50,145.60,424300,144.86
2014-09-04,128.10,137.50,128.10,136.40,128400,135.71
2014-09-03,127.80,131.50,127.55,130.15,65600,129.49
2014-09-02,129.95,130.70,125.25,127.05,29900,126.41
2014-09-01,129.00,135.95,125.50,127.85,314700,127.20
