Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,33.55,34.75,32.55,32.90,335100,32.90
2014-12-22,34.30,35.40,33.35,33.80,487900,33.80
2014-12-19,37.25,37.50,34.10,34.65,495100,34.65
2014-12-18,33.10,36.70,33.10,36.45,574800,36.45
2014-12-17,33.70,34.20,31.90,32.70,483300,32.70
2014-12-16,35.50,35.50,33.30,33.75,359100,33.75
2014-12-15,36.35,36.55,35.20,35.35,760000,35.35
2014-12-12,38.25,38.35,36.40,36.70,261000,36.70
2014-12-11,38.10,39.25,37.55,38.05,233000,38.05
2014-12-10,38.50,39.25,38.05,38.80,225400,38.80
2014-12-09,39.30,40.10,37.55,38.10,306300,38.10
2014-12-08,40.00,40.35,38.70,39.20,199900,39.20
2014-12-05,39.75,41.45,39.60,39.90,376200,39.90
2014-12-04,40.65,41.30,40.00,40.10,394400,40.10
2014-12-03,40.55,41.50,39.70,41.05,715200,41.05
2014-12-02,37.90,40.80,37.90,39.95,464400,39.95
2014-12-01,39.15,39.60,38.00,38.25,283600,38.25
2014-11-28,40.20,41.00,38.55,38.90,374600,38.90
2014-11-27,39.60,40.65,39.60,39.75,242800,39.75
2014-11-26,38.70,40.85,38.70,40.05,570200,40.05
2014-11-25,40.55,41.50,37.30,39.05,806600,39.05
2014-11-24,42.30,42.60,40.70,40.80,318600,40.80
2014-11-21,40.60,42.55,40.60,41.85,787400,41.85
2014-11-20,41.75,42.65,40.75,41.20,597400,41.20
2014-11-19,43.25,44.30,41.50,41.60,579700,41.60
2014-11-18,44.45,44.85,42.55,43.00,755500,43.00
2014-11-17,44.50,45.50,44.10,44.30,414100,44.30
2014-11-14,45.00,46.85,44.25,44.85,601000,44.85
2014-11-13,46.80,47.25,44.60,45.05,589000,45.05
2014-11-12,48.00,49.25,46.25,46.55,1861800,46.55
2014-11-11,45.95,46.75,44.70,45.85,595300,45.85
2014-11-10,46.15,46.90,45.05,45.55,470600,45.55
2014-11-07,48.00,48.80,45.30,45.70,1539600,45.70
2014-11-06,47.05,47.05,47.05,47.05,000,47.05
2014-11-05,47.40,49.15,46.50,47.05,1609200,47.05
2014-11-04,47.45,47.45,47.45,47.45,000,47.45
2014-11-03,42.55,48.25,42.55,47.45,2822100,47.45
2014-10-31,42.00,45.00,42.00,43.35,1453300,43.35
2014-10-30,42.15,42.35,41.50,41.65,287800,41.65
2014-10-29,42.40,43.00,41.60,42.25,373900,42.25
2014-10-28,41.65,42.70,41.15,42.10,596100,42.10
2014-10-27,43.35,43.35,41.15,41.25,334300,41.25
2014-10-24,43.35,43.35,43.35,43.35,000,43.35
2014-10-23,43.35,43.35,43.35,43.35,000,43.35
2014-10-22,39.25,43.85,39.00,43.35,1495200,43.35
2014-10-21,38.90,39.60,38.35,38.80,224000,38.80
2014-10-20,38.90,39.90,38.45,38.60,240900,38.60
2014-10-17,37.80,38.60,36.90,38.00,422700,38.00
2014-10-16,39.25,40.20,36.60,37.10,495300,37.10
2014-10-15,40.00,40.00,40.00,40.00,000,40.00
2014-10-14,42.20,42.20,39.70,40.00,665000,40.00
2014-10-13,41.50,42.20,41.40,41.80,256300,41.80
2014-10-10,42.60,43.10,41.25,41.75,484700,41.75
2014-10-09,42.30,43.80,41.95,43.30,965000,43.30
2014-10-08,42.90,42.95,41.15,41.65,647900,41.65
2014-10-07,42.35,43.50,41.60,42.35,789000,42.35
2014-10-06,42.30,42.30,42.30,42.30,000,42.30
2014-10-03,42.30,42.30,42.30,42.30,000,42.30
2014-10-02,42.30,42.30,42.30,42.30,000,42.30
2014-10-01,41.70,43.25,40.60,42.30,697000,42.30
2014-09-30,42.50,43.40,41.00,41.20,406300,41.20
2014-09-29,42.10,44.00,41.60,42.45,815400,42.45
2014-09-26,40.45,42.90,38.05,42.05,1243000,42.05
2014-09-25,41.50,41.50,38.45,39.05,606600,39.05
2014-09-24,41.20,41.50,38.65,40.55,685300,40.55
2014-09-23,44.20,44.70,40.60,41.05,657100,41.05
2014-09-22,44.00,45.55,43.35,44.35,686700,44.35
2014-09-19,46.10,46.90,43.80,44.10,1443600,44.10
2014-09-18,41.80,45.35,41.25,45.35,3388400,45.35
2014-09-17,38.00,41.25,36.50,41.25,1836400,41.25
2014-09-16,41.60,42.00,37.45,37.50,1298900,37.50
2014-09-15,41.25,43.20,41.00,41.60,1054900,41.60
2014-09-12,42.90,43.15,39.30,41.30,1525200,41.30
2014-09-11,43.60,44.40,42.25,42.80,859400,42.80
2014-09-10,43.60,45.70,43.00,43.60,1619700,43.60
2014-09-09,44.40,45.60,41.95,44.10,3008200,44.10
2014-09-08,38.50,42.35,38.40,42.35,2741600,42.35
2014-09-05,37.75,39.20,37.35,38.50,1245400,38.50
2014-09-04,37.95,38.75,37.00,37.70,1428000,37.70
2014-09-03,38.20,38.85,36.85,38.15,2195200,38.15
2014-09-02,34.45,40.00,34.40,38.05,6184500,38.05
2014-09-01,34.00,34.60,33.10,34.15,1221900,34.15
2014-08-29,33.75,33.75,33.75,33.75,000,33.75
2014-08-28,33.60,35.15,32.60,33.75,2967400,33.75
2014-08-27,33.80,34.75,32.80,33.20,2409500,33.20
2014-08-26,30.80,33.95,30.25,33.25,4857700,33.25
2014-08-25,29.60,31.90,29.50,30.85,3149900,30.85
2014-08-22,28.90,29.70,28.10,29.45,1296500,29.45
2014-08-21,30.15,30.40,28.60,28.85,1341700,28.85
2014-08-20,28.75,30.30,28.40,29.70,2590500,29.70
2014-08-19,27.50,29.15,27.30,28.65,2489100,28.65
2014-08-18,25.85,27.75,25.60,27.40,1469800,27.40
2014-08-15,25.75,25.75,25.75,25.75,000,25.75
2014-08-14,25.95,26.00,25.00,25.75,652900,25.75
2014-08-13,24.00,27.20,23.00,26.00,2011000,26.00
2014-08-12,24.00,24.35,23.65,24.05,263800,24.05
2014-08-11,23.85,24.70,23.85,24.05,424400,24.05
2014-08-08,24.70,24.70,23.10,23.40,294900,23.40
2014-08-07,25.40,25.75,24.80,24.95,490700,24.95
2014-08-06,24.00,25.80,24.00,25.20,995400,25.20
2014-08-05,24.05,24.95,23.85,23.95,411400,23.95
2014-08-04,23.00,24.60,22.65,24.10,447600,24.10
2014-08-01,22.90,23.75,22.40,22.75,410200,22.75
2014-07-31,21.75,22.95,21.75,22.65,488400,22.65
2014-07-30,22.05,22.75,21.70,21.80,295900,21.80
2014-07-29,22.00,22.00,22.00,22.00,000,22.00
2014-07-28,23.00,23.00,21.80,22.00,110500,22.00
2014-07-25,23.60,23.95,22.30,22.70,283000,22.70
2014-07-24,23.00,24.15,22.90,23.70,395300,23.70
2014-07-23,23.00,23.45,22.75,23.20,226000,23.20
2014-07-22,23.50,23.50,22.55,22.65,266400,22.65
2014-07-21,22.60,23.80,22.60,23.05,357600,23.05
2014-07-18,22.10,22.90,22.10,22.50,161500,22.50
2014-07-17,22.50,23.30,22.50,22.75,225400,22.75
2014-07-16,22.60,22.85,22.10,22.55,228000,22.55
2014-07-15,21.95,22.55,21.50,22.40,279500,22.40
2014-07-14,21.50,21.85,20.90,21.60,303100,21.60
2014-07-11,22.50,23.45,20.95,21.20,509300,21.20
2014-07-10,22.50,23.40,21.50,22.65,569300,22.65
2014-07-09,22.90,22.90,21.85,22.35,445500,22.35
2014-07-08,25.15,25.30,22.65,22.90,759700,22.90
2014-07-07,25.70,26.15,25.05,25.15,1146900,25.15
2014-07-04,23.95,25.15,23.65,24.95,995600,24.95
2014-07-03,24.60,24.70,23.60,23.75,172800,23.75
2014-07-02,24.65,25.00,24.40,24.70,399300,24.70
2014-07-01,24.65,25.20,24.50,24.55,492100,24.55
2014-06-30,24.50,25.20,24.50,24.65,400400,24.65
2014-06-27,25.00,25.05,24.25,24.35,239600,24.35
2014-06-26,24.95,25.40,24.25,24.70,539000,24.70
2014-06-25,25.45,25.75,24.60,24.75,1020500,24.75
2014-06-24,23.50,24.80,23.10,24.55,852700,24.55
2014-06-23,24.00,24.00,22.55,23.10,435800,23.10
2014-06-20,24.30,24.30,23.40,23.55,414200,23.55
2014-06-19,24.60,24.85,23.90,24.05,341300,24.05
2014-06-18,25.85,25.85,24.30,24.65,475100,24.05
2014-06-17,24.50,25.40,23.90,25.20,601800,24.59
2014-06-16,24.50,24.60,23.20,24.35,428700,23.76
2014-06-13,26.50,26.70,22.65,24.10,1072900,23.51
2014-06-12,26.10,26.90,25.40,26.30,567400,25.66
2014-06-11,26.50,27.65,25.65,25.90,881000,25.27
2014-06-10,27.00,27.80,25.80,26.70,1667900,26.05
2014-06-09,26.10,27.45,25.70,26.90,1399600,26.25
2014-06-06,26.80,27.00,25.70,26.00,857100,25.37
2014-06-05,26.90,27.20,25.75,26.65,1103600,26.00
2014-06-04,26.00,26.75,25.35,26.35,788700,25.71
2014-06-03,26.90,27.00,25.35,25.85,1000800,25.22
2014-06-02,22.70,27.10,22.70,26.75,3319800,26.10
2014-05-30,23.55,24.00,22.80,23.10,422100,22.54
2014-05-29,24.50,24.60,23.20,23.35,588000,22.78
2014-05-28,23.65,24.70,22.70,24.25,1406500,23.66
2014-05-27,23.55,24.30,22.40,23.20,1503600,22.64
2014-05-26,23.05,24.75,18.65,22.00,2606100,21.46
2014-05-23,23.05,23.60,22.65,22.85,362100,22.29
2014-05-22,23.20,23.80,22.65,22.85,612100,22.29
2014-05-21,21.65,23.85,20.70,22.95,1570400,22.39
2014-05-20,19.75,21.85,19.25,21.50,1162600,20.98
2014-05-19,18.00,19.60,18.00,19.25,410600,18.78
2014-05-16,17.60,18.75,17.40,17.60,238500,17.17
2014-05-15,18.40,18.55,17.80,17.90,171900,17.46
2014-05-14,18.40,18.80,18.20,18.35,112300,17.90
2014-05-13,18.20,18.80,18.00,18.45,131800,18.00
2014-05-12,18.60,18.90,18.05,18.15,242200,17.71
2014-05-09,18.60,18.60,18.15,18.30,105600,17.85
2014-05-08,18.95,19.25,18.00,18.20,155000,17.76
2014-05-07,19.65,20.00,18.75,18.90,242000,18.44
2014-05-06,18.00,19.50,17.80,19.20,361300,18.73
2014-05-05,17.75,18.40,17.20,18.10,253800,17.66
2014-05-02,18.50,18.70,17.70,17.80,276400,17.37
2014-05-01,18.70,18.70,18.70,18.70,000,18.24
2014-04-30,19.00,19.70,18.25,18.70,423500,18.24
2014-04-29,18.20,19.35,18.20,18.75,299500,18.29
2014-04-28,18.80,18.95,18.00,18.20,248700,17.76
2014-04-25,18.95,19.50,18.40,18.50,369200,18.05
2014-04-24,18.95,18.95,18.95,18.95,000,18.49
2014-04-23,18.50,19.05,18.20,18.95,181900,18.49
2014-04-22,18.70,18.95,17.95,18.10,178500,17.66
2014-04-21,17.75,19.05,17.35,18.65,447400,18.20
2014-04-18,17.50,17.50,17.50,17.50,000,17.07
2014-04-17,17.25,17.75,17.15,17.50,95700,17.07
2014-04-16,17.95,18.15,17.00,17.10,91000,16.68
2014-04-15,18.00,18.50,17.80,17.90,105800,17.46
2014-04-14,17.95,17.95,17.95,17.95,000,17.51
2014-04-11,17.55,18.40,17.30,17.95,159700,17.51
2014-04-10,18.00,18.15,17.50,17.65,99000,17.22
2014-04-09,18.10,18.40,17.70,17.80,153200,17.37
2014-04-08,17.95,17.95,17.95,17.95,000,17.51
2014-04-07,17.00,18.20,16.60,17.95,1132000,17.51
2014-04-04,16.05,17.80,16.00,17.05,865600,16.63
2014-04-03,15.90,16.30,15.70,16.05,150800,15.66
2014-04-02,15.40,16.15,15.40,16.00,314600,15.61
2014-04-01,15.60,15.60,15.15,15.40,71900,15.03
2014-03-31,15.20,15.75,15.13,15.54,84500,15.16
2014-03-28,15.07,15.45,15.07,15.12,95100,14.75
2014-03-27,14.50,15.17,14.50,15.11,108300,14.74
2014-03-26,14.50,14.70,14.35,14.60,149300,14.24
2014-03-25,14.50,14.59,14.22,14.33,22600,13.98
2014-03-24,14.75,14.85,14.50,14.53,24800,14.18
2014-03-21,14.17,15.00,14.16,14.67,320900,14.31
2014-03-20,14.15,14.50,14.10,14.30,35900,13.95
2014-03-19,14.16,14.35,14.11,14.25,8300,13.90
2014-03-18,14.02,14.35,14.02,14.19,25200,13.84
2014-03-17,14.10,14.10,14.10,14.10,000,13.76
2014-03-14,14.00,14.25,14.00,14.10,22300,13.76
2014-03-13,14.25,14.55,14.15,14.21,29400,13.86
2014-03-12,14.20,14.45,14.17,14.25,29000,13.90
2014-03-11,14.42,14.69,14.35,14.36,33000,14.01
2014-03-10,14.35,14.79,14.35,14.53,43800,14.18
2014-03-07,14.31,15.00,14.20,14.80,143100,14.44
2014-03-06,14.10,14.59,14.08,14.50,137600,14.15
2014-03-05,14.40,14.65,14.10,14.14,25800,13.80
2014-03-04,14.15,14.25,14.00,14.17,22600,13.83
2014-03-03,14.25,14.46,14.05,14.09,13400,13.75
2014-02-28,14.25,14.65,14.20,14.23,38700,13.88
2014-02-27,14.22,14.22,14.22,14.22,000,13.87
2014-02-26,14.15,14.39,14.14,14.22,11500,13.87
2014-02-25,14.15,14.45,14.15,14.21,16000,13.86
2014-02-24,14.10,14.53,14.10,14.47,39500,14.12
2014-02-21,14.00,14.54,14.00,14.28,51200,13.93
2014-02-20,14.05,14.14,13.90,13.93,11800,13.59
2014-02-19,14.20,14.20,14.00,14.06,8900,13.72
2014-02-18,14.01,14.40,14.01,14.16,18800,13.82
2014-02-17,14.25,14.45,14.06,14.12,12500,13.78
2014-02-14,14.20,14.55,14.03,14.37,116700,14.02
2014-02-13,14.25,14.25,13.90,14.04,21000,13.70
2014-02-12,14.30,14.60,14.19,14.25,60600,13.90
2014-02-11,13.94,14.70,13.77,14.13,165600,13.79
2014-02-10,14.00,14.05,13.81,13.86,20900,13.52
2014-02-07,13.75,14.30,13.75,13.90,15700,13.56
2014-02-06,13.99,14.40,13.85,14.17,59800,13.83
2014-02-05,13.95,13.98,13.75,13.82,10000,13.48
2014-02-04,13.50,14.10,13.50,13.74,39400,13.41
2014-02-03,13.80,14.00,13.65,13.75,30700,13.42
2014-01-31,14.00,14.20,13.81,13.88,25000,13.54
2014-01-30,13.99,13.99,13.80,13.89,9500,13.55
2014-01-29,14.05,14.05,13.86,13.90,10900,13.56
2014-01-28,13.95,14.10,13.85,13.86,36300,13.52
2014-01-27,14.15,14.15,13.90,13.94,41900,13.60
2014-01-24,14.41,14.42,14.01,14.09,50500,13.75
2014-01-23,14.60,14.65,14.42,14.45,27200,14.10
2014-01-22,14.45,14.63,14.45,14.54,39200,14.19
2014-01-21,14.70,14.80,14.50,14.51,16100,14.16
2014-01-20,14.70,14.90,14.50,14.52,17600,14.17
2014-01-17,14.75,14.79,14.50,14.50,39300,14.15
2014-01-16,14.99,14.99,14.66,14.70,18700,14.34
2014-01-15,14.86,15.05,14.80,14.81,30400,14.45
2014-01-14,14.85,15.15,14.80,14.90,18900,14.54
2014-01-13,15.40,15.40,14.80,14.90,47100,14.54
2014-01-10,15.30,15.47,15.05,15.08,69500,14.71
2014-01-09,15.50,15.66,15.25,15.31,39500,14.94
2014-01-08,15.80,15.84,15.35,15.40,44900,15.03
2014-01-07,16.00,16.10,15.40,15.51,105000,15.13
2014-01-06,15.19,16.49,15.00,15.83,436400,15.44
2014-01-03,15.05,15.25,14.92,15.12,74300,14.75
2014-01-02,15.25,16.14,15.10,15.18,249800,14.81
2014-01-01,14.80,15.17,14.80,15.04,82800,14.67
2013-12-31,15.00,15.20,14.86,14.91,29100,14.55
2013-12-30,14.99,15.25,14.99,15.02,40900,14.65
2013-12-27,15.10,15.50,14.90,14.98,50200,14.62
2013-12-26,15.25,15.60,15.21,15.25,72500,14.88
2013-12-25,15.34,15.34,15.34,15.34,000,14.97
2013-12-24,15.74,16.10,15.26,15.34,300900,14.97
2013-12-23,14.15,15.40,14.15,15.25,224600,14.88
2013-12-20,14.45,14.45,14.05,14.20,33300,13.85
2013-12-19,14.01,14.24,14.00,14.12,31600,13.78
2013-12-18,14.49,14.49,13.86,14.11,24400,13.77
2013-12-17,13.75,14.15,13.75,13.94,73900,13.60
2013-12-16,13.90,14.19,13.25,13.64,47100,13.31
2013-12-13,14.07,14.24,14.00,14.03,36400,13.69
2013-12-12,14.20,14.34,14.11,14.15,27800,13.81
2013-12-11,14.25,14.44,14.25,14.28,10300,13.93
2013-12-10,14.70,14.70,14.30,14.37,23000,14.02
2013-12-09,14.99,14.99,14.52,14.58,23700,14.23
2013-12-06,14.60,14.75,14.51,14.67,16600,14.31
2013-12-05,14.99,15.00,14.56,14.64,56800,14.28
2013-12-04,14.70,14.84,14.55,14.66,13400,14.30
2013-12-03,15.00,15.10,14.56,14.61,76500,14.25
2013-12-02,14.95,15.15,14.80,14.84,251000,14.48
2013-11-29,14.40,15.15,14.31,14.85,161400,14.49
2013-11-28,14.21,14.50,14.15,14.37,68700,14.02
2013-11-27,14.44,14.50,14.11,14.15,16100,13.81
2013-11-26,14.44,14.44,14.15,14.23,18800,13.88
2013-11-25,14.20,14.50,14.20,14.35,17900,14.00
2013-11-22,14.30,14.50,14.15,14.17,36800,13.83
