Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,18.00,18.00,18.00,18.00,000,18.00
2014-12-22,18.00,18.00,18.00,18.00,000,18.00
2014-12-19,18.00,18.00,18.00,18.00,000,18.00
2014-12-18,18.00,18.00,18.00,18.00,000,18.00
2014-12-17,17.50,17.50,17.50,17.50,000,17.50
2014-12-16,18.25,18.25,16.80,16.80,300,16.80
2014-12-15,17.95,17.95,16.25,17.60,600,17.60
2014-12-12,18.90,18.90,17.10,17.10,000,17.10
2014-12-11,19.10,19.10,17.30,18.00,2800,18.00
2014-12-10,17.55,18.20,17.50,18.20,200,18.20
2014-12-09,16.75,18.45,16.75,18.40,3000,18.40
2014-12-08,16.15,17.75,16.15,17.60,1300,17.60
2014-12-05,16.25,17.25,16.25,16.95,600,16.95
2014-12-04,16.55,17.85,16.35,17.00,2500,17.00
2014-12-03,18.90,18.90,17.10,17.20,5200,17.20
2014-12-02,18.50,18.50,16.80,18.00,1600,18.00
2014-12-01,17.75,17.75,15.20,17.65,2000,17.65
2014-11-28,17.05,17.05,14.35,16.15,5500,16.15
2014-11-27,15.30,15.70,14.15,15.50,2400,15.50
2014-11-26,14.30,14.30,13.85,14.30,3300,14.30
2014-11-25,11.25,13.55,11.25,13.00,3800,13.00
2014-11-24,14.75,14.75,12.30,12.40,400,12.40
2014-11-21,15.35,15.35,13.15,13.45,4300,13.45
2014-11-20,17.80,17.80,14.60,14.60,1500,14.60
2014-11-19,16.25,16.25,16.20,16.20,000,16.20
2014-11-18,16.30,16.30,13.45,14.80,2300,14.80
2014-11-17,14.60,17.70,14.60,14.85,6100,14.85
2014-11-14,19.80,19.80,16.20,16.20,1600,16.20
2014-11-13,18.00,18.00,18.00,18.00,000,18.00
2014-11-12,18.00,18.00,18.00,18.00,000,18.00
2014-11-11,18.00,18.00,18.00,18.00,000,18.00
2014-11-10,19.25,19.25,18.00,18.00,000,18.00
2014-11-07,18.10,18.10,18.10,18.10,000,18.10
2014-11-06,16.50,16.50,16.50,16.50,000,16.50
2014-11-05,16.50,16.50,16.50,16.50,000,16.50
2014-11-04,16.00,16.00,16.00,16.00,000,16.00
2014-11-03,16.00,16.00,16.00,16.00,000,16.00
2014-10-31,15.75,15.75,15.75,15.75,000,15.75
2014-10-30,15.75,15.75,15.75,15.75,300,15.75
2014-10-29,17.50,17.50,17.50,17.50,000,17.50
2014-10-28,19.40,19.40,19.40,19.40,000,19.40
2014-10-27,19.40,19.40,19.40,19.40,000,19.40
2014-10-24,16.20,16.20,16.20,16.20,000,16.20
2014-10-23,16.20,16.20,16.20,16.20,000,16.20
2014-10-22,16.20,16.20,16.20,16.20,000,16.20
2014-10-21,18.00,18.00,18.00,18.00,000,18.00
2014-10-20,17.85,17.85,17.85,17.85,000,17.85
2014-10-17,17.00,17.00,17.00,17.00,000,17.00
2014-10-16,18.65,18.65,15.50,15.50,000,15.50
2014-10-15,17.20,17.20,17.20,17.20,000,17.20
2014-10-14,17.20,17.20,17.20,17.20,000,17.20
2014-10-13,15.95,15.95,13.10,15.80,200,15.80
2014-10-10,14.50,14.50,14.50,14.50,000,14.50
2014-10-09,16.25,16.25,13.40,14.50,000,14.50
2014-10-08,17.00,17.00,14.85,14.85,000,14.85
2014-10-07,16.50,16.50,16.50,16.50,000,16.50
2014-10-06,15.95,15.95,15.95,15.95,000,15.95
2014-10-03,15.95,15.95,15.95,15.95,000,15.95
2014-10-02,15.95,15.95,15.95,15.95,000,15.95
2014-10-01,15.95,15.95,15.95,15.95,000,15.95
2014-09-30,15.95,15.95,15.95,15.95,000,15.95
2014-09-29,16.17,16.17,14.68,15.95,100,15.95
2014-09-26,15.45,15.45,15.45,15.45,000,15.45
2014-09-25,15.45,15.45,15.45,15.45,000,15.45
2014-09-24,14.86,14.86,14.86,14.86,000,14.86
2014-09-23,15.59,15.59,14.15,14.25,200,14.25
2014-09-22,14.89,14.89,13.49,14.89,500,14.89
2014-09-19,15.67,15.67,14.19,14.19,000,14.19
2014-09-18,14.94,14.94,14.90,14.93,100,14.93
2014-09-17,14.23,14.23,14.23,14.23,000,14.23
2014-09-16,14.97,16.43,14.97,14.97,000,14.97
2014-09-15,15.75,15.75,15.75,15.75,000,15.75
2014-09-12,15.08,15.08,13.66,15.00,000,15.00
2014-09-11,14.37,14.37,14.37,14.37,000,14.37
2014-09-10,14.33,14.33,12.97,13.70,600,13.70
2014-09-09,12.45,13.74,12.45,13.65,1700,13.65
2014-09-08,14.08,14.08,11.52,13.10,1600,13.10
2014-09-05,12.84,12.84,11.50,12.80,000,12.80
2014-09-04,11.68,11.68,10.00,11.68,2100,11.68
2014-09-03,10.62,10.62,10.62,10.62,700,10.62
2014-09-02,9.66,9.66,9.66,9.66,000,9.66
2014-09-01,9.27,11.30,9.27,9.66,700,9.66
2014-08-29,10.28,10.28,10.28,10.28,000,10.28
2014-08-28,9.71,10.50,9.71,10.28,400,10.28
2014-08-27,12.94,13.07,10.72,10.76,800,10.76
2014-08-26,12.89,12.89,10.58,11.89,000,11.89
2014-08-25,12.10,12.10,10.15,11.75,100,11.75
2014-08-22,12.98,12.98,10.80,11.00,300,11.00
2014-08-21,13.75,13.75,11.25,11.99,2800,11.99
2014-08-20,15.23,15.23,12.50,12.50,3200,12.50
2014-08-19,15.39,15.39,12.60,13.88,1000,13.88
2014-08-18,14.19,14.19,14.00,14.00,000,14.00
2014-08-15,12.90,12.90,12.90,12.90,000,12.90
2014-08-14,14.85,14.85,12.23,12.90,1500,12.90
2014-08-13,16.19,16.19,13.57,13.57,900,13.57
2014-08-12,15.25,15.34,15.00,15.07,000,15.07
2014-08-11,14.19,14.19,13.95,13.95,000,13.95
2014-08-08,13.40,13.40,11.00,12.90,000,12.90
2014-08-07,12.26,12.26,10.26,12.20,1500,12.20
2014-08-06,12.80,13.36,11.00,11.15,28800,11.15
2014-08-05,14.82,14.82,12.15,12.15,5300,12.15
2014-08-04,13.50,13.50,13.49,13.49,000,13.49
2014-08-01,13.55,13.55,12.28,12.28,000,12.28
2014-07-31,14.28,14.28,12.92,12.92,000,12.92
2014-07-30,15.01,15.01,13.60,13.60,000,13.60
2014-07-29,14.31,14.31,14.31,14.31,000,14.31
2014-07-28,14.31,14.31,14.31,14.31,000,14.31
2014-07-25,15.04,15.04,13.63,13.63,1000,13.63
2014-07-24,15.83,15.83,14.34,14.34,300,14.34
2014-07-23,15.09,15.09,15.09,15.09,000,15.09
2014-07-22,14.40,14.40,14.39,14.39,000,14.39
2014-07-21,15.00,15.00,14.00,14.00,000,14.00
2014-07-18,14.30,14.30,14.30,14.30,000,14.30
2014-07-17,15.24,15.24,13.83,13.83,000,13.83
2014-07-16,14.55,14.55,14.55,14.55,000,14.55
2014-07-15,15.27,15.27,13.86,13.86,2800,13.86
2014-07-14,14.58,14.58,14.58,14.58,000,14.58
2014-07-11,13.93,13.93,13.93,13.93,000,13.93
2014-07-10,12.19,13.29,12.19,13.29,600,13.29
2014-07-09,14.00,14.00,12.83,12.83,1700,12.83
2014-07-08,13.55,13.58,13.45,13.50,700,13.50
2014-07-07,12.94,12.94,12.94,12.94,2000,12.94
2014-07-04,12.33,12.33,12.04,12.33,3300,12.33
2014-07-03,12.49,12.49,11.31,12.40,500,12.40
2014-07-02,11.05,12.18,11.05,11.90,300,11.90
2014-07-01,11.82,11.82,10.83,11.60,300,11.60
2014-06-30,10.95,11.26,10.40,11.26,4900,11.26
2014-06-27,10.72,10.73,9.82,10.73,1300,10.73
2014-06-26,9.42,10.22,9.42,10.22,800,10.22
2014-06-25,10.38,10.38,9.56,9.74,800,9.74
2014-06-24,9.25,9.89,9.22,9.89,4000,9.89
2014-06-23,9.42,9.42,9.42,9.42,000,9.42
2014-06-20,9.22,9.60,9.22,9.42,1100,9.42
2014-06-19,10.42,10.42,9.62,9.62,000,9.62
2014-06-18,10.10,10.10,9.93,9.93,10100,9.93
2014-06-17,10.45,10.45,10.45,10.45,000,10.45
2014-06-16,11.39,11.39,10.45,10.45,7100,10.45
2014-06-13,10.02,10.99,10.00,10.96,400,10.96
2014-06-12,10.50,10.50,10.50,10.50,400,10.50
2014-06-11,10.50,10.95,10.00,10.00,1500,10.00
2014-06-10,9.60,10.46,9.60,10.46,2100,10.46
2014-06-09,9.05,9.97,9.05,9.97,600,9.97
2014-06-06,10.23,10.23,9.50,9.50,1100,9.50
2014-06-05,10.70,10.70,9.75,9.75,2100,9.75
2014-06-04,10.22,10.22,10.22,10.22,000,10.22
2014-06-03,10.75,10.75,10.75,10.75,000,10.75
2014-06-02,10.75,10.75,10.75,10.75,000,10.75
2014-05-30,10.75,10.75,10.75,10.75,000,10.75
2014-05-29,10.75,10.75,10.75,10.75,000,10.75
2014-05-28,10.75,10.75,10.75,10.75,100,10.75
2014-05-27,10.26,10.26,10.26,10.26,1000,10.26
2014-05-26,10.80,10.80,10.80,10.80,000,10.80
2014-05-23,10.80,10.80,10.80,10.80,000,10.80
2014-05-22,10.80,10.80,10.80,10.80,000,10.80
2014-05-21,10.45,10.80,9.93,10.80,1500,10.80
2014-05-20,10.45,10.45,10.45,10.45,700,10.45
2014-05-19,10.99,10.99,10.99,10.99,300,10.99
2014-05-16,11.16,11.16,11.16,11.16,000,11.16
2014-05-15,11.16,11.16,11.16,11.16,000,11.16
2014-05-14,11.16,11.16,11.16,11.16,000,11.16
2014-05-13,11.16,11.16,11.16,11.16,000,11.16
2014-05-12,11.16,11.16,11.16,11.16,000,11.16
2014-05-09,11.16,11.16,11.16,11.16,000,11.16
2014-05-08,11.16,11.16,11.16,11.16,000,11.16
2014-05-07,11.16,11.16,11.16,11.16,000,11.16
2014-05-06,11.16,11.16,11.16,11.16,000,11.16
2014-05-05,11.16,11.16,11.16,11.16,000,11.16
2014-05-02,11.17,11.17,11.17,11.17,000,11.17
2014-05-01,10.65,10.65,10.65,10.65,000,10.65
2014-04-30,10.65,10.65,10.65,10.65,000,10.65
2014-04-29,10.65,10.65,10.65,10.65,000,10.65
2014-04-28,10.65,10.65,10.65,10.65,000,10.65
2014-04-25,10.65,10.65,10.65,10.65,000,10.65
2014-04-24,10.65,10.65,10.65,10.65,000,10.65
2014-04-23,10.65,10.65,10.65,10.65,000,10.65
2014-04-22,10.65,10.65,10.65,10.65,000,10.65
2014-04-21,10.65,10.65,10.65,10.65,000,10.65
2014-04-18,10.65,10.65,10.65,10.65,000,10.65
