Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,15.70,15.80,14.70,15.00,65700,15.00
2014-12-22,15.60,16.00,15.50,15.65,59200,15.65
2014-12-19,15.50,15.65,15.40,15.55,86400,15.55
2014-12-18,16.40,16.45,15.40,15.45,58500,15.45
2014-12-17,16.50,16.60,16.10,16.30,306000,16.30
2014-12-16,17.05,17.20,16.40,16.40,306000,16.40
2014-12-15,17.00,17.20,16.85,17.05,67700,17.05
2014-12-12,16.85,17.05,16.85,16.95,91300,16.95
2014-12-11,16.80,17.20,16.75,16.85,104600,16.85
2014-12-10,17.10,17.20,16.65,16.75,306300,16.75
2014-12-09,17.05,17.25,16.90,17.15,219400,17.15
2014-12-08,17.05,17.20,16.80,16.95,310400,16.95
2014-12-05,16.95,17.10,16.75,17.00,61200,17.00
2014-12-04,16.95,17.05,16.85,16.90,59700,16.90
2014-12-03,17.05,17.25,16.80,16.95,61800,16.95
2014-12-02,17.10,17.30,16.95,17.05,305600,17.05
2014-12-01,17.15,17.40,17.00,17.10,310100,17.10
2014-11-28,17.10,17.25,17.00,17.15,305800,17.15
2014-11-27,17.05,17.20,16.95,17.10,306500,17.10
2014-11-26,17.05,17.25,16.90,17.05,313100,17.05
2014-11-25,17.25,17.40,16.75,16.80,61200,16.80
2014-11-24,17.05,17.35,16.95,17.20,72200,17.20
2014-11-21,17.10,17.25,16.30,17.05,158000,17.05
2014-11-20,17.50,17.65,16.50,17.10,360500,17.10
2014-11-19,18.10,18.15,17.25,17.50,60300,17.50
2014-11-18,18.50,18.55,17.90,18.10,60200,18.10
2014-11-17,18.30,18.50,17.65,18.45,180000,18.45
2014-11-14,18.55,18.60,18.10,18.30,557500,18.30
2014-11-13,18.55,18.60,18.40,18.55,60200,18.55
2014-11-12,19.50,19.50,18.40,18.55,560800,18.55
2014-11-11,19.55,19.70,19.40,19.45,63500,19.45
2014-11-10,17.50,19.75,17.50,19.50,77800,19.50
2014-11-07,17.25,17.60,17.05,17.45,444700,17.45
2014-11-06,17.20,17.20,17.20,17.20,000,17.20
2014-11-05,17.15,17.20,16.95,17.20,87400,17.20
2014-11-04,17.15,17.15,17.15,17.15,000,17.15
2014-11-03,17.10,17.30,17.00,17.15,64900,17.15
2014-10-31,17.15,17.25,17.00,17.05,60300,17.05
2014-10-30,17.05,17.20,17.00,17.15,62900,17.15
2014-10-29,17.00,17.20,16.90,17.00,60100,17.00
2014-10-28,17.55,17.65,16.55,16.90,61400,16.90
2014-10-27,17.55,17.70,17.35,17.55,59800,17.55
2014-10-24,17.55,17.55,17.55,17.55,000,17.55
2014-10-23,17.55,17.55,17.55,17.55,000,17.55
2014-10-22,17.65,17.75,17.10,17.55,63500,17.55
2014-10-21,17.60,17.70,17.50,17.70,57300,17.70
2014-10-20,17.45,17.65,17.45,17.55,64900,17.55
2014-10-17,17.60,17.90,17.00,17.50,565000,17.50
2014-10-16,17.80,17.80,17.45,17.55,67100,17.55
2014-10-15,17.10,17.10,17.10,17.10,000,17.10
2014-10-14,17.95,18.00,16.90,17.10,66600,17.10
2014-10-13,18.40,18.45,17.75,17.95,69100,17.95
2014-10-10,18.65,18.70,17.75,18.35,61100,18.35
2014-10-09,18.75,18.75,18.30,18.65,61800,18.65
2014-10-08,18.70,19.00,18.60,18.70,71400,18.70
2014-10-07,18.80,18.90,18.00,18.65,62700,18.65
