Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,355.50,358.00,350.40,352.10,197900,352.10
2014-12-22,350.00,357.70,350.00,356.90,237500,356.90
2014-12-19,346.10,353.55,344.30,349.30,358400,349.30
2014-12-18,349.20,351.00,343.10,345.10,346100,345.10
2014-12-17,335.00,344.85,331.00,342.75,543300,342.75
2014-12-16,338.70,338.70,329.65,335.50,512200,335.50
2014-12-15,335.00,346.00,335.00,342.90,447800,337.90
2014-12-12,350.00,351.85,335.75,336.95,725100,332.04
2014-12-11,360.00,360.00,347.55,349.35,428700,344.26
2014-12-10,352.80,361.75,350.05,360.95,427900,355.69
2014-12-09,366.80,367.90,351.00,352.35,641400,347.21
2014-12-08,365.50,372.00,363.90,368.15,349100,362.78
2014-12-05,372.40,375.00,365.20,365.85,458100,360.52
2014-12-04,376.00,378.20,369.30,370.85,576600,365.44
2014-12-03,361.50,376.50,360.75,371.90,901400,366.48
2014-12-02,365.40,370.35,359.95,361.15,454700,355.88
2014-12-01,378.00,380.05,363.10,364.40,484100,359.09
2014-11-28,380.00,389.25,377.15,379.50,389600,373.97
2014-11-27,386.00,386.30,380.20,382.20,323400,376.63
2014-11-26,383.00,390.60,382.00,385.70,217100,380.08
2014-11-25,379.00,388.80,375.00,385.80,500700,380.17
2014-11-24,383.50,387.40,378.70,380.70,272200,375.15
2014-11-21,383.80,389.35,382.55,383.60,217000,378.01
2014-11-20,384.50,389.90,382.50,386.00,214700,380.37
2014-11-19,390.00,394.40,381.50,384.10,492800,378.50
2014-11-18,397.00,397.90,390.00,390.70,238400,385.00
2014-11-17,394.00,399.00,392.65,396.60,316700,390.82
2014-11-14,386.50,394.50,385.45,393.35,374300,387.61
2014-11-13,396.00,397.25,383.40,385.45,474000,379.83
2014-11-12,395.50,398.70,392.80,393.45,232800,387.71
2014-11-11,397.85,399.55,388.60,394.45,463200,388.70
2014-11-10,410.50,412.40,393.70,394.55,562000,388.80
2014-11-07,402.90,410.50,400.50,409.25,328900,403.28
2014-11-06,403.45,403.45,403.45,403.45,000,397.57
2014-11-05,405.50,406.60,400.25,403.45,377500,397.57
2014-11-04,404.50,404.50,404.50,404.50,000,398.60
2014-11-03,405.10,407.95,403.05,404.50,256400,398.60
2014-10-31,398.05,406.60,397.90,405.05,490700,399.14
2014-10-30,392.95,397.95,392.95,395.85,285000,390.08
2014-10-29,396.70,396.70,391.60,393.45,426600,387.71
2014-10-28,397.50,398.00,389.05,391.80,593300,386.09
2014-10-27,405.50,406.00,393.40,394.75,291600,388.99
2014-10-24,400.05,400.05,400.05,400.05,000,394.22
2014-10-23,400.05,400.05,400.05,400.05,000,394.22
2014-10-22,411.00,411.50,396.65,400.05,543200,394.22
2014-10-21,421.80,422.00,405.65,408.10,501000,402.15
2014-10-20,430.00,432.00,415.25,418.85,1582400,412.74
2014-10-17,398.00,399.95,392.00,397.25,374100,391.46
2014-10-16,398.00,408.00,395.00,397.00,563900,391.21
2014-10-15,401.65,401.65,401.65,401.65,000,395.79
2014-10-14,408.00,409.50,399.90,401.65,234100,395.79
2014-10-13,408.00,408.00,398.05,406.80,222200,400.87
2014-10-10,409.00,409.75,403.35,404.50,223500,398.60
2014-10-09,409.90,414.20,407.95,410.85,280900,404.86
2014-10-08,398.00,407.45,397.00,406.25,217800,400.33
2014-10-07,404.50,405.55,394.10,397.10,258300,391.31
2014-10-06,402.65,402.65,402.65,402.65,000,396.78
2014-10-03,402.65,402.65,402.65,402.65,000,396.78
2014-10-02,402.65,402.65,402.65,402.65,000,396.78
2014-10-01,410.80,410.80,401.10,402.65,348900,396.78
2014-09-30,407.00,416.00,404.85,409.10,237800,403.13
2014-09-29,412.50,415.00,405.65,407.55,247300,401.61
2014-09-26,399.00,413.55,399.00,412.20,421400,406.19
2014-09-25,408.00,411.00,395.25,399.65,552500,393.82
2014-09-24,407.50,416.00,402.30,413.55,325100,407.52
2014-09-23,422.00,422.00,406.40,407.45,297700,401.51
2014-09-22,404.50,420.25,402.55,419.10,362600,412.99
2014-09-19,417.40,418.00,402.40,405.00,341500,399.09
2014-09-18,407.00,416.00,404.30,414.35,420500,408.31
2014-09-17,410.80,412.50,404.10,408.20,608600,402.25
2014-09-16,425.00,425.00,407.10,408.75,510700,402.79
2014-09-15,427.00,427.10,420.60,421.30,226000,415.16
2014-09-12,435.00,435.00,425.80,429.15,297000,422.89
2014-09-11,446.10,447.50,428.00,429.35,573500,423.09
2014-09-10,447.70,450.90,443.00,445.30,212500,438.56
2014-09-09,457.05,458.95,443.85,448.85,368000,442.06
2014-09-08,447.00,456.00,447.00,454.80,569000,447.92
2014-09-05,436.00,446.20,436.00,442.50,371600,435.80
2014-09-04,438.00,440.00,431.45,437.60,241900,430.98
2014-09-03,448.95,450.00,435.75,438.00,655900,431.37
2014-09-02,440.00,445.25,434.25,444.60,694200,437.87
2014-09-01,439.15,441.70,436.45,439.55,403200,432.90
2014-08-29,435.15,435.15,435.15,435.15,000,428.56
2014-08-28,429.75,438.80,424.20,435.15,614300,428.56
2014-08-27,424.10,429.80,423.60,427.75,659900,421.28
2014-08-26,430.85,431.65,412.10,418.10,603300,411.77
2014-08-25,429.00,434.70,427.20,428.75,948200,422.26
2014-08-22,428.70,434.15,425.65,426.85,450700,420.39
2014-08-21,425.00,429.80,421.50,426.00,418400,419.55
2014-08-20,435.50,436.00,421.90,423.00,988400,416.60
2014-08-19,435.30,440.35,427.25,435.20,1651900,428.61
2014-08-18,412.00,434.25,410.25,431.80,877400,425.26
2014-08-15,409.95,409.95,409.95,409.95,000,403.75
2014-08-14,398.50,411.00,393.15,409.95,825100,403.75
2014-08-13,409.90,413.00,400.00,401.80,674300,395.72
2014-08-12,395.00,407.50,394.80,405.50,866300,399.36
2014-08-11,397.00,397.30,391.80,392.90,154200,386.95
2014-08-08,395.10,396.05,390.25,394.15,223400,388.18
2014-08-07,397.50,403.45,395.00,400.40,421400,394.34
2014-08-06,404.90,406.00,395.25,396.90,313900,390.89
2014-08-05,394.85,406.90,394.20,405.00,636600,398.87
2014-08-04,387.90,393.50,384.75,392.50,214100,386.56
2014-08-01,394.90,395.70,385.05,386.25,360000,380.40
2014-07-31,400.00,401.60,393.80,395.35,158900,389.37
2014-07-30,394.85,401.80,394.85,398.75,213300,392.72
2014-07-29,395.25,395.25,395.25,395.25,000,389.27
2014-07-28,401.25,403.40,391.65,395.25,213100,389.27
2014-07-25,406.00,407.40,399.20,400.90,212600,394.83
2014-07-24,405.45,408.75,402.10,404.90,331800,398.77
2014-07-23,412.00,412.00,404.35,404.90,473100,398.77
2014-07-22,407.50,410.70,406.40,408.80,240000,402.61
2014-07-21,408.80,413.30,405.40,406.55,216400,400.40
2014-07-18,412.25,414.00,407.10,410.40,298600,404.19
2014-07-17,414.00,415.80,405.10,413.55,665300,407.29
2014-07-16,415.00,417.70,410.00,416.10,401300,409.80
2014-07-15,405.00,413.95,404.65,412.50,479600,406.26
2014-07-14,398.00,403.55,394.35,402.30,311700,396.21
2014-07-11,405.10,405.10,391.10,395.95,551900,389.96
2014-07-10,407.40,415.45,395.15,404.05,983100,397.93
2014-07-09,400.00,408.50,391.00,404.65,643200,398.53
2014-07-08,418.35,419.95,394.50,397.60,1109200,391.58
2014-07-07,425.00,425.70,414.00,415.15,416700,408.87
2014-07-04,417.80,424.25,412.00,421.90,817600,415.51
2014-07-03,429.00,429.20,417.30,418.20,244600,411.87
2014-07-02,426.20,429.90,422.10,426.70,672100,420.24
2014-07-01,428.25,429.95,420.40,422.15,581400,415.76
2014-06-30,416.85,425.45,415.40,423.70,1050900,417.29
2014-06-27,417.10,418.80,408.00,411.05,830100,404.83
2014-06-26,414.70,418.90,406.50,411.10,1803200,404.88
2014-06-25,446.80,448.00,434.25,436.85,894400,430.24
2014-06-24,447.00,449.00,431.60,443.15,1539300,436.44
2014-06-23,421.00,441.50,419.45,437.05,1008000,430.44
2014-06-20,421.50,429.50,415.30,417.70,1100000,411.38
2014-06-19,435.00,440.50,408.65,420.45,3011600,414.09
2014-06-18,445.60,453.30,432.00,443.20,781600,436.49
2014-06-17,428.00,447.40,425.70,444.55,852900,437.82
2014-06-16,423.00,430.70,413.30,427.15,621900,420.69
2014-06-13,430.95,433.00,406.00,422.45,875400,416.06
2014-06-12,429.85,439.90,423.10,428.65,701000,422.16
2014-06-11,443.00,446.50,425.00,427.05,864000,420.59
2014-06-10,455.00,456.00,435.70,440.90,665800,434.23
2014-06-09,470.00,472.00,448.00,453.50,1324600,446.64
2014-06-06,426.00,467.95,425.00,464.00,2291100,456.98
2014-06-05,409.00,428.20,402.40,419.65,1167700,413.30
2014-06-04,416.80,419.00,408.10,411.40,874800,405.17
2014-06-03,403.00,422.80,399.00,416.80,854000,410.49
2014-06-02,380.00,401.00,378.40,399.25,403800,393.21
2014-05-30,374.65,388.75,371.45,378.25,404700,372.53
2014-05-29,385.00,389.00,370.00,374.65,381500,368.98
2014-05-28,395.00,395.80,382.40,384.85,257400,379.03
2014-05-27,406.90,407.00,390.10,395.65,308900,389.66
2014-05-26,412.00,424.80,396.00,405.25,646100,399.12
2014-05-23,397.05,410.00,392.95,407.50,576700,401.33
2014-05-22,401.90,402.60,392.10,393.05,348300,387.10
2014-05-21,399.00,402.65,391.00,398.05,451500,392.03
2014-05-20,420.00,420.00,397.00,399.90,524700,393.85
2014-05-19,395.00,419.70,389.85,416.40,952900,410.10
2014-05-16,385.00,415.70,373.00,384.95,1604800,379.12
2014-05-15,368.60,380.00,363.75,378.05,498400,372.33
2014-05-14,375.00,377.90,364.65,368.60,338000,363.02
2014-05-13,363.30,380.05,363.30,372.05,619300,366.42
2014-05-12,347.00,361.00,347.00,358.40,458000,352.98
2014-05-09,335.00,350.00,329.10,347.75,952700,342.49
2014-05-08,336.70,339.80,333.10,333.95,186100,328.90
2014-05-07,339.50,342.10,334.10,335.50,242300,330.42
2014-05-06,336.55,341.40,335.45,336.95,248900,331.85
2014-05-05,330.90,343.55,327.80,335.45,697500,330.37
2014-05-02,326.10,331.75,322.90,329.10,374400,324.12
2014-05-01,325.80,325.80,325.80,325.80,000,320.87
2014-04-30,319.95,328.75,318.25,325.80,214300,320.87
2014-04-29,322.00,323.45,318.45,320.00,120800,315.16
2014-04-28,320.00,323.00,319.25,321.30,100900,316.44
2014-04-25,326.50,328.75,320.00,321.35,106700,316.49
2014-04-24,325.85,325.85,325.85,325.85,000,320.92
2014-04-23,326.00,332.00,322.85,325.85,399100,320.92
2014-04-22,323.00,331.30,322.00,326.20,382600,321.26
2014-04-21,323.00,325.50,322.40,323.15,143500,318.26
2014-04-18,322.25,322.25,322.25,322.25,000,317.37
2014-04-17,316.00,322.90,313.70,322.25,260500,317.37
2014-04-16,320.95,321.90,315.65,316.90,158500,312.10
2014-04-15,321.00,321.05,315.95,319.35,195900,314.52
2014-04-14,320.15,320.15,320.15,320.15,000,315.30
2014-04-11,322.00,324.75,318.20,320.15,224500,315.30
2014-04-10,323.00,324.85,315.70,321.95,407400,317.08
2014-04-09,325.00,328.00,319.70,322.45,227800,317.57
2014-04-08,325.55,325.55,325.55,325.55,000,320.62
2014-04-07,324.00,332.00,324.00,325.55,72900,320.62
2014-04-04,326.80,330.00,318.05,325.60,418700,320.67
2014-04-03,331.00,332.00,322.45,326.10,151500,321.16
