Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,10.01,10.74,10.01,10.60,5500,10.60
2014-12-22,9.76,10.95,9.76,10.91,100,10.91
2014-12-19,9.33,11.00,9.33,10.51,500,10.51
2014-12-18,10.20,10.20,10.20,10.20,000,10.20
2014-12-17,9.25,10.30,9.25,10.20,1100,10.20
2014-12-16,10.00,10.20,10.00,10.20,500,10.20
2014-12-15,10.36,10.45,10.20,10.31,500,10.31
2014-12-12,10.30,11.20,10.30,11.20,600,11.20
2014-12-11,10.16,11.45,10.16,10.25,1600,10.25
2014-12-10,11.25,11.25,10.21,10.83,500,10.83
2014-12-09,10.60,11.64,10.48,10.52,5500,10.52
2014-12-08,10.85,10.85,10.85,10.85,000,10.85
2014-12-05,10.80,10.85,10.80,10.85,100,10.85
2014-12-04,10.90,10.90,10.50,10.51,900,10.51
2014-12-03,10.00,10.49,9.02,10.02,13200,10.02
2014-12-02,10.00,11.00,10.00,10.02,4200,10.02
2014-12-01,10.00,11.50,10.00,10.39,1500,10.39
2014-11-28,10.00,10.50,10.00,10.50,600,10.50
2014-11-27,10.00,10.50,10.00,10.45,2600,10.45
2014-11-26,10.00,11.26,10.00,10.11,2700,10.11
2014-11-25,10.00,10.79,9.52,10.28,4500,10.28
2014-11-24,10.05,10.10,10.05,10.10,200,10.10
2014-11-21,9.51,10.90,9.51,10.23,4600,10.23
2014-11-20,10.10,10.50,9.75,10.50,2500,10.50
2014-11-19,11.50,11.50,10.58,10.60,4400,10.60
2014-11-18,9.50,10.91,9.50,10.50,2200,10.50
2014-11-17,10.00,10.40,9.55,9.92,3000,9.92
2014-11-14,10.20,11.00,10.20,10.46,3900,10.46
2014-11-13,10.70,11.30,10.35,11.29,7600,11.29
2014-11-12,12.59,12.59,11.24,11.24,200,11.24
2014-11-11,11.00,11.99,11.00,11.47,1700,11.47
2014-11-10,11.00,11.70,10.72,11.21,700,11.21
2014-11-07,11.20,11.20,11.07,11.15,1400,11.15
2014-11-06,11.65,11.65,11.65,11.65,000,11.65
2014-11-05,11.90,12.07,11.30,11.65,3300,11.65
2014-11-04,11.50,11.50,11.50,11.50,000,11.50
2014-11-03,12.00,12.12,11.50,11.50,3500,11.50
2014-10-31,11.55,11.55,11.55,11.55,1100,11.55
2014-10-30,11.70,11.76,10.83,11.00,2700,11.00
2014-10-29,10.70,11.20,10.70,11.20,400,11.20
2014-10-28,10.80,11.25,10.80,11.25,1800,11.25
2014-10-27,11.35,11.35,11.35,11.35,000,11.35
2014-10-24,11.38,11.38,11.38,11.38,000,11.38
2014-10-23,11.38,11.38,11.38,11.38,000,11.38
2014-10-22,11.28,11.38,10.57,11.38,1000,11.38
2014-10-21,10.21,11.10,10.20,11.10,1100,11.10
2014-10-20,10.60,10.60,10.60,10.60,300,10.60
2014-10-17,10.72,10.80,10.10,10.11,5300,10.11
2014-10-16,10.83,10.83,10.29,10.29,700,10.29
2014-10-15,10.83,10.83,10.83,10.83,000,10.83
2014-10-14,10.05,10.99,9.98,10.83,600,10.83
2014-10-13,9.76,10.50,9.76,10.50,2000,10.50
2014-10-10,10.45,10.45,10.00,10.00,6200,10.00
2014-10-09,10.40,10.45,10.36,10.45,1600,10.45
2014-10-08,11.00,11.00,10.41,10.90,2700,10.90
2014-10-07,10.95,10.95,10.95,10.95,300,10.95
2014-10-06,11.48,11.48,11.48,11.48,000,11.48
2014-10-03,11.48,11.48,11.48,11.48,000,11.48
2014-10-02,11.48,11.48,11.48,11.48,000,11.48
2014-10-01,12.65,12.65,11.48,11.48,1300,11.48
2014-09-30,12.07,12.75,12.07,12.08,2100,12.08
2014-09-29,12.59,13.00,12.59,12.65,500,12.65
2014-09-26,13.25,13.25,13.24,13.25,1000,13.25
2014-09-25,13.93,13.93,13.93,13.93,1400,13.93
2014-09-24,14.75,14.75,14.66,14.66,700,14.66
2014-09-23,16.84,16.84,15.24,15.43,18200,15.43
2014-09-22,16.00,16.04,15.41,16.04,10200,16.04
2014-09-19,15.29,15.29,14.51,15.28,16300,15.28
2014-09-18,14.56,14.57,14.00,14.57,18000,14.57
2014-09-17,13.80,13.88,13.00,13.88,15300,13.88
2014-09-16,13.24,13.24,12.80,13.22,8500,13.22
2014-09-15,12.67,12.67,12.00,12.61,13300,12.61
2014-09-12,12.07,12.07,12.06,12.07,2800,12.07
2014-09-11,11.50,11.50,11.50,11.50,6100,11.50
2014-09-10,10.96,10.96,10.00,10.96,10400,10.96
2014-09-09,9.97,9.97,9.70,9.97,1100,9.97
2014-09-08,8.11,9.49,8.11,9.07,4800,9.07
2014-09-05,9.50,9.50,8.55,8.63,2400,8.63
2014-09-04,8.60,9.45,8.55,9.45,1300,9.45
2014-09-03,9.13,9.13,8.45,9.00,500,9.00
2014-09-02,8.01,8.82,8.00,8.70,1300,8.70
2014-09-01,8.39,8.80,8.39,8.40,2100,8.40
2014-08-29,8.40,8.40,8.40,8.40,000,8.40
2014-08-28,8.62,8.62,8.05,8.40,600,8.40
2014-08-27,8.79,8.80,8.15,8.21,1000,8.21
2014-08-26,8.50,8.95,8.40,8.40,1900,8.40
2014-08-25,9.26,9.26,8.50,8.55,600,8.55
2014-08-22,8.02,8.82,8.02,8.82,500,8.82
2014-08-21,8.40,8.40,8.40,8.40,400,8.40
2014-08-20,8.38,8.38,8.00,8.00,400,8.00
