Date,Open,High,Low,Close,Volume,Adj Close
2014-10-02,15.35,15.35,15.35,15.35,000,15.35
2014-10-01,15.35,15.35,15.35,15.35,000,15.35
2014-09-30,15.35,15.35,15.35,15.35,000,15.35
2014-09-29,15.35,15.35,15.35,15.35,000,15.35
2014-09-26,15.35,15.35,15.35,15.35,000,15.35
2014-09-25,15.35,15.35,15.35,15.35,000,15.35
2014-09-24,15.35,15.35,15.35,15.35,000,15.35
2014-09-23,15.35,15.35,15.35,15.35,300,15.35
2014-09-22,16.15,16.15,16.15,16.15,000,16.15
2014-09-19,17.00,17.00,17.00,17.00,000,17.00
2014-09-17,17.00,17.00,17.00,17.00,000,17.00
2014-09-16,17.00,17.00,17.00,17.00,000,17.00
2014-09-15,17.00,17.00,17.00,17.00,000,17.00
2014-09-12,17.00,17.00,17.00,17.00,100,17.00
2014-09-11,17.85,17.85,17.85,17.85,000,17.85
2014-09-10,17.85,17.85,17.85,17.85,000,17.85
2014-09-09,17.85,17.85,17.85,17.85,000,17.85
2014-09-08,17.85,17.85,17.85,17.85,000,17.85
2014-09-05,17.85,17.85,17.85,17.85,000,17.85
2014-09-04,18.75,18.75,18.75,18.75,000,18.75
2014-09-03,19.10,19.10,19.10,19.10,000,19.10
2014-09-02,19.45,19.45,19.45,19.45,000,19.45
2014-09-01,19.80,19.80,19.80,19.80,000,19.80
2014-08-29,20.20,20.20,20.20,20.20,000,20.20
2014-08-28,20.20,20.20,20.20,20.20,000,20.20
2014-08-27,20.20,20.20,20.20,20.20,1000,20.20
2014-08-26,20.60,20.60,20.60,20.60,000,20.60
2014-08-25,20.60,20.60,20.60,20.60,000,20.60
2014-08-22,20.60,20.60,20.60,20.60,000,20.60
2014-08-21,21.00,21.00,21.00,21.00,100,21.00
2014-08-20,20.80,20.80,20.80,20.80,000,20.80
2014-08-19,21.55,21.95,21.15,21.20,300,21.20
2014-08-18,21.55,21.55,21.55,21.55,000,21.55
2014-08-15,21.95,21.95,21.95,21.95,000,21.95
2014-08-14,21.95,21.95,21.95,21.95,000,21.95
2014-08-13,21.95,21.95,21.95,21.95,000,21.95
2014-08-12,22.35,22.35,22.35,22.35,100,22.35
2014-08-11,22.80,22.80,22.80,22.80,000,22.80
