Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,14.85,14.85,14.00,14.25,32100,14.25
2014-12-22,14.75,14.90,14.00,14.15,22800,14.15
2014-12-19,14.65,14.70,14.00,14.40,67800,14.40
2014-12-18,16.35,16.35,14.30,14.60,34900,14.60
2014-12-17,14.30,14.45,14.00,14.05,78500,14.05
2014-12-16,14.95,15.50,14.20,14.45,68300,14.45
2014-12-15,14.95,17.70,14.40,14.95,22000,14.95
2014-12-12,15.85,15.95,15.25,15.30,36800,15.30
2014-12-11,15.75,16.00,15.15,15.45,35400,15.45
2014-12-10,16.45,16.75,15.85,16.15,50000,16.15
2014-12-09,17.65,17.65,16.05,16.40,81000,16.40
2014-12-08,16.05,17.10,15.55,16.30,115600,16.30
2014-12-05,16.25,17.30,16.25,16.70,124100,16.70
2014-12-04,15.05,16.70,15.05,16.45,346600,16.45
2014-12-03,14.05,15.55,14.05,15.20,72800,15.20
2014-12-02,14.70,15.25,14.25,14.95,46000,14.95
2014-12-01,14.55,15.25,14.55,15.00,90700,15.00
2014-11-28,15.00,15.92,15.00,15.58,124000,15.58
2014-11-27,15.50,16.60,14.86,15.01,104300,15.01
2014-11-26,14.95,15.96,14.01,15.93,323400,15.93
2014-11-25,14.85,15.40,14.07,14.51,154600,14.51
2014-11-24,16.63,16.63,15.13,15.19,176900,15.19
2014-11-21,15.01,17.17,15.01,15.98,529700,15.98
2014-11-20,18.70,18.76,16.21,16.21,530500,16.21
2014-11-19,18.01,18.01,17.20,18.01,1146000,18.01
2014-11-18,14.25,16.38,14.10,16.38,1103600,16.38
2014-11-17,11.40,13.65,11.40,13.65,1027100,13.65
2014-11-14,10.50,11.88,10.12,11.38,249000,11.38
2014-11-13,10.71,11.00,10.51,10.66,61700,10.66
2014-11-12,11.00,11.22,10.61,10.94,41900,10.94
2014-11-11,11.70,11.80,10.77,11.02,111000,11.02
2014-11-10,11.70,12.00,10.72,11.26,154800,11.26
2014-11-07,11.00,11.19,10.50,10.95,98800,10.95
2014-11-06,10.59,10.59,10.59,10.59,000,10.59
2014-11-05,9.90,11.32,9.60,10.59,482700,10.59
2014-11-04,9.44,9.44,9.44,9.44,000,9.44
2014-11-03,10.05,10.05,9.00,9.44,19500,9.44
2014-10-31,9.50,10.00,9.40,9.60,24900,9.60
2014-10-30,10.20,10.97,9.27,9.37,40300,9.37
2014-10-29,8.10,9.80,8.10,9.41,24200,9.41
2014-10-28,9.14,9.47,8.84,9.22,10700,9.22
2014-10-27,9.14,9.14,8.53,9.14,7400,9.14
2014-10-24,8.70,8.70,8.70,8.70,000,8.70
2014-10-23,8.70,8.70,8.70,8.70,000,8.70
2014-10-22,9.70,9.70,8.63,8.70,15000,8.70
