Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,112.00,114.30,110.10,111.35,4700,111.35
2014-12-22,111.00,113.95,111.00,111.75,5500,111.75
2014-12-19,115.00,115.00,110.00,111.70,5700,111.70
2014-12-18,110.00,115.00,110.00,113.90,12400,113.90
2014-12-17,112.00,112.00,100.20,108.40,10800,108.40
2014-12-16,115.00,115.00,109.00,111.10,24100,111.10
2014-12-15,117.00,118.00,114.50,115.10,3500,115.10
2014-12-12,118.00,123.05,116.50,119.00,5900,119.00
2014-12-11,118.50,118.95,116.30,117.05,2300,117.05
2014-12-10,119.05,120.95,117.15,118.25,5500,118.25
2014-12-09,123.00,123.00,117.05,119.55,9600,119.55
2014-12-08,124.00,126.00,121.80,122.25,8500,122.25
2014-12-05,123.15,123.95,122.00,122.00,5600,122.00
2014-12-04,127.20,127.95,123.80,124.10,31700,124.10
2014-12-03,122.00,127.00,120.00,124.95,20700,124.95
2014-12-02,123.85,123.85,120.00,120.35,6100,120.35
2014-12-01,123.70,126.00,120.55,122.25,4900,122.25
2014-11-28,125.05,126.00,122.00,122.50,2400,122.50
2014-11-27,125.50,125.70,123.00,124.00,4700,124.00
2014-11-26,125.00,127.00,122.10,126.05,5700,126.05
2014-11-25,125.50,127.00,118.50,125.15,14600,125.15
2014-11-24,128.00,129.90,124.50,125.75,7300,125.75
2014-11-21,128.00,130.00,126.00,127.05,11300,127.05
2014-11-20,130.00,130.50,127.00,127.40,12600,127.40
2014-11-19,131.15,134.80,128.65,129.80,41700,129.80
2014-11-18,128.70,129.85,125.65,126.60,10000,126.60
2014-11-17,129.25,130.00,127.25,127.75,9700,127.75
2014-11-14,130.00,130.00,127.00,127.65,11700,127.65
2014-11-13,129.50,131.90,126.40,127.85,17300,127.85
2014-11-12,132.00,135.00,128.70,129.35,30800,129.35
2014-11-11,137.10,137.10,130.00,130.65,26200,130.65
2014-11-10,139.00,143.00,136.00,136.60,19300,136.60
2014-11-07,133.00,143.85,129.00,137.65,96000,137.65
2014-11-06,130.70,130.70,130.70,130.70,000,130.70
2014-11-05,132.10,138.40,128.50,130.70,20700,130.70
2014-11-04,131.75,131.75,131.75,131.75,000,131.75
2014-11-03,133.00,136.00,130.05,131.75,15800,131.75
2014-10-31,137.00,137.40,131.05,132.75,9700,132.75
2014-10-30,137.05,137.05,134.10,135.95,5300,135.95
2014-10-29,141.65,142.65,135.00,138.20,4100,138.20
2014-10-28,130.25,141.35,130.00,139.55,14800,139.55
2014-10-27,129.00,134.00,129.00,131.55,3700,131.55
2014-10-24,132.80,132.80,132.80,132.80,000,132.80
2014-10-23,132.80,132.80,132.80,132.80,000,132.80
2014-10-22,126.55,133.00,126.00,132.80,3600,132.80
2014-10-21,127.65,128.75,120.15,127.25,3300,127.25
2014-10-20,128.00,129.00,125.25,126.60,1800,126.60
2014-10-17,125.00,128.00,122.00,127.60,3600,127.60
2014-10-16,129.15,129.85,124.25,125.70,4500,125.70
2014-10-15,130.30,130.30,130.30,130.30,000,130.30
2014-10-14,132.00,132.00,129.00,130.30,4800,130.30
2014-10-13,130.20,134.00,126.05,131.00,4700,131.00
2014-10-10,129.00,133.45,125.10,131.10,4800,131.10
2014-10-09,131.00,133.60,130.50,131.90,2900,131.90
2014-10-08,133.00,134.15,128.00,129.50,3600,129.50
2014-10-07,134.85,136.00,131.25,133.05,4600,133.05
2014-10-06,134.60,134.60,134.60,134.60,000,134.60
2014-10-03,134.60,134.60,134.60,134.60,000,134.60
2014-10-02,134.60,134.60,134.60,134.60,000,134.60
2014-10-01,134.00,135.00,130.00,134.60,5500,134.60
2014-09-30,134.00,135.50,130.80,133.05,4300,133.05
2014-09-29,132.00,136.00,130.10,133.25,4600,133.25
2014-09-26,134.80,134.80,123.15,130.40,18300,130.40
2014-09-25,137.10,140.00,133.50,134.65,10600,134.65
2014-09-24,138.00,143.00,136.00,137.65,15800,137.65
2014-09-23,142.85,143.50,137.00,137.40,12300,137.40
2014-09-22,146.00,147.00,140.00,141.20,30500,141.20
2014-09-19,147.00,147.90,143.50,144.50,7400,144.50
2014-09-18,145.00,148.00,143.10,145.95,32000,145.95
2014-09-17,142.00,144.80,139.10,143.10,32900,143.10
2014-09-16,146.00,150.45,138.00,139.75,34500,139.75
2014-09-15,141.20,149.00,141.00,146.40,35800,146.40
2014-09-12,149.00,149.90,139.15,140.90,27700,140.90
2014-09-11,148.00,149.95,145.60,148.00,14700,148.00
2014-09-10,150.00,150.80,146.05,147.65,23400,147.65
2014-09-09,152.80,155.20,148.00,148.60,67700,148.60
2014-09-08,134.00,159.15,134.00,153.00,202800,153.00
2014-09-05,133.65,135.50,131.05,132.65,11100,132.65
2014-09-04,135.15,135.90,130.95,133.50,5200,133.50
2014-09-03,136.00,136.00,133.55,134.60,13400,134.60
2014-09-02,134.00,138.05,132.30,133.25,10100,133.25
2014-09-01,136.00,136.00,133.20,133.90,11300,133.90
2014-08-29,134.85,134.85,134.85,134.85,000,134.85
2014-08-28,138.00,139.90,133.95,134.85,8000,134.85
2014-08-27,138.50,144.65,137.25,138.00,27600,138.00
2014-08-26,132.00,141.40,131.80,138.20,35800,138.20
2014-08-25,128.00,135.00,121.25,132.90,42400,132.90
2014-08-22,122.05,127.20,121.20,125.50,9400,125.50
2014-08-21,124.90,126.00,121.05,122.55,19700,122.55
2014-08-20,115.00,124.50,114.45,123.10,36900,123.10
2014-08-19,115.25,118.40,114.05,115.40,8500,115.40
2014-08-18,112.50,116.40,110.05,115.25,7500,115.25
2014-08-15,112.30,112.30,112.30,112.30,000,112.30
2014-08-14,113.60,115.00,110.50,112.30,8900,112.30
2014-08-13,115.00,116.35,110.10,111.15,10100,111.15
2014-08-12,111.00,120.80,111.00,114.45,32500,114.45
2014-08-11,140.00,140.00,111.95,114.65,75500,114.65
2014-08-08,142.35,148.00,139.00,139.90,8000,139.90
2014-08-07,151.45,151.45,145.30,146.45,4500,146.45
2014-08-06,149.00,152.00,147.70,149.00,3200,149.00
2014-08-05,148.35,152.00,145.30,150.50,5900,150.50
2014-08-04,152.00,152.65,148.50,148.70,1700,148.70
2014-08-01,150.35,154.80,148.90,151.00,4800,151.00
2014-07-31,151.00,153.85,151.00,152.10,5400,152.10
2014-07-30,151.80,152.60,149.50,150.10,4000,150.10
2014-07-29,152.75,152.75,152.75,152.75,000,152.75
2014-07-28,149.50,153.50,148.00,152.75,6800,152.75
2014-07-25,152.15,152.75,147.50,149.30,13500,149.30
2014-07-24,154.00,154.00,148.05,149.80,15300,149.80
2014-07-23,156.80,156.80,153.00,154.00,10100,154.00
2014-07-22,158.00,161.00,154.30,155.85,25100,155.85
2014-07-21,158.70,161.00,154.00,155.05,27600,155.05
2014-07-18,155.00,160.00,153.50,158.35,17000,158.35
2014-07-17,155.00,155.00,147.05,153.40,14800,153.40
2014-07-16,165.90,167.35,159.80,161.00,22000,160.00
2014-07-15,160.00,169.00,160.00,164.35,15500,163.33
2014-07-14,154.00,159.00,152.00,156.05,7500,155.08
2014-07-11,164.85,164.85,153.25,154.65,12600,153.69
2014-07-10,163.15,166.00,155.30,160.75,16600,159.75
2014-07-09,165.50,168.00,163.10,164.05,15100,163.03
2014-07-08,176.00,176.55,166.00,168.45,20500,167.40
2014-07-07,173.95,177.50,171.00,175.65,14600,174.56
2014-07-04,174.50,174.50,170.20,171.95,13300,170.88
2014-07-03,172.00,177.00,170.30,172.90,11600,171.83
2014-07-02,166.25,172.00,166.00,169.20,21200,168.15
2014-07-01,165.00,165.80,164.00,165.50,8300,164.47
2014-06-30,166.00,166.00,162.60,164.65,20600,163.63
2014-06-27,161.15,164.80,155.50,163.75,11100,162.73
2014-06-26,160.00,160.50,158.00,159.65,8700,158.66
2014-06-25,158.00,162.50,156.95,161.00,11200,160.00
2014-06-24,152.10,158.90,152.10,157.00,4500,156.02
2014-06-23,160.50,160.50,150.90,153.95,25000,152.99
2014-06-20,160.60,162.50,158.50,158.80,6100,157.81
2014-06-19,162.90,164.00,159.60,160.60,11300,159.60
2014-06-18,162.00,163.00,160.00,160.50,7000,159.50
2014-06-17,164.35,165.00,160.00,160.85,10600,159.85
2014-06-16,161.15,164.50,156.00,160.75,9700,159.75
2014-06-13,167.80,169.70,157.55,161.15,23700,160.15
2014-06-12,157.75,163.80,156.05,163.65,14500,162.63
2014-06-11,158.00,163.05,155.00,156.00,44600,155.03
2014-06-10,150.00,155.30,148.10,155.30,11100,154.34
2014-06-09,152.00,152.00,147.50,148.00,6200,147.08
2014-06-06,148.05,150.25,147.25,148.35,5000,147.43
2014-06-05,151.50,151.50,147.00,147.95,5900,147.03
2014-06-04,148.00,150.00,146.25,149.05,5900,148.12
2014-06-03,148.65,150.00,145.00,148.00,22700,147.08
2014-06-02,149.00,150.00,144.00,146.75,4800,145.84
2014-05-30,147.00,148.90,145.00,145.40,9700,144.50
2014-05-29,148.95,150.30,142.55,146.55,11800,145.64
2014-05-28,152.80,152.80,146.80,148.80,90000,147.88
2014-05-27,134.05,147.00,134.05,145.55,13900,144.65
2014-05-26,150.00,155.50,140.70,140.70,30800,139.83
2014-05-23,141.00,148.45,141.00,148.10,31100,147.18
2014-05-22,139.90,141.40,139.00,141.40,17300,140.52
2014-05-21,126.00,134.70,126.00,134.70,13500,133.86
2014-05-20,132.00,133.80,128.00,128.30,6800,127.50
2014-05-19,130.00,130.50,130.00,130.50,6100,129.69
2014-05-16,135.00,135.00,123.50,124.30,18900,123.53
2014-05-15,124.05,130.00,122.00,128.75,15700,127.95
2014-05-14,124.00,126.10,123.00,124.75,10600,123.98
2014-05-13,117.00,122.85,115.00,122.10,10600,121.34
2014-05-12,115.05,118.15,115.05,117.00,4800,116.27
2014-05-09,115.95,117.00,111.00,112.55,5400,111.85
2014-05-08,116.85,117.00,112.00,112.10,2800,111.40
2014-05-07,111.15,116.90,111.15,113.00,900,112.30
2014-05-06,115.10,117.70,114.00,114.15,2400,113.44
2014-05-05,115.05,120.00,115.05,118.00,3000,117.27
2014-05-02,115.00,118.00,111.20,116.05,2300,115.33
2014-05-01,114.60,114.60,114.60,114.60,000,113.89
2014-04-30,119.10,120.60,114.45,114.60,4500,113.89
2014-04-29,124.00,124.00,120.00,120.45,3600,119.70
2014-04-28,120.10,121.95,117.15,120.50,5500,119.75
2014-04-25,118.00,122.00,118.00,122.00,700,121.24
2014-04-24,121.20,121.20,121.20,121.20,000,120.45
2014-04-23,123.90,124.00,121.00,121.20,1200,120.45
2014-04-22,125.00,125.00,120.30,121.10,1200,120.35
2014-04-21,126.00,127.25,119.50,119.50,1700,118.76
2014-04-18,125.70,125.70,125.70,125.70,000,124.92
2014-04-17,117.50,127.85,117.50,125.70,1700,124.92
2014-04-16,124.25,127.25,122.50,123.55,7500,122.78
2014-04-15,125.00,129.40,123.50,124.30,2600,123.53
2014-04-14,123.25,123.25,123.25,123.25,000,122.48
2014-04-11,122.00,125.00,122.00,123.25,3100,122.48
2014-04-10,126.10,130.00,125.80,125.90,3200,125.12
2014-04-09,128.50,128.50,126.00,127.90,2000,127.11
2014-04-08,127.25,127.25,127.25,127.25,000,126.46
2014-04-07,126.00,128.70,125.00,127.25,5000,126.46
2014-04-04,117.00,122.60,117.00,122.60,21100,121.84
2014-04-03,114.00,116.80,111.50,116.80,5200,116.07
2014-04-02,112.00,114.00,110.75,111.25,1300,110.56
2014-04-01,109.05,112.45,109.05,110.70,1700,110.01
2014-03-31,110.00,114.00,110.00,111.90,3000,111.20
2014-03-28,113.00,113.00,108.15,110.00,2200,109.32
2014-03-27,115.95,117.00,110.00,110.15,4700,109.47
2014-03-26,113.00,116.85,110.55,111.45,2100,110.76
2014-03-25,108.00,115.70,108.00,114.90,8400,114.19
2014-03-24,109.30,114.80,109.30,110.20,5800,109.52
2014-03-21,112.50,112.50,109.80,109.95,1700,109.27
2014-03-20,112.65,115.00,111.80,112.50,1200,111.80
2014-03-19,115.00,115.00,111.60,112.45,2000,111.75
2014-03-18,114.00,115.95,113.25,113.25,1000,112.55
2014-03-17,112.70,112.70,112.70,112.70,000,112.00
2014-03-14,116.00,116.00,112.70,112.70,2100,112.00
2014-03-13,116.30,118.60,116.15,118.60,700,117.86
2014-03-12,116.50,120.00,114.00,119.00,3500,118.26
2014-03-11,116.35,117.90,116.25,116.30,2500,115.58
2014-03-10,116.80,118.35,116.80,118.05,3200,117.32
2014-03-07,123.50,123.50,116.50,118.05,7500,117.32
2014-03-06,119.00,121.50,119.00,120.15,36000,119.40
2014-03-05,115.10,120.00,115.10,119.15,2100,118.41
2014-03-04,116.00,120.00,116.00,117.30,700,116.57
2014-03-03,120.25,124.90,118.80,120.45,5000,119.70
2014-02-28,120.00,123.50,116.30,121.20,7600,120.45
2014-02-27,123.85,123.85,123.85,123.85,000,123.08
2014-02-26,119.50,124.50,119.50,123.85,5800,123.08
2014-02-25,120.35,123.00,116.90,118.75,8600,118.01
2014-02-24,119.95,123.45,119.00,121.35,6000,120.60
2014-02-21,113.00,117.75,112.45,117.15,6500,116.42
2014-02-20,111.00,114.00,111.00,113.05,2700,112.35
2014-02-19,110.30,116.00,105.55,110.95,7100,110.26
2014-02-18,105.00,116.00,105.00,111.35,11100,110.66
2014-02-17,112.10,112.10,106.10,107.65,10900,106.98
2014-02-14,116.30,120.95,113.25,114.85,4000,114.14
2014-02-13,123.00,123.00,117.05,118.00,11300,117.27
2014-02-12,123.10,126.70,117.55,119.25,17300,118.51
2014-02-11,125.00,125.50,118.05,121.60,23500,120.84
2014-02-10,125.65,130.95,125.60,126.60,24100,120.84
2014-02-07,128.50,130.00,125.00,127.65,20500,121.85
2014-02-06,126.00,134.00,124.50,126.20,57300,120.46
2014-02-05,115.95,123.55,115.75,123.55,73300,117.93
2014-02-04,104.95,117.35,103.90,112.35,66700,107.24
2014-02-03,105.00,108.45,98.00,106.90,84600,102.04
2014-01-31,95.00,102.60,95.00,98.50,47100,94.02
2014-01-30,93.00,103.45,91.05,93.70,49000,89.44
2014-01-29,79.10,94.90,79.10,94.90,51400,90.59
2014-01-28,83.45,83.45,75.00,79.10,2600,75.50
