Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,32.00,32.55,28.00,28.55,11400,28.55
2014-12-22,32.00,32.35,29.50,29.70,4300,29.70
2014-12-19,34.55,34.55,30.75,31.00,14900,31.00
2014-12-18,34.50,36.00,32.00,33.35,23900,33.35
2014-12-17,33.50,34.00,30.00,33.50,8700,33.50
2014-12-16,32.35,32.95,30.20,32.55,5300,32.55
2014-12-15,26.60,30.60,26.60,30.60,8800,30.60
2014-12-12,25.75,29.30,25.75,27.85,3600,27.85
2014-12-11,28.50,28.50,25.60,28.10,000,28.10
2014-12-10,26.05,27.80,25.25,27.05,800,27.05
2014-12-09,26.30,28.90,26.20,26.20,600,26.20
2014-12-08,29.00,29.00,26.10,28.00,700,28.00
2014-12-05,29.90,29.90,26.90,27.15,4700,27.15
2014-12-04,28.50,30.60,28.40,29.70,2800,29.70
2014-12-03,30.45,30.95,29.85,29.85,5900,29.85
2014-12-02,33.85,33.85,31.40,31.40,4100,31.40
2014-12-01,34.00,34.50,32.45,32.95,8300,32.95
2014-11-28,35.40,35.70,32.70,34.15,10600,34.15
2014-11-27,34.00,36.00,32.95,34.05,16100,34.05
2014-11-26,34.65,34.70,33.10,34.55,13800,34.55
2014-11-25,32.95,33.05,32.50,33.05,18600,33.05
2014-11-24,31.00,31.50,29.50,31.50,12300,31.50
2014-11-21,30.00,30.00,29.50,30.00,7000,30.00
2014-11-20,27.60,28.80,27.60,28.60,8600,28.60
2014-11-19,26.80,27.50,26.50,27.45,4100,27.45
2014-11-18,27.10,27.60,26.75,26.95,4800,26.95
2014-11-17,27.20,27.60,27.20,27.60,400,27.60
2014-11-14,27.00,27.65,27.00,27.55,8200,27.55
2014-11-13,27.70,27.70,26.00,27.00,4000,27.00
2014-11-12,26.90,26.90,26.50,26.70,6400,26.70
2014-11-11,25.50,26.75,25.10,26.70,700,26.70
2014-11-10,25.35,26.40,25.00,26.05,3500,26.05
2014-11-07,26.80,26.80,24.70,26.10,8400,26.10
2014-11-06,25.60,25.60,25.60,25.60,000,25.60
2014-11-05,25.05,26.75,25.05,25.50,8300,25.50
2014-11-04,26.10,26.10,26.10,26.10,000,26.10
2014-11-03,24.90,26.50,24.70,26.10,2400,26.10
2014-10-31,26.00,26.00,26.00,26.00,000,26.00
2014-10-30,25.00,26.70,24.25,26.00,1700,26.00
2014-10-29,25.00,25.50,24.05,25.50,100,25.50
2014-10-28,25.00,25.50,25.00,25.25,1500,25.25
2014-10-27,26.15,26.15,26.15,26.15,000,26.15
2014-10-24,26.15,26.15,26.15,26.15,000,26.15
2014-10-23,26.15,26.15,26.15,26.15,000,26.15
2014-10-22,26.40,26.40,25.05,26.15,800,26.15
2014-10-21,26.50,26.50,24.45,26.00,1800,26.00
2014-10-20,27.40,27.45,25.05,25.30,1600,25.30
2014-10-17,24.75,26.55,24.75,26.35,900,26.35
2014-10-16,25.70,25.80,23.60,25.70,1800,25.70
2014-10-15,24.60,24.60,24.60,24.60,000,24.60
2014-10-14,25.50,25.85,24.50,24.60,000,24.60
2014-10-13,25.60,25.60,25.60,25.60,500,25.60
2014-10-10,25.40,25.50,25.25,25.40,700,25.40
2014-10-09,24.25,26.10,24.25,24.50,3100,24.50
2014-10-08,26.00,26.40,25.15,25.20,5100,25.20
2014-10-07,26.45,26.45,26.00,26.45,3900,26.45
2014-10-06,25.20,25.20,25.20,25.20,000,25.20
2014-10-03,25.20,25.20,25.20,25.20,000,25.20
2014-10-02,25.20,25.20,25.20,25.20,000,25.20
2014-10-01,25.20,25.20,25.20,25.20,3600,25.20
2014-09-30,23.40,24.00,22.00,24.00,2200,24.00
2014-09-29,25.00,25.00,22.90,22.90,1700,22.90
2014-09-26,24.65,24.70,23.50,24.10,100,24.10
2014-09-25,25.10,26.00,24.70,24.70,200,24.70
2014-09-24,26.45,26.45,26.00,26.00,100,26.00
2014-09-23,28.00,28.00,26.40,26.45,300,26.45
2014-09-22,27.40,27.40,27.40,27.40,200,27.40
2014-09-19,28.00,28.80,27.05,27.60,3400,27.60
2014-09-18,28.50,28.50,27.25,27.45,1500,27.45
2014-09-17,29.35,29.50,26.70,27.15,2800,27.15
2014-09-16,28.10,28.10,26.20,28.10,1900,28.10
2014-09-15,26.80,26.80,26.80,26.80,200,26.80
2014-09-12,25.40,25.55,25.00,25.55,4200,25.55
2014-09-11,24.50,24.50,22.50,24.35,1300,24.35
2014-09-10,23.50,23.55,23.00,23.50,1300,23.50
2014-09-09,20.40,22.50,20.40,22.45,2600,22.45
2014-09-08,22.10,22.10,21.45,21.45,2400,21.45
2014-09-05,21.70,23.00,21.70,22.55,800,22.55
2014-09-04,22.80,23.20,22.80,22.80,1000,22.80
2014-09-03,23.70,23.90,23.25,23.25,300,23.25
2014-09-02,24.35,24.55,23.70,23.70,200,23.70
2014-09-01,24.15,25.00,24.15,24.15,300,24.15
2014-08-29,24.60,24.60,24.60,24.60,000,24.60
2014-08-28,24.60,24.60,24.60,24.60,100,24.60
2014-08-27,25.10,25.10,25.10,25.10,1000,25.10
2014-08-26,26.60,26.60,25.60,25.60,700,25.60
2014-08-25,26.10,26.10,26.10,26.10,3500,26.10
2014-08-22,25.60,25.60,25.60,25.60,100,25.60
2014-08-21,25.10,25.10,25.10,25.10,2600,25.10
2014-08-20,24.65,24.65,24.65,24.65,400,24.65
2014-08-19,23.50,24.20,23.50,24.20,2000,24.20
2014-08-18,22.85,23.75,22.85,23.75,2800,23.75
2014-08-15,23.30,23.30,23.30,23.30,000,23.30
2014-08-14,23.30,23.30,23.30,23.30,100,23.30
2014-08-13,23.75,23.75,23.75,23.75,100,23.75
2014-08-12,24.20,24.20,24.20,24.20,400,24.20
2014-08-11,24.65,24.65,24.65,24.65,100,24.65
2014-08-08,25.15,25.15,25.15,25.15,000,25.15
2014-08-07,25.65,25.65,25.65,25.65,000,25.65
2014-08-06,26.15,26.15,26.15,26.15,100,26.15
2014-08-05,26.65,26.65,26.65,26.65,400,26.65
2014-08-04,27.15,27.15,27.15,27.15,1500,27.15
2014-08-01,27.70,27.75,27.70,27.70,200,27.70
2014-07-31,28.25,28.25,28.25,28.25,000,28.25
2014-07-30,28.80,28.80,28.80,28.80,200,28.80
2014-07-29,29.35,29.35,29.35,29.35,000,29.35
2014-07-28,29.35,29.35,29.35,29.35,000,29.35
2014-07-25,29.90,29.90,29.90,29.90,000,29.90
2014-07-24,30.50,30.50,30.50,30.50,200,30.50
2014-07-23,31.10,31.10,31.10,31.10,000,31.10
2014-07-22,31.70,31.70,31.70,31.70,100,31.70
2014-07-21,32.30,32.30,32.30,32.30,500,32.30
2014-07-18,32.95,32.95,32.95,32.95,100,32.95
2014-07-17,33.60,33.60,33.60,33.60,100,33.60
2014-07-16,34.25,34.25,34.25,34.25,000,34.25
2014-07-15,34.90,34.90,34.90,34.90,300,34.90
2014-07-14,35.60,35.60,35.60,35.60,400,35.60
2014-07-11,36.30,36.30,36.30,36.30,000,36.30
2014-07-10,37.00,37.00,37.00,37.00,000,37.00
2014-07-09,37.75,37.75,37.75,37.75,200,37.75
2014-07-08,38.50,38.50,38.50,38.50,300,38.50
2014-07-07,39.25,39.25,39.25,39.25,400,39.25
2014-07-04,40.05,40.05,40.05,40.05,200,40.05
2014-07-03,40.85,40.85,40.85,40.85,100,40.85
2014-07-02,41.65,41.65,41.65,41.65,000,41.65
2014-07-01,42.50,42.50,42.50,42.50,600,42.50
2014-06-30,43.35,43.35,43.35,43.35,100,43.35
2014-06-27,44.20,44.20,44.20,44.20,200,44.20
2014-06-26,45.10,45.10,45.10,45.10,100,45.10
2014-06-25,46.00,46.00,46.00,46.00,000,46.00
2014-06-24,46.90,46.90,46.90,46.90,100,46.90
2014-06-23,47.85,47.85,47.85,47.85,000,47.85
2014-06-20,48.80,48.80,48.80,48.80,100,48.80
2014-06-19,49.75,49.75,49.75,49.75,000,49.75
2014-06-18,50.75,50.75,50.75,50.75,000,50.75
2014-06-17,51.75,51.75,51.75,51.75,000,51.75
2014-06-16,52.80,52.80,52.80,52.80,000,52.80
2014-06-13,53.85,53.85,53.85,53.85,000,53.85
2014-06-12,54.90,54.90,54.90,54.90,000,54.90
2014-06-11,56.00,56.00,56.00,56.00,200,56.00
2014-06-10,57.10,57.10,57.10,57.10,100,57.10
2014-06-09,58.25,58.25,58.25,58.25,000,58.25
2014-06-06,59.40,59.40,59.40,59.40,500,59.40
2014-06-05,60.60,60.60,60.60,60.60,000,60.60
2014-06-04,61.80,61.80,61.80,61.80,100,61.80
2014-06-03,63.05,63.05,63.05,63.05,100,63.05
2014-06-02,64.30,64.30,64.30,64.30,000,64.30
2014-05-30,65.60,65.60,65.60,65.60,000,65.60
2014-05-29,66.90,66.90,66.90,66.90,500,66.90
2014-05-28,68.25,68.25,68.25,68.25,000,68.25
2014-05-27,69.60,69.60,69.60,69.60,000,69.60
2014-05-26,71.00,71.00,71.00,71.00,000,71.00
2014-05-23,72.40,72.40,72.40,72.40,100,72.40
2014-05-22,73.85,73.85,73.85,73.85,000,73.85
2014-05-21,75.35,75.35,75.35,75.35,100,75.35
2014-05-20,76.85,76.85,76.85,76.85,000,76.85
2014-05-19,78.40,78.40,78.40,78.40,000,78.40
2014-05-16,78.40,78.40,78.40,78.40,000,78.40
2014-05-15,80.00,80.00,80.00,80.00,000,80.00
2014-05-14,81.60,81.60,81.60,81.60,000,81.60
2014-05-13,83.25,83.25,83.25,83.25,000,83.25
2014-05-12,84.90,84.90,84.90,84.90,000,84.90
