Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,32.80,32.80,28.10,29.55,100,29.55
2014-12-22,31.10,31.10,28.10,28.55,1100,28.55
2014-12-19,34.45,34.45,27.20,29.20,2900,29.20
2014-12-18,31.40,31.40,28.50,28.95,400,28.95
2014-12-17,30.00,30.00,27.55,30.00,100,30.00
2014-12-16,28.95,29.80,26.00,26.15,1900,26.15
2014-12-15,28.35,28.70,27.75,28.15,1400,28.15
2014-12-12,30.00,30.00,29.00,29.00,2000,29.00
2014-12-11,27.05,30.30,27.05,29.50,400,29.50
2014-12-10,28.50,30.90,28.50,30.00,100,30.00
2014-12-09,31.80,31.80,29.50,29.50,2000,29.50
2014-12-08,33.55,33.55,29.25,30.70,3600,30.70
2014-12-05,31.50,33.95,30.10,31.35,9800,31.35
2014-12-04,31.95,31.95,28.40,31.40,2700,31.40
2014-12-03,30.00,30.90,28.50,30.75,1600,30.75
2014-12-02,30.90,30.90,27.80,28.75,500,28.75
2014-12-01,27.75,32.00,27.75,31.00,1000,31.00
2014-11-28,29.30,30.00,29.25,30.00,2200,30.00
2014-11-27,28.05,31.25,28.05,29.60,1300,29.60
2014-11-26,31.00,31.00,30.95,31.00,000,31.00
2014-11-25,31.50,31.50,28.90,29.15,000,29.15
2014-11-24,28.90,31.65,28.90,31.50,600,31.50
2014-11-21,29.75,31.70,29.75,30.00,17200,30.00
2014-11-20,29.15,31.20,28.50,30.90,6900,30.90
2014-11-19,32.65,32.65,32.00,32.00,000,32.00
2014-11-18,32.30,32.30,31.00,31.00,1300,31.00
2014-11-17,31.00,32.35,29.10,29.40,1800,29.40
2014-11-14,30.70,34.40,30.60,30.60,500,30.60
2014-11-13,35.25,35.25,31.35,31.60,500,31.60
2014-11-12,33.50,33.50,31.50,31.50,600,31.50
2014-11-11,33.60,33.60,33.25,33.40,400,33.40
2014-11-10,33.90,33.95,33.90,33.90,300,33.90
2014-11-07,34.00,34.00,34.00,34.00,000,34.00
2014-11-06,34.00,34.00,34.00,34.00,000,34.00
2014-11-05,36.70,36.70,32.40,34.00,1000,34.00
