Date,Open,High,Low,Close,Volume,Adj Close
2014-10-21,164.00,168.87,163.80,167.78,128700,33.56
2014-10-20,810.00,830.00,801.00,821.65,17100,164.33
2014-10-17,800.50,810.00,800.50,808.05,20200,161.61
2014-10-16,810.00,815.00,796.00,800.30,24100,160.06
2014-10-15,805.00,805.00,805.00,805.00,000,161.00
2014-10-14,810.00,810.00,801.00,805.00,10200,161.00
2014-10-13,810.00,810.00,802.00,803.70,17400,160.74
2014-10-10,795.00,800.00,795.00,797.55,10700,159.51
2014-10-09,4000.50,4003.00,4000.50,4001.75,1200,800.35
2014-10-08,3975.00,4000.00,3970.00,3985.75,20200,797.15
2014-10-07,3900.00,3970.00,3900.00,3970.00,21200,794.00
2014-10-06,3909.00,3909.00,3909.00,3909.00,000,781.80
2014-10-03,3909.00,3909.00,3909.00,3909.00,000,781.80
2014-10-02,3909.00,3909.00,3909.00,3909.00,000,781.80
2014-10-01,3900.00,3925.00,3890.00,3909.00,32300,781.80
2014-09-30,3900.00,3930.00,3900.00,3911.25,16500,782.25
2014-09-29,3902.50,3969.50,3890.00,3908.50,14500,781.70
2014-09-26,3900.25,3910.00,3875.00,3908.75,19100,781.75
2014-09-25,3902.50,3960.00,3875.00,3907.00,26600,781.40
2014-09-24,3900.00,3945.00,3895.00,3937.75,26700,787.55
2014-09-23,3900.00,3990.00,3885.00,3950.75,27200,790.15
2014-09-22,3950.00,3967.50,3875.25,3921.75,33800,784.35
2014-09-19,3950.00,4000.00,3900.00,3949.00,21600,789.80
2014-09-18,3975.00,4000.00,3925.00,3984.50,21400,796.90
2014-09-17,3950.00,3997.50,3950.00,3996.00,20800,799.20
2014-09-16,3975.00,3990.00,3957.50,3970.00,20400,794.00
2014-09-15,3960.00,3985.00,3950.00,3985.00,11700,797.00
2014-09-12,3965.00,3980.00,3965.00,3971.50,11300,794.30
2014-09-11,3990.00,3996.50,3970.25,3981.00,21400,796.20
2014-09-10,3992.50,4000.50,3970.00,3976.50,30700,795.30
2014-09-09,4010.00,4010.00,3950.00,3990.75,25400,798.15
2014-09-08,4025.00,4050.00,3995.00,4026.25,27200,805.25
2014-09-05,4050.00,4065.00,4030.00,4045.00,25500,809.00
2014-09-04,4025.25,4040.00,4025.00,4030.25,35700,806.05
2014-09-03,4025.00,4026.25,4005.00,4025.00,34600,805.00
2014-09-02,4000.25,4025.50,4000.25,4023.50,9600,804.70
2014-09-01,4000.00,4025.50,4000.00,4025.25,32300,805.05
2014-08-29,3984.50,3984.50,3984.50,3984.50,000,796.90
2014-08-28,3975.00,4050.00,3970.00,3984.50,26800,796.90
2014-08-27,3985.00,4000.00,3975.00,3994.50,17200,798.90
2014-08-26,3969.75,3987.50,3969.75,3986.00,22300,797.20
2014-08-25,3970.00,3985.00,3950.00,3972.50,23000,794.50
2014-08-22,3950.00,3952.50,3925.00,3952.50,10000,790.50
2014-08-21,3900.00,3925.00,3830.00,3918.75,21500,783.75
2014-08-20,3875.00,3900.00,3800.50,3879.75,18400,775.95
2014-08-19,3850.00,3862.50,3848.50,3855.00,17000,771.00
2014-08-18,3850.00,3875.00,3810.00,3875.00,14000,775.00
2014-08-15,3825.25,3825.25,3825.25,3825.25,000,765.05
2014-08-14,3820.00,3865.00,3800.00,3825.25,11100,765.05
2014-08-13,3708.75,3900.00,3708.75,3792.75,11900,758.55
2014-08-12,3705.00,3730.00,3695.00,3708.00,11100,741.60
2014-08-11,3709.50,3725.00,3709.00,3725.00,28300,745.00
2014-08-08,3675.00,3682.50,3600.50,3681.75,23000,736.35
2014-08-07,3715.00,3715.00,3675.00,3699.00,33900,739.80
2014-08-06,3675.00,3682.50,3673.75,3681.50,34400,736.30
2014-08-05,3650.00,3700.00,3640.00,3646.50,24800,729.30
2014-08-04,3597.50,3625.00,3597.50,3613.25,26200,722.65
2014-08-01,3080.25,3625.00,3080.25,3605.25,5900,721.05
2014-07-31,3600.00,3600.00,3570.00,3577.50,20000,715.50
2014-07-30,3519.75,3625.00,3500.25,3550.25,36100,710.05
2014-07-29,3502.75,3502.75,3502.75,3502.75,000,700.55
2014-07-28,3500.00,3525.00,3475.00,3502.75,42100,700.55
2014-07-25,3522.25,3545.00,3500.00,3545.00,37900,709.00
2014-07-24,3535.00,3580.00,3465.00,3557.25,22800,711.45
2014-07-23,3604.75,3605.00,3524.75,3550.00,25800,710.00
2014-07-22,3600.00,3605.00,3590.00,3602.00,32600,720.40
2014-07-21,3650.00,3670.00,3600.00,3605.25,26500,721.05
2014-07-18,3625.00,3658.75,3500.50,3624.50,18000,724.90
2014-07-17,3700.00,3700.00,3600.00,3614.25,1200,722.85
2014-07-16,3674.75,3690.00,3669.75,3690.00,22200,738.00
2014-07-15,3755.00,3790.00,3625.00,3682.75,16400,736.55
2014-07-14,3850.00,3850.00,3750.00,3812.75,12500,762.55
2014-07-11,3800.00,3800.00,3770.00,3794.75,2200,758.95
2014-07-10,3799.75,3799.75,3774.50,3790.00,4300,758.00
2014-07-09,3217.25,3800.00,3217.25,3770.75,7500,754.15
2014-07-08,3825.00,3825.00,3750.00,3787.75,9400,757.55
2014-07-07,3900.00,3900.00,3810.00,3841.75,22200,768.35
2014-07-04,3800.00,3950.00,3800.00,3848.50,6400,769.70
2014-07-03,3825.00,3860.00,3800.50,3860.00,6300,772.00
2014-07-02,3825.00,3845.00,3790.00,3822.75,20400,764.55
2014-07-01,3750.00,3850.00,3750.00,3817.75,13800,763.55
2014-06-30,3925.00,3950.00,3875.00,3886.50,800,777.30
2014-06-27,3900.00,3924.50,3885.00,3900.50,10900,780.10
2014-06-26,3800.00,3900.00,3750.00,3832.00,8800,766.40
2014-06-25,3800.00,3800.00,3760.00,3769.50,4600,753.90
2014-06-24,3850.00,3900.00,3750.00,3805.25,23500,761.05
2014-06-23,3900.00,3915.00,3830.00,3851.00,35900,770.20
2014-06-20,3855.00,3890.00,3835.00,3880.00,17400,776.00
2014-06-19,3880.00,3920.00,3800.00,3905.50,10000,781.10
2014-06-18,3900.00,3920.00,3850.00,3873.50,22200,774.70
2014-06-17,3900.00,3925.00,3755.25,3903.00,24700,780.60
2014-06-16,3900.00,3940.00,3899.50,3937.25,39000,787.45
2014-06-13,3950.00,3950.00,3900.00,3926.00,44300,785.20
2014-06-12,3950.00,3975.00,3900.00,3931.50,26700,786.30
2014-06-11,4240.00,4400.00,3950.00,3977.25,34700,795.45
2014-06-10,4000.00,4020.00,3915.00,3999.50,41600,799.90
2014-06-09,4175.00,4175.00,3875.00,3999.50,30500,799.90
2014-06-06,4149.75,4180.00,4115.00,4128.50,21200,825.70
2014-06-05,4150.00,4200.00,4130.00,4149.75,19100,829.95
2014-06-04,4150.00,4175.00,4125.00,4143.25,20900,828.65
2014-06-03,4125.00,4200.00,4110.25,4133.25,20400,826.65
2014-06-02,4100.00,4249.75,4095.00,4131.00,43600,826.20
2014-05-30,3855.00,4375.00,3851.25,4126.50,74800,825.30
2014-05-29,3850.00,3875.00,3837.50,3850.00,42700,770.00
