Date,Open,High,Low,Close,Volume,Adj Close
2014-12-17,215.90,218.89,208.43,217.16,1096000,43.43
2014-12-16,1094.80,1105.60,1053.55,1071.50,185600,214.30
2014-12-15,1095.00,1118.20,1085.30,1096.45,143900,219.29
2014-12-12,1105.05,1131.40,1089.05,1095.95,134600,219.19
2014-12-11,1112.00,1125.00,1085.50,1101.65,132400,220.33
2014-12-10,1086.00,1115.00,1085.00,1108.05,262700,221.61
2014-12-09,1108.60,1114.00,1080.15,1085.80,94200,217.16
2014-12-08,1120.00,1135.60,1103.05,1109.15,119100,221.83
2014-12-05,1096.00,1128.35,1089.00,1121.00,249200,224.20
2014-12-04,1093.00,1105.65,1078.35,1094.90,246000,218.98
2014-12-03,1090.00,1113.65,1087.75,1092.80,120100,218.56
2014-12-02,1079.90,1115.75,1064.00,1096.00,290200,219.20
2014-12-01,1070.00,1095.00,1062.10,1079.80,130300,215.96
2014-11-28,1005.10,1085.00,1004.90,1076.95,381000,215.39
2014-11-27,4810.00,5025.00,4810.00,4989.50,135000,997.90
2014-11-26,4817.50,4870.25,4767.25,4854.25,98800,970.85
2014-11-25,4940.00,4940.00,4777.25,4822.25,80100,964.45
2014-11-24,4925.00,4970.00,4875.50,4932.00,104100,986.40
2014-11-21,4768.50,4932.00,4755.00,4889.25,133900,977.85
2014-11-20,4823.50,4838.00,4727.75,4752.00,88200,950.40
2014-11-19,4947.50,4947.50,4768.75,4813.75,85500,962.75
2014-11-18,4850.00,4977.50,4850.00,4919.75,172500,983.95
2014-11-17,4675.00,4835.00,4673.75,4819.25,111500,963.85
2014-11-14,4675.00,4766.00,4665.00,4694.75,74600,938.95
2014-11-13,4775.00,4810.00,4650.00,4672.75,85800,934.55
2014-11-12,4750.00,4850.00,4740.25,4763.25,135500,952.65
2014-11-11,4625.00,4788.50,4619.50,4769.00,114300,953.80
2014-11-10,4711.25,4764.00,4602.75,4614.50,79000,922.90
2014-11-07,4745.00,4767.25,4662.00,4697.25,59600,939.45
2014-11-06,4746.00,4746.00,4746.00,4746.00,000,949.20
2014-11-05,4750.00,4804.00,4720.00,4746.00,118200,949.20
2014-11-04,4744.50,4744.50,4744.50,4744.50,000,948.90
2014-11-03,4660.00,4787.00,4635.00,4744.50,126500,948.90
2014-10-31,4585.00,4673.25,4585.00,4653.50,89000,930.70
2014-10-30,4550.00,4594.50,4477.50,4576.75,124500,915.35
2014-10-29,4630.00,4641.75,4502.50,4521.75,120200,904.35
2014-10-28,4662.50,4692.00,4594.75,4604.00,75300,920.80
2014-10-27,4673.00,4727.50,4635.00,4653.50,84800,930.70
2014-10-24,4658.25,4658.25,4658.25,4658.25,000,931.65
2014-10-23,4658.25,4658.25,4658.25,4658.25,000,931.65
2014-10-22,4690.00,4711.25,4604.50,4658.25,120300,931.65
2014-10-21,4821.25,4876.75,4593.50,4657.50,528800,931.50
2014-10-20,4650.00,4815.00,4650.00,4782.00,109300,956.40
2014-10-17,4575.00,4653.25,4575.00,4596.50,95600,919.30
2014-10-16,4590.00,4668.50,4568.50,4589.00,170600,917.80
2014-10-15,4627.00,4627.00,4627.00,4627.00,000,925.40
2014-10-14,4600.00,4654.75,4557.00,4627.00,137100,925.40
2014-10-13,4475.00,4608.00,4445.00,4588.75,87900,917.75
2014-10-10,4510.00,4530.00,4402.50,4498.75,94300,899.75
2014-10-09,4450.00,4540.00,4431.00,4518.25,74100,903.65
2014-10-08,4400.00,4455.00,4358.50,4409.25,128400,881.85
2014-10-07,4400.00,4428.00,4338.00,4377.50,162500,875.50
2014-10-06,4408.50,4408.50,4408.50,4408.50,000,881.70
2014-10-03,4408.50,4408.50,4408.50,4408.50,000,881.70
2014-10-02,4408.50,4408.50,4408.50,4408.50,000,881.70
2014-10-01,4435.50,4439.50,4351.00,4408.50,93700,881.70
2014-09-30,4430.00,4487.00,4385.25,4436.50,115600,887.30
2014-09-29,4500.00,4510.00,4378.25,4422.00,99400,884.40
2014-09-26,4345.00,4550.00,4187.50,4478.50,312800,895.70
2014-09-25,4625.00,4625.00,4331.00,4348.25,217100,869.65
2014-09-24,4863.75,4863.75,4570.50,4633.75,147800,926.75
2014-09-23,4962.75,4982.25,4815.00,4841.00,83100,968.20
2014-09-22,4906.25,4979.50,4882.50,4947.25,79000,989.45
2014-09-19,4967.50,4994.00,4860.00,4884.25,62500,976.85
2014-09-18,4850.00,4974.00,4795.25,4958.00,89500,991.60
2014-09-17,4871.75,4871.75,4762.00,4838.00,83400,967.60
2014-09-16,5000.00,5030.00,4777.75,4812.50,95300,962.50
2014-09-15,4899.75,5047.75,4854.50,4993.25,147700,998.65
2014-09-12,4845.00,4937.50,4795.00,4921.50,120800,984.30
2014-09-11,4775.00,4863.50,4775.00,4826.00,88600,965.20
2014-09-10,4770.00,4778.50,4693.00,4756.50,63400,951.30
2014-09-09,4750.00,4785.00,4685.00,4762.75,74300,952.55
2014-09-08,4710.00,4740.00,4670.00,4727.25,63800,945.45
2014-09-05,4722.50,4771.75,4665.25,4678.75,86800,935.75
2014-09-04,4792.75,4792.75,4677.25,4716.75,108700,943.35
2014-09-03,4845.00,4887.75,4793.50,4803.50,84100,960.70
2014-09-02,4894.25,4925.00,4828.50,4846.50,128400,969.30
2014-09-01,4750.00,4910.00,4750.00,4876.25,94300,975.25
2014-08-29,4730.00,4730.00,4730.00,4730.00,000,946.00
2014-08-28,4820.00,4822.75,4681.00,4730.00,60500,946.00
2014-08-27,4830.00,4850.00,4777.00,4812.00,72000,962.40
2014-08-26,4790.00,4790.00,4696.25,4765.75,94600,953.15
2014-08-25,4890.00,4980.00,4789.25,4817.75,96100,963.55
2014-08-22,4850.00,4978.50,4850.00,4922.00,169200,984.40
2014-08-21,4650.00,4857.00,4625.00,4822.75,160200,964.55
2014-08-20,4686.25,4686.25,4599.50,4652.00,77100,930.40
2014-08-19,4650.00,4690.00,4590.00,4684.00,99500,936.80
2014-08-18,4550.00,4625.00,4528.50,4605.00,65600,921.00
2014-08-15,4548.00,4548.00,4548.00,4548.00,000,909.60
2014-08-14,4545.00,4574.75,4490.00,4548.00,78100,909.60
2014-08-13,4575.00,4587.25,4435.00,4539.50,189200,907.90
2014-08-12,4610.00,4616.75,4556.50,4596.00,80000,919.20
2014-08-11,4570.00,4596.00,4535.00,4581.25,80800,916.25
2014-08-08,4599.50,4599.50,4500.00,4514.50,98700,902.90
2014-08-07,4745.00,4780.00,4615.50,4630.75,144700,926.15
