Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,11.62,11.62,11.62,11.62,000,11.62
2014-12-22,12.23,12.23,12.23,12.23,000,12.23
2014-12-19,12.87,12.87,12.87,12.87,000,12.87
2014-12-18,13.54,13.54,13.54,13.54,000,13.54
2014-12-17,13.54,13.54,13.54,13.54,000,13.54
2014-12-16,14.25,14.25,14.25,14.25,000,14.25
2014-12-15,13.58,14.88,13.58,14.87,100,14.87
2014-12-12,14.28,14.28,14.28,14.28,000,14.28
2014-12-11,13.60,13.60,13.60,13.60,000,13.60
2014-12-10,12.96,12.96,12.96,12.96,1000,12.96
2014-12-09,12.35,12.35,12.35,12.35,000,12.35
2014-12-08,10.65,11.77,10.65,11.77,700,11.77
2014-12-05,11.21,11.21,11.21,11.21,000,11.21
2014-12-04,10.68,11.80,10.68,11.80,300,11.80
2014-12-03,11.24,11.24,11.24,11.24,000,11.24
2014-12-02,11.83,11.83,11.83,11.83,000,11.83
2014-12-01,12.45,12.45,12.45,12.45,000,12.45
2014-11-28,13.00,13.10,13.00,13.10,300,13.10
2014-11-27,15.10,15.10,13.68,13.68,000,13.68
2014-11-26,14.39,14.39,14.39,14.39,000,14.39
2014-11-25,13.71,13.71,13.71,13.71,000,13.71
2014-11-24,13.06,13.06,13.06,13.06,200,13.06
2014-11-21,12.44,12.44,12.44,12.44,000,12.44
2014-11-20,11.85,11.85,11.85,11.85,100,11.85
2014-11-19,11.29,11.29,11.29,11.29,100,11.29
2014-11-18,10.76,10.76,10.76,10.76,300,10.76
2014-11-17,10.25,10.25,10.25,10.25,000,10.25
2014-11-14,10.25,10.25,10.25,10.25,000,10.25
2014-11-13,10.78,10.78,10.78,10.78,000,10.78
2014-11-12,11.34,11.34,11.34,11.34,000,11.34
2014-11-11,11.34,11.34,11.34,11.34,000,11.34
2014-11-10,11.34,11.34,11.34,11.34,000,11.34
2014-11-07,10.80,10.80,10.80,10.80,000,10.80
2014-11-06,11.36,11.36,11.36,11.36,000,11.36
2014-11-05,11.36,11.36,11.36,11.36,000,11.36
2014-11-04,11.95,11.95,11.95,11.95,000,11.95
2014-11-03,11.95,11.95,11.95,11.95,000,11.95
2014-10-31,11.95,11.95,11.95,11.95,000,11.95
2014-10-30,12.55,12.55,12.55,12.55,000,12.55
2014-10-29,14.50,14.50,13.20,13.20,000,13.20
2014-10-28,13.85,13.85,13.85,13.85,000,13.85
2014-10-27,13.20,13.20,13.20,13.20,000,13.20
2014-10-24,12.60,12.60,12.60,12.60,000,12.60
2014-10-23,12.60,12.60,12.60,12.60,000,12.60
2014-10-22,11.40,12.60,11.40,12.60,100,12.60
2014-10-21,12.00,12.00,12.00,12.00,000,12.00
2014-10-20,12.60,12.60,12.60,12.60,000,12.60
2014-10-17,12.50,12.50,12.50,12.50,000,12.50
2014-10-16,13.15,13.15,13.15,13.15,000,13.15
2014-10-15,13.80,13.80,13.80,13.80,000,13.80
2014-10-14,13.80,15.20,13.80,13.80,200,13.80
2014-10-13,15.20,15.20,14.50,14.50,000,14.50
2014-10-10,13.65,14.50,13.65,14.50,000,14.50
2014-10-09,14.35,15.85,14.35,14.35,000,14.35
2014-10-08,13.85,15.25,13.85,15.10,000,15.10
2014-10-07,14.55,15.50,14.55,14.55,000,14.55
2014-10-06,15.30,15.30,15.30,15.30,000,15.30
2014-10-03,15.30,15.30,15.30,15.30,000,15.30
2014-10-02,15.30,15.30,15.30,15.30,000,15.30
2014-10-01,16.90,16.90,15.30,15.30,100,15.30
2014-09-30,16.95,16.95,15.35,16.10,000,16.10
2014-09-29,16.15,16.15,14.65,16.15,100,16.15
2014-09-26,15.40,15.40,14.00,15.40,000,15.40
2014-09-25,14.70,14.70,14.70,14.70,000,14.70
2014-09-24,12.70,14.00,12.70,14.00,4500,14.00
2014-09-23,13.40,14.75,13.35,13.35,1300,13.35
2014-09-22,14.05,14.05,14.05,14.05,000,14.05
2014-09-19,14.30,14.65,14.30,14.65,1100,14.65
2014-09-18,15.50,16.25,14.75,15.00,1300,15.00
2014-09-17,15.50,15.50,15.50,15.50,000,15.50
2014-09-16,15.70,15.70,14.35,15.20,000,15.20
2014-09-15,14.80,15.00,14.80,15.00,200,15.00
2014-09-12,15.40,15.40,15.30,15.40,100,15.40
2014-09-11,14.70,14.70,14.70,14.70,300,14.70
2014-09-10,14.00,14.00,14.00,14.00,000,14.00
2014-09-09,12.15,13.35,12.15,13.35,1000,13.35
2014-09-08,12.75,12.75,12.75,12.75,000,12.75
2014-09-05,13.40,13.40,13.40,13.40,000,13.40
2014-09-04,13.35,13.35,13.35,13.35,000,13.35
2014-09-03,14.10,14.10,14.05,14.05,500,14.05
2014-09-02,14.05,14.05,14.05,14.05,000,14.05
2014-09-01,14.05,14.05,14.05,14.05,000,14.05
2014-08-29,14.75,14.75,14.75,14.75,000,14.75
2014-08-28,14.75,14.75,14.75,14.75,000,14.75
2014-08-27,14.75,14.75,14.75,14.75,000,14.75
2014-08-26,15.50,15.50,15.50,15.50,000,15.50
2014-08-25,16.30,16.30,16.30,16.30,000,16.30
2014-08-22,17.15,17.15,17.15,17.15,000,17.15
2014-08-21,18.05,18.05,18.05,18.05,000,18.05
2014-08-20,19.00,19.00,17.20,19.00,800,19.00
2014-08-19,18.10,18.10,16.40,18.10,100,18.10
2014-08-18,17.25,17.25,17.25,17.25,000,17.25
2014-08-15,16.45,16.45,16.45,16.45,000,16.45
2014-08-14,16.45,16.45,16.45,16.45,000,16.45
2014-08-13,16.20,16.20,15.70,15.70,000,15.70
2014-08-12,14.05,15.45,14.05,15.45,000,15.45
2014-08-11,14.70,16.20,14.70,14.75,400,14.75
2014-08-08,15.45,15.45,15.45,15.45,000,15.45
2014-08-07,16.25,16.25,16.25,16.25,000,16.25
2014-08-06,18.00,18.90,17.10,17.10,400,17.10
2014-08-05,18.25,18.25,18.00,18.00,200,18.00
2014-08-04,17.40,17.40,15.80,17.40,200,17.40
2014-08-01,16.60,16.60,16.60,16.60,000,16.60
2014-07-31,14.35,15.85,14.35,15.85,500,15.85
2014-07-30,15.10,15.10,15.10,15.10,100,15.10
2014-07-29,15.85,15.85,15.85,15.85,000,15.85
2014-07-28,15.85,15.85,15.85,15.85,000,15.85
2014-07-25,15.85,15.85,15.85,15.85,000,15.85
2014-07-24,16.65,16.65,16.65,16.65,000,16.65
2014-07-23,17.50,17.50,17.50,17.50,600,17.50
2014-07-22,15.20,16.70,15.20,16.70,200,16.70
2014-07-21,16.70,17.50,15.90,16.00,200,16.00
2014-07-18,16.70,16.70,16.70,16.70,000,16.70
2014-07-17,17.55,17.55,17.55,17.55,100,17.55
2014-07-16,18.45,18.45,18.45,18.45,000,18.45
2014-07-15,17.85,17.85,17.85,17.85,000,17.85
2014-07-14,17.00,17.20,16.35,17.00,3800,17.00
2014-07-11,17.20,17.20,17.20,17.20,000,17.20
2014-07-10,17.20,17.20,17.20,17.20,000,17.20
2014-07-09,17.00,17.50,17.00,17.50,000,17.50
2014-07-08,16.70,17.30,16.70,16.70,100,16.70
2014-07-07,16.60,16.60,16.50,16.50,1100,16.50
2014-07-04,16.00,16.25,16.00,16.25,000,16.25
2014-07-03,15.95,15.95,15.95,15.95,000,15.95
2014-07-02,15.35,15.95,15.35,15.95,1300,15.95
2014-07-01,15.80,15.80,15.65,15.65,1300,15.65
2014-06-30,15.50,15.50,15.50,15.50,100,15.50
2014-06-27,15.80,15.80,15.20,15.20,000,15.20
2014-06-26,15.70,15.70,15.50,15.50,800,15.50
