Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,55.80,55.80,46.60,47.80,20600,47.80
2014-12-22,56.35,56.35,51.50,52.50,15900,52.50
2014-12-19,59.00,59.00,54.45,56.60,900,56.60
2014-12-18,55.00,57.60,53.00,57.55,2500,57.55
2014-12-17,51.90,54.90,50.00,51.85,31300,51.85
2014-12-16,63.95,63.95,50.40,51.15,26100,51.15
2014-12-15,64.50,64.50,59.05,61.70,16400,61.70
2014-12-12,63.80,63.80,57.45,59.15,5300,59.15
2014-12-11,64.80,64.80,59.45,60.15,3500,60.15
2014-12-10,59.25,63.95,59.25,62.95,6200,62.95
2014-12-09,64.35,64.35,59.50,60.15,3800,60.15
2014-12-08,67.35,67.35,59.25,63.65,3100,63.65
2014-12-05,64.70,69.70,61.05,61.75,10000,61.75
2014-12-04,61.10,64.90,61.10,61.25,2100,61.25
2014-12-03,62.15,64.70,60.00,62.35,12300,62.35
2014-12-02,69.00,69.00,63.50,64.10,6700,64.10
2014-12-01,70.00,71.50,62.05,67.05,15200,67.05
2014-11-28,70.00,72.90,68.05,71.20,46500,71.20
2014-11-27,56.00,69.00,56.00,68.10,37400,68.10
2014-11-26,56.00,59.45,55.55,59.35,8500,59.35
2014-11-25,55.80,57.90,55.00,57.35,24700,57.35
2014-11-24,57.05,59.55,56.00,56.70,7400,56.70
2014-11-21,57.15,60.90,57.15,58.50,6500,58.50
2014-11-20,62.60,62.60,58.00,58.90,10700,58.90
2014-11-19,60.50,61.90,58.50,59.60,15900,59.60
2014-11-18,62.50,65.00,60.00,60.30,30300,60.30
2014-11-17,58.00,62.75,55.10,60.55,47000,60.55
2014-11-14,51.90,58.80,49.00,58.60,103200,58.60
2014-11-13,48.00,49.90,47.50,49.00,17000,49.00
2014-11-12,46.00,47.80,45.25,46.85,4500,46.85
2014-11-11,48.85,48.95,45.25,46.25,1900,46.25
2014-11-10,45.30,48.35,45.30,47.85,6500,47.85
2014-11-07,45.10,47.00,45.00,46.25,3000,46.25
2014-11-06,45.60,45.60,45.60,45.60,000,45.60
2014-11-05,44.45,47.75,43.05,45.60,5900,45.60
2014-11-04,43.65,43.65,43.65,43.65,000,43.65
2014-11-03,42.25,44.40,42.25,43.65,1500,43.65
2014-10-31,42.30,45.50,42.30,42.90,3000,42.90
2014-10-30,41.65,44.00,41.65,43.00,6900,43.00
2014-10-29,46.55,46.55,43.80,44.10,5400,44.10
2014-10-28,45.85,50.00,45.10,45.80,7300,45.80
2014-10-27,42.00,47.90,40.05,45.45,1300,45.45
2014-10-24,45.90,45.90,45.90,45.90,000,45.90
2014-10-23,45.90,45.90,45.90,45.90,000,45.90
2014-10-22,50.00,50.00,45.90,45.90,100,45.90
2014-10-21,45.05,46.90,45.05,46.90,000,46.90
2014-10-20,47.50,48.00,45.05,45.10,7600,45.10
2014-10-17,46.00,46.00,42.70,44.85,1000,44.85
2014-10-16,45.00,46.25,43.80,44.15,600,44.15
2014-10-15,46.75,46.75,46.75,46.75,000,46.75
2014-10-14,45.60,48.55,45.60,46.75,100,46.75
2014-10-13,46.25,47.85,45.00,47.60,2800,47.60
2014-10-10,47.10,48.95,46.50,48.50,3200,48.50
2014-10-09,48.00,49.75,48.00,49.45,3500,49.45
2014-10-08,57.00,57.00,47.00,47.70,9800,47.70
2014-10-07,50.20,53.90,47.10,48.05,10600,48.05
2014-10-06,49.40,49.40,49.40,49.40,000,49.40
2014-10-03,49.40,49.40,49.40,49.40,000,49.40
2014-10-02,49.40,49.40,49.40,49.40,000,49.40
2014-10-01,51.80,51.80,47.50,49.40,5600,49.40
2014-09-30,46.20,49.80,46.20,48.00,2000,48.00
2014-09-29,49.00,49.00,46.30,48.25,800,48.25
2014-09-26,49.80,49.80,47.00,47.80,13100,47.80
2014-09-25,54.00,54.45,47.10,49.15,10300,49.15
2014-09-24,52.90,54.80,47.55,51.40,23800,51.40
2014-09-23,49.90,52.50,49.90,51.50,24500,51.50
2014-09-22,47.00,49.85,46.10,49.10,25900,49.10
2014-09-19,46.80,49.50,45.30,46.80,4300,46.80
2014-09-18,43.00,45.20,43.00,44.95,4100,44.95
2014-09-17,42.00,46.25,42.00,42.60,5000,42.60
2014-09-16,42.00,47.90,41.00,41.85,26900,41.85
2014-09-15,41.50,42.35,40.55,41.45,4300,41.45
2014-09-12,41.50,41.50,40.55,41.50,5100,41.50
2014-09-11,42.00,42.95,41.30,41.50,4500,41.50
2014-09-10,42.00,42.00,40.75,41.35,1800,41.35
2014-09-09,41.50,42.00,40.35,41.80,13500,41.80
2014-09-08,42.00,43.00,40.40,42.70,15200,42.70
2014-09-05,40.55,41.05,40.05,40.90,5400,40.90
2014-09-04,40.00,42.00,40.00,41.25,10100,41.25
2014-09-03,39.60,40.90,39.50,40.50,9800,40.50
2014-09-02,42.00,42.00,40.10,40.75,4700,40.75
2014-09-01,38.55,41.00,38.55,40.65,10700,40.65
2014-08-29,39.95,39.95,39.95,39.95,000,39.95
2014-08-28,41.25,41.90,39.35,39.95,12800,39.95
2014-08-27,40.00,41.45,40.00,41.30,7900,41.30
2014-08-26,38.40,40.40,38.40,40.40,8400,40.40
2014-08-25,41.00,42.00,40.00,40.25,13300,39.05
2014-08-22,38.00,42.40,38.00,40.05,47400,38.86
2014-08-21,38.95,39.65,37.70,39.20,6600,38.03
2014-08-20,39.05,40.50,36.55,38.05,35000,36.92
2014-08-19,42.65,42.65,40.00,40.00,11900,38.81
2014-08-18,39.50,40.00,38.50,39.35,5100,38.18
2014-08-15,38.75,38.75,38.75,38.75,000,37.59
2014-08-14,39.80,39.80,36.75,38.75,1000,37.59
2014-08-13,40.00,40.00,37.00,38.00,6800,36.87
2014-08-12,39.00,39.00,37.50,38.05,2500,36.92
2014-08-11,41.40,41.50,38.00,39.00,2700,37.84
2014-08-08,38.25,40.00,37.00,38.30,2400,37.16
2014-08-07,38.60,40.90,38.50,39.05,700,37.89
2014-08-06,40.95,41.95,39.10,39.10,13000,37.93
2014-08-05,39.20,42.00,39.05,39.80,4600,38.61
2014-08-04,41.00,41.00,39.05,40.20,4800,39.00
2014-08-01,40.50,41.45,38.80,39.35,6700,38.18
2014-07-31,38.60,43.70,38.60,41.45,8700,40.21
2014-07-30,40.30,43.50,39.50,39.80,16200,38.61
2014-07-29,41.30,41.30,41.30,41.30,000,40.07
2014-07-28,40.25,43.50,40.20,41.30,7800,40.07
2014-07-25,41.70,44.35,41.05,41.30,12900,40.07
2014-07-24,45.05,45.60,43.00,43.45,9100,42.15
2014-07-23,49.90,49.90,44.90,45.00,37600,43.66
2014-07-22,45.00,47.95,44.50,46.05,49500,44.68
2014-07-21,43.30,46.40,43.25,44.80,11500,43.46
2014-07-18,44.40,46.45,43.55,45.25,38300,43.90
2014-07-17,38.50,42.45,38.50,42.45,48600,41.18
2014-07-16,36.05,39.50,36.05,39.00,18200,37.84
2014-07-15,37.10,39.45,37.10,38.00,8900,36.87
2014-07-14,36.00,39.50,36.00,37.45,17200,36.33
2014-07-11,39.95,39.95,36.10,37.50,6800,36.38
2014-07-10,38.40,38.40,34.50,37.95,6100,36.82
2014-07-09,35.70,36.95,35.70,36.00,1800,34.93
2014-07-08,39.90,39.90,36.40,36.50,4300,35.41
2014-07-07,40.50,40.50,37.55,37.70,6000,36.58
2014-07-04,37.80,39.50,37.00,38.85,2700,37.69
2014-07-03,38.50,39.95,37.15,38.90,3300,37.74
2014-07-02,41.70,41.70,39.05,39.10,7600,37.93
2014-07-01,41.75,41.75,39.10,39.75,4000,38.56
2014-06-30,41.90,42.00,40.05,40.25,30900,39.05
2014-06-27,40.00,40.90,39.05,40.00,27100,38.81
2014-06-26,38.40,40.00,37.90,40.00,12900,38.81
2014-06-25,37.85,38.35,36.40,38.10,10500,36.96
2014-06-24,34.00,36.55,33.60,36.55,16200,35.46
2014-06-23,35.00,35.00,34.10,34.85,2300,33.81
2014-06-20,32.65,34.75,32.35,34.10,36700,33.08
2014-06-19,35.00,35.00,34.05,34.05,500,33.03
2014-06-18,35.50,35.75,34.00,34.00,7400,32.99
2014-06-17,34.05,35.45,32.35,34.05,9500,33.03
2014-06-16,34.00,36.00,32.85,34.05,4500,33.03
2014-06-13,38.05,38.10,33.50,35.35,7500,34.30
2014-06-12,39.25,41.00,36.35,36.55,6300,35.46
2014-06-11,42.10,44.20,39.15,39.25,23400,38.08
2014-06-10,43.00,45.00,42.30,43.50,21000,42.20
2014-06-09,43.75,43.75,40.00,43.75,60800,42.45
2014-06-06,38.00,39.80,37.00,39.80,44700,38.61
2014-06-05,33.00,36.20,32.00,36.20,50500,35.12
2014-06-04,25.20,31.95,25.20,30.20,54600,29.30
2014-06-03,25.05,27.40,25.05,26.70,11400,25.90
2014-06-02,25.00,26.00,25.00,25.30,1400,24.55
2014-05-30,24.15,24.15,24.15,24.15,100,23.43
2014-05-29,24.70,26.00,24.70,25.00,7300,24.25
2014-05-28,25.55,26.00,25.55,25.75,2300,24.98
2014-05-27,26.15,26.75,24.35,26.70,4500,25.90
2014-05-26,27.05,27.05,25.60,26.30,12100,25.52
2014-05-23,24.10,26.95,24.10,26.05,22500,25.27
2014-05-22,23.10,28.00,23.10,26.30,25100,25.52
2014-05-21,25.75,25.75,24.05,24.05,20300,23.33
2014-05-20,27.00,27.80,25.00,26.30,8200,25.52
2014-05-19,25.40,25.70,24.50,25.25,17000,24.50
2014-05-16,22.75,24.15,22.75,23.95,22400,23.24
2014-05-15,22.05,23.00,21.20,22.25,22400,21.59
2014-05-14,20.35,22.50,20.35,22.00,9000,21.34
2014-05-13,19.40,21.40,19.00,20.90,22700,20.28
2014-05-12,18.30,19.35,18.30,18.70,4600,18.14
2014-05-09,17.60,17.60,17.45,17.50,6700,16.98
2014-05-08,18.15,18.15,17.55,17.55,3400,17.03
2014-05-07,18.20,18.75,18.15,18.75,2600,18.19
2014-05-06,19.25,19.30,18.80,19.15,6300,18.58
2014-05-05,20.85,20.85,20.85,20.85,000,20.23
2014-05-02,20.00,20.00,19.55,19.65,1100,19.06
2014-05-01,20.00,20.00,20.00,20.00,000,19.40
2014-04-30,21.80,21.85,19.75,20.00,300,19.40
2014-04-29,20.95,20.95,20.95,20.95,000,20.33
2014-04-28,19.55,20.10,19.55,20.05,400,19.45
2014-04-25,21.45,21.45,21.45,21.45,000,20.81
2014-04-24,20.00,20.00,20.00,20.00,000,19.40
2014-04-23,19.75,21.35,19.30,20.00,3000,19.40
2014-04-22,21.35,21.35,21.35,21.35,000,20.71
2014-04-21,21.85,21.85,20.35,20.35,1200,19.74
2014-04-18,20.50,20.50,20.50,20.50,000,19.89
2014-04-17,20.50,20.50,20.50,20.50,900,19.89
2014-04-16,20.10,21.20,20.05,21.20,1300,20.57
2014-04-15,20.50,21.90,20.50,21.90,500,21.25
2014-04-14,21.50,21.50,21.50,21.50,000,20.86
2014-04-11,20.00,21.50,20.00,21.50,000,20.86
2014-04-10,19.65,20.45,19.65,20.45,1700,19.84
2014-04-09,20.75,20.85,20.00,20.85,600,20.23
2014-04-08,20.90,20.90,20.90,20.90,000,20.28
2014-04-07,20.90,20.90,20.90,20.90,000,20.28
2014-04-04,20.00,20.90,20.00,20.90,1100,20.28
2014-04-03,19.40,20.90,19.40,20.00,3800,19.40
2014-04-02,19.40,21.35,19.40,20.05,1200,19.45
2014-04-01,20.00,20.90,20.00,20.90,600,20.28
2014-03-31,20.80,21.40,20.00,20.00,800,19.40
2014-03-28,20.45,20.50,19.20,20.45,3200,19.84
2014-03-27,19.20,20.45,19.20,20.45,200,19.84
2014-03-26,19.55,20.25,18.30,20.05,108900,19.45
2014-03-25,19.60,20.50,19.50,20.00,2500,19.40
2014-03-24,20.50,20.95,19.60,20.95,2000,20.33
2014-03-21,21.30,21.30,20.00,20.10,65400,19.50
2014-03-20,19.50,20.40,19.50,19.50,500,18.92
2014-03-19,21.95,21.95,19.25,19.45,21200,18.87
2014-03-18,18.55,21.30,18.55,20.05,93400,19.45
2014-03-17,20.45,20.45,20.45,20.45,000,19.84
2014-03-14,19.00,20.50,18.10,20.45,000,19.84
2014-03-13,19.05,19.05,19.00,19.00,500,18.43
2014-03-12,19.15,19.15,19.15,19.15,000,18.58
2014-03-11,19.20,19.20,19.10,19.15,2500,18.58
2014-03-10,18.30,21.05,18.25,20.90,500,20.28
2014-03-07,18.05,19.90,18.05,19.15,200,18.58
2014-03-06,19.95,19.95,19.95,19.95,000,19.36
2014-03-05,19.50,19.50,19.00,19.00,300,18.43
2014-03-04,19.10,19.20,18.95,18.95,11100,18.39
2014-03-03,18.30,18.30,18.30,18.30,000,17.75
2014-02-28,19.50,19.50,18.60,18.70,2700,18.14
2014-02-27,19.20,19.20,19.20,19.20,000,18.63
2014-02-26,18.50,19.45,18.50,19.20,3000,18.63
2014-02-25,18.75,19.00,18.65,19.00,8000,18.43
2014-02-24,17.15,18.80,17.15,18.50,21700,17.95
2014-02-21,18.00,18.00,18.00,18.00,000,17.46
2014-02-20,18.00,18.00,18.00,18.00,9200,17.46
2014-02-19,18.00,18.00,18.00,18.00,100,17.46
2014-02-18,17.80,18.25,17.80,18.00,19200,17.46
2014-02-17,17.50,18.15,17.45,17.80,26400,17.27
2014-02-14,17.30,17.30,17.30,17.30,000,16.78
2014-02-13,17.00,17.50,17.00,17.30,1000,16.78
2014-02-12,17.30,17.30,17.30,17.30,000,16.78
2014-02-11,17.30,17.30,17.30,17.30,000,16.78
2014-02-10,17.30,17.30,17.30,17.30,000,16.78
2014-02-07,17.60,17.95,17.15,17.30,2200,16.78
2014-02-06,16.95,18.65,16.95,18.00,4100,17.46
2014-02-05,16.75,17.80,16.75,17.80,000,17.27
2014-02-04,17.60,17.65,17.60,17.60,000,17.08
2014-02-03,16.10,17.00,16.10,17.00,500,16.49
2014-01-31,17.35,17.60,16.85,16.90,2200,16.40
2014-01-30,17.75,18.00,17.55,17.65,27000,17.12
2014-01-29,18.50,19.00,18.00,18.00,6700,17.46
2014-01-28,18.35,18.35,18.35,18.35,000,17.80
2014-01-27,17.50,18.35,17.50,18.35,300,17.80
2014-01-24,16.90,18.40,16.90,18.40,200,17.85
2014-01-23,17.25,19.00,17.25,17.75,700,17.22
2014-01-22,16.60,18.15,16.60,18.15,900,17.61
2014-01-21,18.00,18.00,17.30,17.30,500,16.78
2014-01-20,18.35,18.35,18.00,18.00,000,17.46
2014-01-17,17.50,17.50,17.50,17.50,600,16.98
2014-01-16,19.40,19.40,17.65,17.65,400,17.12
2014-01-15,18.55,18.55,18.55,18.55,500,18.00
2014-01-14,18.55,19.50,18.55,19.50,200,18.92
2014-01-13,19.05,19.50,19.05,19.50,2600,18.92
2014-01-10,20.40,20.40,18.50,20.00,200,19.40
2014-01-09,19.45,19.45,19.45,19.45,000,18.87
2014-01-08,22.40,22.40,20.45,20.45,500,19.84
2014-01-07,21.70,21.70,21.40,21.50,1200,20.86
2014-01-06,20.70,20.75,18.85,20.70,1000,20.08
2014-01-03,19.80,19.80,19.80,19.80,000,19.21
2014-01-02,19.00,19.90,18.95,19.90,800,19.31
2014-01-01,17.55,19.25,17.55,19.00,600,18.43
2013-12-31,17.95,18.75,17.15,18.45,900,17.90
2013-12-30,17.90,17.90,17.90,17.90,500,17.37
2013-12-27,17.05,17.05,17.05,17.05,600,16.54
2013-12-26,16.25,16.25,16.25,16.25,200,15.77
2013-12-25,15.50,15.50,15.50,15.50,000,15.04
2013-12-24,16.25,16.25,14.75,15.50,14700,15.04
2013-12-23,15.50,15.50,15.50,15.50,000,15.04
2013-12-20,15.50,15.50,15.50,15.50,700,15.04
2013-12-19,15.50,15.50,15.50,15.50,000,15.04
2013-12-18,15.50,15.50,15.50,15.50,300,15.04
2013-12-17,15.50,15.50,15.50,15.50,200,15.04
2013-12-16,16.00,16.00,16.00,16.00,000,15.52
2013-12-13,16.00,16.00,16.00,16.00,000,15.52
2013-12-12,16.00,16.00,16.00,16.00,000,15.52
2013-12-11,16.00,16.00,16.00,16.00,000,15.52
2013-12-10,16.00,16.00,16.00,16.00,000,15.52
2013-12-09,16.00,16.00,16.00,16.00,000,15.52
2013-12-06,16.00,16.00,16.00,16.00,600,15.52
2013-12-05,15.05,15.25,15.05,15.25,1800,14.80
2013-12-04,15.25,15.25,15.25,15.25,000,14.80
2013-12-03,15.25,15.25,15.25,15.25,4300,14.80
2013-12-02,16.00,16.00,16.00,16.00,1000,15.52
2013-11-29,16.15,16.15,16.15,16.15,000,15.67
2013-11-28,15.05,16.15,14.75,16.15,200,15.67
2013-11-27,15.50,15.50,15.50,15.50,500,15.04
2013-11-26,14.35,14.80,14.35,14.80,6100,14.36
2013-11-25,14.55,15.75,14.55,15.00,2400,14.55
2013-11-22,15.00,15.00,15.00,15.00,000,14.55
2013-11-21,15.00,15.00,15.00,15.00,600,14.55
2013-11-20,14.50,15.00,14.50,15.00,300,14.55
2013-11-19,15.00,15.00,15.00,15.00,100,14.55
2013-11-18,14.65,14.65,14.65,14.65,1000,14.21
2013-11-15,15.10,15.10,15.10,15.10,000,14.65
2013-11-14,15.10,15.10,15.10,15.10,500,14.65
2013-11-13,15.00,15.00,15.00,15.00,500,14.55
2013-11-12,15.10,15.10,15.10,15.10,000,14.65
2013-11-11,15.10,15.10,15.10,15.10,200,14.65
2013-11-08,15.10,15.10,15.05,15.05,1000,14.60
2013-11-07,15.00,15.00,15.00,15.00,800,14.55
2013-11-06,14.80,14.80,14.80,14.80,000,14.36
2013-11-05,15.35,15.40,15.35,15.40,600,14.94
2013-11-04,16.15,16.15,16.15,16.15,000,15.67
2013-11-01,16.15,16.15,16.15,16.15,100,15.67
2013-10-31,17.00,17.00,16.95,16.95,500,16.44
2013-10-30,16.75,16.75,16.75,16.75,000,16.25
2013-10-29,16.15,16.75,16.15,16.75,100,16.25
2013-10-28,16.95,16.95,16.95,16.95,000,16.44
2013-10-25,16.95,16.95,16.95,16.95,000,16.44
2013-10-24,16.95,16.95,16.95,16.95,000,16.44
2013-10-23,16.95,16.95,16.95,16.95,000,16.44
2013-10-22,15.75,16.95,15.75,16.95,000,16.44
2013-10-21,16.53,16.53,16.53,16.53,000,16.04
2013-10-18,16.50,16.53,16.50,16.53,400,16.04
2013-10-17,15.75,15.75,15.75,15.75,100,15.28
2013-10-16,15.00,15.00,15.00,15.00,000,14.55
2013-10-15,15.00,15.00,15.00,15.00,000,14.55
2013-10-14,15.00,15.00,15.00,15.00,000,14.55
2013-10-11,15.00,15.00,15.00,15.00,000,14.55
2013-10-10,15.50,15.50,15.00,15.00,4100,14.55
2013-10-09,15.50,15.50,15.50,15.50,000,15.04
2013-10-08,15.50,15.50,15.50,15.50,400,15.04
2013-10-07,15.80,15.80,15.80,15.80,000,15.33
2013-10-04,15.80,15.80,15.80,15.80,000,15.33
2013-10-03,15.06,15.06,15.06,15.06,000,14.61
2013-10-02,15.06,15.06,15.06,15.06,000,14.61
2013-10-01,13.65,15.06,13.65,15.06,1800,14.61
2013-09-30,14.01,14.94,14.01,14.35,80200,13.92
2013-09-27,14.25,14.25,14.25,14.25,000,13.83
2013-09-26,14.25,14.25,14.25,14.25,000,13.83
2013-09-25,14.25,14.25,14.25,14.25,100,13.83
2013-09-24,13.60,13.60,13.60,13.60,000,13.19
2013-09-23,13.25,13.60,13.25,13.60,200,13.19
2013-09-20,13.25,13.25,13.25,13.25,000,12.85
2013-09-19,13.25,13.25,13.25,13.25,600,12.85
2013-09-18,13.25,13.25,13.25,13.25,100,12.85
2013-09-17,12.75,13.64,12.75,13.64,000,13.23
2013-09-16,13.00,13.00,13.00,13.00,100,12.61
2013-09-13,12.29,13.40,12.29,13.40,300,13.00
2013-09-12,12.93,12.93,12.93,12.93,000,12.54
2013-09-11,12.93,12.93,12.93,12.93,000,12.54
2013-09-10,12.93,12.93,12.93,12.93,000,12.54
2013-09-09,12.93,12.93,12.93,12.93,000,12.54
2013-09-06,12.93,12.93,12.93,12.93,1100,12.54
2013-09-05,12.36,12.36,12.36,12.36,100,11.99
2013-09-04,13.00,13.00,13.00,13.00,500,12.61
2013-09-03,13.40,13.40,13.40,13.40,000,13.00
2013-09-02,13.30,13.41,13.30,13.40,20800,13.00
2013-08-30,12.78,12.78,12.78,12.78,000,12.40
2013-08-29,12.18,12.18,12.18,12.18,200,11.82
2013-08-28,11.60,11.60,11.60,11.60,100,11.25
2013-08-27,12.20,12.20,12.20,12.20,000,11.84
2013-08-26,12.84,12.84,12.84,12.84,000,12.46
2013-08-23,12.84,12.84,12.84,12.84,000,12.46
2013-08-22,11.65,12.84,11.65,12.84,100,12.46
2013-08-21,12.25,12.25,12.25,12.25,200,11.88
2013-08-20,13.60,13.60,12.77,12.77,800,12.39
2013-08-19,12.97,12.97,12.97,12.97,000,12.58
2013-08-16,13.65,13.65,13.65,13.65,000,13.24
2013-08-15,13.65,13.65,13.65,13.65,000,13.24
2013-08-14,13.65,13.65,13.65,13.65,000,13.24
2013-08-13,13.65,13.65,13.65,13.65,000,13.24
2013-08-12,13.65,13.65,13.65,13.65,000,13.24
2013-08-09,13.65,13.65,13.65,13.65,000,13.24
2013-08-08,13.65,13.65,13.65,13.65,100,13.24
2013-08-07,13.65,13.65,13.65,13.65,100,13.24
2013-08-06,12.74,13.00,12.74,13.00,80200,12.61
2013-08-05,13.40,13.40,13.40,13.40,500,13.00
2013-08-02,15.00,15.00,15.00,15.00,000,14.55
2013-08-01,15.00,15.00,15.00,15.00,000,14.55
2013-07-31,15.00,15.00,15.00,15.00,000,14.55
2013-07-30,15.00,15.00,15.00,15.00,000,14.55
2013-07-29,15.00,15.00,15.00,15.00,100,13.58
2013-07-26,14.50,14.50,14.50,14.50,200,13.13
2013-07-25,13.85,13.85,13.85,13.85,200,12.54
2013-07-24,14.50,14.50,14.50,14.50,000,13.13
2013-07-23,14.50,14.50,13.75,14.50,1300,13.13
2013-07-22,14.05,14.10,14.05,14.10,400,12.77
2013-07-19,14.80,14.80,14.75,14.75,500,13.36
2013-07-18,15.50,15.50,15.50,15.50,000,14.04
2013-07-17,15.50,15.50,15.50,15.50,000,14.04
2013-07-16,15.50,15.50,15.50,15.50,000,14.04
2013-07-15,15.50,15.50,15.50,15.50,200,14.04
2013-07-12,15.40,15.40,15.40,15.40,000,13.94
2013-07-11,16.00,16.00,15.40,15.40,1000,13.94
2013-07-10,16.20,16.20,16.20,16.20,000,14.67
2013-07-09,16.20,16.20,16.20,16.20,000,14.67
2013-07-08,17.00,17.00,17.00,17.00,000,15.39
2013-07-05,16.80,16.80,16.80,16.80,100,15.21
2013-07-04,17.00,17.45,17.00,17.45,100,15.80
2013-07-03,17.35,17.35,16.80,17.10,100,15.48
2013-07-02,15.50,16.75,15.50,16.75,100,15.17
2013-07-01,16.25,16.30,16.25,16.30,000,14.76
2013-06-28,15.60,15.60,15.60,15.60,100,14.13
2013-06-27,15.00,15.90,14.75,15.85,1200,14.35
2013-06-26,15.30,16.65,15.30,15.50,200,14.04
2013-06-25,16.70,16.70,16.00,16.00,1000,14.49
2013-06-24,16.80,16.80,16.80,16.80,000,15.21
2013-06-21,16.00,16.80,15.85,16.80,200,15.21
2013-06-20,16.65,16.65,16.65,16.65,000,15.08
