Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,19.35,20.85,19.35,20.85,100,20.85
2014-12-22,20.00,21.45,19.60,21.35,4600,21.35
2014-12-19,21.80,21.80,20.35,20.40,100,20.40
2014-12-18,20.40,23.20,19.55,21.95,1400,21.95
2014-12-17,18.75,20.80,18.30,20.00,1700,20.00
2014-12-16,20.50,21.50,19.00,20.95,1300,20.95
2014-12-15,19.25,22.25,19.25,21.45,900,21.45
2014-12-12,20.35,23.90,18.00,20.70,4500,20.70
2014-12-11,21.00,21.70,20.60,21.20,4900,21.20
2014-12-10,21.40,21.50,21.00,21.20,2900,21.20
2014-12-09,21.85,21.85,20.00,20.70,6200,20.70
2014-12-08,20.05,21.50,20.05,21.50,3200,21.50
2014-12-05,20.80,22.30,20.40,21.00,12400,21.00
2014-12-04,21.25,22.45,20.10,20.75,5700,20.75
2014-12-03,22.50,23.50,20.70,21.25,7700,21.25
2014-12-02,23.00,23.45,22.80,23.00,2800,23.00
2014-12-01,22.50,26.00,22.35,23.10,2300,23.10
2014-11-28,22.30,24.40,22.30,24.35,600,24.35
2014-11-27,23.75,24.25,23.70,24.25,2100,24.25
2014-11-26,22.00,23.00,22.00,23.00,000,23.00
2014-11-25,23.80,23.80,21.75,21.85,3100,21.85
2014-11-24,22.05,22.80,21.00,22.80,4100,22.80
2014-11-21,22.55,23.45,22.25,22.55,3400,22.55
2014-11-20,23.85,25.00,23.50,23.50,5100,23.50
2014-11-19,24.75,26.00,24.75,25.05,8600,25.05
2014-11-18,25.75,25.75,23.70,23.85,2700,23.85
2014-11-17,23.20,26.00,23.20,24.80,4000,24.80
2014-11-14,25.90,25.90,24.10,24.20,1200,24.20
2014-11-13,29.00,29.00,25.35,25.90,5500,25.90
2014-11-12,26.00,26.85,26.00,26.70,2000,26.70
2014-11-11,27.35,27.35,25.50,25.75,900,25.75
2014-11-10,26.80,26.80,24.70,25.80,3400,25.80
2014-11-07,25.80,27.00,25.15,25.85,7700,25.85
2014-11-06,25.80,25.80,25.80,25.80,000,25.80
2014-11-05,26.70,26.75,25.50,25.80,4600,25.80
2014-11-04,25.60,25.60,25.60,25.60,000,25.60
2014-11-03,24.25,25.70,24.25,25.60,1300,25.60
2014-10-31,24.90,25.25,24.00,24.80,14400,24.80
2014-10-30,25.00,25.10,24.00,24.40,11200,24.40
2014-10-29,26.00,26.00,25.10,25.10,5800,25.10
2014-10-28,27.05,27.05,25.70,26.40,3100,26.40
2014-10-27,26.50,26.50,26.00,26.30,6500,26.30
2014-10-24,24.35,24.35,24.35,24.35,000,24.35
2014-10-23,24.35,24.35,24.35,24.35,000,24.35
2014-10-22,24.10,25.90,24.05,24.35,1300,24.35
2014-10-21,24.95,25.00,24.05,25.00,3800,25.00
2014-10-20,22.55,23.85,21.85,23.85,8800,23.85
2014-10-17,22.80,23.45,22.75,22.75,800,22.75
