Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,209.00,209.00,204.00,204.00,11000,204.00
2014-12-22,203.90,203.90,197.00,198.90,24700,198.90
2014-12-19,216.00,216.00,204.75,204.75,7300,204.75
2014-12-18,207.90,207.90,200.00,205.50,8500,205.50
2014-12-17,214.00,214.00,198.00,203.90,41700,203.90
2014-12-16,213.90,213.90,205.90,205.90,7500,205.90
2014-12-15,220.00,220.00,186.00,203.60,35400,203.60
2014-12-12,223.80,223.80,206.00,206.00,14700,206.00
2014-12-11,203.90,209.95,183.85,208.90,10900,208.90
2014-12-10,215.00,215.00,204.25,204.25,9300,204.25
2014-12-09,215.00,215.00,214.90,214.90,1000,214.90
2014-12-08,213.00,214.00,212.00,214.00,1400,214.00
2014-12-05,218.00,218.00,190.00,210.00,1100,210.00
2014-12-04,205.00,205.00,203.90,203.90,2200,203.90
2014-12-03,179.25,198.00,179.25,196.25,6900,196.25
2014-12-02,188.65,207.00,188.65,188.65,3600,188.65
2014-12-01,198.55,203.00,198.55,198.55,10700,198.55
2014-11-28,209.00,209.00,209.00,209.00,3000,209.00
2014-11-27,209.00,209.90,209.00,209.70,2500,209.70
2014-11-26,216.00,216.90,210.00,210.00,3000,210.00
2014-11-25,218.00,219.00,209.00,209.00,5000,209.00
2014-11-24,228.00,228.00,209.00,210.00,3600,210.00
2014-11-21,220.00,220.00,220.00,220.00,000,220.00
2014-11-20,216.25,216.25,196.00,209.90,6200,209.90
2014-11-19,213.70,213.70,193.65,206.15,1000,206.15
2014-11-18,210.40,210.40,190.40,203.80,400,203.80
2014-11-17,185.05,204.00,185.05,200.40,16600,200.40
2014-11-14,215.00,215.00,194.75,194.75,3200,194.75
2014-11-13,210.00,210.00,203.00,205.00,500,205.00
2014-11-12,213.00,213.00,194.65,204.90,600,204.90
2014-11-11,217.00,217.00,196.60,204.85,3000,204.85
2014-11-10,215.30,215.30,195.00,206.90,6100,206.90
2014-11-07,213.00,213.00,193.15,205.05,7900,205.05
2014-11-06,203.20,203.20,203.20,203.20,000,203.20
2014-11-05,184.30,203.70,184.30,203.20,32300,203.20
2014-11-04,194.00,194.00,194.00,194.00,000,194.00
2014-11-03,214.00,214.00,194.00,194.00,000,194.00
2014-10-31,204.20,204.20,204.20,204.20,000,204.20
2014-10-30,215.00,215.00,205.80,214.90,9400,214.90
2014-10-29,216.60,216.60,216.60,216.60,000,216.60
2014-10-28,217.00,228.00,217.00,228.00,100,228.00
2014-10-27,225.00,225.00,217.15,217.15,000,217.15
2014-10-24,227.00,227.00,227.00,227.00,000,227.00
2014-10-23,227.00,227.00,227.00,227.00,000,227.00
2014-10-22,239.00,239.00,227.00,227.00,600,227.00
2014-10-21,238.90,238.90,238.90,238.90,000,238.90
2014-10-20,241.95,241.95,238.50,238.50,500,238.50
2014-10-17,241.95,241.95,241.95,241.95,000,241.95
2014-10-16,245.50,245.80,235.60,242.75,31200,242.75
2014-10-15,248.00,248.00,248.00,248.00,000,248.00
2014-10-14,249.00,249.00,248.00,248.00,000,248.00
2014-10-13,249.90,249.90,249.90,249.90,000,249.90
2014-10-10,240.00,249.90,240.00,249.90,14400,249.90
2014-10-09,257.00,257.00,240.00,249.60,61600,249.60
2014-10-08,230.15,250.00,230.15,250.00,19200,250.00
2014-10-07,242.25,242.25,242.25,242.25,000,242.25
2014-10-06,255.00,255.00,255.00,255.00,000,255.00
2014-10-03,255.00,255.00,255.00,255.00,000,255.00
2014-10-02,255.00,255.00,255.00,255.00,000,255.00
2014-10-01,255.00,255.00,255.00,255.00,2700,255.00
2014-09-30,243.20,254.90,243.20,249.90,25600,249.90
2014-09-29,256.00,256.00,256.00,256.00,000,256.00
2014-09-26,257.00,257.00,257.00,257.00,000,257.00
2014-09-25,257.00,257.00,257.00,257.00,000,257.00
2014-09-24,237.50,254.90,237.50,254.90,20800,254.90
2014-09-23,231.05,249.95,231.05,249.95,1900,249.95
2014-09-22,243.20,259.00,243.20,243.20,27400,243.20
2014-09-19,243.90,256.00,243.90,256.00,23300,256.00
2014-09-18,239.00,247.00,239.00,247.00,400,247.00
2014-09-17,245.00,251.75,244.15,248.00,10800,248.00
2014-09-16,257.00,257.00,257.00,257.00,000,257.00
2014-09-15,253.80,253.80,253.00,253.50,10200,253.50
2014-09-12,243.00,254.70,243.00,253.50,39900,253.50
2014-09-11,250.00,250.00,250.00,250.00,000,250.00
2014-09-10,256.00,256.00,244.80,250.80,18600,250.80
2014-09-09,242.25,265.00,242.25,257.65,8300,257.65
2014-09-08,265.00,265.00,250.00,254.95,35100,254.95
2014-09-05,246.05,257.25,246.05,255.95,18600,255.95
2014-09-04,260.00,260.00,258.00,259.00,5000,259.00
2014-09-03,260.00,260.00,250.00,254.90,25300,254.90
2014-09-02,262.80,263.00,260.50,260.70,24100,260.70
2014-09-01,249.00,260.00,248.00,260.00,1000,260.00
2014-08-29,253.00,253.00,253.00,253.00,000,253.00
2014-08-28,230.35,253.00,230.35,253.00,1500,253.00
2014-08-27,225.00,244.00,225.00,242.45,7900,242.45
2014-08-26,234.00,234.00,233.00,233.00,7500,233.00
2014-08-25,225.00,239.90,224.00,235.00,18200,235.00
2014-08-22,230.00,234.50,230.00,234.50,200,234.50
2014-08-21,222.35,235.00,222.35,234.50,12000,234.50
2014-08-20,235.50,235.50,216.60,234.05,800,234.05
2014-08-19,220.00,230.00,220.00,227.95,2600,227.95
2014-08-18,215.00,225.00,215.00,225.00,1000,225.00
2014-08-15,220.00,220.00,220.00,220.00,000,220.00
2014-08-14,208.95,220.00,208.95,220.00,1200,220.00
2014-08-13,217.00,219.90,217.00,219.90,1100,219.90
2014-08-12,210.00,215.00,210.00,215.00,300,215.00
2014-08-11,204.00,208.00,204.00,208.00,100,208.00
2014-08-08,203.00,209.00,200.00,207.30,300,207.30
2014-08-07,202.00,204.90,200.00,203.15,10900,203.15
2014-08-06,197.90,200.00,197.90,200.00,700,200.00
2014-08-05,178.50,197.20,178.50,192.15,4600,192.15
2014-08-04,175.00,187.90,175.00,187.85,1100,187.85
2014-07-31,165.15,181.45,164.90,180.00,29300,180.00
2014-07-30,156.50,172.90,156.50,172.85,900,172.85
2014-07-29,164.70,164.70,164.70,164.70,000,164.70
2014-07-28,164.70,164.70,164.70,164.70,1100,164.70
2014-07-25,158.00,172.40,156.10,157.00,18400,157.00
2014-07-24,162.50,165.00,162.50,164.30,5000,164.30
2014-07-23,160.00,163.00,155.05,163.00,1100,163.00
2014-07-22,152.65,168.00,152.65,162.50,10900,162.50
2014-07-21,146.45,161.60,146.45,160.65,16000,160.65
2014-07-18,154.80,154.80,145.15,153.95,100,153.95
2014-07-17,150.05,150.05,150.00,150.00,500,150.00
2014-07-16,151.00,156.95,150.00,150.00,000,150.00
2014-07-15,147.65,150.00,140.45,149.65,39800,149.65
2014-07-14,145.05,150.00,142.50,147.65,56100,147.65
2014-07-11,142.50,150.00,142.50,149.50,300,149.50
2014-07-10,152.60,158.00,143.65,150.00,27200,150.00
2014-07-09,155.25,155.45,151.10,151.20,000,151.20
2014-07-08,157.15,162.00,157.00,157.00,1200,157.00
2014-07-07,160.50,165.00,160.50,165.00,1100,165.00
2014-07-04,165.00,171.95,165.00,168.75,400,168.75
2014-07-03,165.15,172.80,165.15,170.00,7000,170.00
2014-07-02,173.00,173.80,173.00,173.80,000,173.80
2014-07-01,172.00,174.00,167.00,169.95,100,169.95
2014-06-30,170.00,175.00,165.85,174.70,4300,174.70
2014-06-27,177.95,177.95,170.05,174.55,100,174.55
2014-06-26,160.00,175.35,160.00,174.00,8200,174.00
2014-06-25,165.00,168.00,165.00,167.00,6300,167.00
2014-06-24,161.10,168.00,161.10,167.50,7500,167.50
2014-06-23,160.00,169.55,160.00,169.55,6100,169.55
2014-06-20,171.90,171.90,161.50,161.50,500,161.50
2014-06-19,162.00,170.00,162.00,169.90,10400,169.90
2014-06-18,160.50,170.75,160.00,170.40,2000,170.40
2014-06-17,169.00,169.00,158.00,167.70,1700,167.70
2014-06-16,165.20,165.35,165.20,165.35,400,165.35
2014-06-13,160.00,174.40,158.00,173.85,23200,173.85
2014-06-12,173.95,173.95,165.35,166.10,000,166.10
2014-06-11,175.00,175.00,165.30,172.00,1300,172.00
2014-06-10,162.75,174.00,162.75,167.00,9400,167.00
2014-06-09,182.00,182.00,170.00,176.95,600,176.95
2014-06-06,162.00,175.00,162.00,175.00,4100,175.00
2014-06-05,179.00,179.00,170.00,174.00,4100,174.00
2014-06-04,176.00,176.00,165.00,172.50,4300,172.50
2014-06-03,174.00,175.00,164.00,171.00,7700,171.00
2014-06-02,175.00,175.00,164.35,168.60,6500,168.60
2014-05-30,169.00,169.00,166.00,168.45,500,168.45
2014-05-29,164.00,164.00,156.00,163.45,5500,163.45
2014-05-28,169.05,169.05,158.00,159.95,8900,159.95
2014-05-27,158.50,165.00,155.00,161.00,23400,161.00
2014-05-26,165.00,165.00,155.05,159.00,6400,159.00
2014-05-23,158.10,158.25,143.30,158.10,40200,158.10
2014-05-22,158.95,158.95,150.50,150.75,26700,150.75
2014-05-21,156.90,156.90,142.50,154.85,800,154.85
2014-05-20,154.95,154.95,140.55,149.75,20400,149.75
2014-05-19,149.90,149.90,143.70,147.90,19200,147.90
