Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,36.00,40.75,35.55,37.30,8200,37.30
2014-12-22,38.50,39.85,35.00,37.05,4500,37.05
2014-12-19,34.10,38.15,33.00,36.25,14700,36.25
2014-12-18,35.00,36.00,33.25,34.70,19200,34.70
2014-12-17,33.00,35.80,33.00,33.20,13300,33.20
2014-12-16,32.85,33.05,32.85,33.00,10500,33.00
2014-12-15,32.50,35.75,32.50,33.10,20600,33.10
2014-12-12,33.15,35.70,30.75,35.70,6300,35.70
2014-12-11,32.70,32.70,32.60,32.65,200,32.65
2014-12-10,33.15,35.90,32.35,35.90,10000,35.90
2014-12-09,33.20,35.45,31.10,35.35,27700,35.35
2014-12-08,34.00,35.90,32.15,33.55,1600,33.55
2014-12-05,35.90,35.90,31.00,33.80,4600,33.80
2014-12-04,32.80,32.80,32.70,32.75,000,32.75
2014-12-03,33.15,34.90,32.15,34.15,8000,34.15
2014-12-02,31.20,34.40,31.20,33.40,9300,33.40
2014-12-01,32.50,32.85,30.30,32.80,10600,32.80
2014-11-28,32.05,32.90,30.75,31.30,17000,31.30
2014-11-27,32.55,34.65,31.50,31.70,16100,31.70
2014-11-26,30.75,33.15,30.70,33.00,24700,33.00
2014-11-25,33.00,33.00,31.30,32.05,14900,32.05
2014-11-24,32.15,33.25,32.10,32.90,12000,32.90
2014-11-21,31.25,34.00,30.80,33.15,14700,33.15
2014-11-20,29.60,32.70,29.60,32.40,14900,32.40
2014-11-19,30.10,32.85,29.80,31.15,15400,31.15
2014-11-18,34.50,34.50,31.30,31.30,16200,31.30
2014-11-17,32.15,34.00,31.15,32.90,15800,32.90
2014-11-14,30.70,33.55,30.70,32.60,17100,32.60
2014-11-13,31.60,32.45,31.60,32.30,15400,32.30
2014-11-12,34.05,34.70,33.25,33.25,8000,33.25
2014-11-11,34.55,35.55,34.00,35.00,15500,35.00
2014-11-10,38.25,38.25,35.00,35.55,15600,35.55
2014-11-07,35.25,36.90,33.40,36.65,1200,36.65
2014-11-06,35.15,35.15,35.15,35.15,000,35.15
2014-11-05,32.30,35.15,32.00,35.15,2300,35.15
2014-11-04,33.65,33.65,33.65,33.65,000,33.65
2014-11-03,31.20,33.65,30.65,33.65,33400,33.65
2014-10-31,31.05,32.05,29.95,32.05,27400,32.05
2014-10-30,31.25,32.50,30.55,30.55,21500,30.55
2014-10-29,30.95,31.60,30.25,31.55,27500,31.55
2014-10-28,29.55,30.10,28.00,30.10,50300,30.10
2014-10-27,27.50,28.70,27.50,28.70,21200,28.70
2014-10-24,27.35,27.35,27.35,27.35,000,27.35
2014-10-23,27.35,27.35,27.35,27.35,000,27.35
2014-10-22,27.35,27.35,27.00,27.35,16400,27.35
2014-10-21,26.05,26.15,25.55,26.05,12100,26.05
2014-10-20,24.60,24.95,24.60,24.95,15200,24.95
2014-10-17,22.10,24.00,20.85,24.00,5700,24.00
2014-10-16,20.00,23.10,20.00,23.05,2000,23.05
2014-10-15,21.00,21.00,21.00,21.00,000,21.00
2014-10-14,20.50,21.00,19.25,21.00,8900,21.00
2014-10-13,21.10,21.10,21.10,21.10,000,21.10
2014-10-10,18.50,21.10,18.50,21.10,2000,21.10
2014-10-09,18.60,20.45,18.60,20.45,400,20.45
2014-10-08,16.25,18.60,16.25,18.60,500,18.60
2014-10-07,16.50,17.00,16.50,16.95,8600,16.95
2014-10-06,16.20,16.20,16.20,16.20,000,16.20
2014-10-03,16.20,16.20,16.20,16.20,000,16.20
2014-10-02,16.20,16.20,16.20,16.20,000,16.20
2014-10-01,16.20,16.20,16.20,16.20,000,16.20
2014-09-30,15.45,15.45,15.45,15.45,000,15.45
2014-09-29,15.45,15.45,15.45,15.45,000,15.45
2014-09-26,15.30,15.45,14.75,14.75,19300,14.75
2014-09-25,15.20,15.50,14.45,15.50,49900,15.50
2014-09-24,14.80,14.80,14.80,14.80,000,14.80
2014-09-23,14.80,14.80,14.80,14.80,000,14.80
2014-09-22,14.10,14.10,14.10,14.10,000,14.10
2014-09-19,14.10,14.10,14.10,14.10,000,14.10
2014-09-17,13.60,14.20,13.60,14.10,8200,14.10
2014-09-16,15.30,15.30,14.10,14.10,400,14.10
2014-09-15,14.55,15.35,14.55,14.60,8000,14.60
2014-09-12,15.85,15.90,15.25,15.25,9800,15.25
2014-09-11,15.00,15.40,15.00,15.40,6900,15.40
2014-09-10,14.70,14.70,14.70,14.70,000,14.70
2014-09-09,14.70,14.70,14.70,14.70,100,14.70
2014-09-08,15.45,15.45,15.15,15.15,200,15.15
2014-09-05,15.60,15.60,15.45,15.45,000,15.45
2014-09-04,17.00,17.00,16.05,16.05,000,16.05
2014-09-03,16.30,16.50,16.30,16.35,500,16.35
2014-09-02,15.65,17.15,15.65,17.15,2000,17.15
2014-09-01,16.50,16.70,16.45,16.45,1600,16.45
2014-08-29,17.30,17.30,17.30,17.30,000,17.30
2014-08-28,17.40,18.25,17.30,17.30,000,17.30
2014-08-27,17.55,18.50,17.55,18.20,11500,18.20
2014-08-26,16.85,18.45,16.80,18.45,1000,18.45
2014-08-25,16.35,17.65,16.15,17.65,2500,17.65
2014-08-22,16.85,16.85,16.80,16.85,4400,16.85
2014-08-21,16.85,17.50,16.85,17.05,1400,17.05
2014-08-20,17.70,17.70,17.65,17.70,8400,17.70
2014-08-19,17.00,18.35,17.00,18.35,300,18.35
2014-08-18,17.50,17.50,17.50,17.50,900,17.50
2014-08-15,18.40,18.40,18.40,18.40,000,18.40
2014-08-14,18.40,18.40,18.40,18.40,000,18.40
2014-08-13,19.35,19.35,19.35,19.35,000,19.35
2014-08-12,20.35,20.35,20.35,20.35,000,20.35
2014-08-11,20.35,20.35,20.35,20.35,500,20.35
2014-08-08,20.35,21.40,20.35,21.40,7900,21.40
2014-08-07,22.50,22.50,20.45,20.45,12100,20.45
2014-08-06,21.45,21.50,21.45,21.50,11700,21.50
2014-08-05,23.70,23.70,22.55,22.55,1600,22.55
2014-08-04,23.70,23.70,23.65,23.70,000,23.70
2014-08-01,23.70,23.70,23.70,23.70,1900,23.70
2014-07-31,22.80,23.80,22.80,23.75,6100,23.75
