Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,92.15,94.05,91.05,91.50,114900,91.50
2014-12-22,92.75,94.05,92.50,92.90,123500,92.90
2014-12-19,92.10,93.95,91.80,93.15,401700,93.15
2014-12-18,87.95,91.05,87.00,90.70,254500,90.70
2014-12-17,86.75,87.80,82.60,86.35,263400,86.35
2014-12-16,90.10,90.60,86.30,86.75,331600,86.75
2014-12-15,91.30,92.90,90.40,91.05,197800,91.05
2014-12-12,94.05,95.20,91.70,92.20,246000,92.20
2014-12-11,95.85,96.00,93.00,94.05,126900,94.05
2014-12-10,92.50,95.80,92.50,95.25,134800,95.25
2014-12-09,96.00,96.75,93.05,93.35,242900,93.35
2014-12-08,96.40,97.90,96.05,96.50,220400,96.50
2014-12-05,98.75,99.60,97.00,97.40,269800,97.40
2014-12-04,100.50,100.50,96.85,97.35,246100,97.35
2014-12-03,101.00,101.70,98.00,98.55,673800,98.55
2014-12-02,96.00,99.00,93.60,98.60,326400,98.60
2014-12-01,98.40,98.75,95.20,95.45,134100,95.45
2014-11-28,96.75,99.40,96.75,98.05,558700,98.05
2014-11-27,97.00,97.90,96.05,96.70,156000,96.70
2014-11-26,94.55,98.60,94.50,96.85,256000,96.85
2014-11-25,100.40,100.90,94.10,94.75,428200,94.75
2014-11-24,101.95,102.30,100.15,100.50,224200,100.50
2014-11-21,100.00,103.50,100.00,101.15,429600,101.15
2014-11-20,101.00,101.90,98.20,101.00,476500,101.00
2014-11-19,103.60,104.00,99.00,100.20,694300,100.20
2014-11-18,101.25,104.75,100.65,102.55,1290900,102.55
2014-11-17,96.00,100.00,95.70,99.55,861100,99.55
2014-11-14,92.00,95.30,92.00,93.10,222300,93.10
2014-11-13,92.00,93.30,91.30,92.35,112300,92.35
2014-11-12,93.05,94.05,92.00,92.50,300900,92.50
2014-11-11,94.00,94.45,92.00,92.75,93900,92.75
2014-11-10,92.00,93.95,90.30,93.30,146800,93.30
2014-11-07,91.90,93.00,90.90,91.45,201500,91.45
2014-11-06,91.85,91.85,91.85,91.85,000,91.85
2014-11-05,93.25,95.00,91.50,91.85,286200,91.85
2014-11-04,93.70,93.70,93.70,93.70,000,93.70
2014-11-03,91.80,94.70,91.80,93.70,219000,93.70
2014-10-31,89.60,92.90,89.60,91.60,263100,91.60
2014-10-30,87.40,90.20,87.40,89.10,227100,89.10
2014-10-29,89.00,89.00,87.30,87.65,107300,87.65
2014-10-28,85.55,88.25,85.55,87.75,100000,87.75
2014-10-27,87.05,87.05,85.55,85.95,54900,85.95
2014-10-24,86.15,86.15,86.15,86.15,000,86.15
2014-10-23,86.15,86.15,86.15,86.15,000,86.15
2014-10-22,89.00,89.65,85.90,86.15,125300,86.15
2014-10-21,86.00,88.75,85.45,88.50,330700,88.50
2014-10-20,83.50,86.00,83.05,84.65,85800,84.65
2014-10-17,80.40,82.90,80.40,82.10,72300,82.10
2014-10-16,82.95,83.50,80.60,81.25,57000,81.25
2014-10-15,83.35,83.35,83.35,83.35,000,83.35
2014-10-14,84.35,84.55,83.05,83.35,73200,83.35
2014-10-13,81.60,84.30,80.90,83.95,91200,83.95
2014-10-10,83.50,83.70,82.00,82.65,82200,82.65
2014-10-09,83.40,85.00,83.40,84.55,75600,84.55
2014-10-08,82.20,83.80,81.95,83.10,144800,83.10
2014-10-07,81.25,83.15,79.85,82.15,207100,82.15
2014-10-06,81.25,81.25,81.25,81.25,000,81.25
2014-10-03,81.25,81.25,81.25,81.25,000,81.25
2014-10-02,81.25,81.25,81.25,81.25,000,81.25
2014-10-01,84.80,85.00,81.05,81.25,234400,81.25
2014-09-30,86.25,87.80,85.00,85.40,100400,85.40
2014-09-29,87.35,87.65,85.50,86.50,133700,86.50
2014-09-26,85.00,87.40,83.60,86.25,126600,86.25
2014-09-25,89.50,89.90,83.30,84.40,300700,84.40
2014-09-24,92.30,92.30,87.60,89.85,166100,89.85
2014-09-23,96.00,96.80,91.60,92.40,327500,92.40
2014-09-22,92.40,96.20,92.40,95.70,299500,95.70
2014-09-19,93.05,94.00,92.25,92.90,366600,92.90
2014-09-18,89.15,92.80,87.90,92.55,259900,92.55
2014-09-17,90.45,91.15,88.35,90.20,193200,88.20
2014-09-16,94.45,95.20,89.10,90.10,352600,88.10
2014-09-15,91.50,94.00,90.00,93.40,157400,91.33
2014-09-12,93.70,94.95,92.25,93.00,227800,90.94
2014-09-11,93.95,94.20,91.75,93.70,247700,91.62
2014-09-10,91.50,94.25,91.00,93.30,392100,91.23
2014-09-09,91.05,91.70,89.00,90.75,140900,88.74
2014-09-08,88.95,90.55,88.45,90.25,145000,88.25
2014-09-05,89.00,89.50,86.75,88.45,159300,86.49
2014-09-04,90.80,91.05,87.75,88.80,236800,86.83
2014-09-03,91.95,91.95,89.20,90.80,202100,88.79
2014-09-02,91.00,92.55,90.75,91.85,431500,89.81
2014-09-01,87.50,90.65,87.50,90.25,239300,88.25
2014-08-29,87.20,87.20,87.20,87.20,000,85.27
2014-08-28,86.75,87.55,86.00,87.20,145900,85.27
2014-08-27,85.60,87.15,85.30,86.65,170700,84.73
2014-08-26,87.50,87.50,84.70,85.50,221000,83.60
2014-08-25,86.95,87.30,85.50,86.45,346900,84.53
2014-08-22,88.90,88.90,86.10,86.40,173100,84.48
2014-08-21,89.40,90.00,87.10,88.30,346200,86.34
2014-08-20,86.80,89.30,85.25,88.35,393400,86.39
2014-08-19,86.50,86.80,84.90,86.20,310900,84.29
2014-08-18,82.00,86.25,82.00,85.55,249600,83.65
