Date,Open,High,Low,Close,Volume,Adj Close
2014-06-20,1141.75,1141.75,1141.75,1141.75,000,1141.75
2014-06-19,1141.75,1141.75,1141.75,1141.75,000,1141.75
2014-06-18,1141.75,1141.75,1141.75,1141.75,000,1141.75
2014-06-17,1141.75,1141.75,1141.75,1141.75,000,1141.75
2014-06-16,1141.75,1141.75,1141.75,1141.75,000,1141.75
2014-06-13,1141.75,1141.75,1141.75,1141.75,000,1141.75
2014-06-12,1141.75,1141.75,1141.75,1141.75,000,1141.75
2014-06-11,1141.75,1141.75,1141.75,1141.75,000,1141.75
2014-06-10,1141.75,1141.75,1141.75,1141.75,000,1141.75
2014-06-09,1141.75,1141.75,1141.75,1141.75,000,1141.75
2014-06-06,1141.75,1141.75,1141.75,1141.75,000,1141.75
2014-06-05,1141.75,1141.75,1141.75,1141.75,000,1141.75
2014-06-04,1141.75,1141.75,1141.75,1141.75,000,1141.75
2014-06-03,1141.75,1141.75,1141.75,1141.75,000,1141.75
2014-06-02,1141.75,1141.75,1141.75,1141.75,000,1141.75
2014-05-30,1141.75,1141.75,1141.75,1141.75,000,1141.75
2014-05-29,1087.80,1087.80,1087.80,1087.80,000,1087.80
2014-05-28,1087.80,1087.80,1087.80,1087.80,000,1087.80
2014-05-27,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-05-26,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-05-23,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-05-22,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-05-21,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-05-20,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-05-19,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-05-16,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-05-15,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-05-14,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-05-13,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-05-12,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-05-09,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-05-08,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-05-07,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-05-06,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-05-05,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-05-02,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-05-01,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-04-30,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-04-29,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-04-28,1036.00,1036.00,1036.00,1036.00,000,1036.00
2014-04-25,1090.00,1090.00,1090.00,1090.00,000,1090.00
2014-04-24,1090.00,1090.00,1090.00,1090.00,000,1090.00
2014-04-23,1090.00,1090.00,1090.00,1090.00,000,1090.00
2014-04-22,1090.00,1090.00,1090.00,1090.00,000,1090.00
2014-04-21,1090.00,1090.00,1090.00,1090.00,000,1090.00
2014-04-18,1090.00,1090.00,1090.00,1090.00,000,1090.00
2014-04-17,1090.00,1090.00,1090.00,1090.00,000,1090.00
2014-04-16,1090.00,1090.00,1090.00,1090.00,000,1090.00
2014-04-15,1090.00,1090.00,1090.00,1090.00,000,1090.00
2014-04-14,1090.00,1090.00,1090.00,1090.00,000,1090.00
2014-04-11,1090.00,1090.00,1090.00,1090.00,000,1090.00
2014-04-10,1090.00,1090.00,1090.00,1090.00,000,1090.00
2014-04-09,1048.00,1048.00,1048.00,1048.00,000,1048.00
2014-04-08,1000.00,1000.00,1000.00,1000.00,000,1000.00
2014-04-07,1000.00,1000.00,1000.00,1000.00,000,1000.00
2014-04-04,1000.00,1000.00,1000.00,1000.00,000,1000.00
2014-04-03,1000.00,1000.00,1000.00,1000.00,000,1000.00
2014-04-02,955.50,955.50,955.50,955.50,000,955.50
2014-04-01,955.50,955.50,955.50,955.50,000,955.50
2014-03-31,955.50,955.50,955.50,955.50,000,955.50
2014-03-28,955.50,955.50,955.50,955.50,000,955.50
2014-03-27,955.50,955.50,955.50,955.50,000,955.50
2014-03-26,910.00,910.00,910.00,910.00,000,910.00
2014-03-25,910.00,910.00,910.00,910.00,000,910.00
2014-03-24,832.85,832.85,832.85,832.85,000,832.85
2014-03-21,832.85,832.85,832.85,832.85,000,832.85
2014-03-20,832.85,832.85,832.85,832.85,000,832.85
2014-03-19,832.85,832.85,832.85,832.85,000,832.85
2014-03-18,850.00,850.00,831.30,832.85,000,832.85
2014-03-17,875.00,875.00,875.00,875.00,000,875.00
2014-03-14,875.00,875.00,875.00,875.00,000,875.00
2014-03-13,875.00,875.00,875.00,875.00,000,875.00
2014-03-12,875.00,875.00,875.00,875.00,000,875.00
2014-03-11,875.00,875.00,875.00,875.00,000,875.00
2014-03-10,840.80,840.80,840.80,840.80,000,840.80
2014-03-07,840.80,840.80,840.80,840.80,000,840.80
2014-03-06,840.80,840.80,840.80,840.80,000,840.80
2014-03-05,885.00,885.00,885.00,885.00,000,885.00
2014-03-04,885.00,885.00,885.00,885.00,000,885.00
2014-03-03,885.00,885.00,885.00,885.00,000,885.00
2014-02-28,885.00,885.00,885.00,885.00,000,885.00
2014-02-27,845.55,845.55,845.55,845.55,000,845.55
2014-02-26,845.55,845.55,845.55,845.55,000,845.55
2014-02-25,845.55,845.55,845.55,845.55,000,845.55
2014-02-24,845.55,845.55,845.55,845.55,000,845.55
2014-02-21,890.00,890.00,890.00,890.00,000,890.00
2014-02-20,890.00,890.00,890.00,890.00,000,890.00
2014-02-19,890.00,890.00,890.00,890.00,000,890.00
2014-02-18,890.00,890.00,890.00,890.00,000,890.00
2014-02-17,890.00,890.00,890.00,890.00,000,890.00
2014-02-14,890.00,890.00,890.00,890.00,000,890.00
2014-02-13,890.00,890.00,890.00,890.00,000,890.00
2014-02-12,890.00,890.00,890.00,890.00,000,890.00
2014-02-11,890.00,890.00,890.00,890.00,000,890.00
2014-02-10,890.00,890.00,890.00,890.00,000,890.00
2014-02-07,890.00,890.00,890.00,890.00,000,890.00
2014-02-06,981.00,981.00,890.00,890.00,000,890.00
2014-02-05,935.00,935.00,935.00,935.00,000,935.00
2014-02-04,935.00,935.00,935.00,935.00,000,935.00
2014-02-03,935.00,935.05,935.00,935.00,000,935.00
2014-01-31,1050.00,1050.00,982.00,982.00,000,982.00
2014-01-30,1100.00,1100.00,1000.00,1033.35,000,1033.35
2014-01-29,1050.00,1050.00,1050.00,1050.00,000,1050.00
2014-01-28,1100.40,1100.40,1100.40,1100.40,000,1100.40
2014-01-27,1048.00,1048.00,1048.00,1048.00,000,1048.00
2014-01-24,1048.00,1048.00,1048.00,1048.00,000,1048.00
2014-01-23,1048.00,1048.00,1048.00,1048.00,000,1048.00
2014-01-22,1047.90,1048.00,1047.90,1048.00,000,1048.00
2014-01-21,1103.00,1103.00,1103.00,1103.00,000,1103.00
2014-01-20,1103.00,1103.00,1103.00,1103.00,000,1103.00
2014-01-17,1160.00,1160.00,1160.00,1160.00,000,1160.00
2014-01-16,1165.00,1165.00,1160.00,1160.00,000,1160.00
2014-01-15,1130.00,1130.00,1125.75,1125.75,000,1125.75
2014-01-14,1184.95,1184.95,1184.95,1184.95,000,1184.95
2014-01-13,1190.00,1190.00,1184.95,1184.95,000,1184.95
2014-01-10,1190.00,1190.00,1190.00,1190.00,000,1190.00
2014-01-09,1190.00,1190.00,1190.00,1190.00,000,1190.00
2014-01-08,1190.00,1190.00,1190.00,1190.00,000,1190.00
2014-01-07,1190.00,1190.00,1190.00,1190.00,000,1190.00
2014-01-06,1191.75,1191.75,1110.00,1190.00,000,1190.00
2014-01-03,1139.60,1139.60,1135.00,1135.00,000,1135.00
2014-01-02,1085.35,1085.35,1085.35,1085.35,000,1085.35
2014-01-01,1033.70,1033.70,1033.70,1033.70,000,1033.70
2013-12-31,984.50,984.50,984.50,984.50,000,984.50
2013-12-30,937.65,937.65,937.65,937.65,000,937.65
2013-12-27,893.00,893.00,893.00,893.00,000,893.00
2013-12-26,850.50,850.50,850.50,850.50,000,850.50
2013-12-25,810.00,810.00,810.00,810.00,000,810.00
2013-12-24,810.00,810.00,810.00,810.00,000,810.00
2013-12-23,810.00,810.00,810.00,810.00,000,810.00
2013-12-20,810.00,810.00,810.00,810.00,000,810.00
2013-12-19,810.00,810.00,810.00,810.00,000,810.00
2013-12-18,810.00,810.00,810.00,810.00,000,810.00
2013-12-17,810.00,810.00,810.00,810.00,000,810.00
2013-12-16,810.00,810.00,810.00,810.00,000,810.00
2013-12-13,810.00,810.00,810.00,810.00,000,810.00
2013-12-12,810.00,810.00,810.00,810.00,000,810.00
2013-12-11,810.00,810.00,810.00,810.00,000,810.00
2013-12-10,810.00,810.00,810.00,810.00,000,810.00
2013-12-09,775.45,775.45,775.45,775.45,000,775.45
2013-12-06,775.45,775.45,775.45,775.45,000,775.45
2013-12-05,775.45,775.45,775.45,775.45,000,775.45
2013-12-04,775.45,775.45,775.45,775.45,000,775.45
2013-12-03,775.45,775.45,775.45,775.45,000,775.45
2013-12-02,775.45,775.45,775.45,775.45,000,775.45
2013-11-29,775.45,775.45,775.45,775.45,000,775.45
2013-11-28,775.45,775.45,775.45,775.45,000,775.45
2013-11-27,775.45,775.45,775.45,775.45,000,775.45
2013-11-26,775.45,775.45,775.45,775.45,000,775.45
2013-11-25,775.45,775.45,775.45,775.45,000,775.45
2013-11-22,775.45,775.45,775.45,775.45,000,775.45
2013-11-21,775.45,775.45,775.45,775.45,000,775.45
2013-11-20,775.45,775.45,775.45,775.45,000,775.45
2013-11-19,738.55,738.55,738.55,738.55,000,738.55
2013-11-18,738.55,738.55,738.55,738.55,000,738.55
2013-11-15,738.55,738.55,738.55,738.55,000,738.55
2013-11-14,738.55,738.55,738.55,738.55,000,738.55
2013-11-13,738.55,738.55,738.55,738.55,000,738.55
2013-11-12,738.55,738.55,738.55,738.55,000,738.55
2013-11-11,738.55,738.55,738.55,738.55,000,738.55
2013-11-08,738.55,738.55,738.55,738.55,000,738.55
2013-11-07,738.55,738.55,738.55,738.55,000,738.55
2013-11-06,738.55,738.55,738.55,738.55,000,738.55
2013-11-05,738.55,738.55,738.55,738.55,000,738.55
2013-11-04,738.55,738.55,738.55,738.55,000,738.55
2013-11-01,738.55,738.55,738.55,738.55,000,738.55
2013-10-31,738.55,738.55,738.55,738.55,000,738.55
2013-10-30,738.55,738.55,738.55,738.55,000,738.55
2013-10-29,738.55,738.55,738.55,738.55,000,738.55
2013-10-28,738.55,738.55,738.55,738.55,000,738.55
2013-10-25,703.40,703.40,703.40,703.40,000,703.40
2013-10-24,669.95,669.95,669.95,669.95,000,669.95
2013-10-23,638.05,638.05,638.05,638.05,000,638.05
2013-10-22,607.70,607.70,607.70,607.70,000,607.70
2013-10-21,578.80,578.80,578.80,578.80,000,578.80
2013-10-18,551.25,551.25,551.25,551.25,000,551.25
2013-10-17,551.25,551.25,551.25,551.25,000,551.25
2013-10-16,551.25,551.25,551.25,551.25,000,551.25
2013-10-15,551.25,551.25,551.25,551.25,000,551.25
2013-10-14,551.25,551.25,551.25,551.25,000,551.25
2013-10-11,551.25,551.25,551.25,551.25,000,551.25
2013-10-10,551.25,551.25,551.25,551.25,000,551.25
2013-10-09,551.25,551.25,551.25,551.25,000,551.25
2013-10-08,551.25,551.25,551.25,551.25,000,551.25
2013-10-07,551.25,551.25,551.25,551.25,000,551.25
2013-10-04,551.25,551.25,551.25,551.25,000,551.25
2013-10-03,551.25,551.25,551.25,551.25,000,551.25
2013-10-02,551.25,551.25,551.25,551.25,000,551.25
2013-10-01,551.25,551.25,551.25,551.25,000,551.25
2013-09-30,551.25,551.25,551.25,551.25,000,551.25
2013-09-27,551.25,551.25,551.25,551.25,000,551.25
2013-09-26,551.25,551.25,551.25,551.25,000,551.25
2013-09-25,551.25,551.25,551.25,551.25,000,551.25
2013-09-24,551.25,551.25,551.25,551.25,000,551.25
2013-09-23,551.25,551.25,551.25,551.25,000,551.25
2013-09-20,551.25,551.25,551.25,551.25,000,551.25
2013-09-19,551.25,551.25,551.25,551.25,000,551.25
2013-09-18,551.25,551.25,551.25,551.25,000,551.25
2013-09-17,551.25,551.25,551.25,551.25,000,551.25
2013-09-16,551.25,551.25,551.25,551.25,000,551.25
2013-09-13,551.25,551.25,551.25,551.25,000,551.25
2013-09-12,551.25,551.25,551.25,551.25,000,551.25
2013-09-11,551.25,551.25,551.25,551.25,000,551.25
2013-09-10,551.25,551.25,551.25,551.25,000,551.25
2013-09-09,551.25,551.25,551.25,551.25,000,551.25
2013-09-06,551.25,551.25,551.25,551.25,000,551.25
2013-09-05,551.25,551.25,551.25,551.25,000,551.25
2013-09-04,551.25,551.25,551.25,551.25,000,551.25
2013-09-03,551.25,551.25,551.25,551.25,000,551.25
2013-09-02,551.25,551.25,551.25,551.25,000,551.25
2013-08-30,551.25,551.25,551.25,551.25,000,551.25
2013-08-29,551.25,551.25,551.25,551.25,000,551.25
2013-08-28,551.25,551.25,551.25,551.25,000,551.25
2013-08-27,551.25,551.25,551.25,551.25,000,551.25
2013-08-26,551.25,551.25,551.25,551.25,000,551.25
2013-08-23,551.25,551.25,551.25,551.25,000,551.25
2013-08-22,551.25,551.25,551.25,551.25,000,551.25
2013-08-21,551.25,551.25,551.25,551.25,000,551.25
2013-08-20,525.00,525.00,525.00,525.00,000,525.00
2013-08-19,525.00,525.00,525.00,525.00,000,525.00
2013-08-16,525.00,525.00,525.00,525.00,000,525.00
2013-08-15,525.00,525.00,525.00,525.00,000,525.00
2013-08-14,525.00,525.00,525.00,525.00,000,525.00
2013-08-13,525.00,525.00,525.00,525.00,000,525.00
2013-08-12,525.00,525.00,525.00,525.00,000,525.00
2013-08-09,525.00,525.00,525.00,525.00,000,525.00
2013-08-08,525.00,525.00,525.00,525.00,000,525.00
2013-08-07,525.00,525.00,525.00,525.00,000,525.00
2013-08-06,525.00,525.00,525.00,525.00,000,525.00
2013-08-05,525.00,525.00,525.00,525.00,000,525.00
2013-08-02,525.00,525.00,525.00,525.00,000,525.00
2013-08-01,525.00,525.00,525.00,525.00,000,525.00
2013-07-31,525.00,525.00,525.00,525.00,000,525.00
2013-07-30,525.00,525.00,525.00,525.00,000,525.00
2013-07-29,525.00,525.00,525.00,525.00,000,525.00
2013-07-26,525.00,525.00,525.00,525.00,000,525.00
2013-07-25,525.00,525.00,525.00,525.00,000,525.00
2013-07-24,525.00,525.00,525.00,525.00,000,525.00
2013-07-23,525.00,525.00,525.00,525.00,000,525.00
2013-07-22,525.00,525.00,525.00,525.00,000,525.00
2013-07-19,525.00,525.00,525.00,525.00,000,525.00
2013-07-18,525.00,525.00,525.00,525.00,000,525.00
2013-07-17,525.00,525.00,525.00,525.00,000,525.00
2013-07-16,525.00,525.00,525.00,525.00,000,525.00
2013-07-15,525.00,525.00,525.00,525.00,000,525.00
2013-07-12,525.00,525.00,525.00,525.00,000,525.00
2013-07-11,525.00,525.00,525.00,525.00,000,525.00
2013-07-10,525.00,525.00,525.00,525.00,000,525.00
2013-07-09,525.00,525.00,525.00,525.00,000,525.00
2013-07-08,525.00,525.00,525.00,525.00,000,525.00
2013-07-05,525.00,525.00,525.00,525.00,000,525.00
2013-07-04,525.00,525.00,525.00,525.00,000,525.00
2013-07-03,525.00,525.00,525.00,525.00,000,525.00
2013-07-02,525.00,525.00,525.00,525.00,000,525.00
2013-07-01,525.00,525.00,525.00,525.00,000,525.00
2013-06-28,525.00,525.00,525.00,525.00,000,525.00
2013-06-27,525.00,525.00,525.00,525.00,000,525.00
2013-06-26,500.00,500.00,500.00,500.00,000,500.00
2013-06-25,500.00,500.00,500.00,500.00,000,500.00
2013-06-24,500.00,500.00,500.00,500.00,000,500.00
2013-06-21,500.00,500.00,500.00,500.00,000,500.00
2013-06-20,500.00,500.00,500.00,500.00,000,500.00
2013-06-19,500.00,500.00,500.00,500.00,000,500.00
2013-06-18,500.00,500.00,500.00,500.00,000,500.00
2013-06-17,500.00,500.00,500.00,500.00,000,500.00
2013-06-14,500.00,500.00,500.00,500.00,000,500.00
2013-06-13,500.00,500.00,500.00,500.00,000,500.00
2013-06-12,500.00,500.00,500.00,500.00,000,500.00
2013-06-11,500.00,500.00,500.00,500.00,000,500.00
2013-06-10,500.00,500.00,500.00,500.00,000,500.00
2013-06-07,500.00,500.00,500.00,500.00,000,500.00
2013-06-06,500.00,500.00,500.00,500.00,000,500.00
2013-06-05,500.00,500.00,500.00,500.00,000,500.00
2013-06-04,500.00,500.00,500.00,500.00,000,500.00
2013-06-03,500.00,500.00,500.00,500.00,000,500.00
2013-05-31,500.00,500.00,500.00,500.00,000,500.00
2013-05-30,500.00,500.00,500.00,500.00,000,500.00
2013-05-29,500.00,500.00,500.00,500.00,000,500.00
2013-05-28,500.00,500.00,500.00,500.00,000,500.00
2013-05-27,500.00,500.00,500.00,500.00,000,500.00
2013-05-24,500.00,500.00,500.00,500.00,000,500.00
2013-05-23,500.00,500.00,500.00,500.00,000,500.00
2013-05-22,500.00,500.00,500.00,500.00,000,500.00
2013-05-21,500.00,500.00,500.00,500.00,000,500.00
2013-05-20,500.00,500.00,500.00,500.00,000,500.00
2013-05-17,500.00,500.00,500.00,500.00,000,500.00
2013-05-16,500.00,500.00,500.00,500.00,000,500.00
