Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,19.25,21.35,19.00,21.35,3300,21.35
2014-12-22,20.75,20.75,19.25,20.70,2000,20.70
2014-12-19,20.90,20.90,20.90,20.90,100,20.90
2014-12-18,19.40,20.35,19.40,19.90,1300,19.90
2014-12-17,19.25,19.45,18.75,19.40,1200,19.40
2014-12-16,19.25,20.00,18.75,19.00,1000,19.00
2014-12-15,19.20,20.80,18.70,19.55,5300,19.55
2014-12-12,19.90,20.70,19.50,20.55,19300,20.55
2014-12-11,18.60,20.00,18.60,18.85,5000,18.85
2014-12-10,19.30,19.70,19.25,19.40,1400,19.40
2014-12-09,18.50,20.05,18.50,19.55,900,19.55
2014-12-08,18.30,19.10,18.30,18.75,500,18.75
2014-12-05,20.50,20.50,19.00,19.10,1700,19.10
2014-12-04,19.20,20.00,19.15,19.85,4900,19.85
2014-12-03,19.50,20.00,19.50,19.75,1400,19.75
2014-12-02,20.00,20.00,19.55,19.55,100,19.55
2014-12-01,19.90,21.00,19.30,20.05,5200,20.05
2014-11-28,20.30,20.60,20.05,20.25,7500,20.25
2014-11-27,20.95,21.25,20.00,21.10,8700,21.10
2014-11-26,20.40,20.40,20.25,20.25,200,20.25
2014-11-25,20.25,20.95,19.85,20.10,6100,20.10
2014-11-24,21.00,21.10,20.65,20.85,2700,20.85
2014-11-21,21.35,22.50,21.00,21.25,2900,21.25
2014-11-20,22.65,22.70,22.00,22.00,2500,22.00
2014-11-19,23.95,23.95,22.25,22.70,4800,22.70
2014-11-18,22.00,23.40,21.20,22.85,9800,22.85
2014-11-17,21.55,22.30,20.35,22.30,6100,22.30
2014-11-14,22.50,22.50,21.00,21.25,1600,21.25
2014-11-13,22.50,22.85,21.20,21.80,9200,21.80
2014-11-12,22.50,23.10,21.75,21.80,8700,21.80
2014-11-11,22.50,22.50,21.20,22.05,17600,22.05
2014-11-10,20.45,21.45,20.00,21.45,12400,21.45
2014-11-07,21.40,21.40,20.30,20.45,20700,20.45
2014-11-06,19.50,19.50,19.50,19.50,000,19.50
2014-11-05,19.50,19.50,19.50,19.50,13200,19.50
2014-11-04,17.75,17.75,17.75,17.75,000,17.75
2014-11-03,17.75,17.75,17.75,17.75,2200,17.75
2014-10-31,16.10,16.50,15.85,16.15,1700,16.15
2014-10-30,15.35,17.35,15.35,17.30,1200,17.30
2014-10-29,15.90,16.00,15.60,15.80,1400,15.80
2014-10-28,15.80,18.90,15.80,15.95,5400,15.95
2014-10-27,17.05,19.85,17.05,17.55,2500,17.55
2014-10-24,17.15,17.15,17.15,17.15,000,17.15
2014-10-23,17.15,17.15,17.15,17.15,000,17.15
2014-10-22,18.65,18.65,16.50,17.15,700,17.15
2014-10-21,18.00,19.25,16.35,17.00,3500,17.00
2014-10-20,17.65,17.65,15.75,17.65,5000,17.65
2014-10-17,13.20,16.05,13.20,16.05,6200,16.05
2014-10-16,14.35,14.90,14.35,14.60,400,14.60
2014-10-15,15.00,15.00,15.00,15.00,000,15.00
2014-10-14,15.50,15.50,15.00,15.00,900,15.00
2014-10-13,15.40,15.40,15.05,15.05,500,15.05
2014-10-10,14.75,16.25,14.70,14.80,3300,14.80
2014-10-09,15.00,15.80,15.00,15.80,300,15.80
2014-10-08,15.05,15.05,15.00,15.05,100,15.05
2014-10-07,16.00,16.00,15.40,15.45,600,15.45
2014-10-06,15.75,15.75,15.75,15.75,000,15.75
2014-10-03,15.75,15.75,15.75,15.75,000,15.75
2014-10-02,15.75,15.75,15.75,15.75,000,15.75
2014-10-01,16.95,17.00,15.55,15.75,111100,15.75
2014-09-30,16.70,17.00,16.35,16.36,18400,16.36
