Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,15.00,16.08,15.00,16.08,24200,16.08
2014-12-22,14.94,14.97,14.55,14.62,134000,14.62
2014-12-19,14.25,14.50,14.25,14.40,104200,14.40
2014-12-18,13.36,14.95,13.35,14.95,800,14.95
2014-12-17,14.50,14.50,14.00,14.03,1200,14.03
2014-12-16,14.27,14.99,14.26,14.41,4700,14.41
2014-12-15,15.34,15.34,15.34,15.34,000,15.34
2014-12-12,15.00,15.74,14.60,14.99,3200,14.99
2014-12-11,13.40,15.35,13.40,15.35,1700,15.35
2014-12-10,14.60,14.60,14.26,14.26,3400,14.26
2014-12-09,14.50,15.38,14.50,15.38,000,15.38
2014-12-08,15.99,15.99,14.52,14.83,1600,14.83
2014-12-05,15.00,15.48,14.75,15.48,5300,15.48
2014-12-04,16.20,16.24,14.85,15.60,2900,15.60
2014-12-03,16.00,16.00,15.10,15.94,1000,15.94
2014-12-02,15.30,15.70,15.00,15.17,5700,15.17
2014-12-01,16.00,16.30,14.70,16.25,900,16.25
2014-11-28,14.90,15.60,14.90,14.97,2500,14.97
2014-11-27,14.75,14.85,14.75,14.80,500,14.80
2014-11-26,16.70,16.70,14.66,15.10,1600,15.10
2014-11-25,15.50,15.50,14.70,15.09,3800,15.09
2014-11-24,15.00,15.49,15.00,15.00,1200,15.00
2014-11-21,14.55,16.00,14.40,14.93,1000,14.93
2014-11-20,15.20,15.35,15.20,15.35,500,15.35
2014-11-19,16.00,16.00,14.91,15.44,4400,15.44
2014-11-18,15.30,15.30,15.15,15.15,100,15.15
2014-11-17,18.63,18.63,15.15,15.15,2700,15.15
2014-11-14,15.00,16.87,14.85,15.54,3200,15.54
2014-11-13,15.34,15.79,14.61,14.80,400,14.80
2014-11-12,15.48,15.50,14.51,14.99,4000,14.99
2014-11-11,15.25,15.25,14.53,14.60,3000,14.60
2014-11-10,14.62,14.65,14.40,14.46,1700,14.46
2014-11-07,14.70,15.00,14.40,15.00,2000,15.00
2014-11-06,15.31,15.31,15.31,15.31,000,15.31
2014-11-05,15.00,15.48,15.00,15.31,1500,15.31
2014-11-04,15.03,15.03,15.03,15.03,000,15.03
2014-11-03,14.00,15.29,14.00,15.03,500,15.03
2014-10-31,15.49,15.60,14.81,14.82,5400,14.82
2014-10-30,14.60,14.90,14.45,14.74,1200,14.74
2014-10-29,14.93,15.49,14.55,15.49,100,15.49
2014-10-28,15.40,15.40,15.40,15.40,000,15.40
2014-10-27,18.36,18.36,14.14,14.93,1300,14.93
2014-10-24,14.62,14.62,14.62,14.62,000,14.62
2014-10-23,14.62,14.62,14.62,14.62,000,14.62
2014-10-22,16.90,16.90,14.21,14.62,100,14.62
2014-10-21,14.60,14.60,13.70,14.30,100,14.30
2014-10-20,13.71,15.22,13.71,13.83,1100,13.83
2014-10-17,14.15,14.15,13.21,13.55,6700,13.55
2014-10-16,14.26,14.64,14.26,14.30,1600,14.30
2014-10-15,14.54,14.54,14.54,14.54,000,14.54
2014-10-14,14.04,16.78,14.04,14.54,1300,14.54
2014-10-13,14.07,14.40,14.05,14.40,1100,14.40
2014-10-10,14.52,15.15,14.02,14.02,1400,14.02
2014-10-09,14.02,15.44,14.02,15.18,4200,15.18
2014-10-08,14.35,14.70,14.05,14.47,600,14.47
2014-10-07,15.35,15.35,14.01,14.64,400,14.64
2014-10-06,14.23,14.23,14.23,14.23,000,14.23
2014-10-03,14.23,14.23,14.23,14.23,000,14.23
2014-10-02,14.23,14.23,14.23,14.23,000,14.23
2014-10-01,14.50,14.50,14.23,14.23,400,14.23
2014-09-30,13.76,14.80,13.76,14.20,600,14.20
2014-09-29,14.40,14.60,14.01,14.20,1500,14.20
2014-09-26,14.40,14.49,13.56,14.00,9900,14.00
2014-09-25,14.00,14.80,14.00,14.49,1500,14.49
2014-09-24,15.00,15.15,14.88,15.15,5400,15.15
2014-09-23,14.65,15.07,14.65,14.85,2900,14.85
2014-09-22,15.81,16.00,14.60,14.96,16300,14.96
2014-09-19,14.30,16.25,14.30,16.06,7300,16.06
2014-09-18,15.52,16.39,15.50,15.77,6400,15.77
2014-09-17,15.26,16.60,15.26,16.35,800,16.35
2014-09-16,19.89,19.89,15.35,15.98,8300,15.98
2014-09-15,15.00,16.89,14.90,16.81,11500,16.81
2014-09-12,15.16,15.50,15.00,15.47,2700,15.47
2014-09-11,15.02,16.20,15.01,15.40,1800,15.40
2014-09-10,15.00,15.90,15.00,15.50,1200,15.50
2014-09-09,15.00,15.98,15.00,15.70,1500,15.70
2014-09-08,17.69,17.69,15.00,15.53,2500,15.53
2014-09-05,15.03,15.80,14.72,15.04,3200,15.04
2014-09-04,15.25,16.23,15.16,16.23,1200,16.23
2014-09-03,15.51,16.13,15.25,15.88,4500,15.88
2014-09-02,14.61,15.93,14.60,15.26,300,15.26
2014-09-01,14.65,16.16,14.50,14.99,7500,14.99
2014-08-29,14.45,14.45,14.45,14.45,000,14.45
2014-08-28,15.74,15.74,14.30,14.45,600,14.45
2014-08-27,14.00,14.95,14.00,14.90,2600,14.90
2014-08-26,12.50,15.85,12.50,14.79,3700,14.29
2014-08-25,15.01,15.30,14.90,14.90,11600,14.40
2014-08-22,14.05,15.29,13.76,14.94,6300,14.43
2014-08-21,14.30,15.48,14.00,14.05,2300,13.58
2014-08-20,14.51,15.48,14.25,14.46,1100,13.97
2014-08-19,15.73,15.73,15.00,15.23,2300,14.72
2014-08-18,14.90,15.80,13.56,14.56,8900,14.07
2014-08-15,13.31,13.31,13.31,13.31,000,12.86
2014-08-14,13.61,13.61,13.31,13.31,400,12.86
2014-08-13,13.75,13.75,13.75,13.75,000,13.29
2014-08-12,14.00,15.24,13.76,14.00,900,13.53
2014-08-11,13.81,14.29,13.51,13.51,1700,13.05
2014-08-08,13.60,14.80,13.50,14.80,800,14.30
2014-08-07,14.46,14.47,14.46,14.47,000,13.98
2014-08-06,13.99,14.39,13.66,13.84,1000,13.37
2014-08-05,14.51,14.88,13.14,13.83,1600,13.36
2014-08-04,14.36,14.50,14.35,14.49,100,14.00
2014-08-01,14.20,14.85,14.00,14.00,1400,13.53
2014-07-31,14.20,15.00,13.85,14.70,700,14.20
2014-07-30,13.75,15.90,13.50,14.35,8400,13.86
2014-07-29,13.75,13.75,13.75,13.75,000,13.29
2014-07-28,13.55,15.80,13.45,13.75,1200,13.29
2014-07-25,14.50,14.50,13.45,13.45,1200,13.00
2014-07-24,14.65,15.55,14.60,14.75,1700,14.25
