Date,Open,High,Low,Close,Volume,Adj Close
2014-06-18,11.35,11.35,11.35,11.35,000,11.35
2014-06-17,11.34,11.34,11.34,11.34,000,11.34
2014-06-16,11.34,11.34,11.34,11.34,000,11.34
2014-06-13,11.34,11.34,11.34,11.34,000,11.34
2014-06-12,11.33,11.33,11.33,11.33,000,11.33
2014-06-11,11.33,11.33,11.33,11.33,000,11.33
2014-06-10,11.33,11.33,11.33,11.33,000,11.33
2014-06-09,11.33,11.33,11.33,11.33,000,11.33
2014-06-06,11.32,11.32,11.32,11.32,000,11.32
2014-06-05,11.32,11.32,11.32,11.32,000,11.32
2014-06-04,11.31,11.31,11.31,11.31,000,11.31
2014-06-03,11.30,11.30,11.30,11.30,000,11.30
2014-05-30,11.29,11.29,11.29,11.29,000,11.29
2014-05-29,11.29,11.29,11.29,11.29,000,11.29
2014-05-28,11.28,11.28,11.28,11.28,000,11.28
2014-05-27,11.28,11.28,11.28,11.28,000,11.28
2014-05-26,11.28,11.28,11.28,11.28,000,11.28
2014-05-23,11.27,11.27,11.27,11.27,000,11.27
2014-05-22,11.27,11.27,11.27,11.27,000,11.27
2014-05-21,11.26,11.26,11.26,11.26,000,11.26
2014-05-20,11.26,11.26,11.26,11.26,000,11.26
2014-05-19,11.26,11.26,11.26,11.26,000,11.26
2014-05-16,11.25,11.25,11.25,11.25,000,11.25
2014-05-15,11.24,11.24,11.24,11.24,000,11.24
2014-05-13,11.24,11.24,11.24,11.24,000,11.24
2014-05-12,11.23,11.23,11.23,11.23,000,11.23
2014-05-09,11.22,11.22,11.22,11.22,000,11.22
2014-05-08,11.22,11.22,11.22,11.22,000,11.22
2014-05-07,11.22,11.22,11.22,11.22,000,11.22
2014-05-06,11.21,11.21,11.21,11.21,000,11.21
2014-05-05,11.21,11.21,11.21,11.21,000,11.21
2014-05-02,11.20,11.20,11.20,11.20,000,11.20
2014-04-30,11.20,11.20,11.20,11.20,000,11.20
2014-04-29,11.19,11.19,11.19,11.19,000,11.19
2014-04-28,11.19,11.19,11.19,11.19,000,11.19
2014-04-25,11.18,11.18,11.18,11.18,000,11.18
2014-04-23,11.18,11.18,11.18,11.18,000,11.18
2014-04-22,11.18,11.18,11.18,11.18,000,11.18
2014-04-21,11.18,11.18,11.18,11.18,000,11.18
2014-04-17,11.17,11.17,11.17,11.17,000,11.17
2014-04-16,11.16,11.16,11.16,11.16,000,11.16
2014-04-15,11.16,11.16,11.16,11.16,000,11.16
2014-04-11,11.15,11.15,11.15,11.15,000,11.15
2014-04-10,11.14,11.14,11.14,11.14,000,11.14
2014-04-09,11.14,11.14,11.14,11.14,000,11.14
2014-04-07,11.14,11.14,11.14,11.14,000,11.14
2014-04-04,11.13,11.13,11.13,11.13,000,11.13
2014-04-03,11.13,11.13,11.13,11.13,000,11.13
2014-04-02,11.13,11.13,11.13,11.13,000,11.13
2014-03-31,11.12,11.12,11.12,11.12,000,11.12
2014-03-28,11.12,11.12,11.12,11.12,000,11.12
2014-03-27,11.10,11.10,11.10,11.10,000,11.10
2014-03-26,11.10,11.10,11.10,11.10,000,11.10
2014-03-25,11.10,11.10,11.10,11.10,000,11.10
2014-03-24,11.10,11.10,11.10,11.10,000,11.10
2014-03-21,11.09,11.09,11.09,11.09,000,11.09
2014-03-20,11.29,11.29,11.29,11.29,000,11.29
2014-03-19,11.28,11.28,11.28,11.28,000,11.12
2014-03-18,11.28,11.28,11.28,11.28,000,11.11
2014-03-14,11.27,11.27,11.27,11.27,000,11.10
2014-03-13,11.26,11.26,11.26,11.26,000,11.10
2014-03-12,11.26,11.26,11.26,11.26,000,11.09
2014-03-11,11.26,11.26,11.26,11.26,000,11.09
2014-03-10,11.25,11.25,11.25,11.25,000,11.08
2014-03-07,11.24,11.24,11.24,11.24,000,11.08
2014-03-06,11.23,11.23,11.23,11.23,000,11.07
