Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,501.35,507.00,486.70,490.25,331400,490.25
2014-12-22,493.40,508.65,486.45,505.85,349600,505.85
2014-12-19,511.00,514.90,490.05,492.75,390600,492.75
2014-12-18,492.50,508.25,491.00,505.20,390100,505.20
2014-12-17,494.85,498.95,473.50,481.60,600400,481.60
2014-12-16,522.45,526.70,493.50,496.65,444500,496.65
2014-12-15,523.00,531.60,517.25,523.45,371300,523.45
2014-12-12,552.00,554.00,523.20,528.25,467600,528.25
2014-12-11,557.00,563.75,545.15,548.50,365300,548.50
2014-12-10,555.50,566.00,549.00,562.50,344100,562.50
2014-12-09,573.05,578.00,551.00,553.20,386300,553.20
2014-12-08,589.00,593.45,570.00,572.50,373800,572.50
2014-12-05,599.35,601.00,585.10,589.00,304200,589.00
2014-12-04,609.80,612.75,592.00,596.35,319600,596.35
2014-12-03,605.00,615.80,601.65,606.75,282100,606.75
2014-12-02,591.80,609.40,586.70,605.15,323500,605.15
2014-12-01,608.00,612.00,591.00,594.50,207900,594.50
2014-11-28,601.95,616.70,601.40,607.45,425300,607.45
2014-11-27,601.95,611.45,594.70,597.90,466000,597.90
2014-11-26,585.55,607.00,585.20,598.80,457600,598.80
2014-11-25,616.00,616.85,580.00,586.15,531700,586.15
2014-11-24,628.35,632.25,614.30,617.95,233500,617.95
2014-11-21,628.75,639.60,621.15,623.85,288700,623.85
2014-11-20,639.10,641.75,619.55,626.80,296400,626.80
2014-11-19,662.30,671.50,636.65,639.80,541700,639.80
2014-11-18,640.00,661.90,639.95,657.00,567800,657.00
2014-11-17,621.05,641.55,618.70,638.40,334500,638.40
2014-11-14,624.00,626.45,611.10,621.05,301000,621.05
2014-11-13,635.50,644.35,616.00,620.65,360200,620.65
2014-11-12,647.70,648.30,633.05,636.95,294200,636.95
2014-11-11,644.90,651.85,631.95,643.35,350800,643.35
2014-11-10,630.50,649.50,630.50,640.45,382000,640.45
2014-11-07,630.00,642.75,626.20,630.10,314500,630.10
2014-11-06,631.85,631.85,631.85,631.85,000,631.85
2014-11-05,650.00,656.55,629.10,631.85,370400,631.85
2014-11-04,649.40,649.40,649.40,649.40,000,649.40
2014-11-03,642.50,657.00,637.00,649.40,351900,649.40
2014-10-31,602.50,641.15,602.35,637.75,734000,637.75
2014-10-30,579.90,600.60,575.50,597.20,452800,597.20
2014-10-29,579.60,582.60,570.70,579.95,222100,579.95
2014-10-28,571.00,576.45,562.70,573.50,301100,573.50
2014-10-27,581.80,581.80,565.05,568.00,200900,568.00
2014-10-24,580.00,580.00,580.00,580.00,000,580.00
2014-10-23,580.00,580.00,580.00,580.00,000,580.00
2014-10-22,585.75,587.00,574.00,580.00,291700,580.00
2014-10-21,564.20,584.00,562.35,579.30,381000,579.30
2014-10-20,565.00,572.00,555.00,561.55,289000,561.55
2014-10-17,550.00,561.90,542.50,553.90,422100,553.90
2014-10-16,562.80,578.40,542.00,545.60,513500,545.60
2014-10-15,571.50,571.50,571.50,571.50,000,571.50
2014-10-14,584.00,588.80,562.45,571.50,381700,571.50
2014-10-13,576.00,589.45,570.55,583.50,343700,583.50
2014-10-10,580.00,598.20,567.45,582.85,551100,582.85
2014-10-09,578.10,591.70,572.15,584.30,333800,584.30
2014-10-08,564.80,574.70,555.60,572.35,388200,572.35
2014-10-07,593.00,595.00,564.50,567.30,378100,567.30
2014-10-06,590.10,590.10,590.10,590.10,000,590.10
2014-10-03,590.10,590.10,590.10,590.10,000,590.10
2014-10-02,590.10,590.10,590.10,590.10,000,590.10
2014-10-01,587.50,600.00,585.10,591.95,306000,591.95
2014-09-30,593.00,599.90,571.10,585.15,448600,585.15
2014-09-29,594.70,605.50,590.05,593.90,304600,593.90
2014-09-26,595.00,609.90,580.00,593.80,599400,593.80
2014-09-25,633.90,640.25,591.95,598.60,416100,598.60
2014-09-24,634.70,644.90,610.00,636.35,501100,636.35
2014-09-23,642.00,657.00,630.25,636.10,356400,636.10
2014-09-22,647.70,648.50,636.05,643.05,216400,643.05
2014-09-19,672.00,675.40,645.35,649.05,265900,649.05
2014-09-18,650.00,676.65,646.55,673.95,447200,673.95
2014-09-17,654.00,661.25,636.00,655.30,401800,647.80
2014-09-16,690.00,693.95,648.05,651.35,359100,643.90
2014-09-15,685.70,697.45,681.20,688.60,172500,680.72
2014-09-12,699.00,704.10,688.10,691.20,242900,683.29
2014-09-11,708.05,711.40,696.20,700.70,232400,692.68
2014-09-10,696.05,709.90,693.55,704.65,251300,696.59
2014-09-09,690.15,704.05,690.15,698.40,309700,690.41
2014-09-08,706.00,708.75,687.25,689.30,363800,681.41
2014-09-05,719.70,722.50,700.00,704.05,350800,695.99
2014-09-04,734.00,739.00,711.50,715.95,300600,707.76
2014-09-03,749.50,755.50,732.55,736.00,329400,727.58
2014-09-02,736.00,752.95,732.60,747.50,343400,738.94
2014-09-01,702.40,738.90,701.25,735.20,402700,726.79
2014-08-29,699.10,699.10,699.10,699.10,000,691.10
2014-08-28,700.10,706.90,691.30,699.10,299600,691.10
2014-08-27,704.00,707.25,691.70,698.40,294500,690.41
2014-08-26,699.80,703.50,682.00,698.75,348300,690.75
2014-08-25,731.00,736.80,696.45,702.80,378400,694.76
2014-08-22,725.05,734.85,718.00,730.55,310400,722.19
2014-08-21,728.45,735.00,716.25,723.65,320400,715.37
2014-08-20,727.00,735.75,724.70,728.40,227400,720.06
2014-08-19,727.10,734.75,723.90,730.35,205800,721.99
2014-08-18,707.80,730.95,707.80,725.40,215700,717.10
2014-08-15,714.90,714.90,714.90,714.90,000,706.72
2014-08-14,707.00,718.50,695.35,714.90,382600,706.72
2014-08-13,726.00,726.00,692.55,705.00,340100,696.93
2014-08-12,717.50,728.60,711.50,725.85,254400,717.54
2014-08-11,725.00,731.25,705.65,710.45,363600,702.32
2014-08-08,742.00,742.00,716.50,718.45,341400,710.23
2014-08-07,762.30,767.40,745.40,747.90,371700,739.34
2014-08-06,770.80,779.30,757.70,760.50,320200,751.80
2014-08-05,754.00,773.50,747.75,770.80,478300,761.98
2014-08-04,738.00,759.00,728.70,749.90,324400,741.32
2014-08-01,735.00,751.20,725.75,732.05,333600,723.67
2014-07-31,749.50,761.50,738.15,741.15,254200,732.67
2014-07-30,737.00,755.90,727.70,751.15,275800,742.55
2014-07-29,734.50,734.50,734.50,734.50,000,726.09
2014-07-28,738.60,745.95,725.00,734.50,248500,726.09
2014-07-25,761.00,763.00,721.45,732.75,340200,724.36
2014-07-24,755.95,766.80,748.00,758.90,349800,750.21
2014-07-23,764.95,766.50,742.00,750.40,322500,741.81
2014-07-22,770.00,776.50,748.75,758.60,366000,749.92
2014-07-21,770.00,782.90,762.55,766.05,362500,757.28
2014-07-18,775.35,780.00,756.20,766.50,492600,757.73
