Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,22.60,22.80,22.40,22.45,2500,22.45
2014-12-22,22.20,23.00,21.00,21.25,6100,21.25
2014-12-19,25.45,26.00,22.00,22.40,24500,22.40
2014-12-18,20.50,24.00,20.50,23.95,3200,23.95
2014-12-17,22.05,22.05,21.95,21.95,300,21.95
2014-12-16,21.55,21.55,20.50,20.55,5100,20.55
2014-12-15,22.00,22.75,21.90,22.75,300,22.75
2014-12-12,25.25,25.25,22.75,22.85,1400,22.85
2014-12-11,25.00,25.00,22.85,23.10,5500,23.10
2014-12-10,22.00,25.50,22.00,24.70,10300,24.70
2014-12-09,21.10,23.80,21.00,23.60,3400,23.60
2014-12-08,20.20,22.25,20.20,21.65,2400,21.65
2014-12-05,22.60,23.00,21.75,22.20,11500,22.20
2014-12-04,23.80,24.45,22.80,22.80,13100,22.80
2014-12-03,24.00,24.50,23.55,24.00,20300,24.00
2014-12-02,25.10,25.55,24.70,24.75,3300,24.75
2014-12-01,26.00,26.00,25.80,26.00,400,26.00
2014-11-28,26.65,26.65,25.55,26.40,4400,26.40
2014-11-27,25.20,27.00,25.20,25.40,10300,25.40
2014-11-26,26.30,26.40,24.25,26.40,10200,26.40
2014-11-25,25.15,26.75,25.15,25.15,10000,25.15
2014-11-24,26.45,28.10,26.45,26.45,4600,26.45
2014-11-21,30.70,30.70,27.80,27.80,3300,27.80
2014-11-20,30.55,31.00,28.85,29.25,3400,29.25
2014-11-19,33.25,33.30,30.20,30.20,7800,30.20
2014-11-18,28.75,31.75,28.75,31.75,30000,31.75
2014-11-17,30.25,33.15,30.25,30.25,13700,30.25
2014-11-14,31.80,31.80,30.05,31.80,25300,31.80
2014-11-13,30.30,30.30,30.30,30.30,6500,30.30
2014-11-12,28.90,28.90,28.75,28.90,5100,28.90
2014-11-11,27.55,27.55,25.35,27.55,10900,27.55
2014-11-10,26.25,26.25,26.20,26.25,4300,26.25
2014-11-07,25.75,25.75,25.75,25.75,1400,25.75
2014-11-06,25.25,25.25,25.25,25.25,000,25.25
2014-11-05,25.25,25.25,25.25,25.25,4500,25.25
2014-11-04,24.80,24.80,24.80,24.80,000,24.80
2014-11-03,24.80,24.80,24.80,24.80,400,24.80
2014-10-31,24.35,24.35,23.45,24.35,2700,24.35
2014-10-30,23.90,23.90,23.85,23.90,3000,23.90
2014-10-29,23.45,23.45,23.45,23.45,2000,23.45
2014-10-28,23.00,23.00,23.00,23.00,5700,23.00
2014-10-27,22.55,22.55,22.55,22.55,10100,22.55
2014-10-24,21.75,21.75,21.75,21.75,000,21.75
2014-10-23,21.75,21.75,21.75,21.75,000,21.75
2014-10-22,21.75,21.75,21.75,21.75,6900,21.75
2014-10-21,20.55,21.35,20.55,21.35,16500,21.35
2014-10-20,20.15,20.95,20.15,20.95,15300,20.95
2014-10-17,20.55,20.55,20.55,20.55,600,20.55
2014-10-16,20.95,20.95,20.95,20.95,1800,20.95
2014-10-15,21.35,21.35,21.35,21.35,000,21.35
2014-10-14,21.15,21.95,21.15,21.35,3400,21.35
2014-10-13,21.55,21.55,21.55,21.55,1600,21.55
2014-10-10,21.95,21.95,21.95,21.95,000,21.95
2014-10-09,22.40,22.50,22.35,22.35,1000,22.35
2014-10-08,23.70,23.70,22.80,22.80,18300,22.80
2014-10-07,23.25,23.25,23.25,23.25,4100,23.25
2014-10-06,22.80,22.80,22.80,22.80,000,22.80
2014-10-03,22.80,22.80,22.80,22.80,000,22.80
2014-10-02,22.80,22.80,22.80,22.80,000,22.80
2014-10-01,23.60,23.60,22.75,22.80,3900,22.80
2014-09-30,23.01,23.84,23.01,23.14,1900,23.14
