Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,46.50,51.50,46.00,49.75,1446200,49.75
2014-12-22,45.00,46.50,44.65,46.25,93800,46.25
2014-12-19,45.00,46.60,44.85,45.20,171500,45.20
2014-12-18,43.00,45.25,43.00,44.90,227400,44.90
2014-12-17,43.50,44.00,38.90,41.90,457000,41.90
2014-12-16,45.70,45.70,41.55,43.15,1339900,43.15
2014-12-15,46.40,46.40,45.00,45.50,154000,45.50
2014-12-12,46.80,48.40,45.55,46.15,353800,46.15
2014-12-11,47.65,47.65,44.80,46.40,381300,46.40
2014-12-10,46.00,48.25,45.50,47.65,339400,47.65
2014-12-09,45.00,48.35,44.15,45.50,744900,45.50
2014-12-08,47.25,48.50,44.95,45.10,348800,45.10
2014-12-05,47.50,50.35,46.30,47.35,801900,47.35
2014-12-04,47.40,47.80,45.15,47.05,949400,47.05
2014-12-03,41.95,45.50,41.85,45.50,649900,45.50
2014-12-02,41.75,42.90,41.20,41.40,237000,41.40
2014-12-01,43.30,43.45,40.10,41.70,180900,41.70
2014-11-28,42.75,44.00,42.50,43.10,117500,43.10
2014-11-27,44.10,44.50,42.70,43.15,241300,43.15
2014-11-26,42.35,44.15,41.95,43.75,442500,43.75
2014-11-25,42.55,43.25,40.25,41.85,259200,41.85
2014-11-24,42.25,43.45,41.40,42.30,278100,42.30
2014-11-21,42.65,44.35,42.10,42.45,395100,42.45
2014-11-20,44.05,44.50,42.80,43.05,242700,43.05
2014-11-19,43.80,44.95,43.00,44.05,498500,44.05
2014-11-18,44.00,44.45,42.35,43.00,324100,43.00
2014-11-17,44.05,44.85,43.30,44.00,348800,44.00
2014-11-14,43.75,44.00,41.00,43.70,322800,43.70
2014-11-13,42.90,44.45,40.60,41.90,522500,41.90
2014-11-12,43.00,44.10,42.30,42.65,200800,42.65
2014-11-11,43.35,44.05,42.50,42.90,187300,42.90
2014-11-10,44.05,44.95,42.50,42.95,326900,42.95
2014-11-07,46.00,46.05,42.65,44.05,554100,44.05
2014-11-06,45.80,45.80,45.80,45.80,000,45.80
